iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137350,1.7516101e+16,1.5700239e+16,1.8447045e+21,0,5.0301928e+18,3.1798438e+18,4.32e+12,3.7251494e+16,1.2299394e+18,1.8152245e+18,6.2417179e+20,0,1529438.7,1706331.8,3235770.5,0,1.35e+21,170.65024,2.6941564e-08,170.65024,0,0,1.8712053e+08,-2.0802236e+12,1.0694993e+10,-1.0058994e+11,-6.3602168e+10,-2.460123e+10,-3.630067e+10,1.2300615e+09,1.8150335e+09,3.3698338e+10,3.3698338e+10,2.4298529e+11,1.518658e+10,3460601.9
4000,20,0,1.1297312e+08,3.3658396e+16,3.5695064e+16,1.827297e+21,0,6.2905072e+18,2.699778e+18,4.32e+12,3.8369648e+16,1.0086008e+18,2.1726121e+18,6.4062748e+20,0,4089791.8,3856333.2,7946125,0,1.35e+21,385.67189,4.2050942e-08,385.67188,0,0,1.7506546e+08,-1.4450795e+12,1.0553084e+10,-1.2579881e+11,-5.3999904e+10,-2.0174015e+10,-4.3448913e+10,1.0087008e+09,2.1724456e+09,3.660996e+10,3.660996e+10,2.3891069e+11,1.4931918e+10,5157213.8
6000,30,0,1.3735523e+08,4.8869702e+16,5.9007806e+16,1.815108e+21,0,7.3064925e+18,2.3049337e+18,4.32e+12,3.9080995e+16,8.2727873e+17,2.4815208e+18,6.5203022e+20,0,7772648.1,6436963,14209611,0,1.35e+21,643.76068,0,643.76068,0,9.765625e-08,1.6378786e+08,-1.0207135e+12,1.0307604e+10,-1.4612081e+11,-4.6102253e+10,-1.6547213e+10,-4.9627562e+10,8.2736066e+08,2.4813781e+09,3.8964525e+10,3.8964525e+10,2.3318341e+11,1.4573963e+10,7207933.4
8000,40,0,1.6172198e+08,6.3505612e+16,8.5155671e+16,1.8064353e+21,0,8.1082881e+18,1.9791005e+18,4.32e+12,3.9473515e+16,6.7872629e+17,2.744228e+18,6.6007324e+20,0,12676736,9453291.8,22130028,0,1.35e+21,945.42372,3.1920877e-08,945.42372,0,0,1.5323758e+08,-7.3203353e+11,9.9942974e+09,-1.6215871e+11,-3.958497e+10,-1.3575868e+10,-5.4882154e+10,6.7879342e+08,2.7441077e+09,4.0799938e+10,4.0799938e+10,2.2660827e+11,1.4163017e+10,9590639.5
10000,50,0,1.8563726e+08,7.78374e+16,1.1368288e+17,1.8001742e+21,0,8.7258326e+18,1.7092782e+18,4.32e+12,3.9613382e+16,5.5700966e+17,2.9639755e+18,6.6584711e+20,0,18872169,12920770,31792939,0,1.35e+21,1292.2062,7.6549668e-08,1292.2062,0,0,1.4336773e+08,-5.322328e+11,9.6383692e+09,-1.745113e+11,-3.4188019e+10,-1.1141293e+10,-5.9277514e+10,5.5706466e+08,2.9638757e+09,4.2168671e+10,4.2168671e+10,2.1967099e+11,1.3729437e+10,12276177
12000,60,0,2.087759e+08,9.2068583e+16,1.4416783e+17,1.7955953e+21,0,9.1870702e+18,1.485016e+18,4.32e+12,3.955206e+16,4.5727028e+17,3.1444709e+18,6.7006499e+20,0,26404073,16861035,43265108,0,1.35e+21,1686.2721,1.673402e-08,1686.2721,0,0,1.3413441e+08,-3.9163868e+11,9.2579077e+09,-1.8373749e+11,-2.9702365e+10,-9.146307e+09,-6.2887796e+10,4.5731535e+08,3.1443898e+09,4.3128014e+10,4.3128014e+10,2.1266531e+11,1.3291582e+10,15231577
14000,70,0,2.3090672e+08,1.0634861e+17,1.7622631e+17,1.7922091e+21,0,9.5171677e+18,1.2978971e+18,4.32e+12,3.933061e+16,3.7552993e+17,3.2895803e+18,6.7320002e+20,0,35296156,21298848,56595004,0,1.35e+21,2130.0978,0,2130.0978,0,9.765625e-08,1.2549658e+08,-2.9113269e+11,8.8660174e+09,-1.9034063e+11,-2.5959652e+10,-7.5113374e+09,-6.579032e+10,3.7556687e+08,3.289516e+09,4.3734706e+10,4.3734706e+10,2.0576785e+11,1.2860491e+10,18422489
16000,80,0,2.5187595e+08,1.2078413e+17,2.0951224e+17,1.7896816e+21,0,9.7382862e+18,1.1411316e+18,4.32e+12,3.8982401e+16,3.0853118e+17,3.4031383e+18,6.7557043e+20,0,45554080,26259907,71813988,0,1.35e+21,2626.2534,0,2626.2534,0,9.765625e-08,1.1741582e+08,-2.1820226e+11,8.4722119e+09,-1.9476399e+11,-2.2824067e+10,-6.1712293e+09,-6.8061775e+10,3.0856147e+08,3.4030887e+09,4.4042105e+10,4.4042105e+10,1.9908289e+11,1.244268e+10,21814955
18000,90,0,2.7159224e+08,1.3544814e+17,2.4371693e+17,1.7877814e+21,0,9.8696457e+18,1.0092336e+18,4.32e+12,3.853489e+16,2.5360675e+17,3.4888312e+18,6.7739308e+20,0,57168544,31769334,88937879,0,1.35e+21,3177.2512,-2.4770543e-08,3177.2512,0,0,1.0985622e+08,-1.6453327e+11,8.0833604e+09,-1.9739199e+11,-2.0185881e+10,-5.0726315e+09,-6.9775895e+10,2.5363157e+08,3.4887948e+09,4.4098849e+10,4.4098849e+10,1.9266964e+11,1.2041852e+10,25376652
20000,100,0,2.900136e+08,1.503875e+17,2.7856735e+17,1.7863458e+21,0,9.9277352e+18,8.9776422e+17,4.32e+12,3.8010846e+16,2.0857251e+17,3.5501299e+18,6.7881759e+20,0,70118063,37850671,1.0796873e+08,0,1.35e+21,3785.4456,-2.267825e-09,3785.4456,0,0,1.0278416e+08,-1.2451965e+11,7.7043548e+09,-1.9855444e+11,-1.795631e+10,-4.1718574e+09,-7.1002096e+10,2.0859287e+08,3.5501048e+09,4.3948353e+10,4.3948353e+10,1.8655901e+11,1.1659938e+10,29077707
22000,110,0,3.0713631e+08,1.6562894e+17,3.1382389e+17,1.7852586e+21,0,9.9265854e+18,8.0312646e+17,4.32e+12,3.7429235e+16,1.7164e+17,3.5902518e+18,6.7994849e+20,0,84371423,44525260,1.2889668e+08,0,1.35e+21,4452.9713,-2.1259439e-08,4452.9713,0,0,96168198,-9.4326989e+10,7.3385946e+09,-1.9853198e+11,-1.6063402e+10,-3.433134e+09,-7.1804731e+10,1.716567e+08,3.5902365e+09,4.3628811e+10,4.3628811e+10,1.8076407e+11,1.1297754e+10,32891203
24000,120,0,3.2298576e+08,1.8118392e+17,3.4927791e+17,1.7844357e+21,0,9.8780579e+18,7.2240052e+17,4.32e+12,3.6805874e+16,1.4134465e+17,3.6121446e+18,6.8085966e+20,0,99889832,51811910,1.5170174e+08,0,1.35e+21,5181.7092,0,5181.7092,0,9.765625e-08,89978920,-7.1295973e+10,6.9883474e+09,-1.9756185e+11,-1.4448756e+10,-2.8271669e+09,-7.2242755e+10,1.4135834e+08,3.6121378e+09,4.3173445e+10,4.3173445e+10,1.7528667e+11,1.0955417e+10,36793436
