iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137315,1.7520523e+16,1.5703861e+16,1.8447045e+21,0,5.0301927e+18,3.179843e+18,4.32e+12,3.7250761e+16,1.2299394e+18,1.8152185e+18,6.2417179e+20,0,699485.75,780404.38,1479890.1,0,1.35e+21,78.048243,-4.3047109e-08,78.048243,0,0,1.8712053e+08,-2.0802236e+12,1.0694783e+10,-1.0058993e+11,-6.360215e+10,-2.460123e+10,-3.6300549e+10,1.2300615e+09,1.8150275e+09,3.3698323e+10,3.3698323e+10,2.4298529e+11,1.518658e+10,3460600.5
4000,20,0,1.1297292e+08,3.3677713e+16,3.5713296e+16,1.827297e+21,0,6.2905068e+18,2.699774e+18,4.32e+12,3.8367781e+16,1.0086008e+18,2.1725838e+18,6.4062748e+20,0,1870981.9,1764291.4,3635273.3,0,1.35e+21,176.44678,2.7967872e-08,176.44678,0,0,1.7506546e+08,-1.4450796e+12,1.055257e+10,-1.257988e+11,-5.3999824e+10,-2.0174015e+10,-4.3448347e+10,1.0087008e+09,2.1724174e+09,3.6609891e+10,3.6609891e+10,2.3891069e+11,1.4931918e+10,5157204.9
6000,30,0,1.3735466e+08,4.8916732e+16,5.9057208e+16,1.815108e+21,0,7.3064912e+18,2.304924e+18,4.32e+12,3.9077591e+16,8.2727873e+17,2.48145e+18,6.5203021e+20,0,3556960.5,2946085.4,6503045.9,0,1.35e+21,294.638,0,294.638,0,9.765625e-08,1.6378786e+08,-1.0207137e+12,1.0306707e+10,-1.4612078e+11,-4.610206e+10,-1.6547213e+10,-4.9626147e+10,8.2736066e+08,2.4813074e+09,3.8964353e+10,3.8964353e+10,2.3318341e+11,1.4573963e+10,7207903.8
8000,40,0,1.6172074e+08,6.3595494e+16,8.5258937e+16,1.8064353e+21,0,8.1082846e+18,1.9790824e+18,4.32e+12,3.9468138e+16,6.7872629e+17,2.7440906e+18,6.6007321e+20,0,5803371.6,4328564.3,10131936,0,1.35e+21,432.89972,4.81852e-08,432.89972,0,0,1.5323758e+08,-7.3203401e+11,9.9929361e+09,-1.6215864e+11,-3.9584607e+10,-1.3575868e+10,-5.4879406e+10,6.7879341e+08,2.7439703e+09,4.0799604e+10,4.0799604e+10,2.2660826e+11,1.4163016e+10,9590565.9
10000,50,0,1.8563492e+08,7.7987648e+16,1.1386925e+17,1.8001742e+21,0,8.7258257e+18,1.7092485e+18,4.32e+12,3.9605566e+16,5.5700965e+17,2.9637433e+18,6.6584706e+20,0,8643304,5919328.5,14562632,0,1.35e+21,591.99204,7.7962568e-08,591.99204,0,0,1.4336773e+08,-5.3223372e+11,9.6364678e+09,-1.7451117e+11,-3.4187426e+10,-1.1141293e+10,-5.9272873e+10,5.5706465e+08,2.9636437e+09,4.2168106e+10,4.2168106e+10,2.1967097e+11,1.3729436e+10,12276023
12000,60,0,2.0877192e+08,9.229917e+16,1.4447334e+17,1.7955953e+21,0,9.187058e+18,1.4849717e+18,4.32e+12,3.9541316e+16,4.5727026e+17,3.1441125e+18,6.700649e+20,0,12098648,7728889.5,19827538,0,1.35e+21,772.96625,0,772.96625,0,9.765625e-08,1.3413441e+08,-3.9164023e+11,9.2553934e+09,-1.8373724e+11,-2.9701478e+10,-9.1463066e+09,-6.288063e+10,4.5731533e+08,3.1440315e+09,4.3127141e+10,4.3127141e+10,2.1266529e+11,1.329158e+10,15231287
14000,70,0,2.309004e+08,1.0668209e+17,1.7669396e+17,1.792209e+21,0,9.5171479e+18,1.2978349e+18,4.32e+12,3.9316432e+16,3.7552991e+17,3.2890608e+18,6.7319988e+20,0,16181729,9769275.1,25951004,0,1.35e+21,977.02521,0,977.02521,0,9.765625e-08,1.2549658e+08,-2.9113512e+11,8.8628217e+09,-1.9034024e+11,-2.5958407e+10,-7.511337e+09,-6.5779931e+10,3.7556685e+08,3.2889965e+09,4.373344e+10,4.373344e+10,2.0576781e+11,1.2860488e+10,18421985
16000,80,0,2.5186646e+08,1.2124576e+17,2.1019199e+17,1.7896815e+21,0,9.7382562e+18,1.1410482e+18,4.32e+12,3.8964267e+16,3.0853115e+17,3.4024196e+18,6.7557022e+20,0,20896838,12053034,32949873,0,1.35e+21,1205.424,-4.5121396e-08,1205.424,0,0,1.1741582e+08,-2.1820581e+11,8.4682712e+09,-1.9476339e+11,-2.28224e+10,-6.1712287e+09,-6.8047404e+10,3.0856143e+08,3.4023702e+09,4.4040355e+10,4.4040355e+10,1.9908282e+11,1.2442676e+10,21814134
18000,90,0,2.715786e+08,1.36066e+17,2.4466566e+17,1.7877813e+21,0,9.8696025e+18,1.0091259e+18,4.32e+12,3.8512269e+16,2.5360671e+17,3.4878729e+18,6.7739276e+20,0,26241640,14592550,40834190,0,1.35e+21,1459.401,0,1459.401,0,9.765625e-08,1.0985622e+08,-1.6453822e+11,8.078616e+09,-1.9739113e+11,-2.0183728e+10,-5.0726307e+09,-6.9756732e+10,2.5363153e+08,3.4878366e+09,4.4096515e+10,4.4096515e+10,1.9266955e+11,1.2041847e+10,25375378
20000,100,0,2.8999466e+08,1.5119262e+17,2.7984871e+17,1.7863457e+21,0,9.9276753e+18,8.9762906e+17,4.32e+12,3.7983206e+16,2.0857246e+17,3.5488891e+18,6.7881714e+20,0,32208428,17399587,49608014,0,1.35e+21,1740.1327,-4.0490704e-08,1740.1327,0,0,1.0278416e+08,-1.2452632e+11,7.6987531e+09,-1.9855324e+11,-1.7953607e+10,-4.1718565e+09,-7.0977283e+10,2.0859282e+08,3.5488642e+09,4.3945333e+10,4.3945333e+10,1.8655888e+11,1.165993e+10,29075808
22000,110,0,3.0711076e+08,1.666554e+17,3.1550816e+17,1.7852584e+21,0,9.9265051e+18,8.0296082e+17,4.32e+12,3.739604e+16,1.7163994e+17,3.5886837e+18,6.7994788e+20,0,38785238,20485006,59270244,0,1.35e+21,2048.7055,-4.3094587e-08,2048.7055,0,0,96168198,-9.4335711e+10,7.3320868e+09,-1.9853037e+11,-1.6060089e+10,-3.4331328e+09,-7.1773372e+10,1.7165664e+08,3.5886686e+09,4.3624996e+10,4.3624996e+10,1.807639e+11,1.1297744e+10,32888467
24000,120,0,3.2295212e+08,1.8246892e+17,3.5144171e+17,1.7844353e+21,0,9.877953e+18,7.222015e+17,4.32e+12,3.6766592e+16,1.4134457e+17,3.6102028e+18,6.8085884e+20,0,45956817,23858621,69815438,0,1.35e+21,2386.1007,-3.3679953e-08,2386.1007,0,0,89978920,-7.130709e+10,6.9808897e+09,-1.9755975e+11,-1.4444776e+10,-2.8271654e+09,-7.2203924e+10,1.4135827e+08,3.6101962e+09,4.3168723e+10,4.3168723e+10,1.7528646e+11,1.0955404e+10,36789604
26000,130,0,3.3756546e+08,1.9863649e+17,3.8747511e+17,1.7838147e+21,0,9.7919919e+18,6.5297712e+17,4.32e+12,3.6108054e+16,1.1648702e+17,3.6161201e+18,6.8160285e+20,0,53705458,27529133,81234591,0,1.35e+21,2753.1887,1.1271641e-07,2753.1887,0,0,84188806,-5.3570988e+10,6.6465751e+09,-1.9584086e+11,-1.3060184e+10,-2.3299652e+09,-7.2322413e+10,1.1649826e+08,3.6161207e+09,4.2605153e+10,4.2605153e+10,1.7012141e+11,1.0632588e+10,40758752
28000,140,0,3.5101287e+08,2.1515317e+17,4.2345951e+17,1.7833508e+21,0,9.676966e+18,5.9335368e+17,4.32e+12,3.5431397e+16,9.6085101e+16,3.6088423e+18,6.8221812e+20,0,62011708,31504145,93515853,0,1.35e+21,3150.7295,7.8625362e-08,3150.7295,0,0,78772115,-3.9795725e+10,6.3299072e+09,-1.9354059e+11,-1.1867627e+10,-1.9218866e+09,-7.2176977e+10,96094329,3.6088489e+09,4.1958789e+10,4.1958789e+10,1.6525931e+11,1.0328707e+10,44778683
30000,150,0,3.6336684e+08,2.3200823e+17,4.5926888e+17,1.7830089e+21,0,9.5398248e+18,5.4175231e+17,4.32e+12,3.4745708e+16,7.9334447e+16,3.5905205e+18,6.827326e+20,0,70854970,35790207,1.0664518e+08,0,1.35e+21,3579.3786,0,3579.3786,0,9.765625e-08,73704762,-2.9020436e+10,6.031162e+09,-1.9079796e+11,-1.0835527e+10,-1.5868405e+09,-7.1810642e+10,79342025,3.5905321e+09,4.1250453e+10,4.1250453e+10,1.606882e+11,1.0043013e+10,48835263
