iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137293,1.7523222e+16,1.5706072e+16,1.8447045e+21,0,5.0301927e+18,3.1798424e+18,4.32e+12,3.7250313e+16,1.2299394e+18,1.8152148e+18,6.2417179e+20,0,192786.18,215091.11,407877.29,0,1.35e+21,21.511263,5.4222937e-10,21.511263,0,0,1.8712053e+08,-2.0802236e+12,1.0694654e+10,-1.0058993e+11,-6.3602139e+10,-2.460123e+10,-3.6300475e+10,1.2300615e+09,1.8150238e+09,3.3698314e+10,3.3698314e+10,2.4298529e+11,1.518658e+10,3460599.7
4000,20,0,1.129728e+08,3.3689509e+16,3.572443e+16,1.827297e+21,0,6.2905066e+18,2.6997716e+18,4.32e+12,3.836664e+16,1.0086008e+18,2.1725665e+18,6.4062748e+20,0,515751.88,486360.46,1002112.3,0,1.35e+21,48.64091,4.4758167e-08,48.64091,0,0,1.7506546e+08,-1.4450796e+12,1.0552257e+10,-1.257988e+11,-5.3999776e+10,-2.0174015e+10,-4.3448002e+10,1.0087008e+09,2.1724001e+09,3.6609849e+10,3.6609849e+10,2.3891069e+11,1.4931918e+10,5157199.4
6000,30,0,1.3735432e+08,4.8945461e+16,5.9087385e+16,1.815108e+21,0,7.3064903e+18,2.3049181e+18,4.32e+12,3.907551e+16,8.2727873e+17,2.4814068e+18,6.520302e+20,0,980701.33,812336.89,1793038.2,0,1.35e+21,81.241814,3.3608828e-08,81.241813,0,0,1.6378786e+08,-1.0207138e+12,1.0306158e+10,-1.4612077e+11,-4.6101942e+10,-1.6547213e+10,-4.9625283e+10,8.2736065e+08,2.4812642e+09,3.8964248e+10,3.8964248e+10,2.3318341e+11,1.4573963e+10,7207885.7
8000,40,0,1.6171998e+08,6.3650427e+16,8.5322042e+16,1.8064353e+21,0,8.1082826e+18,1.9790713e+18,4.32e+12,3.9464849e+16,6.7872628e+17,2.7440066e+18,6.600732e+20,0,1600433.2,1193863.5,2794296.8,0,1.35e+21,119.39829,-4.5363521e-08,119.39829,0,0,1.5323758e+08,-7.320343e+11,9.9921037e+09,-1.621586e+11,-3.9584385e+10,-1.3575868e+10,-5.4877726e+10,6.7879341e+08,2.7438863e+09,4.0799399e+10,4.0799399e+10,2.2660825e+11,1.4163016e+10,9590521
10000,50,0,1.856335e+08,7.8079521e+16,1.1398319e+17,1.8001741e+21,0,8.7258215e+18,1.7092304e+18,4.32e+12,3.9600783e+16,5.5700964e+17,2.9636014e+18,6.6584703e+20,0,2384240,1633125.6,4017365.7,0,1.35e+21,163.32889,1.3057289e-07,163.32889,0,0,1.4336773e+08,-5.3223428e+11,9.6353042e+09,-1.7451108e+11,-3.4187063e+10,-1.1141293e+10,-5.9270035e+10,5.5706464e+08,2.9635018e+09,4.2167761e+10,4.2167761e+10,2.1967096e+11,1.3729435e+10,12275928
12000,60,0,2.0876948e+08,9.244025e+16,1.4466022e+17,1.7955952e+21,0,9.1870505e+18,1.4849445e+18,4.32e+12,3.9534736e+16,4.5727025e+17,3.1438932e+18,6.7006485e+20,0,3338367.1,2133124.7,5471491.8,0,1.35e+21,213.3338,3.328168e-08,213.3338,0,0,1.3413441e+08,-3.9164119e+11,9.2538534e+09,-1.8373709e+11,-2.9700935e+10,-9.1463064e+09,-6.2876245e+10,4.5731532e+08,3.1438123e+09,4.3126607e+10,4.3126607e+10,2.1266527e+11,1.3291579e+10,15231109
14000,70,0,2.3089654e+08,1.0688625e+17,1.7698017e+17,1.792209e+21,0,9.5171358e+18,1.2977968e+18,4.32e+12,3.930774e+16,3.7552989e+17,3.2887427e+18,6.7319979e+20,0,4466462.2,2697295.2,7163757.5,0,1.35e+21,269.7565,0,269.7565,0,9.765625e-08,1.2549658e+08,-2.911366e+11,8.8608626e+09,-1.9033999e+11,-2.5957645e+10,-7.5113367e+09,-6.577357e+10,3.7556683e+08,3.2886785e+09,4.3732665e+10,4.3732665e+10,2.0576778e+11,1.2860486e+10,18421677
16000,80,0,2.5186066e+08,1.2152857e+17,2.1060827e+17,1.7896815e+21,0,9.7382379e+18,1.1409971e+18,4.32e+12,3.8953139e+16,3.0853113e+17,3.4019793e+18,6.7557008e+20,0,5769997.9,3329231.8,9099229.6,0,1.35e+21,332.95647,0,332.95647,0,9.765625e-08,1.1741582e+08,-2.1820798e+11,8.465853e+09,-1.9476302e+11,-2.2821378e+10,-6.1712283e+09,-6.80386e+10,3.0856142e+08,3.40193e+09,4.4039282e+10,4.4039282e+10,1.9908278e+11,1.2442674e+10,21813631
18000,90,0,2.7157024e+08,1.3644481e+17,2.4524704e+17,1.7877813e+21,0,9.869576e+18,1.0090598e+18,4.32e+12,3.8498375e+16,2.5360668e+17,3.4872853e+18,6.7739256e+20,0,7248657,4032500.1,11281157,0,1.35e+21,403.29034,0,403.29034,0,9.765625e-08,1.0985622e+08,-1.6454126e+11,8.0757016e+09,-1.973906e+11,-2.0182407e+10,-5.0726302e+09,-6.9744982e+10,2.5363151e+08,3.4872491e+09,4.4095084e+10,4.4095084e+10,1.9266949e+11,1.2041843e+10,25374597
