iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137310,1.7521077e+16,1.5704315e+16,1.8447045e+21,0,5.0301927e+18,3.1798428e+18,4.32e+12,3.7250669e+16,1.2299394e+18,1.8152177e+18,6.2417179e+20,0,595381.04,664258.33,1259639.4,0,1.35e+21,66.432477,3.9262389e-08,66.432476,0,0,1.8712053e+08,-2.0802236e+12,1.0694756e+10,-1.0058993e+11,-6.3602148e+10,-2.460123e+10,-3.6300534e+10,1.2300615e+09,1.8150267e+09,3.3698322e+10,3.3698322e+10,2.4298529e+11,1.518658e+10,3460600.4
4000,20,0,1.129729e+08,3.3680136e+16,3.5715584e+16,1.827297e+21,0,6.2905067e+18,2.6997735e+18,4.32e+12,3.8367547e+16,1.0086008e+18,2.1725802e+18,6.4062748e+20,0,1592578.9,1501775.9,3094354.8,0,1.35e+21,150.19261,-4.7616993e-08,150.19261,0,0,1.7506546e+08,-1.4450796e+12,1.0552506e+10,-1.257988e+11,-5.3999814e+10,-2.0174015e+10,-4.3448276e+10,1.0087008e+09,2.1724138e+09,3.6609882e+10,3.6609882e+10,2.3891069e+11,1.4931918e+10,5157203.8
6000,30,0,1.3735459e+08,4.8922633e+16,5.9063408e+16,1.815108e+21,0,7.306491e+18,2.3049228e+18,4.32e+12,3.9077163e+16,8.2727873e+17,2.4814411e+18,6.5203021e+20,0,3027807,2507848.4,5535655.5,0,1.35e+21,250.80992,0,250.80992,0,9.765625e-08,1.6378786e+08,-1.0207137e+12,1.0306594e+10,-1.4612078e+11,-4.6102035e+10,-1.6547213e+10,-4.962597e+10,8.2736066e+08,2.4812985e+09,3.8964331e+10,3.8964331e+10,2.3318341e+11,1.4573963e+10,7207900.1
8000,40,0,1.6172058e+08,6.3606777e+16,8.5271899e+16,1.8064353e+21,0,8.1082842e+18,1.9790801e+18,4.32e+12,3.9467462e+16,6.7872628e+17,2.7440733e+18,6.6007321e+20,0,4940261.7,3684889.5,8625151.2,0,1.35e+21,368.5258,3.3420804e-08,368.5258,0,0,1.5323758e+08,-7.3203407e+11,9.9927652e+09,-1.6215864e+11,-3.9584561e+10,-1.3575868e+10,-5.4879061e+10,6.7879341e+08,2.743953e+09,4.0799562e+10,4.0799562e+10,2.2660826e+11,1.4163016e+10,9590556.7
10000,50,0,1.8563463e+08,7.8006515e+16,1.1389265e+17,1.8001742e+21,0,8.7258249e+18,1.7092448e+18,4.32e+12,3.9604584e+16,5.5700965e+17,2.9637142e+18,6.6584705e+20,0,7358216.8,5039425.7,12397643,0,1.35e+21,503.99297,1.1415955e-07,503.99297,0,0,1.4336773e+08,-5.3223384e+11,9.6362289e+09,-1.7451115e+11,-3.4187351e+10,-1.1141293e+10,-5.927229e+10,5.5706465e+08,2.9636145e+09,4.2168035e+10,4.2168035e+10,2.1967097e+11,1.3729436e+10,12276003
12000,60,0,2.0877142e+08,9.2328137e+16,1.4451172e+17,1.7955953e+21,0,9.1870565e+18,1.4849661e+18,4.32e+12,3.9539966e+16,4.5727026e+17,3.1440675e+18,6.7006489e+20,0,10300439,6580470.3,16880910,0,1.35e+21,658.11284,3.818252e-08,658.11284,0,0,1.3413441e+08,-3.9164043e+11,9.2550773e+09,-1.8373721e+11,-2.9701367e+10,-9.1463066e+09,-6.2879729e+10,4.5731533e+08,3.1439865e+09,4.3127032e+10,4.3127032e+10,2.1266528e+11,1.329158e+10,15231250
14000,70,0,2.3089961e+08,1.06724e+17,1.7675272e+17,1.792209e+21,0,9.5171454e+18,1.2978271e+18,4.32e+12,3.9314648e+16,3.755299e+17,3.2889955e+18,6.7319986e+20,0,13777578,8318336.3,22095915,0,1.35e+21,831.91683,0,831.91683,0,9.765625e-08,1.2549658e+08,-2.9113542e+11,8.8624197e+09,-1.9034019e+11,-2.5958251e+10,-7.5113369e+09,-6.5778625e+10,3.7556685e+08,3.2889312e+09,4.3733281e+10,4.3733281e+10,2.057678e+11,1.2860488e+10,18421922
16000,80,0,2.5186527e+08,1.213038e+17,2.1027744e+17,1.7896815e+21,0,9.7382525e+18,1.1410377e+18,4.32e+12,3.8961984e+16,3.0853115e+17,3.4023293e+18,6.7557019e+20,0,17793470,10263791,28057261,0,1.35e+21,1026.4818,0,1026.4818,0,9.765625e-08,1.1741582e+08,-2.1820625e+11,8.4677751e+09,-1.9476332e+11,-2.282219e+10,-6.1712286e+09,-6.8045597e+10,3.0856143e+08,3.4022799e+09,4.4040135e+10,4.4040135e+10,1.9908281e+11,1.2442676e+10,21814031
18000,90,0,2.7157689e+08,1.3614373e+17,2.4478498e+17,1.7877813e+21,0,9.8695971e+18,1.0091123e+18,4.32e+12,3.850942e+16,2.536067e+17,3.4877524e+18,6.7739272e+20,0,22346333,12427472,34773804,0,1.35e+21,1242.8714,4.1535486e-08,1242.8714,0,0,1.0985622e+08,-1.6453885e+11,8.0780183e+09,-1.9739102e+11,-2.0183457e+10,-5.0726306e+09,-6.9754321e+10,2.5363153e+08,3.4877161e+09,4.4096221e+10,4.4096221e+10,1.9266954e+11,1.2041846e+10,25375217
20000,100,0,2.8999227e+08,1.5129397e+17,2.8000994e+17,1.7863456e+21,0,9.9276678e+18,8.9761205e+17,4.32e+12,3.7979721e+16,2.0857246e+17,3.5487329e+18,6.7881708e+20,0,27429836,14819498,42249334,0,1.35e+21,1482.098,1.52952e-08,1482.098,0,0,1.0278416e+08,-1.2452716e+11,7.6980468e+09,-1.9855309e+11,-1.7953266e+10,-4.1718563e+09,-7.0974159e+10,2.0859282e+08,3.548708e+09,4.3944952e+10,4.3944952e+10,1.8655887e+11,1.1659929e+10,29075569
22000,110,0,3.0710754e+08,1.6678468e+17,3.157202e+17,1.7852583e+21,0,9.926495e+18,8.0293996e+17,4.32e+12,3.7391851e+16,1.7163993e+17,3.5884861e+18,6.799478e+20,0,33034047,17449236,50483283,0,1.35e+21,1745.0981,-9.1486072e-09,1745.0981,0,0,96168198,-9.4336809e+10,7.3312656e+09,-1.9853017e+11,-1.6059672e+10,-3.4331326e+09,-7.1769421e+10,1.7165663e+08,3.5884711e+09,4.3624515e+10,4.3624515e+10,1.8076388e+11,1.1297743e+10,32888122
24000,120,0,3.2294788e+08,1.8263087e+17,3.5171428e+17,1.7844353e+21,0,9.8779398e+18,7.2217642e+17,4.32e+12,3.6761631e+16,1.4134456e+17,3.609958e+18,6.8085874e+20,0,39146252,20325169,59471421,0,1.35e+21,2032.7202,8.2104634e-09,2032.7202,0,0,89978920,-7.130849e+10,6.9799477e+09,-1.9755948e+11,-1.4444275e+10,-2.8271652e+09,-7.2199028e+10,1.4135826e+08,3.6099514e+09,4.3168127e+10,4.3168127e+10,1.7528644e+11,1.0955402e+10,36789120
