iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137336,1.7517878e+16,1.5701694e+16,1.8447045e+21,0,5.0301928e+18,3.1798435e+18,4.32e+12,3.7251199e+16,1.2299394e+18,1.8152221e+18,6.2417179e+20,0,1195902.3,1334230.6,2530132.9,0,1.35e+21,133.4364,8.2231765e-08,133.4364,0,0,1.8712053e+08,-2.0802236e+12,1.0694909e+10,-1.0058994e+11,-6.360216e+10,-2.460123e+10,-3.6300622e+10,1.2300615e+09,1.8150311e+09,3.3698332e+10,3.3698332e+10,2.4298529e+11,1.518658e+10,3460601.4
4000,20,0,1.1297304e+08,3.3666158e+16,3.570239e+16,1.827297e+21,0,6.290507e+18,2.6997764e+18,4.32e+12,3.8368898e+16,1.0086008e+18,2.1726007e+18,6.4062748e+20,0,3198259.5,3015768.9,6214028.4,0,1.35e+21,301.60705,2.0211303e-08,301.60705,0,0,1.7506546e+08,-1.4450796e+12,1.0552877e+10,-1.2579881e+11,-5.3999872e+10,-2.0174015e+10,-4.3448686e+10,1.0087008e+09,2.1724343e+09,3.6609932e+10,3.6609932e+10,2.3891069e+11,1.4931918e+10,5157210.2
6000,30,0,1.37355e+08,4.8888598e+16,5.9027656e+16,1.815108e+21,0,7.306492e+18,2.3049298e+18,4.32e+12,3.9079627e+16,8.2727873e+17,2.4814923e+18,6.5203021e+20,0,6079088.1,5034684.5,11113773,0,1.35e+21,503.5188,-2.4549195e-08,503.5188,0,0,1.6378786e+08,-1.0207136e+12,1.0307244e+10,-1.461208e+11,-4.6102175e+10,-1.6547213e+10,-4.9626994e+10,8.2736066e+08,2.4813497e+09,3.8964456e+10,3.8964456e+10,2.3318341e+11,1.4573963e+10,7207921.5
8000,40,0,1.6172148e+08,6.3541719e+16,8.5197157e+16,1.8064353e+21,0,8.1082867e+18,1.9790933e+18,4.32e+12,3.9471355e+16,6.7872629e+17,2.7441728e+18,6.6007323e+20,0,9916132.9,7395256.9,17311390,0,1.35e+21,739.59965,-4.4632998e-08,739.59965,0,0,1.5323758e+08,-7.3203372e+11,9.9937507e+09,-1.6215869e+11,-3.9584824e+10,-1.3575868e+10,-5.488105e+10,6.7879341e+08,2.7440525e+09,4.0799804e+10,4.0799804e+10,2.2660826e+11,1.4163017e+10,9590609.9
10000,50,0,1.8563632e+08,7.7897746e+16,1.1375774e+17,1.8001742e+21,0,8.7258299e+18,1.7092663e+18,4.32e+12,3.9610244e+16,5.5700965e+17,2.9638822e+18,6.6584709e+20,0,14764919,10109934,24874852,0,1.35e+21,1011.0945,8.3770715e-08,1011.0945,0,0,1.4336773e+08,-5.3223317e+11,9.6376058e+09,-1.7451125e+11,-3.4187781e+10,-1.1141293e+10,-5.927565e+10,5.5706466e+08,2.9637825e+09,4.2168444e+10,4.2168444e+10,2.1967098e+11,1.3729436e+10,12276115
12000,60,0,2.087743e+08,9.2161176e+16,1.4429052e+17,1.7955953e+21,0,9.1870653e+18,1.4849982e+18,4.32e+12,3.9547747e+16,4.5727027e+17,3.144327e+18,6.7006495e+20,0,20661589,13196055,33857644,0,1.35e+21,1319.7375,-5.2707492e-09,1319.7375,0,0,1.3413441e+08,-3.916393e+11,9.2568985e+09,-1.8373739e+11,-2.9702009e+10,-9.1463068e+09,-6.2884918e+10,4.5731534e+08,3.1442459e+09,4.3127664e+10,4.3127664e+10,2.126653e+11,1.3291581e+10,15231460
14000,70,0,2.3090418e+08,1.0648249e+17,1.7641407e+17,1.7922091e+21,0,9.5171597e+18,1.2978721e+18,4.32e+12,3.9324921e+16,3.7552992e+17,3.2893718e+18,6.7319997e+20,0,27625697,16673464,44299160,0,1.35e+21,1667.5131,0,1667.5131,0,9.765625e-08,1.2549658e+08,-2.9113367e+11,8.8647351e+09,-1.9034047e+11,-2.5959152e+10,-7.5113372e+09,-6.5786149e+10,3.7556686e+08,3.2893075e+09,4.3734197e+10,4.3734197e+10,2.0576783e+11,1.2860489e+10,18422287
16000,80,0,2.5187214e+08,1.2096941e+17,2.0978511e+17,1.7896816e+21,0,9.7382742e+18,1.1410981e+18,4.32e+12,3.8975127e+16,3.0853117e+17,3.4028498e+18,6.7557035e+20,0,35662835,20562798,56225633,0,1.35e+21,2056.4854,0,2056.4854,0,9.765625e-08,1.1741582e+08,-2.1820368e+11,8.4706312e+09,-1.9476375e+11,-2.2823398e+10,-6.1712291e+09,-6.8056007e+10,3.0856145e+08,3.4028004e+09,4.4041403e+10,4.4041403e+10,1.9908286e+11,1.2442679e+10,21814626
18000,90,0,2.7158677e+08,1.3569605e+17,2.4409767e+17,1.7877814e+21,0,9.8696284e+18,1.0091903e+18,4.32e+12,3.852582e+16,2.5360673e+17,3.4884467e+18,6.7739295e+20,0,44767042,24884311,69651353,0,1.35e+21,2488.68,4.7693902e-09,2488.68,0,0,1.0985622e+08,-1.6453526e+11,8.0814581e+09,-1.9739165e+11,-2.0185017e+10,-5.0726311e+09,-6.9768206e+10,2.5363156e+08,3.4884103e+09,4.4097912e+10,4.4097912e+10,1.926696e+11,1.204185e+10,25376140
