iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137288,1.7523859e+16,1.5706594e+16,1.8447045e+21,0,5.0301927e+18,3.1798423e+18,4.32e+12,3.7250207e+16,1.2299394e+18,1.8152139e+18,6.2417179e+20,0,73165.051,81630.342,154795.39,0,1.35e+21,8.1638506,1.4117692e-07,8.1638505,0,0,1.8712053e+08,-2.0802236e+12,1.0694624e+10,-1.0058993e+11,-6.3602137e+10,-2.460123e+10,-3.6300458e+10,1.2300615e+09,1.8150229e+09,3.3698312e+10,3.3698312e+10,2.4298529e+11,1.518658e+10,3460599.5
4000,20,0,1.1297278e+08,3.3692294e+16,3.5727059e+16,1.827297e+21,0,6.2905065e+18,2.699771e+18,4.32e+12,3.8366371e+16,1.0086008e+18,2.1725624e+18,6.4062748e+20,0,195742.95,184589.72,380332.67,0,1.35e+21,18.460818,4.5927607e-08,18.460818,0,0,1.7506546e+08,-1.4450796e+12,1.0552183e+10,-1.257988e+11,-5.3999764e+10,-2.0174015e+10,-4.344792e+10,1.0087008e+09,2.172396e+09,3.6609839e+10,3.6609839e+10,2.3891069e+11,1.4931918e+10,5157198.1
6000,30,0,1.3735424e+08,4.8952246e+16,5.9094511e+16,1.815108e+21,0,7.3064901e+18,2.3049167e+18,4.32e+12,3.9075019e+16,8.2727873e+17,2.4813966e+18,6.520302e+20,0,372222.39,308325.7,680548.09,0,1.35e+21,30.835653,6.7045569e-09,30.835653,0,0,1.6378786e+08,-1.0207139e+12,1.0306028e+10,-1.4612076e+11,-4.6101914e+10,-1.6547213e+10,-4.9625079e+10,8.2736065e+08,2.481254e+09,3.8964223e+10,3.8964223e+10,2.3318341e+11,1.4573963e+10,7207881.5
8000,40,0,1.617198e+08,6.3663402e+16,8.5336946e+16,1.8064353e+21,0,8.1082821e+18,1.9790687e+18,4.32e+12,3.9464072e+16,6.7872628e+17,2.7439867e+18,6.6007319e+20,0,607472.7,453165.21,1060637.9,0,1.35e+21,45.321053,3.9676088e-08,45.321053,0,0,1.5323758e+08,-7.3203437e+11,9.991907e+09,-1.6215859e+11,-3.9584333e+10,-1.3575868e+10,-5.487733e+10,6.787934e+08,2.7438665e+09,4.0799351e+10,4.0799351e+10,2.2660825e+11,1.4163016e+10,9590510.4
10000,50,0,1.8563316e+08,7.8101226e+16,1.140101e+17,1.8001741e+21,0,8.7258205e+18,1.7092261e+18,4.32e+12,3.9599652e+16,5.5700964e+17,2.9635679e+18,6.6584702e+20,0,905036.03,619945.7,1524981.7,0,1.35e+21,62.00077,1.2040421e-07,62.00077,0,0,1.4336773e+08,-5.3223442e+11,9.6350292e+09,-1.7451106e+11,-3.4186977e+10,-1.1141293e+10,-5.9269365e+10,5.5706464e+08,2.9634682e+09,4.2167679e+10,4.2167679e+10,2.1967096e+11,1.3729435e+10,12275906
12000,60,0,2.0876891e+08,9.2473589e+16,1.4470438e+17,1.7955952e+21,0,9.1870488e+18,1.4849381e+18,4.32e+12,3.953318e+16,4.5727025e+17,3.1438414e+18,6.7006484e+20,0,1267301.6,809815.7,2077117.3,0,1.35e+21,80.989669,-5.9682748e-09,80.989669,0,0,1.3413441e+08,-3.9164141e+11,9.2534893e+09,-1.8373706e+11,-2.9700807e+10,-9.1463064e+09,-6.2875209e+10,4.5731532e+08,3.1437604e+09,4.3126481e+10,4.3126481e+10,2.1266527e+11,1.3291579e+10,15231067
14000,70,0,2.3089562e+08,1.0693451e+17,1.7704782e+17,1.792209e+21,0,9.517133e+18,1.2977878e+18,4.32e+12,3.9305684e+16,3.7552989e+17,3.2886675e+18,6.7319977e+20,0,1695676.4,1024089.4,2719765.8,0,1.35e+21,102.41918,0,102.41918,0,9.765625e-08,1.2549658e+08,-2.9113695e+11,8.8603992e+09,-1.9033994e+11,-2.5957465e+10,-7.5113366e+09,-6.5772066e+10,3.7556683e+08,3.2886033e+09,4.3732482e+10,4.3732482e+10,2.0576777e+11,1.2860486e+10,18421604
16000,80,0,2.5185928e+08,1.2159544e+17,2.1070668e+17,1.7896815e+21,0,9.7382335e+18,1.1409851e+18,4.32e+12,3.8950506e+16,3.0853113e+17,3.4018752e+18,6.7557005e+20,0,2190745.3,1264143.2,3454888.6,0,1.35e+21,126.42697,0,126.42697,0,9.765625e-08,1.1741582e+08,-2.1820849e+11,8.4652808e+09,-1.9476294e+11,-2.2821137e+10,-6.1712282e+09,-6.8036518e+10,3.0856141e+08,3.4018259e+09,4.4039029e+10,4.4039029e+10,1.9908277e+11,1.2442673e+10,21813512
18000,90,0,2.7156827e+08,1.3653441e+17,2.4538454e+17,1.7877812e+21,0,9.8695698e+18,1.0090442e+18,4.32e+12,3.8495085e+16,2.5360668e+17,3.4871463e+18,6.7739251e+20,0,2752417.5,1531344.3,4283761.7,0,1.35e+21,153.14974,-2.1584071e-08,153.14974,0,0,1.0985622e+08,-1.6454198e+11,8.0750116e+09,-1.9739047e+11,-2.0182095e+10,-5.0726301e+09,-6.9742202e+10,2.536315e+08,3.4871101e+09,4.4094746e+10,4.4094746e+10,1.9266948e+11,1.2041842e+10,25374412
