iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137358,1.7515149e+16,1.5699458e+16,1.8447045e+21,0,5.0301928e+18,3.179844e+18,4.32e+12,3.7251652e+16,1.2299394e+18,1.8152258e+18,6.2417179e+20,0,1708188.7,1905746.9,3613935.7,0,1.35e+21,190.59375,4.7139253e-08,190.59375,0,0,1.8712053e+08,-2.0802236e+12,1.0695039e+10,-1.0058994e+11,-6.3602171e+10,-2.460123e+10,-3.6300696e+10,1.2300615e+09,1.8150348e+09,3.3698341e+10,3.3698341e+10,2.4298529e+11,1.518658e+10,3460602.2
4000,20,0,1.1297316e+08,3.3654236e+16,3.5691137e+16,1.827297e+21,0,6.2905073e+18,2.6997788e+18,4.32e+12,3.837005e+16,1.0086008e+18,2.1726182e+18,6.4062748e+20,0,4567502.5,4306716.1,8874218.6,0,1.35e+21,430.71468,-4.1460964e-08,430.71468,0,0,1.7506546e+08,-1.4450795e+12,1.0553194e+10,-1.2579881e+11,-5.3999921e+10,-2.0174015e+10,-4.3449035e+10,1.0087008e+09,2.1724517e+09,3.6609974e+10,3.6609974e+10,2.3891069e+11,1.4931918e+10,5157215.7
6000,30,0,1.3735535e+08,4.8859578e+16,5.8997171e+16,1.815108e+21,0,7.3064928e+18,2.3049357e+18,4.32e+12,3.9081728e+16,8.2727873e+17,2.481536e+18,6.5203022e+20,0,8679927.4,7188138,15868065,0,1.35e+21,718.88569,-2.8173758e-08,718.88569,0,0,1.6378786e+08,-1.0207135e+12,1.0307797e+10,-1.4612082e+11,-4.6102294e+10,-1.6547213e+10,-4.9627867e+10,8.2736066e+08,2.4813933e+09,3.8964562e+10,3.8964562e+10,2.3318341e+11,1.4573963e+10,7207939.8
8000,40,0,1.6172225e+08,6.3486269e+16,8.5133446e+16,1.8064353e+21,0,8.1082888e+18,1.9791045e+18,4.32e+12,3.9474672e+16,6.7872629e+17,2.7442576e+18,6.6007324e+20,0,14155313,10555435,24710748,0,1.35e+21,1055.6491,1.2991677e-08,1055.6491,0,0,1.5323758e+08,-7.3203343e+11,9.9945902e+09,-1.6215873e+11,-3.9585048e+10,-1.3575868e+10,-5.4882745e+10,6.7879342e+08,2.7441373e+09,4.080001e+10,4.080001e+10,2.2660827e+11,1.4163017e+10,9590655.3
10000,50,0,1.8563776e+08,7.780508e+16,1.1364278e+17,1.8001742e+21,0,8.7258341e+18,1.7092846e+18,4.32e+12,3.9615062e+16,5.5700966e+17,2.9640254e+18,6.6584712e+20,0,21071429,14425584,35497013,0,1.35e+21,1442.7026,5.3018766e-08,1442.7026,0,0,1.4336773e+08,-5.322326e+11,9.638778e+09,-1.7451133e+11,-3.4188147e+10,-1.1141293e+10,-5.9278513e+10,5.5706466e+08,2.9639256e+09,4.2168793e+10,4.2168793e+10,2.1967099e+11,1.3729437e+10,12276210
12000,60,0,2.0877676e+08,9.2019001e+16,1.4410212e+17,1.7955953e+21,0,9.1870728e+18,1.4850256e+18,4.32e+12,3.9554368e+16,4.5727028e+17,3.1445479e+18,6.7006501e+20,0,29478021,18822429,48300449,0,1.35e+21,1882.4311,-2.6624775e-08,1882.4311,0,0,1.3413441e+08,-3.9163834e+11,9.2584479e+09,-1.8373754e+11,-2.9702555e+10,-9.1463071e+09,-6.2889336e+10,4.5731535e+08,3.1444668e+09,4.3128202e+10,4.3128202e+10,2.1266532e+11,1.3291583e+10,15231640
14000,70,0,2.3090807e+08,1.0627694e+17,1.7612577e+17,1.7922091e+21,0,9.5171719e+18,1.2979105e+18,4.32e+12,3.9333655e+16,3.7552993e+17,3.289692e+18,6.7320005e+20,0,39400793,23773258,63174051,0,1.35e+21,2377.5636,0,2377.5636,0,9.765625e-08,1.2549658e+08,-2.9113217e+11,8.8667036e+09,-1.9034072e+11,-2.5959919e+10,-7.5113375e+09,-6.5792553e+10,3.7556688e+08,3.2896276e+09,4.3734978e+10,4.3734978e+10,2.0576786e+11,1.2860491e+10,18422597
16000,80,0,2.5187798e+08,1.2068496e+17,2.0936618e+17,1.7896816e+21,0,9.7382926e+18,1.1411495e+18,4.32e+12,3.8986292e+16,3.0853119e+17,3.4032926e+18,6.7557048e+20,0,50845180,29306360,80151540,0,1.35e+21,2930.9291,0,2930.9291,0,9.765625e-08,1.1741582e+08,-2.1820149e+11,8.4730574e+09,-1.9476412e+11,-2.2824425e+10,-6.1712294e+09,-6.8064861e+10,3.0856147e+08,3.4032431e+09,4.4042481e+10,4.4042481e+10,1.990829e+11,1.2442681e+10,21815132
18000,90,0,2.7159516e+08,1.3531549e+17,2.4351318e+17,1.7877815e+21,0,9.869655e+18,1.0092567e+18,4.32e+12,3.8539739e+16,2.5360675e+17,3.4890369e+18,6.7739314e+20,0,63799795,35449325,99249120,0,1.35e+21,3545.2871,4.8442416e-08,3545.2871,0,0,1.0985622e+08,-1.645322e+11,8.0843776e+09,-1.9739218e+11,-2.0186344e+10,-5.0726316e+09,-6.9780009e+10,2.5363158e+08,3.4890004e+09,4.409935e+10,4.409935e+10,1.9266966e+11,1.2041854e+10,25376925
20000,100,0,2.9001766e+08,1.5021475e+17,2.782923e+17,1.7863459e+21,0,9.9277481e+18,8.9779321e+17,4.32e+12,3.8016766e+16,2.0857252e+17,3.5503961e+18,6.7881768e+20,0,78239539,42227932,1.2046747e+08,0,1.35e+21,4223.2155,-7.2213879e-09,4223.2155,0,0,1.0278416e+08,-1.2451821e+11,7.7055547e+09,-1.985547e+11,-1.7956889e+10,-4.1718576e+09,-7.1007419e+10,2.0859288e+08,3.550371e+09,4.3949001e+10,4.3949001e+10,1.8655903e+11,1.165994e+10,29078114
22000,110,0,3.0714179e+08,1.6540884e+17,3.1346258e+17,1.7852587e+21,0,9.9266027e+18,8.0316197e+17,4.32e+12,3.7436338e+16,1.7164001e+17,3.590588e+18,6.7994862e+20,0,94128353,49665448,1.437938e+08,0,1.35e+21,4967.0415,4.3603904e-08,4967.0415,0,0,96168198,-9.4325117e+10,7.3399872e+09,-1.9853232e+11,-1.6064112e+10,-3.4331342e+09,-7.1811453e+10,1.7165671e+08,3.5905726e+09,4.3629629e+10,4.3629629e+10,1.807641e+11,1.1297756e+10,32891790
24000,120,0,3.2299297e+08,1.8090857e+17,3.4881402e+17,1.7844357e+21,0,9.8780804e+18,7.2244316e+17,4.32e+12,3.6814271e+16,1.4134466e+17,3.6125605e+18,6.8085983e+20,0,1.1142163e+08,57782256,1.6920388e+08,0,1.35e+21,5778.8035,1.3288627e-08,5778.8035,0,0,89978920,-7.1293588e+10,6.9899417e+09,-1.975623e+11,-1.4449609e+10,-2.8271672e+09,-7.2251073e+10,1.4135836e+08,3.6125537e+09,4.3174457e+10,4.3174457e+10,1.7528672e+11,1.095542e+10,36794257
26000,130,0,3.3761812e+08,1.9671334e+17,3.8416503e+17,1.7838153e+21,0,9.7921544e+18,6.532626e+17,4.32e+12,3.6163749e+16,1.1648713e+17,3.6189888e+18,6.8160414e+20,0,1.3006827e+08,66595711,1.9666398e+08,0,1.35e+21,6660.2371,-2.618799e-08,6660.2371,0,0,84188806,-5.3554134e+10,6.6568262e+09,-1.9584411e+11,-1.3065893e+10,-2.3299673e+09,-7.2379782e+10,1.1649837e+08,3.6189891e+09,4.2612126e+10,4.2612126e+10,1.7012173e+11,1.0632608e+10,40765110
28000,140,0,3.5107951e+08,2.1281428e+17,4.1935975e+17,1.7833516e+21,0,9.6771692e+18,5.9368611e+17,4.32e+12,3.5495731e+16,9.6085225e+16,3.6122805e+18,6.8221976e+20,0,1.5001251e+08,76120153,2.2613266e+08,0,1.35e+21,7612.7766,1.2442524e-07,7612.7766,0,0,78772115,-3.9775056e+10,6.3413997e+09,-1.9354466e+11,-1.1874276e+10,-1.9218891e+09,-7.2245736e+10,96094454,3.6122868e+09,4.1967143e+10,4.1967143e+10,1.652597e+11,1.0328732e+10,44787185
30000,150,0,3.6344984e+08,2.2919665e+17,4.5426552e+17,1.7830099e+21,0,9.5400746e+18,5.421346e+17,4.32e+12,3.4819292e+16,7.9334593e+16,3.5945874e+18,6.8273465e+20,0,1.7119538e+08,86367041,2.5756242e+08,0,1.35e+21,8637.5678,2.6546331e-08,8637.5678,0,0,73704762,-2.8995475e+10,6.0439337e+09,-1.9080295e+11,-1.0843172e+10,-1.5868434e+09,-7.1891973e+10,79342171,3.5945986e+09,4.1260329e+10,4.1260329e+10,1.6068869e+11,1.0043043e+10,48846418
32000,160,0,3.7480832e+08,2.458418e+17,4.8877048e+17,1.7827641e+21,0,9.3866325e+18,4.9731594e+17,4.32e+12,3.41419e+16,6.5576451e+16,3.5678202e+18,6.8316952e+20,0,1.9355597e+08,97345147,2.9090111e+08,0,1.35e+21,9735.4882,-1.8148057e-08,9735.4882,0,0,68964219,-2.0513357e+10,5.7643382e+09,-1.8773425e+11,-9.946737e+09,-1.3116535e+09,-7.1356711e+10,65582677,3.5678355e+09,4.0509262e+10,4.0509262e+10,1.5639534e+11,9.7747086e+09,52931650
34000,170,0,3.852375e+08,2.6272863e+17,5.2278123e+17,1.7825938e+21,0,9.2215971e+18,4.5817008e+17,4.32e+12,3.3469659e+16,5.4271241e+16,3.5336656e+18,6.835399e+20,0,2.170325e+08,1.0906081e+08,3.260933e+08,0,1.35e+21,10907.171,0,10907.171,0,9.765625e-08,64529407,-1.3809542e+10,5.5022593e+09,-1.8443364e+11,-9.1637677e+09,-1.0855272e+09,-7.0673686e+10,54276358,3.5336843e+09,3.9728684e+10,3.9728684e+10,1.5236569e+11,9.5228554e+09,57034382
