iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137288,1.7523865e+16,1.5706599e+16,1.8447045e+21,0,5.0301927e+18,3.1798423e+18,4.32e+12,3.7250206e+16,1.2299394e+18,1.8152139e+18,6.2417179e+20,0,72096.97,80438.685,152535.65,0,1.35e+21,8.0446729,8.7051285e-08,8.0446729,0,0,1.8712053e+08,-2.0802236e+12,1.0694624e+10,-1.0058993e+11,-6.3602137e+10,-2.460123e+10,-3.6300458e+10,1.2300615e+09,1.8150229e+09,3.3698312e+10,3.3698312e+10,2.4298529e+11,1.518658e+10,3460599.5
4000,20,0,1.1297278e+08,3.3692318e+16,3.5727082e+16,1.827297e+21,0,6.2905065e+18,2.699771e+18,4.32e+12,3.8366369e+16,1.0086008e+18,2.1725624e+18,6.4062748e+20,0,192885.51,181895.12,374780.63,0,1.35e+21,18.191331,-2.8703919e-08,18.191331,0,0,1.7506546e+08,-1.4450796e+12,1.0552182e+10,-1.257988e+11,-5.3999764e+10,-2.0174015e+10,-4.344792e+10,1.0087008e+09,2.172396e+09,3.6609839e+10,3.6609839e+10,2.3891069e+11,1.4931918e+10,5157198.1
6000,30,0,1.3735424e+08,4.8952306e+16,5.9094575e+16,1.815108e+21,0,7.3064901e+18,2.3049167e+18,4.32e+12,3.9075015e+16,8.2727873e+17,2.4813965e+18,6.520302e+20,0,366788.88,303824.97,670613.85,0,1.35e+21,30.385535,0,30.385535,0,9.765625e-08,1.6378786e+08,-1.0207139e+12,1.0306027e+10,-1.4612076e+11,-4.6101914e+10,-1.6547213e+10,-4.9625077e+10,8.2736065e+08,2.4812539e+09,3.8964223e+10,3.8964223e+10,2.3318341e+11,1.4573963e+10,7207881.4
8000,40,0,1.617198e+08,6.3663518e+16,8.5337079e+16,1.8064353e+21,0,8.1082821e+18,1.9790687e+18,4.32e+12,3.9464065e+16,6.7872628e+17,2.7439866e+18,6.6007319e+20,0,598605.42,446550.47,1045155.9,0,1.35e+21,44.659513,3.5964824e-08,44.659513,0,0,1.5323758e+08,-7.3203437e+11,9.9919052e+09,-1.6215859e+11,-3.9584332e+10,-1.3575868e+10,-5.4877326e+10,6.787934e+08,2.7438663e+09,4.0799351e+10,4.0799351e+10,2.2660825e+11,1.4163016e+10,9590510.3
10000,50,0,1.8563315e+08,7.810142e+16,1.1401034e+17,1.8001741e+21,0,8.7258205e+18,1.7092261e+18,4.32e+12,3.9599642e+16,5.5700964e+17,2.9635676e+18,6.6584702e+20,0,891825.71,610896.91,1502722.6,0,1.35e+21,61.095801,1.3870802e-07,61.095801,0,0,1.4336773e+08,-5.3223442e+11,9.6350267e+09,-1.7451106e+11,-3.4186976e+10,-1.1141293e+10,-5.9269359e+10,5.5706464e+08,2.9634679e+09,4.2167678e+10,4.2167678e+10,2.1967096e+11,1.3729435e+10,12275906
12000,60,0,2.087689e+08,9.2473887e+16,1.4470477e+17,1.7955952e+21,0,9.1870488e+18,1.4849381e+18,4.32e+12,3.9533167e+16,4.5727025e+17,3.1438409e+18,6.7006484e+20,0,1248804.3,797996.14,2046800.4,0,1.35e+21,79.807595,1.6336344e-08,79.807595,0,0,1.3413441e+08,-3.9164141e+11,9.253486e+09,-1.8373706e+11,-2.9700806e+10,-9.1463064e+09,-6.28752e+10,4.5731532e+08,3.14376e+09,4.312648e+10,4.312648e+10,2.1266527e+11,1.3291579e+10,15231066
14000,70,0,2.3089561e+08,1.0693495e+17,1.7704842e+17,1.792209e+21,0,9.5171329e+18,1.2977877e+18,4.32e+12,3.9305666e+16,3.7552989e+17,3.2886668e+18,6.7319977e+20,0,1670927.7,1009143.3,2680071,0,1.35e+21,100.92442,0,100.92442,0,9.765625e-08,1.2549658e+08,-2.9113695e+11,8.8603951e+09,-1.9033994e+11,-2.5957464e+10,-7.5113366e+09,-6.5772053e+10,3.7556683e+08,3.2886027e+09,4.373248e+10,4.373248e+10,2.0576777e+11,1.2860486e+10,18421603
16000,80,0,2.5185927e+08,1.2159604e+17,2.1070756e+17,1.7896815e+21,0,9.7382335e+18,1.140985e+18,4.32e+12,3.8950482e+16,3.0853113e+17,3.4018743e+18,6.7557005e+20,0,2158772.6,1245694.7,3404467.4,0,1.35e+21,124.58193,2.5936401e-08,124.58193,0,0,1.1741582e+08,-2.182085e+11,8.4652757e+09,-1.9476294e+11,-2.2821135e+10,-6.1712282e+09,-6.8036499e+10,3.0856141e+08,3.401825e+09,4.4039026e+10,4.4039026e+10,1.9908277e+11,1.2442673e+10,21813511
18000,90,0,2.7156825e+08,1.3653521e+17,2.4538577e+17,1.7877812e+21,0,9.8695697e+18,1.0090441e+18,4.32e+12,3.8495055e+16,2.5360668e+17,3.4871451e+18,6.7739251e+20,0,2712249.7,1508997.7,4221247.5,0,1.35e+21,150.91487,9.7644204e-09,150.91487,0,0,1.0985622e+08,-1.6454199e+11,8.0750054e+09,-1.9739047e+11,-2.0182092e+10,-5.0726301e+09,-6.9742177e+10,2.536315e+08,3.4871089e+09,4.4094743e+10,4.4094743e+10,1.9266948e+11,1.2041842e+10,25374410
20000,100,0,2.8998026e+08,1.5180457e+17,2.8082207e+17,1.7863455e+21,0,9.9276298e+18,8.9752632e+17,4.32e+12,3.7962145e+16,2.0857243e+17,3.5479458e+18,6.788168e+20,0,3330732.8,1800344.1,5131076.9,0,1.35e+21,180.05241,5.7778493e-09,180.05241,0,0,1.0278416e+08,-1.2453139e+11,7.6944847e+09,-1.9855233e+11,-1.7951552e+10,-4.1718557e+09,-7.0958419e+10,2.0859279e+08,3.5479209e+09,4.3943037e+10,4.3943037e+10,1.8655879e+11,1.1659924e+10,29074364
22000,110,0,3.0709132e+08,1.674363e+17,3.1678865e+17,1.7852582e+21,0,9.926444e+18,8.0283478e+17,4.32e+12,3.7370712e+16,1.7163989e+17,3.5874903e+18,6.7994741e+20,0,4013172.5,2120941.4,6134113.9,0,1.35e+21,212.11535,5.6514864e-09,212.11535,0,0,96168198,-9.4342338e+10,7.3271214e+09,-1.9852915e+11,-1.6057569e+10,-3.4331318e+09,-7.1749506e+10,1.7165659e+08,3.5874753e+09,4.3622092e+10,4.3622092e+10,1.8076378e+11,1.1297736e+10,32886385
24000,120,0,3.229265e+08,1.8344748e+17,3.5308828e+17,1.784435e+21,0,9.8778733e+18,7.220499e+17,4.32e+12,3.6736577e+16,1.4134452e+17,3.6087234e+18,6.8085822e+20,0,4758195.5,2471897.8,7230093.3,0,1.35e+21,247.21451,2.839235e-08,247.21451,0,0,89978920,-7.1315544e+10,6.9751912e+09,-1.9755815e+11,-1.4441745e+10,-2.8271643e+09,-7.2174337e+10,1.4135822e+08,3.6087169e+09,4.3165125e+10,4.3165125e+10,1.752863e+11,1.0955394e+10,36786684
26000,130,0,3.3753239e+08,1.99844e+17,3.8955156e+17,1.7838144e+21,0,9.7918901e+18,6.5279778e+17,4.32e+12,3.6072932e+16,1.1648695e+17,3.6143176e+18,6.8160205e+20,0,5564189.2,2854216.6,8418405.8,0,1.35e+21,285.45021,1.2823904e-07,285.45021,0,0,84188806,-5.3581552e+10,6.6401106e+09,-1.9583882e+11,-1.3056597e+10,-2.3299639e+09,-7.2286366e+10,1.1649819e+08,3.6143183e+09,4.2600772e+10,4.2600772e+10,1.7012121e+11,1.0632575e+10,40754758
28000,140,0,3.5097094e+08,2.1662354e+17,4.2603435e+17,1.7833503e+21,0,9.6768385e+18,5.9314455e+17,4.32e+12,3.5390751e+16,9.6085022e+16,3.6066787e+18,6.8221709e+20,0,6429374.5,3268796.6,9698171.1,0,1.35e+21,326.91235,-3.5897415e-08,326.91235,0,0,78772115,-3.9808694e+10,6.3226463e+09,-1.9353804e+11,-1.1863445e+10,-1.921885e+09,-7.213371e+10,96094251,3.6066855e+09,4.1953534e+10,4.1953534e+10,1.6525906e+11,1.0328691e+10,44773335
30000,150,0,3.6331455e+08,2.3377807e+17,4.6241511e+17,1.7830083e+21,0,9.539668e+18,5.4151143e+17,4.32e+12,3.4699126e+16,7.9334356e+16,3.5879574e+18,6.8273131e+20,0,7351866.6,3716437.8,11068304,0,1.35e+21,371.68095,0,371.68095,0,9.765625e-08,73704762,-2.9036118e+10,6.023077e+09,-1.9079482e+11,-1.0830709e+10,-1.5868387e+09,-7.1759384e+10,79341934,3.5879692e+09,4.1244231e+10,4.1244231e+10,1.606879e+11,1.0042994e+10,48828235
32000,160,0,3.7464207e+08,2.512957e+17,4.9859251e+17,1.782762e+21,0,9.3861399e+18,4.966066e+17,4.32e+12,3.4005548e+16,6.5576177e+16,3.5600637e+18,6.831654e+20,0,8329725,4197850.4,12527575,0,1.35e+21,419.82702,8.2209795e-09,419.82702,0,0,68964219,-2.0561814e+10,5.741319e+09,-1.877244e+11,-9.9325511e+09,-1.3116481e+09,-7.1201593e+10,65582403,3.5600796e+09,4.0490439e+10,4.0490439e+10,1.5639439e+11,9.7746496e+09,52908172
