iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137336,1.7517935e+16,1.5701741e+16,1.8447045e+21,0,5.0301928e+18,3.1798435e+18,4.32e+12,3.725119e+16,1.2299394e+18,1.815222e+18,6.2417179e+20,0,1185228.1,1322322.1,2507550.3,0,1.35e+21,132.24544,-4.3599186e-08,132.24544,0,0,1.8712053e+08,-2.0802236e+12,1.0694906e+10,-1.0058994e+11,-6.360216e+10,-2.460123e+10,-3.630062e+10,1.2300615e+09,1.815031e+09,3.3698332e+10,3.3698332e+10,2.4298529e+11,1.518658e+10,3460601.3
4000,20,0,1.1297304e+08,3.3666407e+16,3.5702625e+16,1.827297e+21,0,6.290507e+18,2.6997763e+18,4.32e+12,3.8368874e+16,1.0086008e+18,2.1726004e+18,6.4062748e+20,0,3169724.4,2988864.4,6158588.9,0,1.35e+21,298.91633,-3.5426297e-08,298.91633,0,0,1.7506546e+08,-1.4450796e+12,1.0552871e+10,-1.2579881e+11,-5.3999871e+10,-2.0174015e+10,-4.3448678e+10,1.0087008e+09,2.1724339e+09,3.6609931e+10,3.6609931e+10,2.3891069e+11,1.4931918e+10,5157210.1
6000,30,0,1.3735499e+08,4.8889203e+16,5.9028291e+16,1.815108e+21,0,7.306492e+18,2.3049297e+18,4.32e+12,3.9079584e+16,8.2727873e+17,2.4814914e+18,6.5203021e+20,0,6024875.3,4989793.7,11014669,0,1.35e+21,499.02927,3.9618158e-08,499.02927,0,0,1.6378786e+08,-1.0207136e+12,1.0307232e+10,-1.461208e+11,-4.6102173e+10,-1.6547213e+10,-4.9626976e+10,8.2736066e+08,2.4813488e+09,3.8964453e+10,3.8964453e+10,2.3318341e+11,1.4573963e+10,7207921.1
8000,40,0,1.6172146e+08,6.3542875e+16,8.5198484e+16,1.8064353e+21,0,8.1082866e+18,1.979093e+18,4.32e+12,3.9471286e+16,6.7872629e+17,2.744171e+18,6.6007323e+20,0,9827749.1,7329361.1,17157110,0,1.35e+21,733.00941,2.449508e-08,733.00941,0,0,1.5323758e+08,-7.3203373e+11,9.9937332e+09,-1.6215868e+11,-3.958482e+10,-1.3575868e+10,-5.4881015e+10,6.7879341e+08,2.7440507e+09,4.07998e+10,4.07998e+10,2.2660826e+11,1.4163017e+10,9590609
10000,50,0,1.8563629e+08,7.7899678e+16,1.1376013e+17,1.8001742e+21,0,8.7258298e+18,1.7092659e+18,4.32e+12,3.9610143e+16,5.5700965e+17,2.9638792e+18,6.6584709e+20,0,14633397,10019915,24653312,0,1.35e+21,1002.0917,1.0993529e-07,1002.0917,0,0,1.4336773e+08,-5.3223318e+11,9.6375813e+09,-1.7451125e+11,-3.4187773e+10,-1.1141293e+10,-5.927559e+10,5.5706466e+08,2.9637795e+09,4.2168437e+10,4.2168437e+10,2.1967098e+11,1.3729436e+10,12276113
12000,60,0,2.0877425e+08,9.2164141e+16,1.4429445e+17,1.7955953e+21,0,9.1870651e+18,1.4849976e+18,4.32e+12,3.9547609e+16,4.5727027e+17,3.1443223e+18,6.7006495e+20,0,20477668,13078654,33556322,0,1.35e+21,1307.9962,4.5706201e-08,1307.9962,0,0,1.3413441e+08,-3.9163932e+11,9.2568661e+09,-1.8373739e+11,-2.9701997e+10,-9.1463068e+09,-6.2884826e+10,4.5731534e+08,3.1442413e+09,4.3127653e+10,4.3127653e+10,2.126653e+11,1.3291581e+10,15231457
14000,70,0,2.309041e+08,1.0648678e+17,1.7642008e+17,1.7922091e+21,0,9.5171595e+18,1.2978713e+18,4.32e+12,3.9324739e+16,3.7552992e+17,3.2893651e+18,6.7319996e+20,0,27379972,16525259,43905231,0,1.35e+21,1652.6911,0,1652.6911,0,9.765625e-08,1.2549658e+08,-2.911337e+11,8.864694e+09,-1.9034047e+11,-2.5959136e+10,-7.5113372e+09,-6.5786015e+10,3.7556686e+08,3.2893008e+09,4.3734181e+10,4.3734181e+10,2.0576783e+11,1.2860489e+10,18422280
16000,80,0,2.5187202e+08,1.2097534e+17,2.0979385e+17,1.7896816e+21,0,9.7382738e+18,1.1410971e+18,4.32e+12,3.8974894e+16,3.0853117e+17,3.4028406e+18,6.7557034e+20,0,35345889,20380201,55726090,0,1.35e+21,2038.2239,-3.4943014e-08,2038.2239,0,0,1.1741582e+08,-2.1820373e+11,8.4705806e+09,-1.9476374e+11,-2.2823376e+10,-6.171229e+09,-6.8055823e+10,3.0856145e+08,3.4027911e+09,4.404138e+10,4.404138e+10,1.9908286e+11,1.2442679e+10,21814615
18000,90,0,2.7158659e+08,1.35704e+17,2.4410987e+17,1.7877814e+21,0,9.8696278e+18,1.009189e+18,4.32e+12,3.8525529e+16,2.5360673e+17,3.4884344e+18,6.7739294e+20,0,44369553,24663573,69033126,0,1.35e+21,2466.604,-3.1719992e-08,2466.604,0,0,1.0985622e+08,-1.6453532e+11,8.0813971e+09,-1.9739163e+11,-2.0184989e+10,-5.0726311e+09,-6.976796e+10,2.5363156e+08,3.488398e+09,4.4097882e+10,4.4097882e+10,1.926696e+11,1.204185e+10,25376124
