iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137292,1.7523348e+16,1.5706176e+16,1.8447045e+21,0,5.0301927e+18,3.1798424e+18,4.32e+12,3.7250292e+16,1.2299394e+18,1.8152146e+18,6.2417179e+20,0,169022.79,188578.47,357601.27,0,1.35e+21,18.859733,2.4010216e-08,18.859733,0,0,1.8712053e+08,-2.0802236e+12,1.0694648e+10,-1.0058993e+11,-6.3602139e+10,-2.460123e+10,-3.6300472e+10,1.2300615e+09,1.8150236e+09,3.3698314e+10,3.3698314e+10,2.4298529e+11,1.518658e+10,3460599.6
4000,20,0,1.129728e+08,3.3690062e+16,3.5724952e+16,1.827297e+21,0,6.2905065e+18,2.6997714e+18,4.32e+12,3.8366587e+16,1.0086008e+18,2.1725657e+18,6.4062748e+20,0,452182.42,426414.44,878596.86,0,1.35e+21,42.645709,4.0047446e-08,42.645709,0,0,1.7506546e+08,-1.4450796e+12,1.0552242e+10,-1.257988e+11,-5.3999773e+10,-2.0174015e+10,-4.3447986e+10,1.0087008e+09,2.1723993e+09,3.6609847e+10,3.6609847e+10,2.3891069e+11,1.4931918e+10,5157199.2
6000,30,0,1.373543e+08,4.8946809e+16,5.9088801e+16,1.815108e+21,0,7.3064903e+18,2.3049178e+18,4.32e+12,3.9075413e+16,8.2727873e+17,2.4814048e+18,6.520302e+20,0,859832.15,712220.79,1572052.9,0,1.35e+21,71.229202,0,71.229202,0,9.765625e-08,1.6378786e+08,-1.0207138e+12,1.0306132e+10,-1.4612077e+11,-4.6101936e+10,-1.6547213e+10,-4.9625243e+10,8.2736065e+08,2.4812621e+09,3.8964243e+10,3.8964243e+10,2.3318341e+11,1.4573963e+10,7207884.9
8000,40,0,1.6171995e+08,6.3653005e+16,8.5325003e+16,1.8064353e+21,0,8.1082825e+18,1.9790708e+18,4.32e+12,3.9464695e+16,6.7872628e+17,2.7440026e+18,6.600732e+20,0,1403198.6,1046739.9,2449938.5,0,1.35e+21,104.68446,2.3088944e-09,104.68446,0,0,1.5323758e+08,-7.3203432e+11,9.9920646e+09,-1.621586e+11,-3.9584375e+10,-1.3575868e+10,-5.4877648e+10,6.7879341e+08,2.7438824e+09,4.079939e+10,4.079939e+10,2.2660825e+11,1.4163016e+10,9590518.9
10000,50,0,1.8563343e+08,7.8083832e+16,1.1398853e+17,1.8001741e+21,0,8.7258213e+18,1.7092295e+18,4.32e+12,3.9600558e+16,5.5700964e+17,2.9635948e+18,6.6584703e+20,0,2090435.9,1431891.4,3522327.3,0,1.35e+21,143.20346,1.1320134e-07,143.20346,0,0,1.4336773e+08,-5.3223431e+11,9.6352496e+09,-1.7451108e+11,-3.4187046e+10,-1.1141293e+10,-5.9269902e+10,5.5706464e+08,2.9634951e+09,4.2167744e+10,4.2167744e+10,2.1967096e+11,1.3729435e+10,12275924
12000,60,0,2.0876937e+08,9.2446872e+16,1.4466899e+17,1.7955952e+21,0,9.1870502e+18,1.4849433e+18,4.32e+12,3.9534427e+16,4.5727025e+17,3.1438829e+18,6.7006485e+20,0,2927028.4,1870311.1,4797339.5,0,1.35e+21,187.04982,1.5305034e-08,187.04982,0,0,1.3413441e+08,-3.9164123e+11,9.2537811e+09,-1.8373709e+11,-2.970091e+10,-9.1463064e+09,-6.2876039e+10,4.5731532e+08,3.143802e+09,4.3126582e+10,4.3126582e+10,2.1266527e+11,1.3291579e+10,15231100
14000,70,0,2.3089635e+08,1.0689584e+17,1.7699361e+17,1.792209e+21,0,9.5171353e+18,1.297795e+18,4.32e+12,3.9307332e+16,3.7552989e+17,3.2887278e+18,6.7319979e+20,0,3916184.5,2365015.2,6281199.7,0,1.35e+21,236.52517,0,236.52517,0,9.765625e-08,1.2549658e+08,-2.9113667e+11,8.8607706e+09,-1.9033998e+11,-2.595761e+10,-7.5113367e+09,-6.5773271e+10,3.7556683e+08,3.2886636e+09,4.3732629e+10,4.3732629e+10,2.0576778e+11,1.2860486e+10,18421662
16000,80,0,2.5186038e+08,1.2154185e+17,2.1062782e+17,1.7896815e+21,0,9.738237e+18,1.1409947e+18,4.32e+12,3.8952616e+16,3.0853113e+17,3.4019587e+18,6.7557008e+20,0,5059207.2,2919160.7,7978367.9,0,1.35e+21,291.94526,-2.0700895e-08,291.94526,0,0,1.1741582e+08,-2.1820808e+11,8.4657394e+09,-1.9476301e+11,-2.282133e+10,-6.1712283e+09,-6.8038186e+10,3.0856141e+08,3.4019093e+09,4.4039232e+10,4.4039232e+10,1.9908278e+11,1.2442674e+10,21813608
18000,90,0,2.7156985e+08,1.364626e+17,2.4527435e+17,1.7877813e+21,0,9.8695748e+18,1.0090567e+18,4.32e+12,3.8497721e+16,2.5360668e+17,3.4872577e+18,6.7739255e+20,0,6355832,3535880.1,9891712.1,0,1.35e+21,353.62338,-2.3082805e-08,353.62338,0,0,1.0985622e+08,-1.645414e+11,8.0755646e+09,-1.9739057e+11,-2.0182345e+10,-5.0726302e+09,-6.974443e+10,2.5363151e+08,3.4872215e+09,4.4095017e+10,4.4095017e+10,1.9266949e+11,1.2041843e+10,25374560
20000,100,0,2.8998249e+08,1.5170984e+17,2.8067143e+17,1.7863456e+21,0,9.9276369e+18,8.9754222e+17,4.32e+12,3.7965408e+16,2.0857243e+17,3.5480918e+18,6.7881685e+20,0,7804529.5,4218173,12022703,0,1.35e+21,421.85949,-1.7078378e-08,421.85949,0,0,1.0278416e+08,-1.2453061e+11,7.6951461e+09,-1.9855247e+11,-1.795187e+10,-4.1718558e+09,-7.0961339e+10,2.0859279e+08,3.548067e+09,4.3943392e+10,4.3943392e+10,1.8655881e+11,1.1659925e+10,29074588
22000,110,0,3.0709433e+08,1.6731537e+17,3.1659042e+17,1.7852582e+21,0,9.9264535e+18,8.028543e+17,4.32e+12,3.7374638e+16,1.716399e+17,3.5876751e+18,6.7994748e+20,0,9402772.8,4968838.3,14371611,0,1.35e+21,496.93353,-3.0281683e-08,496.93353,0,0,96168198,-9.4341312e+10,7.3278911e+09,-1.9852934e+11,-1.6057959e+10,-3.433132e+09,-7.1753202e+10,1.716566e+08,3.5876601e+09,4.3622542e+10,4.3622542e+10,1.807638e+11,1.1297738e+10,32886707
24000,120,0,3.2293047e+08,1.832959e+17,3.5283328e+17,1.7844351e+21,0,9.8778856e+18,7.2207338e+17,4.32e+12,3.6741232e+16,1.4134453e+17,3.6089526e+18,6.8085832e+20,0,11147269,5790438.8,16937708,0,1.35e+21,579.10179,0,579.10179,0,9.765625e-08,89978920,-7.1314235e+10,6.976075e+09,-1.975584e+11,-1.4442214e+10,-2.8271645e+09,-7.2178921e+10,1.4135822e+08,3.6089461e+09,4.3165683e+10,4.3165683e+10,1.7528633e+11,1.0955395e+10,36787136
26000,130,0,3.3753751e+08,1.9965688e+17,3.8922988e+17,1.7838144e+21,0,9.7919059e+18,6.5282558e+17,4.32e+12,3.6078382e+16,1.1648696e+17,3.614597e+18,6.8160217e+20,0,13034161,6685287.1,19719448,0,1.35e+21,668.59557,9.577434e-08,668.59557,0,0,84188806,-5.3579916e+10,6.6411137e+09,-1.9583914e+11,-1.3057153e+10,-2.3299641e+09,-7.2291953e+10,1.1649821e+08,3.6145977e+09,4.2601451e+10,4.2601451e+10,1.7012124e+11,1.0632577e+10,40755377
28000,140,0,3.5097744e+08,2.1639559e+17,4.2563531e+17,1.7833504e+21,0,9.6768583e+18,5.9317698e+17,4.32e+12,3.5397062e+16,9.6085035e+16,3.6070142e+18,6.8221725e+20,0,15059194,7655448.3,22714642,0,1.35e+21,765.62139,0,765.62139,0,1.953125e-07,78772115,-3.9806685e+10,6.3237737e+09,-1.9353844e+11,-1.1864094e+10,-1.9218853e+09,-7.2140419e+10,96094263,3.607021e+09,4.1954349e+10,4.1954349e+10,1.652591e+11,1.0328694e+10,44774164
30000,150,0,3.6332266e+08,2.3350358e+17,4.6192732e+17,1.7830084e+21,0,9.5396923e+18,5.415488e+17,4.32e+12,3.4706364e+16,7.933437e+16,3.5883551e+18,6.8273151e+20,0,17217862,8702752.3,25920614,0,1.35e+21,870.36227,0,870.36227,0,9.765625e-08,73704762,-2.9033687e+10,6.0243332e+09,-1.9079531e+11,-1.0831457e+10,-1.586839e+09,-7.1767336e+10,79341948,3.5883668e+09,4.1245197e+10,4.1245197e+10,1.6068795e+11,1.0042997e+10,48829325
32000,160,0,3.7465205e+08,2.5096852e+17,4.9800389e+17,1.7827621e+21,0,9.3861694e+18,4.966492e+17,4.32e+12,3.4013777e+16,6.5576194e+16,3.5605297e+18,6.8316564e+20,0,19505524,9828814.1,29334338,0,1.35e+21,982.97971,0,982.97971,0,9.765625e-08,68964219,-2.0558912e+10,5.7427082e+09,-1.8772499e+11,-9.9334031e+09,-1.3116484e+09,-7.1210912e+10,65582420,3.5605456e+09,4.049157e+10,4.049157e+10,1.5639445e+11,9.7746531e+09,52909582
34000,170,0,3.8504793e+08,2.6877571e+17,5.3378089e+17,1.7825913e+21,0,9.2210435e+18,4.5741845e+17,4.32e+12,3.3325427e+16,5.4270946e+16,3.5252247e+18,6.8353517e+20,0,21917503,11035057,32952560,0,1.35e+21,1103.6161,0,1103.6161,0,9.765625e-08,64529407,-1.3863218e+10,5.4785499e+09,-1.8442256e+11,-9.148736e+09,-1.0855213e+09,-7.0504879e+10,54276063,3.525244e+09,3.9708209e+10,3.9708209e+10,1.5236463e+11,9.5227896e+09,57006315
