iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137286,1.7524062e+16,1.5706761e+16,1.8447045e+21,0,5.0301927e+18,3.1798423e+18,4.32e+12,3.7250173e+16,1.2299394e+18,1.8152136e+18,6.2417179e+20,0,34980.742,39028.098,74008.84,0,1.35e+21,3.9032001,1.4021254e-07,3.9032,0,0,1.8712053e+08,-2.0802236e+12,1.0694614e+10,-1.0058993e+11,-6.3602136e+10,-2.460123e+10,-3.6300452e+10,1.2300615e+09,1.8150226e+09,3.3698312e+10,3.3698312e+10,2.4298529e+11,1.518658e+10,3460599.4
4000,20,0,1.1297277e+08,3.3693183e+16,3.5727898e+16,1.827297e+21,0,6.2905065e+18,2.6997708e+18,4.32e+12,3.8366285e+16,1.0086008e+18,2.1725611e+18,6.4062748e+20,0,93587.33,88255.078,181842.41,0,1.35e+21,8.8263905,-4.6199736e-08,8.8263905,0,0,1.7506546e+08,-1.4450797e+12,1.0552159e+10,-1.257988e+11,-5.3999761e+10,-2.0174015e+10,-4.3447894e+10,1.0087008e+09,2.1723947e+09,3.6609836e+10,3.6609836e+10,2.3891069e+11,1.4931918e+10,5157197.7
6000,30,0,1.3735421e+08,4.8954412e+16,5.9096786e+16,1.815108e+21,0,7.30649e+18,2.3049163e+18,4.32e+12,3.9074862e+16,8.2727873e+17,2.4813933e+18,6.520302e+20,0,177967.19,147417.71,325384.9,0,1.35e+21,14.743246,3.9923492e-08,14.743246,0,0,1.6378786e+08,-1.0207139e+12,1.0305987e+10,-1.4612076e+11,-4.6101905e+10,-1.6547213e+10,-4.9625014e+10,8.2736065e+08,2.4812507e+09,3.8964215e+10,3.8964215e+10,2.331834e+11,1.4573963e+10,7207880.1
8000,40,0,1.6171975e+08,6.3667545e+16,8.5341704e+16,1.8064353e+21,0,8.1082819e+18,1.9790678e+18,4.32e+12,3.9463824e+16,6.7872628e+17,2.7439804e+18,6.6007319e+20,0,290450.22,216673.37,507123.59,0,1.35e+21,21.669504,-2.7265457e-08,21.669504,0,0,1.5323758e+08,-7.3203439e+11,9.9918442e+09,-1.6215859e+11,-3.9584316e+10,-1.3575868e+10,-5.4877203e+10,6.787934e+08,2.7438602e+09,4.0799336e+10,4.0799336e+10,2.2660825e+11,1.4163016e+10,9590507
10000,50,0,1.8563305e+08,7.8108156e+16,1.140187e+17,1.8001741e+21,0,8.7258202e+18,1.7092247e+18,4.32e+12,3.9599291e+16,5.5700964e+17,2.9635572e+18,6.6584702e+20,0,432732.32,296423.69,729156.01,0,1.35e+21,29.645334,1.2922065e-07,29.645333,0,0,1.4336773e+08,-5.3223446e+11,9.6349414e+09,-1.7451105e+11,-3.418695e+10,-1.1141293e+10,-5.9269151e+10,5.5706464e+08,2.9634575e+09,4.2167653e+10,4.2167653e+10,2.1967096e+11,1.3729435e+10,12275899
12000,60,0,2.0876872e+08,9.2484234e+16,1.4471847e+17,1.7955952e+21,0,9.1870482e+18,1.4849361e+18,4.32e+12,3.9532684e+16,4.5727025e+17,3.1438249e+18,6.7006483e+20,0,605958.7,387219.22,993177.92,0,1.35e+21,38.725795,0,38.725795,0,9.765625e-08,1.3413441e+08,-3.9164148e+11,9.253373e+09,-1.8373705e+11,-2.9700766e+10,-9.1463064e+09,-6.2874878e+10,4.5731532e+08,3.1437439e+09,4.3126441e+10,4.3126441e+10,2.1266526e+11,1.3291579e+10,15231053
14000,70,0,2.3089533e+08,1.0694992e+17,1.7706942e+17,1.792209e+21,0,9.5171321e+18,1.2977849e+18,4.32e+12,3.9305028e+16,3.7552989e+17,3.2886435e+18,6.7319977e+20,0,810805.5,489689.94,1300495.4,0,1.35e+21,48.973892,0,48.973892,0,9.765625e-08,1.2549658e+08,-2.9113706e+11,8.8602513e+09,-1.9033992e+11,-2.5957408e+10,-7.5113366e+09,-6.5771586e+10,3.7556683e+08,3.2885793e+09,4.3732423e+10,4.3732423e+10,2.0576777e+11,1.2860486e+10,18421581
16000,80,0,2.5185884e+08,1.216168e+17,2.1073811e+17,1.7896815e+21,0,9.7382322e+18,1.1409812e+18,4.32e+12,3.8949665e+16,3.0853113e+17,3.401842e+18,6.7557004e+20,0,1047556.3,604495.79,1652052.1,0,1.35e+21,60.455625,2.7985919e-08,60.455625,0,0,1.1741582e+08,-2.1820866e+11,8.465098e+09,-1.9476291e+11,-2.282106e+10,-6.1712282e+09,-6.8035853e+10,3.0856141e+08,3.4017926e+09,4.4038948e+10,4.4038948e+10,1.9908277e+11,1.2442673e+10,21813474
18000,90,0,2.7156763e+08,1.3656303e+17,2.4542845e+17,1.7877812e+21,0,9.8695678e+18,1.0090392e+18,4.32e+12,3.8494034e+16,2.5360668e+17,3.4871019e+18,6.773925e+20,0,1316172.3,732292.5,2048464.8,0,1.35e+21,73.236573,1.8722602e-08,73.236573,0,0,1.0985622e+08,-1.6454221e+11,8.0747912e+09,-1.9739043e+11,-2.0181995e+10,-5.07263e+09,-6.9741314e+10,2.536315e+08,3.4870657e+09,4.4094638e+10,4.4094638e+10,1.9266947e+11,1.2041842e+10,25374353
20000,100,0,2.8997941e+08,1.5184086e+17,2.8087978e+17,1.7863455e+21,0,9.9276271e+18,8.9752023e+17,4.32e+12,3.7960895e+16,2.0857242e+17,3.5478898e+18,6.7881678e+20,0,1616354.3,873709.09,2490063.4,0,1.35e+21,87.379647,4.4087145e-08,87.379647,0,0,1.0278416e+08,-1.2453169e+11,7.6942313e+09,-1.9855228e+11,-1.795143e+10,-4.1718557e+09,-7.09573e+10,2.0859278e+08,3.547865e+09,4.39429e+10,4.39429e+10,1.8655879e+11,1.1659924e+10,29074279
22000,110,0,3.0709017e+08,1.6748263e+17,3.1686461e+17,1.7852582e+21,0,9.9264404e+18,8.028273e+17,4.32e+12,3.7369207e+16,1.7163989e+17,3.5874194e+18,6.7994738e+20,0,1947598.7,1029334.1,2976932.7,0,1.35e+21,102.9437,4.2939504e-08,102.9437,0,0,96168198,-9.4342731e+10,7.3268264e+09,-1.9852907e+11,-1.6057419e+10,-3.4331318e+09,-7.174809e+10,1.7165659e+08,3.5874045e+09,4.362192e+10,4.362192e+10,1.8076377e+11,1.1297736e+10,32886261
