iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89138001,1.7435219e+16,1.5633966e+16,1.8447045e+21,0,5.0301936e+18,3.17986e+18,4.32e+12,3.7264891e+16,1.2299394e+18,1.8153355e+18,6.241718e+20,0,16691718,18614853,35306571,0,1.35e+21,1861.6715,-4.3654381e-08,1861.6715,0,0,1.8712053e+08,-2.0802235e+12,1.0698837e+10,-1.0058995e+11,-6.360249e+10,-2.460123e+10,-3.6302887e+10,1.2300615e+09,1.8151443e+09,3.3698606e+10,3.3698606e+10,2.4298529e+11,1.5186581e+10,3460627.2
4000,20,0,1.1297669e+08,3.3306435e+16,3.5362695e+16,1.827297e+21,0,6.2905142e+18,2.6998506e+18,4.32e+12,3.8403569e+16,1.0086008e+18,2.1731277e+18,6.4062753e+20,0,44406303,41823051,86229353,0,1.35e+21,4182.7234,-3.7990503e-08,4182.7234,0,0,1.7506546e+08,-1.4450784e+12,1.056241e+10,-1.2579895e+11,-5.4001357e+10,-2.0174016e+10,-4.345922e+10,1.0087008e+09,2.172961e+09,3.661121e+10,3.661121e+10,2.3891071e+11,1.4931919e+10,5157376.7
6000,30,0,1.3736546e+08,4.8016794e+16,5.8111033e+16,1.8151081e+21,0,7.3065177e+18,2.3051089e+18,4.32e+12,3.9142421e+16,8.272788e+17,2.4828045e+18,6.5203039e+20,0,83892773,69317225,1.5321e+08,0,1.35e+21,6932.4158,-4.9476512e-09,6932.4158,0,0,1.6378786e+08,-1.0207098e+12,1.0323801e+10,-1.4612132e+11,-4.6105755e+10,-1.6547215e+10,-4.9653226e+10,8.2736073e+08,2.4826613e+09,3.8967644e+10,3.8967644e+10,2.3318347e+11,1.4573967e+10,7208470.4
8000,40,0,1.6174435e+08,6.1884303e+16,8.329012e+16,1.8064354e+21,0,8.10835e+18,1.9794282e+18,4.32e+12,3.9569809e+16,6.7872642e+17,2.7467076e+18,6.6007367e+20,0,1.3589203e+08,1.0096211e+08,2.3685413e+08,0,1.35e+21,10097.22,1.110493e-08,10097.22,0,0,1.5323758e+08,-7.3202484e+11,1.0018673e+10,-1.6215995e+11,-3.9591521e+10,-1.3575871e+10,-5.4931731e+10,6.7879355e+08,2.7465865e+09,4.0805972e+10,4.0805972e+10,2.2660842e+11,1.4163026e+10,9591966.2
10000,50,0,1.8567917e+08,7.5143704e+16,1.1033419e+17,1.8001744e+21,0,8.7259568e+18,1.7098105e+18,4.32e+12,3.975214e+16,5.5700986e+17,2.9681371e+18,6.6584798e+20,0,2.0074452e+08,1.3670986e+08,3.3745438e+08,0,1.35e+21,13672.353,1.3641147e-07,13672.353,0,0,1.4336773e+08,-5.3221622e+11,9.6721251e+09,-1.7451379e+11,-3.4198662e+10,-1.1141297e+10,-5.9360727e+10,5.5706486e+08,2.9680364e+09,4.2178808e+10,4.2178808e+10,2.1967128e+11,1.3729455e+10,12278949
12000,60,0,2.0884683e+08,8.7962483e+16,1.3871121e+17,1.7955957e+21,0,9.187289e+18,1.485806e+18,4.32e+12,3.9740968e+16,4.5727057e+17,3.1508513e+18,6.7006654e+20,0,2.7843329e+08,1.7655403e+08,4.5498732e+08,0,1.35e+21,17657.169,-1.2660166e-09,17657.169,0,0,1.3413441e+08,-3.9161075e+11,9.3021189e+09,-1.8374186e+11,-2.9718161e+10,-9.1463129e+09,-6.301538e+10,4.5731564e+08,3.150769e+09,4.3143565e+10,4.3143565e+10,2.1266581e+11,1.3291613e+10,15236752
14000,70,0,2.3101833e+08,1.0045439e+17,1.6792911e+17,1.7922099e+21,0,9.5175202e+18,1.2989973e+18,4.32e+12,3.9577294e+16,3.7553033e+17,3.2987581e+18,6.7320255e+20,0,3.6862932e+08,2.2049604e+08,5.8912536e+08,0,1.35e+21,22051.809,0,22051.809,0,9.765625e-08,1.2549658e+08,-2.9108947e+11,8.9216184e+09,-1.9034768e+11,-2.5981652e+10,-7.5113455e+09,-6.5973844e+10,3.7556728e+08,3.2986922e+09,4.375708e+10,4.375708e+10,2.0576862e+11,1.2860539e+10,18431394
16000,80,0,2.5204212e+08,1.1269074e+17,1.9753912e+17,1.7896829e+21,0,9.7388177e+18,1.1425928e+18,4.32e+12,3.9294286e+16,3.0853171e+17,3.4157235e+18,6.755743e+20,0,4.7073709e+08,2.6852168e+08,7.3925877e+08,0,1.35e+21,26854.854,0,26854.854,0,9.765625e-08,1.1741582e+08,-2.1813939e+11,8.5399873e+09,-1.9477462e+11,-2.2853287e+10,-6.1712399e+09,-6.8313442e+10,3.08562e+08,3.4156721e+09,4.4072789e+10,4.4072789e+10,1.9908403e+11,1.2442752e+10,21829348
18000,90,0,2.7182904e+08,1.2470987e+17,2.271372e+17,1.7877835e+21,0,9.8704072e+18,1.0111038e+18,4.32e+12,3.8919069e+16,2.5360742e+17,3.5054552e+18,6.773987e+20,0,5.8393882e+08,3.2058552e+08,9.0452433e+08,0,1.35e+21,32061.758,0,32061.758,0,0,1.0985622e+08,-1.6444609e+11,8.1639403e+09,-1.9740722e+11,-2.0223281e+10,-5.072645e+09,-7.010833e+10,2.5363225e+08,3.5054165e+09,4.4139378e+10,4.4139378e+10,1.9267124e+11,1.2041952e+10,25398777
20000,100,0,2.9033921e+08,1.3652493e+17,2.5636411e+17,1.7863489e+21,0,9.9287826e+18,9.0008768e+17,4.32e+12,3.8473967e+16,2.0857335e+17,3.571434e+18,6.7882544e+20,0,7.0723672e+08,3.7660144e+08,1.0838382e+09,0,1.35e+21,37663.91,2.8034265e-08,37663.91,0,0,1.0278416e+08,-1.2440322e+11,7.7982151e+09,-1.9857538e+11,-1.8002774e+10,-4.1718742e+09,-7.1428127e+10,2.0859371e+08,3.5714064e+09,4.4000287e+10,4.4000287e+10,1.8656117e+11,1.1660073e+10,29110353
22000,110,0,3.075709e+08,1.4813033e+17,2.8490455e+17,1.785263e+21,0,9.9279786e+18,8.0594303e+17,4.32e+12,3.7977393e+16,1.7164102e+17,3.6168766e+18,6.7995912e+20,0,8.3949254e+08,4.3643804e+08,1.2759306e+09,0,1.35e+21,43648.169,-4.8639777e-08,43648.169,0,0,96168198,-9.4176177e+10,7.4460603e+09,-1.9855983e+11,-1.6119728e+10,-3.4331543e+09,-7.233717e+10,1.7165772e+08,3.6168585e+09,4.3693706e+10,4.3693706e+10,1.8076689e+11,1.1297931e+10,32937743
24000,120,0,3.2355129e+08,1.5950706e+17,3.1248565e+17,1.7844418e+21,0,9.8798601e+18,7.2574507e+17,4.32e+12,3.7444528e+16,1.4134586e+17,3.6447192e+18,6.8087366e+20,0,9.7946417e+08,4.9991758e+08,1.4793817e+09,0,1.35e+21,49996.758,2.6877387e-08,49996.758,0,0,89978920,-7.1105526e+10,7.1095991e+09,-1.9759789e+11,-1.4515642e+10,-2.8271912e+09,-7.2894185e+10,1.4135956e+08,3.6447093e+09,4.325283e+10,4.325283e+10,1.7529028e+11,1.0955642e+10,36857859
26000,130,0,3.3832883e+08,1.7062695e+17,3.3887511e+17,1.7838234e+21,0,9.7944024e+18,6.5711435e+17,4.32e+12,3.6887849e+16,1.1648854e+17,3.6576151e+18,6.8162194e+20,0,1.1258391e+09,5.6681768e+08,1.6926568e+09,0,1.35e+21,56687.436,1.4195393e-07,56687.436,0,0,84188806,-5.3321722e+10,6.7901046e+09,-1.9588906e+11,-1.3142922e+10,-2.3299955e+09,-7.3152239e+10,1.1649978e+08,3.657612e+09,4.2706249e+10,4.2706249e+10,1.7012617e+11,1.0632886e+10,40850924
28000,140,0,3.5196707e+08,1.8145619e+17,3.6387891e+17,1.7833623e+21,0,9.6799511e+18,5.9811116e+17,4.32e+12,3.6317556e+16,9.6086861e+16,3.6579406e+18,6.8224221e+20,0,1.2772649e+09,6.3687494e+08,1.9141398e+09,0,1.35e+21,63693.864,0,63693.864,0,1.953125e-07,78772115,-3.9493083e+10,6.4882104e+09,-1.9360029e+11,-1.1962771e+10,-1.9219218e+09,-7.3158864e+10,96096089,3.6579432e+09,4.2078394e+10,4.2078394e+10,1.6526514e+11,1.0329071e+10,44900411
30000,150,0,3.6453969e+08,1.9195813e+17,3.8733894e+17,1.7830237e+21,0,9.5434562e+18,5.4715081e+17,4.32e+12,3.5741926e+16,7.933647e+16,3.6478078e+18,6.8276249e+20,0,1.4323758e+09,7.0979006e+08,2.1421659e+09,0,1.35e+21,70986.104,0,70986.104,0,9.765625e-08,73704762,-2.8658806e+10,6.2040741e+09,-1.9087058e+11,-1.094349e+10,-1.5868809e+09,-7.2956303e+10,79344047,3.6478151e+09,4.1389994e+10,4.1389994e+10,1.6069524e+11,1.0043452e+10,48992890
32000,160,0,3.7612654e+08,2.0209544e+17,4.0913044e+17,1.7827815e+21,0,9.3906788e+18,5.029356e+17,4.32e+12,3.5167608e+16,6.5578583e+16,3.6290803e+18,6.8320351e+20,0,1.5898172e+09,7.8523363e+08,2.3750508e+09,0,1.35e+21,78531.216,0,78531.216,0,9.765625e-08,68964219,-2.0116996e+10,5.9375028e+09,-1.8781517e+11,-1.0059124e+10,-1.3116962e+09,-7.2581831e+10,65584809,3.6290915e+09,4.0658515e+10,4.0658515e+10,1.5640312e+11,9.7751948e+09,53117814
34000,170,0,3.8681054e+08,2.118319e+17,4.2915945e+17,1.7826155e+21,0,9.2263712e+18,4.6440006e+17,4.32e+12,3.4599876e+16,5.4273641e+16,3.6033913e+18,6.8358083e+20,0,1.7482658e+09,8.6285263e+08,2.6111184e+09,0,1.35e+21,86293.893,0,86293.893,0,9.765625e-08,64529407,-1.3348684e+10,5.6880514e+09,-1.8452911e+11,-9.2883612e+09,-1.0855752e+09,-7.2068112e+10,54278758,3.6034056e+09,3.9898571e+10,3.9898571e+10,1.5237481e+11,9.5234256e+09,57267270
