iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89138400,1.7385576e+16,1.5593278e+16,1.8447045e+21,0,5.030194e+18,3.1798699e+18,4.32e+12,3.7273097e+16,1.2299394e+18,1.8154036e+18,6.241718e+20,0,25979832,28965992,54945824,0,1.35e+21,2896.8889,9.6821623e-08,2896.8889,0,0,1.8712053e+08,-2.0802234e+12,1.0701192e+10,-1.0058996e+11,-6.3602688e+10,-2.460123e+10,-3.6304248e+10,1.2300615e+09,1.8152124e+09,3.3698771e+10,3.3698771e+10,2.4298529e+11,1.5186581e+10,3460642.7
4000,20,0,1.1297886e+08,3.3091705e+16,3.5159769e+16,1.827297e+21,0,6.2905186e+18,2.699895e+18,4.32e+12,3.8424167e+16,1.0086008e+18,2.1734424e+18,6.4062756e+20,0,68898926,64844629,1.3374355e+08,0,1.35e+21,6485.1114,-3.9653969e-08,6485.1114,0,0,1.7506546e+08,-1.4450777e+12,1.0568073e+10,-1.2579904e+11,-5.4002243e+10,-2.0174016e+10,-4.346551e+10,1.0087008e+09,2.1732755e+09,3.6611973e+10,3.6611973e+10,2.3891072e+11,1.493192e+10,5157476.1
6000,30,0,1.3737166e+08,4.7500157e+16,5.7567048e+16,1.8151081e+21,0,7.3065331e+18,2.305215e+18,4.32e+12,3.917934e+16,8.2727885e+17,2.4835823e+18,6.520305e+20,0,1.2969021e+08,1.0700659e+08,2.366968e+08,0,1.35e+21,10701.729,3.5017365e-08,10701.729,0,0,1.6378786e+08,-1.0207075e+12,1.0333536e+10,-1.4612162e+11,-4.6107878e+10,-1.6547216e+10,-4.9668777e+10,8.2736078e+08,2.4834389e+09,3.8969534e+10,3.8969534e+10,2.3318351e+11,1.457397e+10,7208795.9
8000,40,0,1.617578e+08,6.0910331e+16,8.2166793e+16,1.8064354e+21,0,8.1083875e+18,1.9796251e+18,4.32e+12,3.9627003e+16,6.787265e+17,2.7481975e+18,6.6007393e+20,0,2.0920122e+08,1.5507309e+08,3.6427432e+08,0,1.35e+21,15508.86,-4.1189196e-08,15508.86,0,0,1.5323758e+08,-7.3201958e+11,1.0033151e+10,-1.621607e+11,-3.9595458e+10,-1.3575872e+10,-5.4961522e+10,6.7879362e+08,2.7480761e+09,4.0809599e+10,4.0809599e+10,2.2660851e+11,1.4163032e+10,9592763.7
10000,50,0,1.8570413e+08,7.3540643e+16,1.083345e+17,1.8001745e+21,0,8.7260314e+18,1.7101274e+18,4.32e+12,3.9833458e+16,5.5700998e+17,2.9706139e+18,6.658485e+20,0,3.0758692e+08,2.0878649e+08,5.1637341e+08,0,1.35e+21,20880.737,8.7769877e-08,20880.737,0,0,1.4336773e+08,-5.3220627e+11,9.6919075e+09,-1.7451528e+11,-3.4204999e+10,-1.11413e+10,-5.9410252e+10,5.5706498e+08,2.9705126e+09,4.2184844e+10,4.2184844e+10,2.1967145e+11,1.3729466e+10,12280599
12000,60,0,2.0888863e+08,8.5544329e+16,1.3548278e+17,1.795596e+21,0,9.1874195e+18,1.4862714e+18,4.32e+12,3.9850029e+16,4.5727074e+17,3.1546077e+18,6.7006747e+20,0,4.2438627e+08,2.6794104e+08,6.9232732e+08,0,1.35e+21,26796.784,-4.3506589e-08,26796.784,0,0,1.3413441e+08,-3.9159411e+11,9.3276432e+09,-1.8374447e+11,-2.9727467e+10,-9.1463163e+09,-6.3090494e+10,4.5731582e+08,3.1545247e+09,4.3152726e+10,4.3152726e+10,2.126661e+11,1.3291631e+10,15239801
14000,70,0,2.3108332e+08,9.7022937e+16,1.6306994e+17,1.7922103e+21,0,9.5177286e+18,1.2996378e+18,4.32e+12,3.9717366e+16,3.7553057e+17,3.3040963e+18,6.7320405e+20,0,5.5860596e+08,3.3233363e+08,8.9093959e+08,0,1.35e+21,33236.687,0,33236.687,0,9.765625e-08,1.2549658e+08,-2.9106396e+11,8.9531901e+09,-1.9035185e+11,-2.5994461e+10,-7.5113502e+09,-6.608059e+10,3.7556751e+08,3.3040295e+09,4.3770107e+10,4.3770107e+10,2.0576908e+11,1.2860567e+10,18436579
16000,80,0,2.5213761e+08,1.0803774e+17,1.9060521e+17,1.7896837e+21,0,9.7391289e+18,1.1434324e+18,4.32e+12,3.9468179e+16,3.0853202e+17,3.4229459e+18,6.7557656e+20,0,7.0880694e+08,4.0173043e+08,1.1105374e+09,0,1.35e+21,40177.061,-1.8771971e-09,40177.061,0,0,1.1741582e+08,-2.1810268e+11,8.5777762e+09,-1.9478084e+11,-2.2870078e+10,-6.171246e+09,-6.8457871e+10,3.085623e+08,3.4228935e+09,4.4090422e+10,4.4090422e+10,1.9908469e+11,1.2442793e+10,21837618
18000,90,0,2.7196318e+08,1.1861936e+17,2.1765167e+17,1.7877847e+21,0,9.8708482e+18,1.012163e+18,4.32e+12,3.9129044e+16,2.536078e+17,3.5148554e+18,6.7740195e+20,0,8.7319066e+08,4.7584648e+08,1.3490371e+09,0,1.35e+21,47589.407,-3.612513e-08,47589.407,0,0,1.0985622e+08,-1.6439575e+11,8.2079821e+09,-1.9741604e+11,-2.0244464e+10,-5.0726526e+09,-7.0296313e+10,2.5363263e+08,3.5148156e+09,4.4162337e+10,4.4162337e+10,1.9267216e+11,1.204201e+10,25411311
