iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137389,1.7511254e+16,1.5696268e+16,1.8447045e+21,0,5.0301928e+18,3.1798448e+18,4.32e+12,3.7252298e+16,1.2299394e+18,1.8152312e+18,6.2417179e+20,0,2439011.6,2721040.1,5160051.7,0,1.35e+21,272.13122,1.9597906e-09,272.13122,0,0,1.8712053e+08,-2.0802236e+12,1.0695224e+10,-1.0058994e+11,-6.3602187e+10,-2.460123e+10,-3.6300803e+10,1.2300615e+09,1.8150402e+09,3.3698354e+10,3.3698354e+10,2.4298529e+11,1.518658e+10,3460603.4
4000,20,0,1.1297333e+08,3.3637232e+16,3.5675086e+16,1.827297e+21,0,6.2905076e+18,2.6997823e+18,4.32e+12,3.8371693e+16,1.0086008e+18,2.1726431e+18,6.4062748e+20,0,6520031.9,6147422.2,12667454,0,1.35e+21,614.8037,-2.2729751e-08,614.8037,0,0,1.7506546e+08,-1.4450795e+12,1.0553646e+10,-1.2579882e+11,-5.3999991e+10,-2.0174015e+10,-4.3449533e+10,1.0087008e+09,2.1724766e+09,3.6610035e+10,3.6610035e+10,2.3891069e+11,1.4931918e+10,5157223.6
6000,30,0,1.3735584e+08,4.8818202e+16,5.8953702e+16,1.815108e+21,0,7.3064941e+18,2.3049442e+18,4.32e+12,3.9084721e+16,8.2727874e+17,2.4815983e+18,6.5203023e+20,0,12386890,10256868,22643758,0,1.35e+21,1025.7894,1.9671461e-08,1025.7894,0,0,1.6378786e+08,-1.0207133e+12,1.0308587e+10,-1.4612084e+11,-4.6102464e+10,-1.6547213e+10,-4.9629112e+10,8.2736066e+08,2.4814556e+09,3.8964713e+10,3.8964713e+10,2.3318341e+11,1.4573963e+10,7207965.8
8000,40,0,1.6172334e+08,6.3407243e+16,8.5042636e+16,1.8064353e+21,0,8.1082918e+18,1.9791204e+18,4.32e+12,3.9479396e+16,6.787263e+17,2.7443784e+18,6.6007326e+20,0,20193996,15055720,35249715,0,1.35e+21,1505.7225,-1.4525995e-08,1505.7225,0,0,1.5323758e+08,-7.32033e+11,9.995786e+09,-1.6215879e+11,-3.9585367e+10,-1.3575868e+10,-5.4885161e+10,6.7879342e+08,2.7442581e+09,4.0800304e+10,4.0800304e+10,2.2660828e+11,1.4163017e+10,9590719.9
10000,50,0,1.8563982e+08,7.7673077e+16,1.13479e+17,1.8001742e+21,0,8.7258402e+18,1.7093107e+18,4.32e+12,3.9621921e+16,5.5700967e+17,2.9642293e+18,6.6584716e+20,0,30049271,20566589,50615861,0,1.35e+21,2056.8646,6.4827873e-08,2056.8646,0,0,1.4336773e+08,-5.322318e+11,9.6404466e+09,-1.7451145e+11,-3.4188668e+10,-1.1141293e+10,-5.928259e+10,5.5706467e+08,2.9641295e+09,4.216929e+10,4.216929e+10,2.1967101e+11,1.3729438e+10,12276346
12000,60,0,2.0878025e+08,9.181658e+16,1.4383383e+17,1.7955953e+21,0,9.1870835e+18,1.4850645e+18,4.32e+12,3.9563785e+16,4.5727029e+17,3.1448625e+18,6.7006508e+20,0,42019928,26821656,68841584,0,1.35e+21,2682.4339,-3.1472155e-08,2682.4339,0,0,1.3413441e+08,-3.9163697e+11,9.2606518e+09,-1.8373775e+11,-2.9703334e+10,-9.1463073e+09,-6.2895627e+10,4.5731537e+08,3.1447814e+09,4.3128969e+10,4.3128969e+10,2.1266534e+11,1.3291584e+10,15231895
14000,70,0,2.3091361e+08,1.0598446e+17,1.7571542e+17,1.7922091e+21,0,9.5171893e+18,1.2979651e+18,4.32e+12,3.9346066e+16,3.7552995e+17,3.2901476e+18,6.7320018e+20,0,56138172,33857758,89995931,0,1.35e+21,3386.1144,0,3386.1144,0,9.765625e-08,1.2549658e+08,-2.9113004e+11,8.8695011e+09,-1.9034106e+11,-2.5961011e+10,-7.5113379e+09,-6.5801664e+10,3.755669e+08,3.2900832e+09,4.3736088e+10,4.3736088e+10,2.057679e+11,1.2860494e+10,18423039
16000,80,0,2.5188629e+08,1.2028049e+17,2.0877025e+17,1.7896817e+21,0,9.7383189e+18,1.1412225e+18,4.32e+12,3.9002145e+16,3.0853122e+17,3.4039222e+18,6.7557067e+20,0,72406609,41712886,1.141195e+08,0,1.35e+21,4171.7058,0,4171.7058,0,9.765625e-08,1.1741582e+08,-2.1819838e+11,8.4765023e+09,-1.9476465e+11,-2.2825886e+10,-6.17123e+09,-6.8077451e+10,3.085615e+08,3.4038725e+09,4.4044015e+10,4.4044015e+10,1.9908296e+11,1.2442685e+10,21815851
18000,90,0,2.716071e+08,1.347747e+17,2.4268224e+17,1.7877816e+21,0,9.8696929e+18,1.0093509e+18,4.32e+12,3.8559483e+16,2.5360679e+17,3.4898755e+18,6.7739342e+20,0,90803200,50423756,1.4122696e+08,0,1.35e+21,5042.8799,8.589268e-09,5042.8799,0,0,1.0985622e+08,-1.6452785e+11,8.0885187e+09,-1.9739294e+11,-2.0188229e+10,-5.0726323e+09,-6.9796778e+10,2.5363162e+08,3.4898389e+09,4.4101392e+10,4.4101392e+10,1.9266974e+11,1.2041859e+10,25378040
