iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137312,1.7520821e+16,1.5704106e+16,1.8447045e+21,0,5.0301927e+18,3.1798429e+18,4.32e+12,3.7250711e+16,1.2299394e+18,1.815218e+18,6.2417179e+20,0,643430.11,717865.12,1361295.2,0,1.35e+21,71.793691,1.3789162e-08,71.793691,0,0,1.8712053e+08,-2.0802236e+12,1.0694769e+10,-1.0058993e+11,-6.3602149e+10,-2.460123e+10,-3.6300541e+10,1.2300615e+09,1.815027e+09,3.3698322e+10,3.3698322e+10,2.4298529e+11,1.518658e+10,3460600.4
4000,20,0,1.1297291e+08,3.3679018e+16,3.5714528e+16,1.827297e+21,0,6.2905068e+18,2.6997737e+18,4.32e+12,3.8367655e+16,1.0086008e+18,2.1725819e+18,6.4062748e+20,0,1721077,1622941.6,3344018.6,0,1.35e+21,162.31039,-4.4877652e-08,162.31039,0,0,1.7506546e+08,-1.4450796e+12,1.0552536e+10,-1.257988e+11,-5.3999819e+10,-2.0174015e+10,-4.3448309e+10,1.0087008e+09,2.1724155e+09,3.6609886e+10,3.6609886e+10,2.3891069e+11,1.4931918e+10,5157204.3
6000,30,0,1.3735462e+08,4.8919909e+16,5.9060546e+16,1.815108e+21,0,7.3064911e+18,2.3049233e+18,4.32e+12,3.9077361e+16,8.2727873e+17,2.4814452e+18,6.5203021e+20,0,3272045.5,2710124.8,5982170.3,0,1.35e+21,271.03958,0,271.03958,0,9.765625e-08,1.6378786e+08,-1.0207137e+12,1.0306646e+10,-1.4612078e+11,-4.6102047e+10,-1.6547213e+10,-4.9626052e+10,8.2736066e+08,2.4813026e+09,3.8964341e+10,3.8964341e+10,2.3318341e+11,1.4573963e+10,7207901.8
8000,40,0,1.6172066e+08,6.3601569e+16,8.5265916e+16,1.8064353e+21,0,8.1082844e+18,1.9790812e+18,4.32e+12,3.9467774e+16,6.7872628e+17,2.7440813e+18,6.6007321e+20,0,5338652.7,3981998.5,9320651.3,0,1.35e+21,398.23968,-3.2710204e-08,398.23968,0,0,1.5323758e+08,-7.3203404e+11,9.9928441e+09,-1.6215864e+11,-3.9584582e+10,-1.3575868e+10,-5.487922e+10,6.7879341e+08,2.743961e+09,4.0799581e+10,4.0799581e+10,2.2660826e+11,1.4163016e+10,9590561
10000,50,0,1.8563477e+08,7.7997806e+16,1.1388185e+17,1.8001742e+21,0,8.7258253e+18,1.7092465e+18,4.32e+12,3.9605037e+16,5.5700965e+17,2.9637277e+18,6.6584705e+20,0,7951399.6,5445587.6,13396987,0,1.35e+21,544.61322,1.3118643e-07,544.61322,0,0,1.4336773e+08,-5.3223378e+11,9.6363392e+09,-1.7451116e+11,-3.4187386e+10,-1.1141293e+10,-5.9272559e+10,5.5706465e+08,2.963628e+09,4.2168068e+10,4.2168068e+10,2.1967097e+11,1.3729436e+10,12276012
12000,60,0,2.0877165e+08,9.2314766e+16,1.44494e+17,1.7955953e+21,0,9.1870572e+18,1.4849687e+18,4.32e+12,3.9540589e+16,4.5727026e+17,3.1440882e+18,6.700649e+20,0,11130501,7110599.6,18241100,0,1.35e+21,711.13107,2.4338647e-08,711.13107,0,0,1.3413441e+08,-3.9164034e+11,9.2552232e+09,-1.8373723e+11,-2.9701418e+10,-9.1463066e+09,-6.2880145e+10,4.5731533e+08,3.1440072e+09,4.3127082e+10,4.3127082e+10,2.1266528e+11,1.329158e+10,15231267
14000,70,0,2.3089997e+08,1.0670466e+17,1.767256e+17,1.792209e+21,0,9.5171466e+18,1.2978307e+18,4.32e+12,3.9315472e+16,3.755299e+17,3.2890256e+18,6.7319987e+20,0,14887385,8988142.1,23875527,0,1.35e+21,898.9041,0,898.9041,0,9.765625e-08,1.2549658e+08,-2.9113528e+11,8.8626052e+09,-1.9034021e+11,-2.5958323e+10,-7.5113369e+09,-6.5779228e+10,3.7556685e+08,3.2889614e+09,4.3733354e+10,4.3733354e+10,2.057678e+11,1.2860488e+10,18421951
16000,80,0,2.5186582e+08,1.2127701e+17,2.10238e+17,1.7896815e+21,0,9.7382542e+18,1.1410426e+18,4.32e+12,3.8963038e+16,3.0853115e+17,3.402371e+18,6.755702e+20,0,19226107,11089809,30315916,0,1.35e+21,1109.0918,0,1109.0918,0,9.765625e-08,1.1741582e+08,-2.1820605e+11,8.4680041e+09,-1.9476335e+11,-2.2822287e+10,-6.1712286e+09,-6.8046432e+10,3.0856143e+08,3.4023216e+09,4.4040236e+10,4.4040236e+10,1.9908282e+11,1.2442676e+10,21814079
18000,90,0,2.7157768e+08,1.3610785e+17,2.447299e+17,1.7877813e+21,0,9.8695996e+18,1.0091186e+18,4.32e+12,3.8510735e+16,2.536067e+17,3.487808e+18,6.7739273e+20,0,24144639,13427046,37571686,0,1.35e+21,1342.8389,2.3826942e-08,1342.8389,0,0,1.0985622e+08,-1.6453856e+11,8.0782942e+09,-1.9739107e+11,-2.0183582e+10,-5.0726306e+09,-6.9755434e+10,2.5363153e+08,3.4877717e+09,4.4096357e+10,4.4096357e+10,1.9266954e+11,1.2041846e+10,25375291
20000,100,0,2.8999337e+08,1.5124718e+17,2.7993551e+17,1.7863457e+21,0,9.9276713e+18,8.976199e+17,4.32e+12,3.798133e+16,2.0857246e+17,3.548805e+18,6.7881711e+20,0,29636025,16010738,45646763,0,1.35e+21,1601.234,-1.6879994e-08,1601.234,0,0,1.0278416e+08,-1.2452677e+11,7.6983729e+09,-1.9855316e+11,-1.7953424e+10,-4.1718564e+09,-7.0975601e+10,2.0859282e+08,3.5487801e+09,4.3945128e+10,4.3945128e+10,1.8655888e+11,1.165993e+10,29075679
22000,110,0,3.0710903e+08,1.6672499e+17,3.1562231e+17,1.7852583e+21,0,9.9264996e+18,8.0294959e+17,4.32e+12,3.7393785e+16,1.7163994e+17,3.5885773e+18,6.7994784e+20,0,35689405,18850947,54540351,0,1.35e+21,1885.2832,3.7898417e-08,1885.2832,0,0,96168198,-9.4336302e+10,7.3316448e+09,-1.9853026e+11,-1.6059865e+10,-3.4331327e+09,-7.1771245e+10,1.7165663e+08,3.5885622e+09,4.3624737e+10,4.3624737e+10,1.8076389e+11,1.1297743e+10,32888281
24000,120,0,3.2294984e+08,1.825561e+17,3.5158844e+17,1.7844353e+21,0,9.8779459e+18,7.22188e+17,4.32e+12,3.6763922e+16,1.4134457e+17,3.6100711e+18,6.8085879e+20,0,42290904,21956774,64247678,0,1.35e+21,2195.8969,1.5907062e-09,2195.8969,0,0,89978920,-7.1307844e+10,6.9803827e+09,-1.9755961e+11,-1.4444506e+10,-2.8271653e+09,-7.2201288e+10,1.4135827e+08,3.6100644e+09,4.3168402e+10,4.3168402e+10,1.7528645e+11,1.0955403e+10,36789343
26000,130,0,3.3756252e+08,1.9874402e+17,3.8766008e+17,1.7838147e+21,0,9.7919829e+18,6.5296116e+17,4.32e+12,3.6104931e+16,1.1648701e+17,3.6159597e+18,6.8160278e+20,0,49424403,25336307,74760711,0,1.35e+21,2533.8841,5.5997589e-08,2533.8841,0,0,84188806,-5.357193e+10,6.6460003e+09,-1.9584067e+11,-1.3059865e+10,-2.3299651e+09,-7.2319204e+10,1.1649826e+08,3.6159602e+09,4.2604763e+10,4.2604763e+10,1.7012139e+11,1.0632587e+10,40758397
28000,140,0,3.5100913e+08,2.1528406e+17,4.2368879e+17,1.7833508e+21,0,9.6769546e+18,5.9333507e+17,4.32e+12,3.5427785e+16,9.6085094e+16,3.6086498e+18,6.8221803e+20,0,57072186,28996631,86068817,0,1.35e+21,2899.9531,2.5110694e-08,2899.9531,0,0,78772115,-3.979688e+10,6.329262e+09,-1.9354036e+11,-1.1867255e+10,-1.9218864e+09,-7.2173127e+10,96094322,3.6086563e+09,4.1958322e+10,4.1958322e+10,1.6525929e+11,1.0328705e+10,44778207
30000,150,0,3.6336219e+08,2.321657e+17,4.5954892e+17,1.7830089e+21,0,9.5398109e+18,5.4173088e+17,4.32e+12,3.4741572e+16,7.9334439e+16,3.5902925e+18,6.8273248e+20,0,65215493,32943869,98159362,0,1.35e+21,3294.7164,0,3294.7164,0,9.765625e-08,73704762,-2.9021832e+10,6.0304441e+09,-1.9079768e+11,-1.0835098e+10,-1.5868403e+09,-7.1806083e+10,79342017,3.5903042e+09,4.12499e+10,4.12499e+10,1.6068818e+11,1.0043011e+10,48834638
