iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137304,1.7521874e+16,1.5704968e+16,1.8447045e+21,0,5.0301927e+18,3.1798427e+18,4.32e+12,3.7250537e+16,1.2299394e+18,1.8152166e+18,6.2417179e+20,0,445886.82,497471.66,943358.49,0,1.35e+21,49.752141,4.0368008e-08,49.752141,0,0,1.8712053e+08,-2.0802236e+12,1.0694719e+10,-1.0058993e+11,-6.3602145e+10,-2.460123e+10,-3.6300512e+10,1.2300615e+09,1.8150256e+09,3.3698319e+10,3.3698319e+10,2.4298529e+11,1.518658e+10,3460600.1
4000,20,0,1.1297286e+08,3.3683616e+16,3.5718869e+16,1.827297e+21,0,6.2905067e+18,2.6997728e+18,4.32e+12,3.836721e+16,1.0086008e+18,2.1725752e+18,6.4062748e+20,0,1192758.4,1124764.5,2317522.9,0,1.35e+21,112.4877,1.245553e-08,112.4877,0,0,1.7506546e+08,-1.4450796e+12,1.0552413e+10,-1.257988e+11,-5.39998e+10,-2.0174015e+10,-4.3448175e+10,1.0087008e+09,2.1724087e+09,3.660987e+10,3.660987e+10,2.3891069e+11,1.4931918e+10,5157202.1
6000,30,0,1.3735449e+08,4.8931109e+16,5.907231e+16,1.815108e+21,0,7.3064907e+18,2.304921e+18,4.32e+12,3.907655e+16,8.2727873e+17,2.4814284e+18,6.520302e+20,0,2267802.6,1878400.1,4146202.7,0,1.35e+21,187.8588,1.5456834e-08,187.8588,0,0,1.6378786e+08,-1.0207138e+12,1.0306432e+10,-1.4612078e+11,-4.6102001e+10,-1.6547213e+10,-4.9625715e+10,8.2736066e+08,2.4812857e+09,3.89643e+10,3.89643e+10,2.3318341e+11,1.4573963e+10,7207894.8
8000,40,0,1.6172036e+08,6.3622982e+16,8.5290515e+16,1.8064353e+21,0,8.1082836e+18,1.9790768e+18,4.32e+12,3.9466492e+16,6.7872628e+17,2.7440485e+18,6.6007321e+20,0,3700465.4,2760239,6460704.5,0,1.35e+21,276.05151,-1.6729587e-09,276.05151,0,0,1.5323758e+08,-7.3203416e+11,9.9925196e+09,-1.6215862e+11,-3.9584496e+10,-1.3575868e+10,-5.4878565e+10,6.7879341e+08,2.7439283e+09,4.0799502e+10,4.0799502e+10,2.2660826e+11,1.4163016e+10,9590543.4
10000,50,0,1.8563421e+08,7.8033616e+16,1.1392626e+17,1.8001742e+21,0,8.7258236e+18,1.7092395e+18,4.32e+12,3.9603173e+16,5.5700964e+17,2.9636723e+18,6.6584704e+20,0,5512039.5,3775230.7,9287270.1,0,1.35e+21,377.56082,6.8018323e-08,377.56082,0,0,1.4336773e+08,-5.32234e+11,9.6358857e+09,-1.7451112e+11,-3.4187244e+10,-1.1141293e+10,-5.9271453e+10,5.5706465e+08,2.9635727e+09,4.2167933e+10,4.2167933e+10,2.1967097e+11,1.3729436e+10,12275975
12000,60,0,2.087707e+08,9.2369751e+16,1.4456684e+17,1.7955953e+21,0,9.1870543e+18,1.4849581e+18,4.32e+12,3.9538025e+16,4.5727025e+17,3.1440028e+18,6.7006488e+20,0,7716724,4930196.3,12646920,0,1.35e+21,493.06894,2.0591585e-08,493.06894,0,0,1.3413441e+08,-3.9164071e+11,9.2546231e+09,-1.8373717e+11,-2.9701207e+10,-9.1463065e+09,-6.2878436e+10,4.5731533e+08,3.1439218e+09,4.3126874e+10,4.3126874e+10,2.1266528e+11,1.329158e+10,15231198
14000,70,0,2.3089847e+08,1.0678422e+17,1.7683714e+17,1.792209e+21,0,9.5171419e+18,1.2978158e+18,4.32e+12,3.9312085e+16,3.755299e+17,3.2889017e+18,6.7319984e+20,0,10322665,6232941.2,16555606,0,1.35e+21,623.35645,0,623.35645,0,9.765625e-08,1.2549658e+08,-2.9113586e+11,8.8618419e+09,-1.9034012e+11,-2.5958026e+10,-7.5113368e+09,-6.5776749e+10,3.7556684e+08,3.2888374e+09,4.3733052e+10,4.3733052e+10,2.0576779e+11,1.2860487e+10,18421831
16000,80,0,2.5186356e+08,1.2138721e+17,2.1040022e+17,1.7896815e+21,0,9.738247e+18,1.1410227e+18,4.32e+12,3.8958703e+16,3.0853114e+17,3.4021994e+18,6.7557015e+20,0,13332934,7691621.4,21024555,0,1.35e+21,769.23906,0,769.23906,0,9.765625e-08,1.1741582e+08,-2.1820689e+11,8.4670621e+09,-1.9476321e+11,-2.2821889e+10,-6.1712285e+09,-6.8043001e+10,3.0856143e+08,3.40215e+09,4.4039818e+10,4.4039818e+10,1.990828e+11,1.2442675e+10,21813883
18000,90,0,2.7157442e+08,1.3625544e+17,2.4495643e+17,1.7877813e+21,0,9.8695892e+18,1.0090928e+18,4.32e+12,3.8505323e+16,2.5360669e+17,3.4875791e+18,6.7739266e+20,0,16746418,9314307.1,26060725,0,1.35e+21,931.52387,4.5686761e-08,931.52387,0,0,1.0985622e+08,-1.6453974e+11,8.0771591e+09,-1.9739086e+11,-2.0183067e+10,-5.0726304e+09,-6.9750856e+10,2.5363152e+08,3.4875428e+09,4.4095799e+10,4.4095799e+10,1.9266952e+11,1.2041845e+10,25374987
