iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137286,1.7524061e+16,1.570676e+16,1.8447045e+21,0,5.0301927e+18,3.1798423e+18,4.32e+12,3.7250174e+16,1.2299394e+18,1.8152136e+18,6.2417179e+20,0,35247.768,39326.019,74573.787,0,1.35e+21,3.9329952,1.2489939e-07,3.9329951,0,0,1.8712053e+08,-2.0802236e+12,1.0694614e+10,-1.0058993e+11,-6.3602136e+10,-2.460123e+10,-3.6300452e+10,1.2300615e+09,1.8150226e+09,3.3698312e+10,3.3698312e+10,2.4298529e+11,1.518658e+10,3460599.4
4000,20,0,1.1297277e+08,3.3693176e+16,3.5727892e+16,1.827297e+21,0,6.2905065e+18,2.6997708e+18,4.32e+12,3.8366286e+16,1.0086008e+18,2.1725612e+18,6.4062748e+20,0,94301.722,88928.765,183230.49,0,1.35e+21,8.8937659,4.6815481e-08,8.8937658,0,0,1.7506546e+08,-1.4450797e+12,1.0552159e+10,-1.257988e+11,-5.3999761e+10,-2.0174015e+10,-4.3447895e+10,1.0087008e+09,2.1723947e+09,3.6609836e+10,3.6609836e+10,2.3891069e+11,1.4931918e+10,5157197.7
6000,30,0,1.3735421e+08,4.8954396e+16,5.909677e+16,1.815108e+21,0,7.30649e+18,2.3049163e+18,4.32e+12,3.9074863e+16,8.2727873e+17,2.4813933e+18,6.520302e+20,0,179325.67,148542.99,327868.66,0,1.35e+21,14.855785,0,14.855785,0,9.765625e-08,1.6378786e+08,-1.0207139e+12,1.0305987e+10,-1.4612076e+11,-4.6101905e+10,-1.6547213e+10,-4.9625014e+10,8.2736065e+08,2.4812507e+09,3.8964215e+10,3.8964215e+10,2.331834e+11,1.4573963e+10,7207880.1
8000,40,0,1.6171975e+08,6.3667516e+16,8.5341671e+16,1.8064353e+21,0,8.1082819e+18,1.9790678e+18,4.32e+12,3.9463826e+16,6.7872628e+17,2.7439804e+18,6.6007319e+20,0,292667.28,218327.27,510994.55,0,1.35e+21,21.83491,4.7452648e-08,21.83491,0,0,1.5323758e+08,-7.3203439e+11,9.9918446e+09,-1.6215859e+11,-3.9584316e+10,-1.3575868e+10,-5.4877204e+10,6.787934e+08,2.7438602e+09,4.0799336e+10,4.0799336e+10,2.2660825e+11,1.4163016e+10,9590507
10000,50,0,1.8563305e+08,7.8108107e+16,1.1401864e+17,1.8001741e+21,0,8.7258202e+18,1.7092247e+18,4.32e+12,3.9599294e+16,5.5700964e+17,2.9635573e+18,6.6584702e+20,0,436035.39,298686.28,734721.67,0,1.35e+21,29.871615,1.1605234e-07,29.871615,0,0,1.4336773e+08,-5.3223446e+11,9.634942e+09,-1.7451105e+11,-3.418695e+10,-1.1141293e+10,-5.9269152e+10,5.5706464e+08,2.9634576e+09,4.2167653e+10,4.2167653e+10,2.1967096e+11,1.3729435e+10,12275899
12000,60,0,2.0876872e+08,9.248416e+16,1.4471838e+17,1.7955952e+21,0,9.1870482e+18,1.4849361e+18,4.32e+12,3.9532687e+16,4.5727025e+17,3.143825e+18,6.7006483e+20,0,610583.93,390174.78,1000758.7,0,1.35e+21,39.02138,2.1377481e-08,39.02138,0,0,1.3413441e+08,-3.9164148e+11,9.2533738e+09,-1.8373705e+11,-2.9700767e+10,-9.1463064e+09,-6.287488e+10,4.5731532e+08,3.143744e+09,4.3126441e+10,4.3126441e+10,2.1266526e+11,1.3291579e+10,15231053
14000,70,0,2.3089533e+08,1.0694982e+17,1.7706926e+17,1.792209e+21,0,9.5171321e+18,1.2977849e+18,4.32e+12,3.9305032e+16,3.7552989e+17,3.2886437e+18,6.7319977e+20,0,816994.16,493427.54,1310421.7,0,1.35e+21,49.347689,0,49.347689,0,9.765625e-08,1.2549658e+08,-2.9113706e+11,8.8602523e+09,-1.9033992e+11,-2.5957408e+10,-7.5113366e+09,-6.577159e+10,3.7556683e+08,3.2885795e+09,4.3732424e+10,4.3732424e+10,2.0576777e+11,1.2860486e+10,18421581
16000,80,0,2.5185885e+08,1.2161665e+17,2.1073789e+17,1.7896815e+21,0,9.7382322e+18,1.1409812e+18,4.32e+12,3.8949671e+16,3.0853113e+17,3.4018422e+18,6.7557004e+20,0,1055551.9,609109.51,1664661.4,0,1.35e+21,60.917043,-1.3992079e-08,60.917043,0,0,1.1741582e+08,-2.1820866e+11,8.4650993e+09,-1.9476291e+11,-2.282106e+10,-6.1712282e+09,-6.8035858e+10,3.0856141e+08,3.4017929e+09,4.4038948e+10,4.4038948e+10,1.9908277e+11,1.2442673e+10,21813475
18000,90,0,2.7156764e+08,1.3656283e+17,2.4542814e+17,1.7877812e+21,0,9.8695678e+18,1.0090392e+18,4.32e+12,3.8494041e+16,2.5360668e+17,3.4871023e+18,6.773925e+20,0,1326217.7,737881.43,2064099.2,0,1.35e+21,73.795523,-2.170222e-08,73.795523,0,0,1.0985622e+08,-1.6454221e+11,8.0747927e+09,-1.9739043e+11,-2.0181996e+10,-5.07263e+09,-6.974132e+10,2.536315e+08,3.487066e+09,4.4094638e+10,4.4094638e+10,1.9266947e+11,1.2041842e+10,25374353
