iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137909,1.7446669e+16,1.5643349e+16,1.8447045e+21,0,5.0301935e+18,3.1798577e+18,4.32e+12,3.7262996e+16,1.2299394e+18,1.8153198e+18,6.241718e+20,0,14547526,16224535,30772061,0,1.35e+21,1622.6157,2.7840088e-08,1622.6157,0,0,1.8712053e+08,-2.0802235e+12,1.0698293e+10,-1.0058995e+11,-6.3602444e+10,-2.460123e+10,-3.6302573e+10,1.2300615e+09,1.8151286e+09,3.3698568e+10,3.3698568e+10,2.4298529e+11,1.518658e+10,3460623.6
4000,20,0,1.1297618e+08,3.33561e+16,3.5409614e+16,1.827297e+21,0,6.2905132e+18,2.6998404e+18,4.32e+12,3.8398794e+16,1.0086008e+18,2.1730549e+18,6.4062752e+20,0,38730042,36482981,75213023,0,1.35e+21,3648.663,4.5389243e-08,3648.663,0,0,1.7506546e+08,-1.4450786e+12,1.0561097e+10,-1.2579893e+11,-5.4001152e+10,-2.0174016e+10,-4.3457765e+10,1.0087008e+09,2.1728883e+09,3.6611033e+10,3.6611033e+10,2.3891071e+11,1.4931919e+10,5157353.7
6000,30,0,1.3736402e+08,4.813669e+16,5.8237191e+16,1.8151081e+21,0,7.3065142e+18,2.3050842e+18,4.32e+12,3.9133822e+16,8.2727879e+17,2.482624e+18,6.5203037e+20,0,73230813,60527353,1.3375817e+08,0,1.35e+21,6053.3406,0,6053.3406,0,9.765625e-08,1.6378786e+08,-1.0207103e+12,1.0321534e+10,-1.4612124e+11,-4.6105263e+10,-1.6547214e+10,-4.9649618e+10,8.2736072e+08,2.4824809e+09,3.8967205e+10,3.8967205e+10,2.3318347e+11,1.4573967e+10,7208394.9
8000,40,0,1.6174122e+08,6.211121e+16,8.3551534e+16,1.8064354e+21,0,8.1083413e+18,1.9793823e+18,4.32e+12,3.9556414e+16,6.787264e+17,2.7463605e+18,6.6007361e+20,0,1.1873599e+08,88262311,2.069983e+08,0,1.35e+21,8827.1138,-3.6674464e-08,8827.1138,0,0,1.5323758e+08,-7.3202606e+11,1.0015282e+10,-1.6215978e+11,-3.9590603e+10,-1.3575871e+10,-5.4924791e+10,6.7879353e+08,2.7462396e+09,4.0805128e+10,4.0805128e+10,2.266084e+11,1.4163025e+10,9591780.5
10000,50,0,1.8567334e+08,7.5518806e+16,1.1080135e+17,1.8001743e+21,0,8.7259394e+18,1.7097363e+18,4.32e+12,3.9732975e+16,5.5700983e+17,2.9675575e+18,6.6584786e+20,0,1.7559255e+08,1.1967122e+08,2.9526377e+08,0,1.35e+21,11968.319,9.152609e-08,11968.319,0,0,1.4336773e+08,-5.3221854e+11,9.6674628e+09,-1.7451344e+11,-3.4197179e+10,-1.1141297e+10,-5.9349139e+10,5.5706483e+08,2.967457e+09,4.2177396e+10,4.2177396e+10,2.1967124e+11,1.3729452e+10,12278563
12000,60,0,2.0883701e+08,8.8531069e+16,1.3946868e+17,1.7955957e+21,0,9.1872585e+18,1.4856966e+18,4.32e+12,3.9715085e+16,4.5727053e+17,3.1499679e+18,6.7006633e+20,0,2.438449e+08,1.5477586e+08,3.9862076e+08,0,1.35e+21,15479.134,-1.6261765e-09,15479.134,0,0,1.3413441e+08,-3.9161464e+11,9.2960613e+09,-1.8374125e+11,-2.9715973e+10,-9.1463121e+09,-6.2997715e+10,4.573156e+08,3.1498858e+09,4.3141411e+10,4.3141411e+10,2.1266574e+11,1.3291609e+10,15236035
14000,70,0,2.3100297e+08,1.0126555e+17,1.690746e+17,1.7922098e+21,0,9.5174713e+18,1.2988459e+18,4.32e+12,3.9543794e+16,3.7553028e+17,3.2974957e+18,6.732022e+20,0,3.2327315e+08,1.9360695e+08,5.168801e+08,0,1.35e+21,19362.631,0,19362.631,0,9.765625e-08,1.2549658e+08,-2.9109546e+11,8.9140677e+09,-1.903467e+11,-2.5978624e+10,-7.5113444e+09,-6.5948599e+10,3.7556722e+08,3.29743e+09,4.3754e+10,4.3754e+10,2.0576851e+11,1.2860532e+10,18430168
16000,80,0,2.5201941e+08,1.1379706e+17,1.9918218e+17,1.7896827e+21,0,9.7387444e+18,1.1423931e+18,4.32e+12,3.9252345e+16,3.0853164e+17,3.4140048e+18,6.7557377e+20,0,4.1343109e+08,2.3618345e+08,6.4961455e+08,0,1.35e+21,23620.707,-3.2079697e-08,23620.707,0,0,1.1741582e+08,-2.1814806e+11,8.5308731e+09,-1.9477315e+11,-2.2849294e+10,-6.1712385e+09,-6.8279073e+10,3.0856192e+08,3.4139536e+09,4.4068596e+10,4.4068596e+10,1.9908387e+11,1.2442742e+10,21827381
18000,90,0,2.7179692e+08,1.2616704e+17,2.2939754e+17,1.7877832e+21,0,9.8703027e+18,1.0108502e+18,4.32e+12,3.8867958e+16,2.5360733e+17,3.5032029e+18,6.7739793e+20,0,5.1368295e+08,2.8249857e+08,7.9618153e+08,0,1.35e+21,28252.683,-1.2711098e-08,28252.683,0,0,1.0985622e+08,-1.6445803e+11,8.1532199e+09,-1.9740513e+11,-2.021821e+10,-5.0726432e+09,-7.0063291e+10,2.5363216e+08,3.5031645e+09,4.4133882e+10,4.4133882e+10,1.9267102e+11,1.2041939e+10,25395777
