iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137287,1.7523919e+16,1.5706643e+16,1.8447045e+21,0,5.0301927e+18,3.1798423e+18,4.32e+12,3.7250197e+16,1.2299394e+18,1.8152138e+18,6.2417179e+20,0,61950.163,69117.898,131068.06,0,1.35e+21,6.912481,6.1141877e-08,6.912481,0,0,1.8712053e+08,-2.0802236e+12,1.0694621e+10,-1.0058993e+11,-6.3602136e+10,-2.460123e+10,-3.6300456e+10,1.2300615e+09,1.8150228e+09,3.3698312e+10,3.3698312e+10,2.4298529e+11,1.518658e+10,3460599.5
4000,20,0,1.1297277e+08,3.3692555e+16,3.5727305e+16,1.827297e+21,0,6.2905065e+18,2.6997709e+18,4.32e+12,3.8366346e+16,1.0086008e+18,2.1725621e+18,6.4062748e+20,0,165739.7,156296.16,322035.86,0,1.35e+21,15.631179,3.2747668e-08,15.631179,0,0,1.7506546e+08,-1.4450796e+12,1.0552176e+10,-1.257988e+11,-5.3999763e+10,-2.0174015e+10,-4.3447913e+10,1.0087008e+09,2.1723956e+09,3.6609838e+10,3.6609838e+10,2.3891069e+11,1.4931918e+10,5157198
6000,30,0,1.3735423e+08,4.8952882e+16,5.9095179e+16,1.815108e+21,0,7.3064901e+18,2.3049166e+18,4.32e+12,3.9074973e+16,8.2727873e+17,2.4813956e+18,6.520302e+20,0,315169.96,261067.49,576237.45,0,1.35e+21,26.10936,4.3279002e-08,26.10936,0,0,1.6378786e+08,-1.0207139e+12,1.0306016e+10,-1.4612076e+11,-4.6101911e+10,-1.6547213e+10,-4.962506e+10,8.2736065e+08,2.481253e+09,3.8964221e+10,3.8964221e+10,2.3318341e+11,1.4573963e+10,7207881.1
8000,40,0,1.6171979e+08,6.3664619e+16,8.5338344e+16,1.8064353e+21,0,8.108282e+18,1.9790684e+18,4.32e+12,3.9463999e+16,6.7872628e+17,2.7439849e+18,6.6007319e+20,0,514364.87,383709.26,898074.13,0,1.35e+21,38.374763,-1.1998182e-08,38.374763,0,0,1.5323758e+08,-7.3203438e+11,9.9918886e+09,-1.6215859e+11,-3.9584328e+10,-1.3575868e+10,-5.4877292e+10,6.787934e+08,2.7438646e+09,4.0799347e+10,4.0799347e+10,2.2660825e+11,1.4163016e+10,9590509.4
10000,50,0,1.8563313e+08,7.8103261e+16,1.1401263e+17,1.8001741e+21,0,8.7258205e+18,1.7092257e+18,4.32e+12,3.9599546e+16,5.5700964e+17,2.9635647e+18,6.6584702e+20,0,766324.84,524931.2,1291256,0,1.35e+21,52.49837,1.2186684e-07,52.49837,0,0,1.4336773e+08,-5.3223443e+11,9.6350034e+09,-1.7451106e+11,-3.4186969e+10,-1.1141293e+10,-5.9269302e+10,5.5706464e+08,2.9634651e+09,4.2167671e+10,4.2167671e+10,2.1967096e+11,1.3729435e+10,12275904
12000,60,0,2.0876885e+08,9.2476716e+16,1.4470852e+17,1.7955952e+21,0,9.1870486e+18,1.4849375e+18,4.32e+12,3.9533034e+16,4.5727025e+17,3.1438365e+18,6.7006484e+20,0,1073074.4,685706.54,1758780.9,0,1.35e+21,68.577512,-1.5460927e-08,68.577512,0,0,1.3413441e+08,-3.9164143e+11,9.2534551e+09,-1.8373705e+11,-2.9700795e+10,-9.1463064e+09,-6.2875112e+10,4.5731532e+08,3.1437556e+09,4.3126469e+10,4.3126469e+10,2.1266527e+11,1.3291579e+10,15231063
14000,70,0,2.3089554e+08,1.0693904e+17,1.7705416e+17,1.792209e+21,0,9.5171327e+18,1.2977869e+18,4.32e+12,3.9305491e+16,3.7552989e+17,3.2886605e+18,6.7319977e+20,0,1435806.6,867148.9,2302955.5,0,1.35e+21,86.723563,0,86.723563,0,9.765625e-08,1.2549658e+08,-2.9113698e+11,8.8603558e+09,-1.9033993e+11,-2.5957448e+10,-7.5113366e+09,-6.5771925e+10,3.7556683e+08,3.2885963e+09,4.3732465e+10,4.3732465e+10,2.0576777e+11,1.2860486e+10,18421597
16000,80,0,2.5185915e+08,1.2160171e+17,2.1071591e+17,1.7896815e+21,0,9.7382331e+18,1.1409839e+18,4.32e+12,3.8950259e+16,3.0853113e+17,3.4018655e+18,6.7557005e+20,0,1855018.9,1070424.7,2925443.6,0,1.35e+21,107.05317,0,107.05317,0,9.765625e-08,1.1741582e+08,-2.1820854e+11,8.4652271e+09,-1.9476293e+11,-2.2821114e+10,-6.1712282e+09,-6.8036323e+10,3.0856141e+08,3.4018161e+09,4.4039005e+10,4.4039005e+10,1.9908277e+11,1.2442673e+10,21813501
18000,90,0,2.7156808e+08,1.3654281e+17,2.4539743e+17,1.7877812e+21,0,9.8695692e+18,1.0090427e+18,4.32e+12,3.8494776e+16,2.5360668e+17,3.4871333e+18,6.7739251e+20,0,2330636.5,1296692.5,3627329,0,1.35e+21,129.68222,4.4001922e-09,129.68222,0,0,1.0985622e+08,-1.6454205e+11,8.0749469e+09,-1.9739046e+11,-2.0182065e+10,-5.0726301e+09,-6.9741941e+10,2.536315e+08,3.4870971e+09,4.4094714e+10,4.4094714e+10,1.9266948e+11,1.2041842e+10,25374394
20000,100,0,2.8998003e+08,1.5181449e+17,2.8083784e+17,1.7863455e+21,0,9.9276291e+18,8.9752465e+17,4.32e+12,3.7961803e+16,2.0857243e+17,3.5479305e+18,6.7881679e+20,0,2862123.8,1547063.4,4409187.2,0,1.35e+21,154.72181,1.8569978e-08,154.72181,0,0,1.0278416e+08,-1.2453147e+11,7.6944155e+09,-1.9855232e+11,-1.7951519e+10,-4.1718557e+09,-7.0958113e+10,2.0859278e+08,3.5479056e+09,4.3942999e+10,4.3942999e+10,1.8655879e+11,1.1659924e+10,29074341
22000,110,0,3.07091e+08,1.6744896e+17,3.1680942e+17,1.7852582e+21,0,9.926443e+18,8.0283274e+17,4.32e+12,3.7370301e+16,1.7163989e+17,3.5874709e+18,6.799474e+20,0,3448581.6,1822576.3,5271158,0,1.35e+21,182.27586,1.0487867e-08,182.27586,0,0,96168198,-9.4342445e+10,7.3270408e+09,-1.9852913e+11,-1.6057528e+10,-3.4331318e+09,-7.1749119e+10,1.7165659e+08,3.5874559e+09,4.3622045e+10,4.3622045e+10,1.8076378e+11,1.1297736e+10,32886351
