iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137697,1.7472999e+16,1.5664925e+16,1.8447045e+21,0,5.0301932e+18,3.1798524e+18,4.32e+12,3.7258637e+16,1.2299394e+18,1.8152836e+18,6.2417179e+20,0,9614069.4,10723750,20337819,0,1.35e+21,1072.4822,4.419644e-08,1072.4822,0,0,1.8712053e+08,-2.0802235e+12,1.0697043e+10,-1.0058994e+11,-6.3602339e+10,-2.460123e+10,-3.6301851e+10,1.2300615e+09,1.8150926e+09,3.3698481e+10,3.3698481e+10,2.4298529e+11,1.518658e+10,3460615.4
4000,20,0,1.1297502e+08,3.3470507e+16,3.5517671e+16,1.827297e+21,0,6.2905109e+18,2.6998168e+18,4.32e+12,3.838778e+16,1.0086008e+18,2.1728873e+18,6.4062751e+20,0,25638390,24159991,49798380,0,1.35e+21,2416.2407,-8.3095983e-09,2416.2407,0,0,1.7506546e+08,-1.4450789e+12,1.0558069e+10,-1.2579889e+11,-5.4000679e+10,-2.0174016e+10,-4.3454414e+10,1.0087008e+09,2.1727207e+09,3.6610627e+10,3.6610627e+10,2.389107e+11,1.4931919e+10,5157300.7
6000,30,0,1.373607e+08,4.841345e+16,5.8528286e+16,1.815108e+21,0,7.306506e+18,2.3050274e+18,4.32e+12,3.9113928e+16,8.2727877e+17,2.4822074e+18,6.5203031e+20,0,48571181,40175457,88746638,0,1.35e+21,4017.9475,0,4017.9475,0,9.765625e-08,1.6378786e+08,-1.0207115e+12,1.0316288e+10,-1.4612108e+11,-4.6104126e+10,-1.6547214e+10,-4.9641289e+10,8.273607e+08,2.4820645e+09,3.8966193e+10,3.8966193e+10,2.3318344e+11,1.4573965e+10,7208220.6
8000,40,0,1.6173397e+08,6.2636244e+16,8.4156008e+16,1.8064354e+21,0,8.1083212e+18,1.9792762e+18,4.32e+12,3.9525317e+16,6.7872636e+17,2.7455575e+18,6.6007347e+20,0,78928242,58742208,1.3767045e+08,0,1.35e+21,5874.8083,-9.8716555e-09,5874.8083,0,0,1.5323758e+08,-7.3202888e+11,1.000741e+10,-1.6215938e+11,-3.9588482e+10,-1.357587e+10,-5.4908736e+10,6.7879349e+08,2.7454368e+09,4.0803173e+10,4.0803173e+10,2.2660835e+11,1.4163022e+10,9591350.7
10000,50,0,1.8565979e+08,7.638911e+16,1.1188418e+17,1.8001743e+21,0,8.7258992e+18,1.7095643e+18,4.32e+12,3.9688312e+16,5.5700977e+17,2.9662129e+18,6.6584757e+20,0,1.1701701e+08,79888680,1.9690569e+08,0,1.35e+21,7989.667,1.2071905e-07,7989.667,0,0,1.4336773e+08,-5.3222391e+11,9.6565975e+09,-1.7451263e+11,-3.419374e+10,-1.1141295e+10,-5.9322253e+10,5.5706477e+08,2.9661127e+09,4.2174121e+10,4.2174121e+10,2.1967114e+11,1.3729447e+10,12277667
12000,60,0,2.0881415e+08,8.9854289e+16,1.4122911e+17,1.7955955e+21,0,9.1871878e+18,1.485442e+18,4.32e+12,3.9654503e+16,4.5727044e+17,3.1479119e+18,6.7006582e+20,0,1.6295979e+08,1.0367294e+08,2.6663273e+08,0,1.35e+21,10368.331,2.8105205e-08,10368.331,0,0,1.3413441e+08,-3.9162366e+11,9.2818831e+09,-1.8373984e+11,-2.9710882e+10,-9.1463102e+09,-6.2956603e+10,4.5731551e+08,3.1478302e+09,4.3136399e+10,4.3136399e+10,2.1266558e+11,1.3291599e+10,15234367
14000,70,0,2.309671e+08,1.031596e+17,1.7174471e+17,1.7922095e+21,0,9.5173576e+18,1.2984924e+18,4.32e+12,3.9465009e+16,3.7553015e+17,3.2945471e+18,6.7320139e+20,0,2.1671741e+08,1.301631e+08,3.4688051e+08,0,1.35e+21,13017.612,0,13017.612,0,9.765625e-08,1.2549658e+08,-2.9110939e+11,8.89631e+09,-1.9034443e+11,-2.5971555e+10,-7.5113418e+09,-6.5889638e+10,3.7556709e+08,3.2944819e+09,4.374681e+10,4.374681e+10,2.0576827e+11,1.2860517e+10,18427307
16000,80,0,2.5196618e+08,1.1638967e+17,2.0302452e+17,1.7896823e+21,0,9.7385734e+18,1.1419251e+18,4.32e+12,3.9153188e+16,3.0853147e+17,3.409975e+18,6.7557252e+20,0,2.7811233e+08,1.5942331e+08,4.3753564e+08,0,1.35e+21,15943.926,4.4667104e-08,15943.926,0,0,1.1741582e+08,-2.1816827e+11,8.5093254e+09,-1.9476973e+11,-2.2839935e+10,-6.1712351e+09,-6.8198489e+10,3.0856175e+08,3.4099245e+09,4.4058767e+10,4.4058767e+10,1.990835e+11,1.2442719e+10,21822771
18000,90,0,2.7172135e+08,1.2959524e+17,2.3470203e+17,1.7877826e+21,0,9.8700584e+18,1.0102533e+18,4.32e+12,3.8746426e+16,2.5360712e+17,3.4978996e+18,6.7739612e+20,0,3.4685045e+08,1.915042e+08,5.3835465e+08,0,1.35e+21,19152.335,-2.9653165e-08,19152.335,0,0,1.0985622e+08,-1.6448599e+11,8.127729e+09,-1.9740024e+11,-2.0206274e+10,-5.0726388e+09,-6.9957238e+10,2.5363194e+08,3.4978619e+09,4.4120946e+10,4.4120946e+10,1.926705e+11,1.2041907e+10,25388715
