iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137341,1.7517281e+16,1.5701205e+16,1.8447045e+21,0,5.0301928e+18,3.1798436e+18,4.32e+12,3.7251298e+16,1.2299394e+18,1.8152229e+18,6.2417179e+20,0,1307977.4,1459265,2767242.5,0,1.35e+21,145.9411,-3.9913346e-08,145.9411,0,0,1.8712053e+08,-2.0802236e+12,1.0694937e+10,-1.0058994e+11,-6.3602163e+10,-2.460123e+10,-3.6300638e+10,1.2300615e+09,1.8150319e+09,3.3698334e+10,3.3698334e+10,2.4298529e+11,1.518658e+10,3460601.5
4000,20,0,1.1297307e+08,3.366355e+16,3.5699928e+16,1.827297e+21,0,6.2905071e+18,2.6997769e+18,4.32e+12,3.836915e+16,1.0086008e+18,2.1726045e+18,6.4062748e+20,0,3497855.2,3298241.7,6796096.9,0,1.35e+21,329.85716,-4.5409763e-08,329.85716,0,0,1.7506546e+08,-1.4450796e+12,1.0552947e+10,-1.2579881e+11,-5.3999883e+10,-2.0174015e+10,-4.3448762e+10,1.0087008e+09,2.1724381e+09,3.6609941e+10,3.6609941e+10,2.3891069e+11,1.4931918e+10,5157211.4
6000,30,0,1.3735508e+08,4.8882248e+16,5.9020985e+16,1.815108e+21,0,7.3064922e+18,2.3049311e+18,4.32e+12,3.9080087e+16,8.2727873e+17,2.4815019e+18,6.5203021e+20,0,6648251.4,5505971.1,12154222,0,1.35e+21,550.65217,1.0792746e-08,550.65217,0,0,1.6378786e+08,-1.0207136e+12,1.0307365e+10,-1.461208e+11,-4.6102201e+10,-1.6547213e+10,-4.9627185e+10,8.2736066e+08,2.4813592e+09,3.8964479e+10,3.8964479e+10,2.3318341e+11,1.4573963e+10,7207925.5
8000,40,0,1.6172165e+08,6.3529584e+16,8.5183214e+16,1.8064353e+21,0,8.1082872e+18,1.9790957e+18,4.32e+12,3.9472081e+16,6.7872629e+17,2.7441914e+18,6.6007323e+20,0,10843996,8087017.8,18931014,0,1.35e+21,808.78266,1.4947773e-08,808.78266,0,0,1.5323758e+08,-7.3203366e+11,9.9939344e+09,-1.6215869e+11,-3.9584873e+10,-1.3575868e+10,-5.4881421e+10,6.7879342e+08,2.744071e+09,4.0799849e+10,4.0799849e+10,2.2660827e+11,1.4163017e+10,9590619.8
10000,50,0,1.8563664e+08,7.7877463e+16,1.1373258e+17,1.8001742e+21,0,8.7258308e+18,1.7092703e+18,4.32e+12,3.9611299e+16,5.5700966e+17,2.9639136e+18,6.6584709e+20,0,16145559,11054861,27200420,0,1.35e+21,1105.5967,1.1659313e-07,1105.5967,0,0,1.4336773e+08,-5.3223305e+11,9.6378624e+09,-1.7451127e+11,-3.4187861e+10,-1.1141293e+10,-5.9276277e+10,5.5706466e+08,2.9638138e+09,4.2168521e+10,4.2168521e+10,2.1967099e+11,1.3729437e+10,12276136
12000,60,0,2.0877484e+08,9.2130052e+16,1.4424928e+17,1.7955953e+21,0,9.1870669e+18,1.4850042e+18,4.32e+12,3.9549197e+16,4.5727027e+17,3.1443753e+18,6.7006497e+20,0,22592155,14428311,37020466,0,1.35e+21,1442.9754,-3.4019877e-08,1442.9754,0,0,1.3413441e+08,-3.9163909e+11,9.2572378e+09,-1.8373742e+11,-2.9702128e+10,-9.1463069e+09,-6.2885885e+10,4.5731534e+08,3.1442943e+09,4.3127782e+10,4.3127782e+10,2.1266531e+11,1.3291582e+10,15231500
14000,70,0,2.3090503e+08,1.0643748e+17,1.7635095e+17,1.7922091e+21,0,9.5171624e+18,1.2978805e+18,4.32e+12,3.9326834e+16,3.7552992e+17,3.2894419e+18,6.7319998e+20,0,30204796,18228894,48433690,0,1.35e+21,1823.0717,0,1823.0717,0,9.765625e-08,1.2549658e+08,-2.9113334e+11,8.8651663e+09,-1.9034053e+11,-2.595932e+10,-7.5113373e+09,-6.5787551e+10,3.7556687e+08,3.2893776e+09,4.3734368e+10,4.3734368e+10,2.0576784e+11,1.286049e+10,18422355
16000,80,0,2.5187342e+08,1.2090711e+17,2.0969337e+17,1.7896816e+21,0,9.7382782e+18,1.1411094e+18,4.32e+12,3.8977574e+16,3.0853118e+17,3.4029468e+18,6.7557038e+20,0,38989171,22478980,61468150,0,1.35e+21,2248.1228,6.5056156e-09,2248.1228,0,0,1.1741582e+08,-2.182032e+11,8.4711628e+09,-1.9476383e+11,-2.2823623e+10,-6.1712291e+09,-6.8057946e+10,3.0856146e+08,3.4028973e+09,4.4041639e+10,4.4041639e+10,1.9908287e+11,1.2442679e+10,21814737
18000,90,0,2.7158861e+08,1.3561269e+17,2.4396966e+17,1.7877814e+21,0,9.8696342e+18,1.0092049e+18,4.32e+12,3.8528871e+16,2.5360674e+17,3.488576e+18,6.7739299e+20,0,48938276,27200496,76138772,0,1.35e+21,2720.3216,2.5011104e-11,2720.3216,0,0,1.0985622e+08,-1.6453459e+11,8.082098e+09,-1.9739176e+11,-2.0185308e+10,-5.0726312e+09,-6.9770792e+10,2.5363156e+08,3.4885396e+09,4.4098227e+10,4.4098227e+10,1.9266961e+11,1.2041851e+10,25376312
