iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137307,1.7521518e+16,1.5704676e+16,1.8447045e+21,0,5.0301927e+18,3.1798428e+18,4.32e+12,3.7250595e+16,1.2299394e+18,1.8152171e+18,6.2417179e+20,0,512626.85,571931.87,1084558.7,0,1.35e+21,57.198907,2.3432015e-08,57.198907,0,0,1.8712053e+08,-2.0802236e+12,1.0694735e+10,-1.0058993e+11,-6.3602146e+10,-2.460123e+10,-3.6300522e+10,1.2300615e+09,1.8150261e+09,3.369832e+10,3.369832e+10,2.4298529e+11,1.518658e+10,3460600.2
4000,20,0,1.1297288e+08,3.3682063e+16,3.5717402e+16,1.827297e+21,0,6.2905067e+18,2.6997731e+18,4.32e+12,3.836736e+16,1.0086008e+18,2.1725774e+18,6.4062748e+20,0,1371258.8,1293082.8,2664341.6,0,1.35e+21,129.32121,3.7464048e-08,129.32121,0,0,1.7506546e+08,-1.4450796e+12,1.0552455e+10,-1.257988e+11,-5.3999806e+10,-2.0174015e+10,-4.344822e+10,1.0087008e+09,2.172411e+09,3.6609876e+10,3.6609876e+10,2.3891069e+11,1.4931918e+10,5157202.9
6000,30,0,1.3735454e+08,4.8927325e+16,5.9068336e+16,1.815108e+21,0,7.3064908e+18,2.3049218e+18,4.32e+12,3.9076824e+16,8.2727873e+17,2.4814341e+18,6.520302e+20,0,2607118.6,2159430.8,4766549.4,0,1.35e+21,215.96468,0,215.96468,0,9.765625e-08,1.6378786e+08,-1.0207138e+12,1.0306504e+10,-1.4612078e+11,-4.6102016e+10,-1.6547213e+10,-4.9625829e+10,8.2736066e+08,2.4812914e+09,3.8964314e+10,3.8964314e+10,2.3318341e+11,1.4573963e+10,7207897.2
8000,40,0,1.6172046e+08,6.3615747e+16,8.5282204e+16,1.8064353e+21,0,8.1082839e+18,1.9790783e+18,4.32e+12,3.9466925e+16,6.7872628e+17,2.7440596e+18,6.6007321e+20,0,4254012.8,3173087.6,7427100.5,0,1.35e+21,317.3405,2.7189913e-08,317.3405,0,0,1.5323758e+08,-7.3203412e+11,9.9926293e+09,-1.6215863e+11,-3.9584525e+10,-1.3575868e+10,-5.4878787e+10,6.7879341e+08,2.7439393e+09,4.0799528e+10,4.0799528e+10,2.2660826e+11,1.4163016e+10,9590549.4
10000,50,0,1.856344e+08,7.8021516e+16,1.1391125e+17,1.8001742e+21,0,8.7258242e+18,1.7092418e+18,4.32e+12,3.9603803e+16,5.5700964e+17,2.963691e+18,6.6584705e+20,0,6336360.4,4339712,10676072,0,1.35e+21,434.0146,7.5330661e-08,434.0146,0,0,1.4336773e+08,-5.3223393e+11,9.636039e+09,-1.7451113e+11,-3.4187292e+10,-1.1141293e+10,-5.9271827e+10,5.5706465e+08,2.9635913e+09,4.2167979e+10,4.2167979e+10,2.1967097e+11,1.3729436e+10,12275988
12000,60,0,2.0877102e+08,9.235117e+16,1.4454223e+17,1.7955953e+21,0,9.1870553e+18,1.4849617e+18,4.32e+12,3.9538892e+16,4.5727026e+17,3.1440317e+18,6.7006488e+20,0,8870411.9,5667109.6,14537522,0,1.35e+21,566.76764,-2.3047846e-08,566.76764,0,0,1.3413441e+08,-3.9164059e+11,9.2548259e+09,-1.8373719e+11,-2.9701278e+10,-9.1463066e+09,-6.2879013e+10,4.5731533e+08,3.1439507e+09,4.3126945e+10,4.3126945e+10,2.1266528e+11,1.329158e+10,15231221
14000,70,0,2.3089898e+08,1.0675733e+17,1.7679944e+17,1.792209e+21,0,9.5171435e+18,1.2978208e+18,4.32e+12,3.931323e+16,3.755299e+17,3.2889436e+18,6.7319985e+20,0,11865445,7164212,19029657,0,1.35e+21,716.49285,0,716.49285,0,9.765625e-08,1.2549658e+08,-2.9113566e+11,8.8620999e+09,-1.9034015e+11,-2.5958126e+10,-7.5113369e+09,-6.5777587e+10,3.7556684e+08,3.2888793e+09,4.3733154e+10,4.3733154e+10,2.057678e+11,1.2860487e+10,18421872
16000,80,0,2.5186432e+08,1.2134996e+17,2.1034539e+17,1.7896815e+21,0,9.7382495e+18,1.1410294e+18,4.32e+12,3.8960168e+16,3.0853115e+17,3.4022574e+18,6.7557017e+20,0,15324889,8840348.7,24165237,0,1.35e+21,884.12328,0,884.12328,0,9.765625e-08,1.1741582e+08,-2.1820661e+11,8.4673805e+09,-1.9476326e+11,-2.2822023e+10,-6.1712286e+09,-6.804416e+10,3.0856143e+08,3.402208e+09,4.403996e+10,4.403996e+10,1.9908281e+11,1.2442676e+10,21813949
18000,90,0,2.7157552e+08,1.3620555e+17,2.4487987e+17,1.7877813e+21,0,9.8695927e+18,1.0091015e+18,4.32e+12,3.8507153e+16,2.536067e+17,3.4876565e+18,6.7739268e+20,0,19247350,10704744,29952094,0,1.35e+21,1070.5815,4.2231022e-08,1070.5815,0,0,1.0985622e+08,-1.6453934e+11,8.0775428e+09,-1.9739093e+11,-2.0183241e+10,-5.0726305e+09,-6.9752403e+10,2.5363152e+08,3.4876202e+09,4.4095988e+10,4.4095988e+10,1.9266953e+11,1.2041845e+10,25375090
