iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137287,1.7523973e+16,1.5706687e+16,1.8447045e+21,0,5.0301927e+18,3.1798423e+18,4.32e+12,3.7250188e+16,1.2299394e+18,1.8152137e+18,6.2417179e+20,0,51803.3,57797.041,109600.34,0,1.35e+21,5.7802821,-1.1295005e-08,5.7802821,0,0,1.8712053e+08,-2.0802236e+12,1.0694619e+10,-1.0058993e+11,-6.3602136e+10,-2.460123e+10,-3.6300455e+10,1.2300615e+09,1.8150227e+09,3.3698312e+10,3.3698312e+10,2.4298529e+11,1.518658e+10,3460599.5
4000,20,0,1.1297277e+08,3.3692791e+16,3.5727528e+16,1.827297e+21,0,6.2905065e+18,2.6997709e+18,4.32e+12,3.8366323e+16,1.0086008e+18,2.1725617e+18,6.4062748e+20,0,138593.54,130696.84,269290.39,0,1.35e+21,13.070991,4.1767846e-08,13.070991,0,0,1.7506546e+08,-1.4450797e+12,1.0552169e+10,-1.257988e+11,-5.3999762e+10,-2.0174015e+10,-4.3447906e+10,1.0087008e+09,2.1723953e+09,3.6609838e+10,3.6609838e+10,2.3891069e+11,1.4931918e+10,5157197.9
6000,30,0,1.3735422e+08,4.8953457e+16,5.9095784e+16,1.815108e+21,0,7.3064901e+18,2.3049165e+18,4.32e+12,3.9074931e+16,8.2727873e+17,2.4813948e+18,6.520302e+20,0,263549.99,218309,481858.99,0,1.35e+21,21.833083,-1.0623893e-09,21.833083,0,0,1.6378786e+08,-1.0207139e+12,1.0306005e+10,-1.4612076e+11,-4.6101909e+10,-1.6547213e+10,-4.9625043e+10,8.2736065e+08,2.4812521e+09,3.8964218e+10,3.8964218e+10,2.3318341e+11,1.4573963e+10,7207880.7
8000,40,0,1.6171977e+08,6.366572e+16,8.5339608e+16,1.8064353e+21,0,8.108282e+18,1.9790682e+18,4.32e+12,3.9463933e+16,6.7872628e+17,2.7439832e+18,6.6007319e+20,0,430121.82,320865.87,750987.7,0,1.35e+21,32.089796,2.8325424e-08,32.089796,0,0,1.5323758e+08,-7.3203438e+11,9.9918719e+09,-1.6215859e+11,-3.9584323e+10,-1.3575868e+10,-5.4877259e+10,6.787934e+08,2.7438629e+09,4.0799343e+10,4.0799343e+10,2.2660825e+11,1.4163016e+10,9590508.5
10000,50,0,1.856331e+08,7.8105103e+16,1.1401491e+17,1.8001741e+21,0,8.7258204e+18,1.7092253e+18,4.32e+12,3.959945e+16,5.5700964e+17,2.9635619e+18,6.6584702e+20,0,640818.95,438961.44,1079780.4,0,1.35e+21,43.900534,9.607357e-08,43.900534,0,0,1.4336773e+08,-5.3223444e+11,9.6349801e+09,-1.7451106e+11,-3.4186962e+10,-1.1141293e+10,-5.9269245e+10,5.5706464e+08,2.9634622e+09,4.2167664e+10,4.2167664e+10,2.1967096e+11,1.3729435e+10,12275902
12000,60,0,2.087688e+08,9.2479544e+16,1.4471226e+17,1.7955952e+21,0,9.1870485e+18,1.484937e+18,4.32e+12,3.9532902e+16,4.5727025e+17,3.1438321e+18,6.7006483e+20,0,897335.44,573410.08,1470745.5,0,1.35e+21,57.346742,0,57.346742,0,9.765625e-08,1.3413441e+08,-3.9164145e+11,9.2534242e+09,-1.8373705e+11,-2.9700784e+10,-9.1463064e+09,-6.2875024e+10,4.5731532e+08,3.1437512e+09,4.3126459e+10,4.3126459e+10,2.1266527e+11,1.3291579e+10,15231059
14000,70,0,2.3089546e+08,1.0694314e+17,1.770599e+17,1.792209e+21,0,9.5171325e+18,1.2977862e+18,4.32e+12,3.9305317e+16,3.7552989e+17,3.2886541e+18,6.7319977e+20,0,1200670.3,725143.66,1925814,0,1.35e+21,72.521618,-4.0430081e-08,72.521618,0,0,1.2549658e+08,-2.9113701e+11,8.8603165e+09,-1.9033993e+11,-2.5957433e+10,-7.5113366e+09,-6.5771798e+10,3.7556683e+08,3.2885899e+09,4.3732449e+10,4.3732449e+10,2.0576777e+11,1.2860486e+10,18421591
16000,80,0,2.5185904e+08,1.2160739e+17,2.1072427e+17,1.7896815e+21,0,9.7382328e+18,1.1409829e+18,4.32e+12,3.8950035e+16,3.0853113e+17,3.4018566e+18,6.7557005e+20,0,1551241.1,895138.25,2446379.3,0,1.35e+21,89.522778,0,89.522778,0,9.765625e-08,1.1741582e+08,-2.1820858e+11,8.4651786e+09,-1.9476292e+11,-2.2821094e+10,-6.1712282e+09,-6.8036146e+10,3.0856141e+08,3.4018073e+09,4.4038983e+10,4.4038983e+10,1.9908277e+11,1.2442673e+10,21813491
18000,90,0,2.7156791e+08,1.3655042e+17,2.454091e+17,1.7877812e+21,0,9.8695686e+18,1.0090414e+18,4.32e+12,3.8494497e+16,2.5360668e+17,3.4871215e+18,6.7739251e+20,0,1948987,1084363.6,3033350.6,0,1.35e+21,108.4472,1.684991e-08,108.4472,0,0,1.0985622e+08,-1.6454211e+11,8.0748883e+09,-1.9739045e+11,-2.0182039e+10,-5.0726301e+09,-6.9741705e+10,2.536315e+08,3.4870853e+09,4.4094685e+10,4.4094685e+10,1.9266948e+11,1.2041842e+10,25374379
