iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137938,1.7442993e+16,1.5640337e+16,1.8447045e+21,0,5.0301935e+18,3.1798584e+18,4.32e+12,3.7263605e+16,1.2299394e+18,1.8153248e+18,6.241718e+20,0,15236066,16992140,32228206,0,1.35e+21,1699.3839,1.3798399e-08,1699.3839,0,0,1.8712053e+08,-2.0802235e+12,1.0698468e+10,-1.0058995e+11,-6.3602459e+10,-2.460123e+10,-3.6302674e+10,1.2300615e+09,1.8151337e+09,3.369858e+10,3.369858e+10,2.4298529e+11,1.518658e+10,3460624.7
4000,20,0,1.1297634e+08,3.3340148e+16,3.5394544e+16,1.827297e+21,0,6.2905136e+18,2.6998437e+18,4.32e+12,3.8400328e+16,1.0086008e+18,2.1730783e+18,6.4062753e+20,0,40553697,38198818,78752515,0,1.35e+21,3820.2639,-1.6620561e-08,3820.2639,0,0,1.7506546e+08,-1.4450785e+12,1.0561519e+10,-1.2579894e+11,-5.4001217e+10,-2.0174016e+10,-4.3458232e+10,1.0087008e+09,2.1729116e+09,3.661109e+10,3.661109e+10,2.3891071e+11,1.4931919e+10,5157361.1
6000,30,0,1.3736448e+08,4.8098163e+16,5.8196656e+16,1.8151081e+21,0,7.3065153e+18,2.3050921e+18,4.32e+12,3.9136587e+16,8.272788e+17,2.482682e+18,6.5203038e+20,0,76658237,63353603,1.4001184e+08,0,1.35e+21,6335.9939,1.1333213e-08,6335.9939,0,0,1.6378786e+08,-1.0207101e+12,1.0322263e+10,-1.4612127e+11,-4.6105421e+10,-1.6547215e+10,-4.9650777e+10,8.2736073e+08,2.4825389e+09,3.8967346e+10,3.8967346e+10,2.3318347e+11,1.4573967e+10,7208419.2
8000,40,0,1.6174223e+08,6.2038261e+16,8.3467503e+16,1.8064354e+21,0,8.1083441e+18,1.979397e+18,4.32e+12,3.9560723e+16,6.7872641e+17,2.7464721e+18,6.6007363e+20,0,1.2425467e+08,92349023,2.166037e+08,0,1.35e+21,9235.8259,-1.0615622e-08,9235.8259,0,0,1.5323758e+08,-7.3202566e+11,1.0016373e+10,-1.6215983e+11,-3.9590898e+10,-1.3575871e+10,-5.4927022e+10,6.7879353e+08,2.7463511e+09,4.0805399e+10,4.0805399e+10,2.266084e+11,1.4163025e+10,9591840.2
10000,50,0,1.8567521e+08,7.5398147e+16,1.1065111e+17,1.8001744e+21,0,8.725945e+18,1.7097602e+18,4.32e+12,3.9739146e+16,5.5700984e+17,2.967744e+18,6.658479e+20,0,1.8368943e+08,1.2515917e+08,3.088486e+08,0,1.35e+21,12517.169,1.0750955e-07,12517.169,0,0,1.4336773e+08,-5.322178e+11,9.6689639e+09,-1.7451355e+11,-3.4197656e+10,-1.1141297e+10,-5.9352867e+10,5.5706484e+08,2.9676433e+09,4.2177851e+10,4.2177851e+10,2.1967125e+11,1.3729453e+10,12278687
12000,60,0,2.0884017e+08,8.8348058e+16,1.3922494e+17,1.7955957e+21,0,9.1872683e+18,1.4857318e+18,4.32e+12,3.9723426e+16,4.5727054e+17,3.1502523e+18,6.7006639e+20,0,2.5498898e+08,1.6179754e+08,4.1678652e+08,0,1.35e+21,16181.372,1.0229996e-08,16181.372,0,0,1.3413441e+08,-3.9161338e+11,9.2980134e+09,-1.8374145e+11,-2.9716677e+10,-9.1463123e+09,-6.3003401e+10,4.5731562e+08,3.1501701e+09,4.3142104e+10,4.3142104e+10,2.1266576e+11,1.329161e+10,15236266
14000,70,0,2.3100792e+08,1.0100428e+17,1.6870578e+17,1.7922098e+21,0,9.517487e+18,1.2988947e+18,4.32e+12,3.95546e+16,3.755303e+17,3.2979023e+18,6.7320231e+20,0,3.3790033e+08,2.0228627e+08,5.401866e+08,0,1.35e+21,20230.65,0,20230.65,0,9.765625e-08,1.2549658e+08,-2.9109353e+11,8.9165033e+09,-1.9034702e+11,-2.59796e+10,-7.5113448e+09,-6.5956731e+10,3.7556724e+08,3.2978365e+09,4.3754992e+10,4.3754992e+10,2.0576855e+11,1.2860534e+10,18430563
16000,80,0,2.5202673e+08,1.1344046e+17,1.986528e+17,1.7896828e+21,0,9.738768e+18,1.1424575e+18,4.32e+12,3.9265888e+16,3.0853167e+17,3.4145588e+18,6.7557394e+20,0,4.3193137e+08,2.466345e+08,6.7856587e+08,0,1.35e+21,24665.917,2.3544999e-08,24665.917,0,0,1.1741582e+08,-2.1814527e+11,8.5338162e+09,-1.9477363e+11,-2.2850581e+10,-6.171239e+09,-6.8290152e+10,3.0856195e+08,3.4145076e+09,4.4069947e+10,4.4069947e+10,1.9908392e+11,1.2442745e+10,21828015
18000,90,0,2.7180728e+08,1.2569698e+17,2.2866876e+17,1.7877833e+21,0,9.8703364e+18,1.010932e+18,4.32e+12,3.8884482e+16,2.5360736e+17,3.5039296e+18,6.7739817e+20,0,5.3638996e+08,2.9482384e+08,8.312138e+08,0,1.35e+21,29485.333,-4.146932e-08,29485.333,0,0,1.0985622e+08,-1.6445418e+11,8.1566858e+09,-1.974058e+11,-2.0219846e+10,-5.0726437e+09,-7.0077823e+10,2.5363219e+08,3.5038911e+09,4.4135655e+10,4.4135655e+10,1.9267109e+11,1.2041943e+10,25396745
20000,100,0,2.9030956e+08,1.3778874e+17,2.5839985e+17,1.7863486e+21,0,9.9286858e+18,8.9987617e+17,4.32e+12,3.8432783e+16,2.0857328e+17,3.5694967e+18,6.7882472e+20,0,6.5042097e+08,3.4679948e+08,9.9722044e+08,0,1.35e+21,34683.416,1.1350494e-08,34683.416,0,0,1.0278416e+08,-1.2441395e+11,7.7898683e+09,-1.9857345e+11,-1.7998544e+10,-4.1718727e+09,-7.1389387e+10,2.0859363e+08,3.5694694e+09,4.3995559e+10,4.3995559e+10,1.8656097e+11,1.166006e+10,29107381
22000,110,0,3.0753172e+08,1.497116e+17,2.8753473e+17,1.7852626e+21,0,9.9278508e+18,8.0568911e+17,4.32e+12,3.7929294e+16,1.7164093e+17,3.6144796e+18,6.7995815e+20,0,7.7304088e+08,4.0246554e+08,1.1755064e+09,0,1.35e+21,40250.579,0,40250.579,0,9.765625e-08,96168198,-9.4189979e+10,7.4366304e+09,-1.9855728e+11,-1.611465e+10,-3.4331525e+09,-7.2289235e+10,1.7165763e+08,3.6144618e+09,4.3687855e+10,4.3687855e+10,1.8076663e+11,1.1297915e+10,32933547
24000,120,0,3.2350083e+08,1.6144755e+17,3.1580299e+17,1.7844412e+21,0,9.8796962e+18,7.2544673e+17,4.32e+12,3.7389291e+16,1.4134575e+17,3.6418183e+18,6.8087239e+20,0,9.0316973e+08,4.6168378e+08,1.3648535e+09,0,1.35e+21,46172.995,1.853914e-08,46172.995,0,0,89978920,-7.1122811e+10,7.099112e+09,-1.9759461e+11,-1.4509676e+10,-2.827189e+09,-7.2836172e+10,1.4135945e+08,3.6418086e+09,4.3245747e+10,4.3245747e+10,1.7528995e+11,1.0955622e+10,36852111
26000,130,0,3.3826532e+08,1.7296908e+17,3.4297311e+17,1.7838227e+21,0,9.794197e+18,6.5677025e+17,4.32e+12,3.6825355e+16,1.1648841e+17,3.6541709e+18,6.8162031e+20,0,1.0396601e+09,5.2427465e+08,1.5639348e+09,0,1.35e+21,52432.708,9.0454705e-08,52432.708,0,0,84188806,-5.3342897e+10,6.7786017e+09,-1.9588495e+11,-1.3136041e+10,-2.329993e+09,-7.308336e+10,1.1649965e+08,3.654168e+09,4.2697838e+10,4.2697838e+10,1.7012576e+11,1.063286e+10,40843255
28000,140,0,3.518887e+08,1.8424254e+17,3.6885032e+17,1.7833613e+21,0,9.6796993e+18,5.9772062e+17,4.32e+12,3.6247789e+16,9.6086719e+16,3.6539197e+18,6.8224017e+20,0,1.1813236e+09,5.9002024e+08,1.7713439e+09,0,1.35e+21,59007.925,-2.3828761e-08,59007.925,0,0,78772115,-3.951853e+10,6.4757472e+09,-1.9359525e+11,-1.195496e+10,-1.9219189e+09,-7.3078452e+10,96095947,3.6539226e+09,4.2068571e+10,4.2068571e+10,1.6526465e+11,1.0329041e+10,44890414
