iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137291,1.7523493e+16,1.5706295e+16,1.8447045e+21,0,5.0301927e+18,3.1798424e+18,4.32e+12,3.7250268e+16,1.2299394e+18,1.8152144e+18,6.2417179e+20,0,141787.96,158192.73,299980.69,0,1.35e+21,15.820855,7.0283306e-08,15.820855,0,0,1.8712053e+08,-2.0802236e+12,1.0694641e+10,-1.0058993e+11,-6.3602138e+10,-2.460123e+10,-3.6300468e+10,1.2300615e+09,1.8150234e+09,3.3698314e+10,3.3698314e+10,2.4298529e+11,1.518658e+10,3460599.6
4000,20,0,1.1297279e+08,3.3690696e+16,3.5725551e+16,1.827297e+21,0,6.2905065e+18,2.6997713e+18,4.32e+12,3.8366526e+16,1.0086008e+18,2.1725648e+18,6.4062748e+20,0,379325.26,357709.84,737035.1,0,1.35e+21,35.774561,-4.8532797e-08,35.774561,0,0,1.7506546e+08,-1.4450796e+12,1.0552225e+10,-1.257988e+11,-5.3999771e+10,-2.0174015e+10,-4.3447967e+10,1.0087008e+09,2.1723984e+09,3.6609845e+10,3.6609845e+10,2.3891069e+11,1.4931918e+10,5157198.9
6000,30,0,1.3735428e+08,4.8948354e+16,5.9090423e+16,1.815108e+21,0,7.3064902e+18,2.3049175e+18,4.32e+12,3.9075301e+16,8.2727873e+17,2.4814024e+18,6.520302e+20,0,721300.8,597474.2,1318775,0,1.35e+21,59.753396,2.9620423e-08,59.753396,0,0,1.6378786e+08,-1.0207139e+12,1.0306103e+10,-1.4612077e+11,-4.610193e+10,-1.6547213e+10,-4.9625196e+10,8.2736065e+08,2.4812598e+09,3.8964237e+10,3.8964237e+10,2.3318341e+11,1.4573963e+10,7207883.9
8000,40,0,1.6171991e+08,6.3655959e+16,8.5328396e+16,1.8064353e+21,0,8.1082823e+18,1.9790702e+18,4.32e+12,3.9464518e+16,6.7872628e+17,2.7439981e+18,6.600732e+20,0,1177137.6,878111.66,2055249.2,0,1.35e+21,87.819948,3.7898843e-08,87.819948,0,0,1.5323758e+08,-7.3203433e+11,9.9920198e+09,-1.621586e+11,-3.9584363e+10,-1.3575868e+10,-5.4877557e+10,6.7879341e+08,2.7438779e+09,4.0799379e+10,4.0799379e+10,2.2660825e+11,1.4163016e+10,9590516.5
10000,50,0,1.8563335e+08,7.8088774e+16,1.1399466e+17,1.8001741e+21,0,8.7258211e+18,1.7092286e+18,4.32e+12,3.9600301e+16,5.5700964e+17,2.9635871e+18,6.6584702e+20,0,1753682.7,1201236.1,2954918.8,0,1.35e+21,120.13562,6.7050152e-08,120.13562,0,0,1.4336773e+08,-5.3223434e+11,9.635187e+09,-1.7451107e+11,-3.4187026e+10,-1.1141293e+10,-5.9269749e+10,5.5706464e+08,2.9634875e+09,4.2167726e+10,4.2167726e+10,2.1967096e+11,1.3729435e+10,12275919
12000,60,0,2.0876924e+08,9.2454462e+16,1.4467904e+17,1.7955952e+21,0,9.1870498e+18,1.4849418e+18,4.32e+12,3.9534073e+16,4.5727025e+17,3.1438711e+18,6.7006484e+20,0,2455545.1,1569062.8,4024607.9,0,1.35e+21,156.92197,-9.2038874e-09,156.92197,0,0,1.3413441e+08,-3.9164128e+11,9.2536982e+09,-1.8373708e+11,-2.9700881e+10,-9.1463064e+09,-6.2875803e+10,4.5731532e+08,3.1437902e+09,4.3126553e+10,4.3126553e+10,2.1266527e+11,1.3291579e+10,15231091
14000,70,0,2.3089615e+08,1.0690683e+17,1.7700901e+17,1.792209e+21,0,9.5171346e+18,1.2977929e+18,4.32e+12,3.9306864e+16,3.7552989e+17,3.2887107e+18,6.7319979e+20,0,3285426.3,1984126.6,5269553,0,1.35e+21,198.4325,0,198.4325,0,9.765625e-08,1.2549658e+08,-2.9113675e+11,8.8606651e+09,-1.9033997e+11,-2.5957569e+10,-7.5113367e+09,-6.5772929e+10,3.7556683e+08,3.2886465e+09,4.3732587e+10,4.3732587e+10,2.0576778e+11,1.2860486e+10,18421646
16000,80,0,2.5186007e+08,1.2155707e+17,2.1065022e+17,1.7896815e+21,0,9.738236e+18,1.140992e+18,4.32e+12,3.8952017e+16,3.0853113e+17,3.401935e+18,6.7557007e+20,0,4244430.9,2449081.3,6693512.2,0,1.35e+21,244.93262,-1.0909304e-08,244.93262,0,0,1.1741582e+08,-2.182082e+11,8.4656091e+09,-1.9476299e+11,-2.2821275e+10,-6.1712283e+09,-6.8037712e+10,3.0856141e+08,3.4018856e+09,4.4039174e+10,4.4039174e+10,1.9908278e+11,1.2442674e+10,21813581
18000,90,0,2.715694e+08,1.36483e+17,2.4530565e+17,1.7877812e+21,0,9.8695733e+18,1.0090532e+18,4.32e+12,3.8496972e+16,2.5360668e+17,3.4872261e+18,6.7739254e+20,0,5332349.8,2966560.8,8298910.6,0,1.35e+21,296.68575,0,296.68575,0,9.765625e-08,1.0985622e+08,-1.6454157e+11,8.0754075e+09,-1.9739055e+11,-2.0182274e+10,-5.0726301e+09,-6.9743797e+10,2.5363151e+08,3.4871898e+09,4.409494e+10,4.409494e+10,1.9266949e+11,1.2041843e+10,25374518
