iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137292,1.7523367e+16,1.5706191e+16,1.8447045e+21,0,5.0301927e+18,3.1798424e+18,4.32e+12,3.7250289e+16,1.2299394e+18,1.8152146e+18,6.2417179e+20,0,165551.71,184705.81,350257.52,0,1.35e+21,18.472428,7.836719e-08,18.472428,0,0,1.8712053e+08,-2.0802236e+12,1.0694647e+10,-1.0058993e+11,-6.3602139e+10,-2.460123e+10,-3.6300471e+10,1.2300615e+09,1.8150236e+09,3.3698314e+10,3.3698314e+10,2.4298529e+11,1.518658e+10,3460599.6
4000,20,0,1.129728e+08,3.3690143e+16,3.5725028e+16,1.827297e+21,0,6.2905065e+18,2.6997714e+18,4.32e+12,3.8366579e+16,1.0086008e+18,2.1725656e+18,6.4062748e+20,0,442896.84,417658.12,860554.96,0,1.35e+21,41.769989,-1.7257435e-08,41.769989,0,0,1.7506546e+08,-1.4450796e+12,1.055224e+10,-1.257988e+11,-5.3999773e+10,-2.0174015e+10,-4.3447983e+10,1.0087008e+09,2.1723992e+09,3.6609847e+10,3.6609847e+10,2.3891069e+11,1.4931918e+10,5157199.1
6000,30,0,1.373543e+08,4.8947006e+16,5.9089008e+16,1.815108e+21,0,7.3064903e+18,2.3049178e+18,4.32e+12,3.9075398e+16,8.2727873e+17,2.4814045e+18,6.520302e+20,0,842176.62,697596.63,1539773.2,0,1.35e+21,69.766639,5.1691131e-09,69.766639,0,0,1.6378786e+08,-1.0207139e+12,1.0306128e+10,-1.4612077e+11,-4.6101935e+10,-1.6547213e+10,-4.9625237e+10,8.2736065e+08,2.4812618e+09,3.8964242e+10,3.8964242e+10,2.3318341e+11,1.4573963e+10,7207884.8
8000,40,0,1.6171994e+08,6.3653381e+16,8.5325435e+16,1.8064353e+21,0,8.1082824e+18,1.9790707e+18,4.32e+12,3.9464672e+16,6.7872628e+17,2.7440021e+18,6.600732e+20,0,1374387.9,1025248.9,2399636.8,0,1.35e+21,102.53515,-3.1407808e-08,102.53515,0,0,1.5323758e+08,-7.3203432e+11,9.9920589e+09,-1.621586e+11,-3.9584373e+10,-1.3575868e+10,-5.4877636e+10,6.7879341e+08,2.7438818e+09,4.0799388e+10,4.0799388e+10,2.2660825e+11,1.4163016e+10,9590518.6
10000,50,0,1.8563342e+08,7.8084462e+16,1.1398931e+17,1.8001741e+21,0,8.7258213e+18,1.7092294e+18,4.32e+12,3.9600525e+16,5.5700964e+17,2.9635938e+18,6.6584703e+20,0,2047518.4,1402495.8,3450014.2,0,1.35e+21,140.2636,5.3446911e-08,140.2636,0,0,1.4336773e+08,-5.3223431e+11,9.6352416e+09,-1.7451108e+11,-3.4187043e+10,-1.1141293e+10,-5.9269883e+10,5.5706464e+08,2.9634941e+09,4.2167742e+10,4.2167742e+10,2.1967096e+11,1.3729435e+10,12275923
12000,60,0,2.0876935e+08,9.2447839e+16,1.4467027e+17,1.7955952e+21,0,9.1870501e+18,1.4849431e+18,4.32e+12,3.9534382e+16,4.5727025e+17,3.1438814e+18,6.7006485e+20,0,2866941,1831919.5,4698860.5,0,1.35e+21,183.21027,4.6459576e-08,183.21027,0,0,1.3413441e+08,-3.9164124e+11,9.2537705e+09,-1.8373709e+11,-2.9700906e+10,-9.1463064e+09,-6.2876009e+10,4.5731532e+08,3.1438005e+09,4.3126579e+10,4.3126579e+10,2.1266527e+11,1.3291579e+10,15231099
14000,70,0,2.3089633e+08,1.0689724e+17,1.7699557e+17,1.792209e+21,0,9.5171352e+18,1.2977947e+18,4.32e+12,3.9307272e+16,3.7552989e+17,3.2887256e+18,6.7319979e+20,0,3835799.8,2316474.9,6152274.8,0,1.35e+21,231.67066,0,231.67066,0,9.765625e-08,1.2549658e+08,-2.9113668e+11,8.8607572e+09,-1.9033998e+11,-2.5957604e+10,-7.5113367e+09,-6.5773228e+10,3.7556683e+08,3.2886614e+09,4.3732623e+10,4.3732623e+10,2.0576778e+11,1.2860486e+10,18421660
16000,80,0,2.5186034e+08,1.2154379e+17,2.1063067e+17,1.7896815e+21,0,9.7382369e+18,1.1409944e+18,4.32e+12,3.895254e+16,3.0853113e+17,3.4019556e+18,6.7557008e+20,0,4955372.8,2859255.1,7814627.9,0,1.35e+21,285.95411,1.1133636e-08,285.95411,0,0,1.1741582e+08,-2.182081e+11,8.4657228e+09,-1.9476301e+11,-2.2821323e+10,-6.1712283e+09,-6.8038126e+10,3.0856141e+08,3.4019063e+09,4.4039225e+10,4.4039225e+10,1.9908278e+11,1.2442674e+10,21813604
18000,90,0,2.7156979e+08,1.364652e+17,2.4527834e+17,1.7877813e+21,0,9.8695746e+18,1.0090563e+18,4.32e+12,3.8497626e+16,2.5360668e+17,3.4872537e+18,6.7739255e+20,0,6225402.7,3463329.3,9688732,0,1.35e+21,346.36757,-3.0437036e-08,346.36757,0,0,1.0985622e+08,-1.6454143e+11,8.0755446e+09,-1.9739057e+11,-2.0182336e+10,-5.0726302e+09,-6.9744349e+10,2.5363151e+08,3.4872175e+09,4.4095007e+10,4.4095007e+10,1.9266949e+11,1.2041843e+10,25374554
20000,100,0,2.8998241e+08,1.5171323e+17,2.8067682e+17,1.7863456e+21,0,9.9276366e+18,8.9754165e+17,4.32e+12,3.7965291e+16,2.0857243e+17,3.5480866e+18,6.7881685e+20,0,7644393.8,4131636.2,11776030,0,1.35e+21,413.20494,3.4731841e-08,413.20494,0,0,1.0278416e+08,-1.2453063e+11,7.6951224e+09,-1.9855247e+11,-1.7951859e+10,-4.1718558e+09,-7.0961235e+10,2.0859279e+08,3.5480617e+09,4.3943379e+10,4.3943379e+10,1.865588e+11,1.1659925e+10,29074580
22000,110,0,3.0709422e+08,1.673197e+17,3.1659751e+17,1.7852582e+21,0,9.9264531e+18,8.028536e+17,4.32e+12,3.7374498e+16,1.716399e+17,3.5876685e+18,6.7994748e+20,0,9209873.3,4866918.6,14076792,0,1.35e+21,486.74053,-3.5922142e-08,486.74053,0,0,96168198,-9.4341349e+10,7.3278636e+09,-1.9852933e+11,-1.6057945e+10,-3.433132e+09,-7.175307e+10,1.716566e+08,3.5876535e+09,4.3622526e+10,4.3622526e+10,1.807638e+11,1.1297737e+10,32886696
24000,120,0,3.2293032e+08,1.8330133e+17,3.5284241e+17,1.7844351e+21,0,9.8778852e+18,7.2207254e+17,4.32e+12,3.6741066e+16,1.4134453e+17,3.6089444e+18,6.8085832e+20,0,10918619,5671687.7,16590307,0,1.35e+21,567.22549,3.5466655e-08,567.22549,0,0,89978920,-7.1314282e+10,6.9760434e+09,-1.9755839e+11,-1.4442197e+10,-2.8271645e+09,-7.2178757e+10,1.4135822e+08,3.6089379e+09,4.3165663e+10,4.3165663e+10,1.7528633e+11,1.0955395e+10,36787120
26000,130,0,3.3753733e+08,1.9966357e+17,3.8924139e+17,1.7838144e+21,0,9.7919053e+18,6.5282459e+17,4.32e+12,3.6078187e+16,1.1648696e+17,3.614587e+18,6.8160217e+20,0,12766854,6548210.2,19315065,0,1.35e+21,654.88651,1.2180783e-07,654.88651,0,0,84188806,-5.3579975e+10,6.6410778e+09,-1.9583912e+11,-1.3057133e+10,-2.3299641e+09,-7.2291753e+10,1.164982e+08,3.6145877e+09,4.2601427e+10,4.2601427e+10,1.7012124e+11,1.0632577e+10,40755355
28000,140,0,3.5097721e+08,2.1640375e+17,4.2564959e+17,1.7833504e+21,0,9.6768576e+18,5.9317582e+17,4.32e+12,3.5396837e+16,9.6085034e+16,3.6070022e+18,6.8221725e+20,0,14750416,7498510.1,22248926,0,1.35e+21,749.926,0,749.926,0,1.953125e-07,78772115,-3.9806757e+10,6.3237334e+09,-1.9353842e+11,-1.186407e+10,-1.9218852e+09,-7.2140179e+10,96094262,3.607009e+09,4.195432e+10,4.195432e+10,1.652591e+11,1.0328693e+10,44774135
30000,150,0,3.6332237e+08,2.335134e+17,4.6194478e+17,1.7830084e+21,0,9.5396914e+18,5.4154746e+17,4.32e+12,3.4706105e+16,7.9334369e+16,3.5883408e+18,6.827315e+20,0,16864894,8524381.4,25389275,0,1.35e+21,852.52339,0,852.52339,0,9.765625e-08,73704762,-2.9033774e+10,6.0242882e+09,-1.9079529e+11,-1.083143e+10,-1.5868389e+09,-7.1767052e+10,79341947,3.5883526e+09,4.1245162e+10,4.1245162e+10,1.6068795e+11,1.0042997e+10,48829286
32000,160,0,3.746517e+08,2.5098023e+17,4.9802495e+17,1.7827621e+21,0,9.3861683e+18,4.9664768e+17,4.32e+12,3.4013483e+16,6.5576193e+16,3.560513e+18,6.8316564e+20,0,19105745,9627407.6,28733152,0,1.35e+21,962.83705,0,962.83705,0,9.765625e-08,68964219,-2.0559016e+10,5.7426585e+09,-1.8772497e+11,-9.9333726e+09,-1.3116484e+09,-7.1210578e+10,65582419,3.5605289e+09,4.0491529e+10,4.0491529e+10,1.5639445e+11,9.774653e+09,52909531
