iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,89137340,1.7517437e+16,1.5701333e+16,1.8447045e+21,0,5.0301928e+18,3.1798436e+18,4.32e+12,3.7251272e+16,1.2299394e+18,1.8152227e+18,6.2417179e+20,0,1278625.1,1426518.7,2705143.8,0,1.35e+21,142.66614,1.082019e-07,142.66614,0,0,1.8712053e+08,-2.0802236e+12,1.069493e+10,-1.0058994e+11,-6.3602162e+10,-2.460123e+10,-3.6300634e+10,1.2300615e+09,1.8150317e+09,3.3698334e+10,3.3698334e+10,2.4298529e+11,1.518658e+10,3460601.5
4000,20,0,1.1297306e+08,3.3664233e+16,3.5700573e+16,1.827297e+21,0,6.2905071e+18,2.6997768e+18,4.32e+12,3.8369084e+16,1.0086008e+18,2.1726035e+18,6.4062748e+20,0,3419393.7,3224265,6643658.6,0,1.35e+21,322.45874,-4.5868774e-08,322.45874,0,0,1.7506546e+08,-1.4450796e+12,1.0552929e+10,-1.2579881e+11,-5.399988e+10,-2.0174015e+10,-4.3448742e+10,1.0087008e+09,2.1724371e+09,3.6609939e+10,3.6609939e+10,2.3891069e+11,1.4931918e+10,5157211.1
6000,30,0,1.3735506e+08,4.8883911e+16,5.9022732e+16,1.815108e+21,0,7.3064921e+18,2.3049307e+18,4.32e+12,3.9079967e+16,8.2727873e+17,2.4814994e+18,6.5203021e+20,0,6499197.2,5382550.7,11881748,0,1.35e+21,538.3089,1.2324108e-08,538.3089,0,0,1.6378786e+08,-1.0207136e+12,1.0307333e+10,-1.461208e+11,-4.6102194e+10,-1.6547213e+10,-4.9627135e+10,8.2736066e+08,2.4813567e+09,3.8964473e+10,3.8964473e+10,2.3318341e+11,1.4573963e+10,7207924.5
8000,40,0,1.617216e+08,6.3532762e+16,8.5186866e+16,1.8064353e+21,0,8.108287e+18,1.9790951e+18,4.32e+12,3.9471891e+16,6.7872629e+17,2.7441865e+18,6.6007323e+20,0,10601013,7905867.9,18506881,0,1.35e+21,790.66586,-1.5130126e-08,790.66586,0,0,1.5323758e+08,-7.3203368e+11,9.9938863e+09,-1.6215869e+11,-3.958486e+10,-1.3575868e+10,-5.4881324e+10,6.7879341e+08,2.7440662e+09,4.0799837e+10,4.0799837e+10,2.2660826e+11,1.4163017e+10,9590617.2
10000,50,0,1.8563656e+08,7.7882775e+16,1.1373916e+17,1.8001742e+21,0,8.7258306e+18,1.7092692e+18,4.32e+12,3.9611022e+16,5.5700965e+17,2.9639054e+18,6.6584709e+20,0,15784022,10807428,26591449,0,1.35e+21,1080.8508,6.6154826e-08,1080.8508,0,0,1.4336773e+08,-5.3223308e+11,9.6377952e+09,-1.7451126e+11,-3.418784e+10,-1.1141293e+10,-5.9276113e+10,5.5706466e+08,2.9638056e+09,4.2168501e+10,4.2168501e+10,2.1967098e+11,1.3729437e+10,12276131
12000,60,0,2.087747e+08,9.2138202e+16,1.4426008e+17,1.7955953e+21,0,9.1870665e+18,1.4850026e+18,4.32e+12,3.9548818e+16,4.5727027e+17,3.1443627e+18,6.7006496e+20,0,22086637,14105658,36192295,0,1.35e+21,1410.7069,2.3364464e-08,1410.7069,0,0,1.3413441e+08,-3.9163915e+11,9.2571489e+09,-1.8373741e+11,-2.9702097e+10,-9.1463069e+09,-6.2885632e+10,4.5731534e+08,3.1442816e+09,4.3127751e+10,4.3127751e+10,2.1266531e+11,1.3291582e+10,15231489
14000,70,0,2.3090481e+08,1.0644927e+17,1.7636748e+17,1.7922091e+21,0,9.5171617e+18,1.2978783e+18,4.32e+12,3.9326333e+16,3.7552992e+17,3.2894235e+18,6.7319998e+20,0,29529497,17821646,47351143,0,1.35e+21,1782.3429,0,1782.3429,0,9.765625e-08,1.2549658e+08,-2.9113342e+11,8.8650534e+09,-1.9034051e+11,-2.5959276e+10,-7.5113373e+09,-6.5787184e+10,3.7556686e+08,3.2893592e+09,4.3734324e+10,4.3734324e+10,2.0576784e+11,1.286049e+10,18422337
16000,80,0,2.5187308e+08,1.2092342e+17,2.0971739e+17,1.7896816e+21,0,9.7382771e+18,1.1411064e+18,4.32e+12,3.8976933e+16,3.0853117e+17,3.4029214e+18,6.7557037e+20,0,38118269,21977314,60095583,0,1.35e+21,2197.9512,1.1024895e-08,2197.9512,0,0,1.1741582e+08,-2.1820333e+11,8.4710236e+09,-1.9476381e+11,-2.2823564e+10,-6.1712291e+09,-6.8057439e+10,3.0856146e+08,3.4028719e+09,4.4041577e+10,4.4041577e+10,1.9908287e+11,1.2442679e+10,21814708
18000,90,0,2.7158812e+08,1.3563452e+17,2.4400318e+17,1.7877814e+21,0,9.8696327e+18,1.0092011e+18,4.32e+12,3.8528072e+16,2.5360673e+17,3.4885422e+18,6.7739298e+20,0,47846233,26594152,74440385,0,1.35e+21,2659.6812,-2.5393092e-08,2659.6812,0,0,1.0985622e+08,-1.6453476e+11,8.0819305e+09,-1.9739173e+11,-2.0185232e+10,-5.0726312e+09,-6.9770115e+10,2.5363156e+08,3.4885057e+09,4.4098145e+10,4.4098145e+10,1.9266961e+11,1.2041851e+10,25376267
