iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971025,9.6966536e+15,7.9105408e+15,1.844626e+21,0,5.2931978e+18,3.4903335e+18,4.32e+12,3.0363989e+16,1.3591407e+18,1.8424371e+18,6.235428e+20,0,605184.72,741814.98,1346999.7,0,1.35e+21,74.188917,8.24663e-08,74.188917,0,0,1.8712053e+08,-2.0950113e+12,8.717576e+09,-5.2923424e+10,-3.4904645e+10,-1.3592077e+10,-1.8422256e+10,6.7960387e+08,9.2111281e+08,1.7972133e+10,1.7972133e+10,2.4274053e+11,1.5171283e+10,1978861
4000,20,0,67220986,1.9487554e+16,1.817593e+16,1.8270175e+21,0,6.917624e+18,3.2406632e+18,4.32e+12,3.1287621e+16,1.2315018e+18,2.2544602e+18,6.3947308e+20,0,1635479,1753424.5,3388903.6,0,1.35e+21,175.35999,-1.9683768e-08,175.35999,0,0,1.7506546e+08,-1.4698533e+12,8.6052567e+09,-6.9168553e+10,-3.2407822e+10,-1.2315626e+10,-2.25426e+10,6.1578128e+08,1.12713e+09,2.0579515e+10,2.0579515e+10,2.3848026e+11,1.4905016e+10,3068632.6
6000,30,0,84702450,2.9467123e+16,3.0441323e+16,1.8145451e+21,0,8.3684508e+18,3.0133193e+18,4.32e+12,3.1936502e+16,1.1158972e+18,2.6420556e+18,6.5042875e+20,0,3149038.2,3048095.5,6197133.7,0,1.35e+21,304.84004,0,304.84004,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.423233e+09,-8.3677682e+10,-3.0134279e+10,-1.1159522e+10,-2.6418683e+10,5.5797611e+08,1.3209341e+09,2.2917963e+10,2.2917963e+10,2.3261075e+11,1.4538172e+10,4444895.4
8000,40,0,1.030819e+08,3.9719156e+16,4.4576227e+16,1.8055347e+21,0,9.6501199e+18,2.8056568e+18,4.32e+12,3.238277e+16,1.011189e+18,3.0030645e+18,6.5808557e+20,0,5211368.6,4643242.1,9854610.7,0,1.35e+21,464.37064,-2.0497112e-08,464.37064,0,0,1.5323758e+08,-7.6779887e+11,8.1989726e+09,-9.6495199e+10,-2.8057561e+10,-1.0112389e+10,-3.0028908e+10,5.0561943e+08,1.5014454e+09,2.4987392e+10,2.4987392e+10,2.2592594e+11,1.4120371e+10,6113092.2
10000,50,0,1.2206794e+08,5.031076e+16,6.0442337e+16,1.7989015e+21,0,1.077173e+19,2.6154918e+18,4.32e+12,3.2674448e+16,9.1634728e+17,3.3366546e+18,6.6352335e+20,0,7879931.7,6558613.9,14438546,0,1.35e+21,655.92699,8.2435008e-08,655.92699,0,0,1.4336773e+08,-5.7064778e+11,7.9500265e+09,-1.0771207e+11,-2.6155828e+10,-9.163924e+09,-3.3364947e+10,4.581962e+08,1.6682473e+09,2.6797785e+10,2.6797785e+10,2.189044e+11,1.3681525e+10,8072343.1
12000,60,0,1.4141008e+08,6.1294505e+16,7.7898865e+16,1.7939305e+21,0,1.1744672e+19,2.4409835e+18,4.32e+12,3.2844754e+16,8.3043948e+17,3.6428324e+18,6.6744838e+20,0,11204386,8815483.1,20019869,0,1.35e+21,881.63647,-2.6113412e-08,881.63647,0,0,1.3413441e+08,-4.3146056e+11,7.6879077e+09,-1.1744221e+11,-2.4410671e+10,-8.3048035e+09,-3.6426861e+10,4.1524017e+08,1.821343e+09,2.8364498e+10,2.8364498e+10,2.118349e+11,1.3239681e+10,10316797
14000,70,0,1.6089588e+08,7.2710353e+16,9.6805958e+16,1.7901431e+21,0,1.2581245e+19,2.2805565e+18,4.32e+12,3.2917572e+16,7.526215e+17,3.9221392e+18,6.7032911e+20,0,15226954,11435968,26662923,0,1.35e+21,1143.7112,0,1143.7112,0,9.765625e-08,1.2549658e+08,-3.3142779e+11,7.4203413e+09,-1.2580859e+11,-2.2806334e+10,-7.5265852e+09,-3.9220061e+10,3.7632926e+08,1.961003e+09,2.9705468e+10,2.9705468e+10,2.0489037e+11,1.2805648e+10,12836797
16000,80,0,1.8034733e+08,8.4587381e+16,1.1702688e+17,1.7872133e+21,0,1.3293839e+19,2.1328459e+18,4.32e+12,3.291075e+16,6.8212913e+17,4.1754569e+18,6.7248029e+20,0,19982866,14442482,34425348,0,1.35e+21,1444.3927,1.502076e-08,1444.3927,0,0,1.1741582e+08,-2.5826251e+11,7.1526017e+09,-1.3293511e+11,-2.1329168e+10,-6.8216267e+09,-4.1753365e+10,3.4108133e+08,2.0876683e+09,3.0839552e+10,3.0839552e+10,1.9817229e+11,1.2385768e+10,15619867
18000,90,0,1.9961712e+08,9.6945334e+16,1.3842945e+17,1.784916e+21,0,1.3894475e+19,1.9966586e+18,4.32e+12,3.283811e+16,6.1827051e+17,4.4038819e+18,6.7411601e+20,0,25500821,17857283,43358104,0,1.35e+21,1785.9068,-5.9831109e-09,1785.9068,0,0,1.0985622e+08,-2.0382039e+11,6.8883291e+09,-1.3894201e+11,-1.996724e+10,-6.1830089e+09,-4.4037737e+10,3.0915045e+08,2.2018869e+09,3.1785543e+10,3.1785543e+10,1.9173757e+11,1.1983598e+10,18651542
20000,100,0,2.1858507e+08,1.09796e+17,1.6088688e+17,1.7830932e+21,0,1.4394547e+19,1.870944e+18,4.32e+12,3.2710695e+16,5.6041928e+17,4.6086409e+18,6.7538348e+20,0,31803477,21702118,53505594,0,1.35e+21,2170.4288,2.3451321e-09,2170.4288,0,0,1.0278416e+08,-1.6262638e+11,6.6300429e+09,-1.439432e+11,-1.8710044e+10,-5.604468e+09,-4.6085443e+10,2.802234e+08,2.3042721e+09,3.2561593e+10,3.2561593e+10,1.8561523e+11,1.1600952e+10,21916050
22000,110,0,2.3715473e+08,1.2314442e+17,1.8427838e+17,1.7816321e+21,0,1.4804694e+19,1.7547712e+18,4.32e+12,3.2537569e+16,5.0800834e+17,4.7910339e+18,6.7638504e+20,0,38907924,25997948,64905872,0,1.35e+21,2600.0548,-5.2154974e-09,2600.0548,0,0,96168198,-1.3094903e+11,6.3794733e+09,-1.4804509e+11,-1.7548271e+10,-5.0803328e+09,-4.790948e+10,2.5401664e+08,2.395474e+09,3.3184904e+10,3.3184904e+10,1.7981674e+11,1.1238546e+10,25396881
24000,120,0,2.5525034e+08,1.3699e+17,2.0848944e+17,1.7804513e+21,0,1.5134746e+19,1.6473117e+18,4.32e+12,3.2326331e+16,4.6052428e+17,4.9523947e+18,6.7719246e+20,0,46826164,30764738,77590901,0,1.35e+21,3076.7814,-2.5988811e-09,3076.7814,0,0,89978920,-1.0621102e+11,6.1377829e+09,-1.5134599e+11,-1.6473634e+10,-4.6054687e+09,-4.952319e+10,2.3027344e+08,2.4761595e+09,3.3671559e+10,3.3671559e+10,1.7434257e+11,1.089641e+10,29077247
26000,130,0,2.7281403e+08,1.5132744e+17,2.33412e+17,1.7794909e+21,0,1.5393721e+19,1.5478246e+18,4.32e+12,3.2083457e+16,4.1750226e+17,5.0940637e+18,6.7785654e+20,0,55565563,36021298,91586860,0,1.35e+21,3602.49,8.7324679e-08,3602.49,0,0,84188806,-8.6608775e+10,5.9057179e+09,-1.5393608e+11,-1.5478725e+10,-4.1752272e+09,-5.0939975e+10,2.0876136e+08,2.5469988e+09,3.4036462e+10,3.4036462e+10,1.6918637e+11,1.0574148e+10,32940454
28000,140,0,2.898034e+08,1.6614757e+17,2.5894442e+17,1.7787064e+21,0,1.5589849e+19,1.4556452e+18,4.32e+12,3.1814534e+16,3.7852139e+17,5.217368e+18,6.7841354e+20,0,65129292,41785184,1.0691448e+08,0,1.35e+21,4178.9363,0,4178.9363,0,1.953125e-07,78772115,-7.0863784e+10,5.6837159e+09,-1.5589765e+11,-1.4556896e+10,-3.7853993e+09,-5.2173107e+10,1.8926997e+08,2.6086554e+09,3.4293332e+10,3.4293332e+10,1.643377e+11,1.0271106e+10,36970197
30000,150,0,3.0618927e+08,1.814381e+17,2.849915e+17,1.7780639e+21,0,1.5730604e+19,1.370175e+18,4.32e+12,3.1524424e+16,3.432006e+17,5.3236076e+18,6.7888949e+20,0,75516747,48072630,1.2358938e+08,0,1.35e+21,4807.7438,0,4807.7438,0,9.765625e-08,73704762,-5.805817e+10,5.4719831e+09,-1.5730546e+11,-1.3702162e+10,-3.4321741e+09,-5.3235586e+10,1.716087e+08,2.6617793e+09,3.4454733e+10,3.4454733e+10,1.5978369e+11,9.9864807e+09,41150793
32000,160,0,3.2195376e+08,1.9718426e+17,3.1146428e+17,1.7775377e+21,0,1.5822755e+19,1.2908735e+18,4.32e+12,3.1217382e+16,3.1119486e+17,5.4140453e+18,6.7930323e+20,0,86723947,54898513,1.4162246e+08,0,1.35e+21,5490.4004,3.6074198e-08,5490.4004,0,0,68964219,-4.752461e+10,5.2705524e+09,-1.582272e+11,-1.2909117e+10,-3.1121009e+09,-5.4140038e+10,1.5560505e+08,2.7070019e+09,3.4532127e+10,3.4532127e+10,1.5551024e+11,9.7193902e+09,45467357
34000,170,0,3.3708854e+08,2.1336931e+17,3.3827997e+17,1.7771076e+21,0,1.5872414e+19,1.2172513e+18,4.32e+12,3.0897147e+16,2.8219176e+17,5.4898994e+18,6.7966847e+20,0,98743906,62276351,1.6102026e+08,0,1.35e+21,6228.2579,0,6228.2579,0,9.765625e-08,64529407,-3.877184e+10,5.0793261e+09,-1.5872399e+11,-1.2172868e+10,-2.8220556e+09,-5.4898649e+10,1.4110278e+08,2.7449324e+09,3.4535933e+10,3.4535933e+10,1.5150272e+11,9.4689199e+09,49905932
