iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971159,9.6627924e+15,7.8848951e+15,1.844626e+21,0,5.293198e+18,3.4903402e+18,4.32e+12,3.0369418e+16,1.3591407e+18,1.8424831e+18,6.2354281e+20,0,6474602.4,7934358.8,14408961,0,1.35e+21,793.51524,6.1945684e-08,793.51524,0,0,1.8712053e+08,-2.0950113e+12,8.7191336e+09,-5.2923426e+10,-3.4904712e+10,-1.3592077e+10,-1.8422716e+10,6.7960387e+08,9.2113579e+08,1.7972189e+10,1.7972189e+10,2.4274053e+11,1.5171283e+10,1978866.2
4000,20,0,67221752,1.9335243e+16,1.804609e+16,1.8270175e+21,0,6.9176256e+18,3.2406947e+18,4.32e+12,3.1301674e+16,1.2315019e+18,2.2546836e+18,6.3947309e+20,0,17428780,18673041,36101821,0,1.35e+21,1867.4908,-3.7574637e-08,1867.4908,0,0,1.7506546e+08,-1.469853e+12,8.6091205e+09,-6.9168569e+10,-3.2408137e+10,-1.2315626e+10,-2.2544833e+10,6.1578129e+08,1.1272417e+09,2.0579783e+10,2.0579783e+10,2.3848026e+11,1.4905017e+10,3068667.6
6000,30,0,84704729,2.9086192e+16,3.0087136e+16,1.8145451e+21,0,8.3684566e+18,3.0133985e+18,4.32e+12,3.1962497e+16,1.1158973e+18,2.6426351e+18,6.5042879e+20,0,33406495,32293383,65699878,0,1.35e+21,3229.6613,0,3229.6613,0,9.765625e-08,1.6378786e+08,-1.0521469e+12,8.4300872e+09,-8.3677741e+10,-3.013507e+10,-1.1159523e+10,-2.6424476e+10,5.5797613e+08,1.3212238e+09,2.2918658e+10,2.2918658e+10,2.3261077e+11,1.4538173e+10,4445015
8000,40,0,1.0308707e+08,3.8973056e+16,4.3830429e+16,1.8055348e+21,0,9.650135e+18,2.805811e+18,4.32e+12,3.2424361e+16,1.0111891e+18,3.0042284e+18,6.5808566e+20,0,54999661,48901454,1.0390112e+08,0,1.35e+21,4890.6345,3.6410711e-08,4890.6345,0,0,1.5323758e+08,-7.6779691e+11,8.209501e+09,-9.649535e+10,-2.8059102e+10,-1.0112389e+10,-3.0040544e+10,5.0561946e+08,1.5020272e+09,2.4988785e+10,2.4988785e+10,2.2592598e+11,1.4120374e+10,6113398.5
10000,50,0,1.2207795e+08,4.903566e+16,5.9086098e+16,1.7989016e+21,0,1.0771761e+19,2.6157519e+18,4.32e+12,3.2735587e+16,9.1634739e+17,3.3386819e+18,6.6352355e+20,0,82680381,68611888,1.5129227e+08,0,1.35e+21,6861.875,8.4659405e-08,6861.875,0,0,1.4336773e+08,-5.7064392e+11,7.9648995e+09,-1.0771239e+11,-2.6158429e+10,-9.1639251e+09,-3.3385215e+10,4.5819625e+08,1.6692607e+09,2.6800207e+10,2.6800207e+10,2.1890447e+11,1.3681529e+10,8073005.2
12000,60,0,1.414276e+08,5.9298374e+16,7.5658458e+16,1.7939306e+21,0,1.1744731e+19,2.4413841e+18,4.32e+12,3.2929632e+16,8.3043965e+17,3.6460532e+18,6.6744875e+20,0,1.1680206e+08,91538474,2.0834053e+08,0,1.35e+21,9154.7629,0,9154.7629,0,9.765625e-08,1.3413441e+08,-4.3145385e+11,7.7077719e+09,-1.1744279e+11,-2.4414676e+10,-8.3048052e+09,-3.6459062e+10,4.1524026e+08,1.8229531e+09,2.8368337e+10,2.8368337e+10,2.1183501e+11,1.3239688e+10,10318075
14000,70,0,1.6092434e+08,6.9772106e+16,9.3350514e+16,1.7901433e+21,0,1.2581343e+19,2.2811346e+18,4.32e+12,3.3030569e+16,7.5262174e+17,3.9269338e+18,6.7032973e+20,0,1.576028e+08,1.1778636e+08,2.7538915e+08,0,1.35e+21,11779.814,0,11779.814,0,9.765625e-08,1.2549658e+08,-3.3141709e+11,7.44581e+09,-1.2580957e+11,-2.2812115e+10,-7.5265876e+09,-3.9267998e+10,3.7632938e+08,1.9633999e+09,2.9711172e+10,2.9711172e+10,2.0489056e+11,1.280566e+10,12839067
16000,80,0,1.8039104e+08,8.0456156e+16,1.1196721e+17,1.7872136e+21,0,1.3293994e+19,2.1336409e+18,4.32e+12,3.3056379e+16,6.8212947e+17,4.1822542e+18,6.7248127e+20,0,2.0521041e+08,1.4744571e+08,3.5265612e+08,0,1.35e+21,14746.046,0,14746.046,0,9.765625e-08,1.1741582e+08,-2.5824648e+11,7.1842478e+09,-1.3293666e+11,-2.1337116e+10,-6.82163e+09,-4.1821328e+10,3.410815e+08,2.0910664e+09,3.0847624e+10,3.0847624e+10,1.9817257e+11,1.2385786e+10,15623653
18000,90,0,1.9968135e+08,9.1339943e+16,1.3131782e+17,1.7849165e+21,0,1.3894706e+19,1.9977112e+18,4.32e+12,3.3020955e+16,6.1827095e+17,4.4131567e+18,6.7411747e+20,0,2.5964855e+08,1.8058677e+08,4.4023533e+08,0,1.35e+21,18060.484,1.1896191e-08,18060.484,0,0,1.0985622e+08,-2.0379753e+11,6.9266796e+09,-1.3894432e+11,-1.9977764e+10,-6.1830133e+09,-4.4130472e+10,3.0915067e+08,2.2065236e+09,3.1796536e+10,3.1796536e+10,1.9173799e+11,1.1983624e+10,18657543
20000,100,0,2.1867608e+08,1.024046e+17,1.5121779e+17,1.783094e+21,0,1.4394879e+19,1.8722957e+18,4.32e+12,3.2935357e+16,5.6041985e+17,4.6209103e+18,6.7538558e+20,0,3.2084375e+08,2.172561e+08,5.3809984e+08,0,1.35e+21,21727.782,3.9504812e-08,21727.782,0,0,1.0278416e+08,-1.6259498e+11,6.6755746e+09,-1.4394652e+11,-1.872356e+10,-5.6044737e+09,-4.620812e+10,2.8022368e+08,2.310406e+09,3.257611e+10,3.257611e+10,1.8561581e+11,1.1600988e+10,21925175
22000,110,0,2.3727986e+08,1.1362445e+17,1.7149014e+17,1.7816332e+21,0,1.4805153e+19,1.7564641e+18,4.32e+12,3.2808612e+16,5.0800906e+17,4.8068529e+18,6.7638796e+20,0,3.8863301e+08,2.5747387e+08,6.4610688e+08,0,1.35e+21,25749.962,-1.7680577e-09,25749.962,0,0,96168198,-1.3090721e+11,6.4326104e+09,-1.4804969e+11,-1.7565198e+10,-5.0803399e+09,-4.8067652e+10,2.54017e+08,2.4033826e+09,3.3203589e+10,3.3203589e+10,1.7981752e+11,1.1238595e+10,25410281
24000,120,0,2.5541801e+08,1.2496835e+17,1.9196652e+17,1.7804529e+21,0,1.5135364e+19,1.6493875e+18,4.32e+12,3.2648223e+16,4.6052517e+17,4.9723518e+18,6.771964e+20,0,4.6277192e+08,3.012323e+08,7.6400422e+08,0,1.35e+21,30126.242,-4.43506e-08,30126.242,0,0,89978920,-1.0615675e+11,6.1988951e+09,-1.5135217e+11,-1.649439e+10,-4.6054776e+09,-4.972274e+10,2.3027388e+08,2.486137e+09,3.3695096e+10,3.3695096e+10,1.7434358e+11,1.0896474e+10,29096347
