iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971017,9.6987305e+15,7.9121136e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363656e+16,1.3591407e+18,1.8424343e+18,6.235428e+20,0,244812.24,300087.17,544899.41,0,1.35e+21,30.011719,1.1821072e-08,30.011719,0,0,1.8712053e+08,-2.0950113e+12,8.7174803e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.8422228e+10,6.7960387e+08,9.211114e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220939,1.9496924e+16,1.8183916e+16,1.8270175e+21,0,6.917624e+18,3.2406612e+18,4.32e+12,3.1286754e+16,1.2315018e+18,2.2544465e+18,6.3947308e+20,0,661750.92,709503.69,1371254.6,0,1.35e+21,70.957465,-4.2700748e-08,70.957465,0,0,1.7506546e+08,-1.4698533e+12,8.6050185e+09,-6.9168552e+10,-3.2407803e+10,-1.2315626e+10,-2.2542463e+10,6.1578128e+08,1.1271232e+09,2.0579499e+10,2.0579499e+10,2.3848026e+11,1.4905016e+10,3068630.5
6000,30,0,84702309,2.949064e+16,3.0463177e+16,1.8145451e+21,0,8.3684504e+18,3.0133144e+18,4.32e+12,3.1934891e+16,1.1158972e+18,2.6420198e+18,6.5042875e+20,0,1274525.1,1233769,2508294.1,0,1.35e+21,123.38923,3.8739785e-08,123.38923,0,0,1.6378786e+08,-1.0521478e+12,8.4228082e+09,-8.3677679e+10,-3.013423e+10,-1.1159522e+10,-2.6418325e+10,5.5797611e+08,1.3209163e+09,2.291792e+10,2.291792e+10,2.3261075e+11,1.4538172e+10,4444888
8000,40,0,1.0308158e+08,3.9765402e+16,4.4622414e+16,1.8055347e+21,0,9.6501189e+18,2.8056473e+18,4.32e+12,3.2380177e+16,1.011189e+18,3.0029924e+18,6.5808556e+20,0,2109892.6,1880119.6,3990012.3,0,1.35e+21,188.03077,2.7913273e-08,188.03077,0,0,1.5323758e+08,-7.67799e+11,8.1983163e+09,-9.649519e+10,-2.8057466e+10,-1.0112389e+10,-3.0028187e+10,5.0561943e+08,1.5014094e+09,2.4987306e+10,2.4987306e+10,2.2592594e+11,1.4120371e+10,6113073.2
10000,50,0,1.2206732e+08,5.0390156e+16,6.0526677e+16,1.7989015e+21,0,1.0771728e+19,2.6154756e+18,4.32e+12,3.2670612e+16,9.1634728e+17,3.3365284e+18,6.6352333e+20,0,3191441.1,2656780.5,5848221.5,0,1.35e+21,265.70462,6.4601238e-08,265.70462,0,0,1.4336773e+08,-5.7064802e+11,7.9490933e+09,-1.0771205e+11,-2.6155666e+10,-9.1639239e+09,-3.3363685e+10,4.581962e+08,1.6681843e+09,2.6797635e+10,2.6797635e+10,2.189044e+11,1.3681525e+10,8072301.9
12000,60,0,1.4140899e+08,6.1419425e+16,7.8038831e+16,1.7939305e+21,0,1.1744669e+19,2.4409584e+18,4.32e+12,3.283939e+16,8.3043947e+17,3.6426309e+18,6.6744836e+20,0,4539692.6,3572638.6,8112331.2,0,1.35e+21,357.29959,9.724431e-09,357.29959,0,0,1.3413441e+08,-4.3146098e+11,7.6866524e+09,-1.1744217e+11,-2.4410421e+10,-8.3048034e+09,-3.6424846e+10,4.1524017e+08,1.8212423e+09,2.8364258e+10,2.8364258e+10,2.1183489e+11,1.3239681e+10,10316717
14000,70,0,1.6089409e+08,7.289525e+16,9.7022925e+16,1.7901431e+21,0,1.2581239e+19,2.2805201e+18,4.32e+12,3.2910374e+16,7.5262149e+17,3.9218375e+18,6.7032907e+20,0,6172258.3,4636974.2,10809233,0,1.35e+21,463.7438,-3.01809e-08,463.7438,0,0,1.2549658e+08,-3.3142846e+11,7.4187191e+09,-1.2580852e+11,-2.2805971e+10,-7.526585e+09,-3.9217045e+10,3.7632925e+08,1.9608522e+09,2.9705109e+10,2.9705109e+10,2.0489036e+11,1.2805647e+10,12836654
16000,80,0,1.8034456e+08,8.4848915e+16,1.1734634e+17,1.7872133e+21,0,1.3293829e+19,2.1327956e+18,4.32e+12,3.2901394e+16,6.8212911e+17,4.1750266e+18,6.7248023e+20,0,8104018.8,5859240.2,13963259,0,1.35e+21,585.98262,0,585.98262,0,9.765625e-08,1.1741582e+08,-2.5826351e+11,7.1505685e+09,-1.3293502e+11,-2.1328665e+10,-6.8216264e+09,-4.1749063e+10,3.4108132e+08,2.0874532e+09,3.0839041e+10,3.0839041e+10,1.9817227e+11,1.2385767e+10,15619628
18000,90,0,1.9961303e+08,9.7302499e+16,1.3888115e+17,1.784916e+21,0,1.389446e+19,1.9965916e+18,4.32e+12,3.2826252e+16,6.1827048e+17,4.4032909e+18,6.7411592e+20,0,10347317,7248884.7,17596201,0,1.35e+21,724.96097,3.6798951e-08,724.96097,0,0,1.0985622e+08,-2.0382184e+11,6.8858421e+09,-1.3894186e+11,-1.996657e+10,-6.1830086e+09,-4.4031828e+10,3.0915043e+08,2.2015914e+09,3.1784843e+10,3.1784843e+10,1.9173755e+11,1.1983597e+10,18651160
