iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971072,9.684885e+15,7.9016282e+15,1.844626e+21,0,5.2931979e+18,3.4903359e+18,4.32e+12,3.0365877e+16,1.3591407e+18,1.8424531e+18,6.235428e+20,0,2646380.9,3243562,5889942.9,0,1.35e+21,324.38864,5.6369572e-08,324.38863,0,0,1.8712053e+08,-2.0950113e+12,8.7181177e+09,-5.2923424e+10,-3.4904668e+10,-1.3592077e+10,-1.8422416e+10,6.7960387e+08,9.2112079e+08,1.7972153e+10,1.7972153e+10,2.4274053e+11,1.5171283e+10,1978862.8
4000,20,0,67221253,1.9434521e+16,1.813073e+16,1.8270175e+21,0,6.9176246e+18,3.2406741e+18,4.32e+12,3.1292521e+16,1.2315019e+18,2.254538e+18,6.3947308e+20,0,7141963.7,7655219.8,14797183,0,1.35e+21,765.59854,-2.0944071e-08,765.59854,0,0,1.7506546e+08,-1.4698532e+12,8.606604e+09,-6.9168558e+10,-3.2407931e+10,-1.2315626e+10,-2.2543378e+10,6.1578128e+08,1.1271689e+09,2.0579609e+10,2.0579609e+10,2.3848026e+11,1.4905016e+10,3068644.8
6000,30,0,84703245,2.9334201e+16,3.0317774e+16,1.8145451e+21,0,8.3684528e+18,3.0133469e+18,4.32e+12,3.1945595e+16,1.1158972e+18,2.6422578e+18,6.5042877e+20,0,13729850,13283705,27013556,0,1.35e+21,1328.5034,-2.9357579e-08,1328.5034,0,0,1.6378786e+08,-1.0521474e+12,8.4256304e+09,-8.3677703e+10,-3.0134555e+10,-1.1159522e+10,-2.6420704e+10,5.5797612e+08,1.3210352e+09,2.2918205e+10,2.2918205e+10,2.3261076e+11,1.4538172e+10,4444937.2
8000,40,0,1.0308371e+08,3.9458167e+16,4.4315486e+16,1.8055348e+21,0,9.6501251e+18,2.8057107e+18,4.32e+12,3.2397369e+16,1.0111891e+18,3.0034716e+18,6.580856e+20,0,22680787,20193538,42874325,0,1.35e+21,2019.5558,8.2523002e-09,2019.5558,0,0,1.5323758e+08,-7.6779819e+11,8.2026683e+09,-9.6495252e+10,-2.80581e+10,-1.0112389e+10,-3.0032978e+10,5.0561944e+08,1.5016489e+09,2.498788e+10,2.498788e+10,2.2592595e+11,1.4120372e+10,6113199.3
10000,50,0,1.2207145e+08,4.9863481e+16,5.996697e+16,1.7989015e+21,0,1.0771741e+19,2.615583e+18,4.32e+12,3.2695995e+16,9.1634732e+17,3.3373656e+18,6.6352342e+20,0,34225318,28456929,62682247,0,1.35e+21,2845.9775,6.9868292e-08,2845.9775,0,0,1.4336773e+08,-5.7064643e+11,7.9552681e+09,-1.0771218e+11,-2.615674e+10,-9.1639244e+09,-3.3372055e+10,4.5819622e+08,1.6686028e+09,2.6798635e+10,2.6798635e+10,2.1890443e+11,1.3681527e+10,8072575.3
12000,60,0,1.4141624e+08,6.0592138e+16,7.7111378e+16,1.7939306e+21,0,1.1744693e+19,2.4411244e+18,4.32e+12,3.2874799e+16,8.3043954e+17,3.6439655e+18,6.6744851e+20,0,48554513,38150054,86704567,0,1.35e+21,3815.3869,-3.3132892e-09,3815.3869,0,0,1.3413441e+08,-4.3145821e+11,7.6949393e+09,-1.1744241e+11,-2.441208e+10,-8.3048041e+09,-3.6438189e+10,4.152402e+08,1.8219095e+09,2.8365848e+10,2.8365848e+10,2.1183494e+11,1.3239684e+10,10317246
14000,70,0,1.6090592e+08,7.1672984e+16,9.5587628e+16,1.7901431e+21,0,1.2581279e+19,2.2807605e+18,4.32e+12,3.2957765e+16,7.5262159e+17,3.9238317e+18,6.7032933e+20,0,65821371,49349929,1.151713e+08,0,1.35e+21,4935.4865,0,4935.4865,0,9.765625e-08,1.2549658e+08,-3.3142403e+11,7.4294006e+09,-1.2580893e+11,-2.2808374e+10,-7.5265861e+09,-3.9236983e+10,3.763293e+08,1.9618492e+09,2.9707481e+10,2.9707481e+10,2.0489044e+11,1.2805652e+10,12837598
16000,80,0,1.8036281e+08,8.3123452e+16,1.152369e+17,1.7872134e+21,0,1.3293893e+19,2.1331275e+18,4.32e+12,3.2962824e+16,6.8212925e+17,4.1778655e+18,6.7248064e+20,0,86142611,62131843,1.4827445e+08,0,1.35e+21,6213.8057,3.5666744e-08,6213.8057,0,0,1.1741582e+08,-2.5825685e+11,7.1639178e+09,-1.3293566e+11,-2.1331983e+10,-6.8216278e+09,-4.1777447e+10,3.4108139e+08,2.0888724e+09,3.0842412e+10,3.0842412e+10,1.9817239e+11,1.2385774e+10,15621209
18000,90,0,1.9963996e+08,9.4951146e+16,1.3590432e+17,1.7849162e+21,0,1.3894557e+19,1.9970329e+18,4.32e+12,3.2903865e+16,6.1827067e+17,4.4071818e+18,6.7411652e+20,0,1.096007e+08,76567264,1.8616797e+08,0,1.35e+21,7657.4921,1.7676939e-08,7657.4921,0,0,1.0985622e+08,-2.0381231e+11,6.9021209e+09,-1.3894282e+11,-1.9970983e+10,-6.1830105e+09,-4.4070731e+10,3.0915052e+08,2.2035366e+09,3.1789453e+10,3.1789453e+10,1.9173772e+11,1.1983607e+10,18653677
