iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971020,9.697878e+15,7.911468e+15,1.844626e+21,0,5.2931978e+18,3.4903333e+18,4.32e+12,3.0363792e+16,1.3591407e+18,1.8424355e+18,6.235428e+20,0,392743.64,481416.25,874159.89,0,1.35e+21,48.146439,-3.3225028e-08,48.146439,0,0,1.8712053e+08,-2.0950113e+12,8.7175196e+09,-5.2923424e+10,-3.4904642e+10,-1.3592077e+10,-1.8422239e+10,6.7960387e+08,9.2111197e+08,1.7972131e+10,1.7972131e+10,2.4274053e+11,1.5171283e+10,1978860.8
4000,20,0,67220959,1.9493077e+16,1.8180638e+16,1.8270175e+21,0,6.917624e+18,3.240662e+18,4.32e+12,3.128711e+16,1.2315018e+18,2.2544521e+18,6.3947308e+20,0,1061518.9,1138100.1,2199619,0,1.35e+21,113.82139,2.9140338e-08,113.82139,0,0,1.7506546e+08,-1.4698533e+12,8.6051163e+09,-6.9168552e+10,-3.240781e+10,-1.2315626e+10,-2.2542519e+10,6.1578128e+08,1.127126e+09,2.0579505e+10,2.0579505e+10,2.3848026e+11,1.4905016e+10,3068631.4
6000,30,0,84702367,2.9480984e+16,3.0454204e+16,1.8145451e+21,0,8.3684506e+18,3.0133164e+18,4.32e+12,3.1935553e+16,1.1158972e+18,2.6420345e+18,6.5042875e+20,0,2044240.4,1978805.5,4023045.9,0,1.35e+21,197.90034,-2.067253e-08,197.90034,0,0,1.6378786e+08,-1.0521477e+12,8.4229826e+09,-8.367768e+10,-3.013425e+10,-1.1159522e+10,-2.6418472e+10,5.5797611e+08,1.3209236e+09,2.2917938e+10,2.2917938e+10,2.3261075e+11,1.4538172e+10,4444891.1
8000,40,0,1.0308171e+08,3.9746412e+16,4.4603449e+16,1.8055347e+21,0,9.6501193e+18,2.8056512e+18,4.32e+12,3.2381242e+16,1.011189e+18,3.003022e+18,6.5808556e+20,0,3383663.9,3015015.4,6398679.4,0,1.35e+21,301.53169,-1.7411708e-08,301.53169,0,0,1.5323758e+08,-7.6779895e+11,8.1985859e+09,-9.6495194e+10,-2.8057505e+10,-1.0112389e+10,-3.0028483e+10,5.0561943e+08,1.5014242e+09,2.4987342e+10,2.4987342e+10,2.2592594e+11,1.4120371e+10,6113081
10000,50,0,1.2206757e+08,5.0357548e+16,6.049204e+16,1.7989015e+21,0,1.0771729e+19,2.6154822e+18,4.32e+12,3.2672188e+16,9.1634728e+17,3.3365802e+18,6.6352334e+20,0,5117404.3,4259769,9377173.3,0,1.35e+21,426.01951,1.0044346e-07,426.01951,0,0,1.4336773e+08,-5.7064793e+11,7.9494766e+09,-1.0771206e+11,-2.6155732e+10,-9.1639239e+09,-3.3364203e+10,4.581962e+08,1.6682102e+09,2.6797697e+10,2.6797697e+10,2.189044e+11,1.3681525e+10,8072318.8
12000,60,0,1.4140944e+08,6.1368112e+16,7.7981341e+16,1.7939305e+21,0,1.174467e+19,2.4409687e+18,4.32e+12,3.2841594e+16,8.3043948e+17,3.6427137e+18,6.6744837e+20,0,7278098,5727137.5,13005236,0,1.35e+21,572.77103,3.2887215e-08,572.77103,0,0,1.3413441e+08,-4.3146081e+11,7.6871682e+09,-1.1744219e+11,-2.4410524e+10,-8.3048034e+09,-3.6425674e+10,4.1524017e+08,1.8212837e+09,2.8364356e+10,2.8364356e+10,2.1183489e+11,1.3239681e+10,10316750
14000,70,0,1.6089483e+08,7.2819286e+16,9.6933792e+16,1.7901431e+21,0,1.2581241e+19,2.2805351e+18,4.32e+12,3.2913332e+16,7.5262149e+17,3.9219614e+18,6.7032909e+20,0,9893647.7,7431789.2,17325437,0,1.35e+21,743.25324,-1.0085614e-08,743.25324,0,0,1.2549658e+08,-3.3142819e+11,7.4193858e+09,-1.2580855e+11,-2.280612e+10,-7.5265851e+09,-3.9218284e+10,3.7632926e+08,1.9609142e+09,2.9705256e+10,2.9705256e+10,2.0489036e+11,1.2805648e+10,12836713
16000,80,0,1.803457e+08,8.4741444e+16,1.1721508e+17,1.7872133e+21,0,1.3293833e+19,2.1328163e+18,4.32e+12,3.2905241e+16,6.8212912e+17,4.1752034e+18,6.7248026e+20,0,12987510,9388633.5,22376143,0,1.35e+21,938.95724,0,938.95724,0,9.765625e-08,1.1741582e+08,-2.582631e+11,7.1514044e+09,-1.3293506e+11,-2.1328872e+10,-6.8216265e+09,-4.1750831e+10,3.4108133e+08,2.0875416e+09,3.0839251e+10,3.0839251e+10,1.9817228e+11,1.2385767e+10,15619726
18000,90,0,1.9961471e+08,9.7155698e+16,1.3869551e+17,1.784916e+21,0,1.3894466e+19,1.9966192e+18,4.32e+12,3.2831129e+16,6.182705e+17,4.4035338e+18,6.7411595e+20,0,16579001,11612534,28191535,0,1.35e+21,1161.3695,-3.6600568e-08,1161.3695,0,0,1.0985622e+08,-2.0382125e+11,6.8868649e+09,-1.3894192e+11,-1.9966846e+10,-6.1830087e+09,-4.4034257e+10,3.0915044e+08,2.2017128e+09,3.178513e+10,3.178513e+10,1.9173756e+11,1.1983597e+10,18651317
