iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.6998739e+15,7.9129794e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363472e+16,1.3591407e+18,1.8424328e+18,6.235428e+20,0,46411.791,56891.359,103303.15,0,1.35e+21,5.6897049,7.2320359e-08,5.6897048,0,0,1.8712053e+08,-2.0950113e+12,8.7174277e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422212e+10,6.7960387e+08,9.2111062e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220913,1.9502083e+16,1.8188313e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286277e+16,1.2315018e+18,2.2544389e+18,6.3947308e+20,0,125472.12,134529.41,260001.53,0,1.35e+21,13.454287,-2.3211769e-08,13.454287,0,0,1.7506546e+08,-1.4698533e+12,8.6048872e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542387e+10,6.1578128e+08,1.1271194e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702231,2.9503593e+16,3.0475213e+16,1.8145451e+21,0,8.3684502e+18,3.0133117e+18,4.32e+12,3.1934004e+16,1.1158972e+18,2.6420001e+18,6.5042875e+20,0,241694.99,233976.49,475671.48,0,1.35e+21,23.399989,-2.8627969e-08,23.399989,0,0,1.6378786e+08,-1.0521478e+12,8.4225741e+09,-8.3677677e+10,-3.0134203e+10,-1.1159522e+10,-2.6418128e+10,5.5797611e+08,1.3209064e+09,2.2917896e+10,2.2917896e+10,2.3261075e+11,1.4538172e+10,4444884
8000,40,0,1.0308141e+08,3.9790885e+16,4.4647862e+16,1.8055347e+21,0,9.6501184e+18,2.805642e+18,4.32e+12,3.2378748e+16,1.011189e+18,3.0029526e+18,6.5808556e+20,0,400180.22,356624.65,756804.87,0,1.35e+21,35.666032,3.2834002e-08,35.666032,0,0,1.5323758e+08,-7.6779906e+11,8.1979545e+09,-9.6495185e+10,-2.8057413e+10,-1.0112388e+10,-3.002779e+10,5.0561942e+08,1.5013895e+09,2.4987259e+10,2.4987259e+10,2.2592594e+11,1.4120371e+10,6113062.8
10000,50,0,1.2206697e+08,5.0433922e+16,6.0573163e+16,1.7989015e+21,0,1.0771727e+19,2.6154666e+18,4.32e+12,3.2668497e+16,9.1634727e+17,3.3364588e+18,6.6352333e+20,0,605435.54,504057.83,1109493.4,0,1.35e+21,50.410824,8.8664976e-08,50.410824,0,0,1.4336773e+08,-5.7064816e+11,7.9485786e+09,-1.0771204e+11,-2.6155577e+10,-9.1639239e+09,-3.336299e+10,4.5819619e+08,1.6681495e+09,2.6797552e+10,2.6797552e+10,2.189044e+11,1.3681525e+10,8072279.1
12000,60,0,1.4140838e+08,6.1488316e+16,7.8116008e+16,1.7939305e+21,0,1.1744667e+19,2.4409446e+18,4.32e+12,3.2836429e+16,8.3043947e+17,3.6425198e+18,6.6744834e+20,0,861397.08,677990.47,1539387.6,0,1.35e+21,67.805828,-4.2521805e-08,67.805828,0,0,1.3413441e+08,-4.3146121e+11,7.6859595e+09,-1.1744215e+11,-2.4410283e+10,-8.3048033e+09,-3.6423735e+10,4.1524017e+08,1.8211868e+09,2.8364125e+10,2.8364125e+10,2.1183488e+11,1.323968e+10,10316673
14000,70,0,1.608931e+08,7.2997269e+16,9.7142615e+16,1.7901431e+21,0,1.2581235e+19,2.2805001e+18,4.32e+12,3.2906398e+16,7.5262148e+17,3.9216711e+18,6.7032905e+20,0,1171459.2,880216.91,2051676.1,0,1.35e+21,88.030494,-2.8589909e-08,88.030494,0,0,1.2549658e+08,-3.3142883e+11,7.417823e+09,-1.2580849e+11,-2.280577e+10,-7.526585e+09,-3.9215381e+10,3.7632925e+08,1.960769e+09,2.9704911e+10,2.9704911e+10,2.0489035e+11,1.2805647e+10,12836575
16000,80,0,1.8034303e+08,8.4993299e+16,1.1752265e+17,1.7872133e+21,0,1.3293824e+19,2.1327678e+18,4.32e+12,3.2896222e+16,6.821291e+17,4.1747891e+18,6.724802e+20,0,1538509.3,1112570,2651079.3,0,1.35e+21,111.26812,4.6975742e-08,111.26812,0,0,1.1741582e+08,-2.5826407e+11,7.1494446e+09,-1.3293496e+11,-2.1328387e+10,-6.8216263e+09,-4.1746688e+10,3.4108132e+08,2.0873344e+09,3.083876e+10,3.083876e+10,1.9817226e+11,1.2385766e+10,15619496
18000,90,0,1.9961077e+08,9.7499793e+16,1.3913059e+17,1.784916e+21,0,1.3894452e+19,1.9965546e+18,4.32e+12,3.2819692e+16,6.1827047e+17,4.4029644e+18,6.7411586e+20,0,1964964.5,1376887.7,3341852.2,0,1.35e+21,137.70254,-9.1304173e-09,137.70254,0,0,1.0985622e+08,-2.0382264e+11,6.8844661e+09,-1.3894178e+11,-1.99662e+10,-6.1830085e+09,-4.4028563e+10,3.0915042e+08,2.2014282e+09,3.1784456e+10,3.1784456e+10,1.9173753e+11,1.1983596e+10,18650949
