iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.699994e+15,7.9130704e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363453e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,25560.41,31331.861,56892.271,0,1.35e+21,3.1334994,2.6093902e-08,3.1334994,0,0,1.8712053e+08,-2.0950113e+12,8.7174221e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111054e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220911,1.9502626e+16,1.8188775e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286227e+16,1.2315018e+18,2.2544381e+18,6.3947308e+20,0,69102.343,74090.721,143193.06,0,1.35e+21,7.4098131,4.9574833e-10,7.4098131,0,0,1.7506546e+08,-1.4698533e+12,8.6048734e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.254238e+10,6.1578128e+08,1.127119e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702223,2.9504955e+16,3.0476479e+16,1.8145451e+21,0,8.3684502e+18,3.0133114e+18,4.32e+12,3.193391e+16,1.1158972e+18,2.641998e+18,6.5042875e+20,0,133112.91,128862.56,261975.47,0,1.35e+21,12.887545,0,12.887545,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225495e+09,-8.3677677e+10,-3.01342e+10,-1.1159522e+10,-2.6418108e+10,5.5797611e+08,1.3209054e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.5
8000,40,0,1.0308139e+08,3.9793564e+16,4.4650537e+16,1.8055347e+21,0,9.6501184e+18,2.8056415e+18,4.32e+12,3.2378597e+16,1.011189e+18,3.0029485e+18,6.5808556e+20,0,220402.31,196415.2,416817.51,0,1.35e+21,19.643485,-3.3422204e-08,19.643485,0,0,1.5323758e+08,-7.6779907e+11,8.1979165e+09,-9.6495184e+10,-2.8057407e+10,-1.0112388e+10,-3.0027748e+10,5.0561942e+08,1.5013874e+09,2.4987254e+10,2.4987254e+10,2.2592594e+11,1.4120371e+10,6113061.7
10000,50,0,1.2206694e+08,5.0438524e+16,6.0578051e+16,1.7989015e+21,0,1.0771727e+19,2.6154657e+18,4.32e+12,3.2668274e+16,9.1634727e+17,3.3364515e+18,6.6352333e+20,0,333455.17,277622.39,611077.56,0,1.35e+21,27.765016,6.8295844e-08,27.765016,0,0,1.4336773e+08,-5.7064817e+11,7.9485244e+09,-1.0771204e+11,-2.6155567e+10,-9.1639239e+09,-3.3362917e+10,4.5819619e+08,1.6681458e+09,2.6797543e+10,2.6797543e+10,2.189044e+11,1.3681525e+10,8072276.8
12000,60,0,1.4140832e+08,6.1495561e+16,7.8124124e+16,1.7939305e+21,0,1.1744666e+19,2.4409432e+18,4.32e+12,3.2836118e+16,8.3043947e+17,3.6425081e+18,6.6744834e+20,0,474441.88,373430.05,847871.92,0,1.35e+21,37.34674,4.181809e-08,37.34674,0,0,1.3413441e+08,-4.3146123e+11,7.6858866e+09,-1.1744215e+11,-2.4410268e+10,-8.3048033e+09,-3.6423618e+10,4.1524017e+08,1.8211809e+09,2.8364111e+10,2.8364111e+10,2.1183488e+11,1.323968e+10,10316668
14000,70,0,1.60893e+08,7.3008e+16,9.7155205e+16,1.7901431e+21,0,1.2581235e+19,2.280498e+18,4.32e+12,3.290598e+16,7.5262148e+17,3.9216536e+18,6.7032905e+20,0,645235.06,484828.4,1130063.5,0,1.35e+21,48.487688,0,48.487688,0,9.765625e-08,1.2549658e+08,-3.3142887e+11,7.4177287e+09,-1.2580849e+11,-2.2805749e+10,-7.526585e+09,-3.9215206e+10,3.7632925e+08,1.9607603e+09,2.970489e+10,2.970489e+10,2.0489035e+11,1.2805647e+10,12836567
16000,80,0,1.8034287e+08,8.500849e+16,1.175412e+17,1.7872133e+21,0,1.3293823e+19,2.1327649e+18,4.32e+12,3.2895677e+16,6.821291e+17,4.1747641e+18,6.7248019e+20,0,847428.71,612829.2,1460257.9,0,1.35e+21,61.289049,-2.9777155e-08,61.289049,0,0,1.1741582e+08,-2.5826413e+11,7.1493263e+09,-1.3293496e+11,-2.1328358e+10,-6.8216263e+09,-4.1746439e+10,3.4108132e+08,2.0873219e+09,3.083873e+10,3.083873e+10,1.9817226e+11,1.2385766e+10,15619482
18000,90,0,1.9961053e+08,9.7520555e+16,1.3915684e+17,1.784916e+21,0,1.3894451e+19,1.9965507e+18,4.32e+12,3.2819001e+16,6.1827047e+17,4.40293e+18,6.7411586e+20,0,1082358.5,758447.45,1840805.9,0,1.35e+21,75.85233,9.5456016e-09,75.85233,0,0,1.0985622e+08,-2.0382272e+11,6.8843212e+09,-1.3894177e+11,-1.9966161e+10,-6.1830085e+09,-4.402822e+10,3.0915042e+08,2.201411e+09,3.1784415e+10,3.1784415e+10,1.9173753e+11,1.1983596e+10,18650927
