iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971015,9.6992033e+15,7.9124717e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.036358e+16,1.3591407e+18,1.8424337e+18,6.235428e+20,0,162767.15,199518.23,362285.37,0,1.35e+21,19.953818,1.869083e-08,19.953818,0,0,1.8712053e+08,-2.0950113e+12,8.7174585e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422221e+10,6.7960387e+08,9.2111107e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220929,1.9499057e+16,1.8185734e+16,1.8270175e+21,0,6.9176239e+18,3.2406608e+18,4.32e+12,3.1286557e+16,1.2315018e+18,2.2544433e+18,6.3947308e+20,0,439999.26,471754.6,911753.87,0,1.35e+21,47.180178,-3.682954e-08,47.180179,0,0,1.7506546e+08,-1.4698533e+12,8.6049642e+09,-6.9168552e+10,-3.2407798e+10,-1.2315626e+10,-2.2542432e+10,6.1578128e+08,1.1271216e+09,2.0579495e+10,2.0579495e+10,2.3848026e+11,1.4905016e+10,3068630
6000,30,0,84702277,2.9495996e+16,3.0468154e+16,1.8145451e+21,0,8.3684503e+18,3.0133133e+18,4.32e+12,3.1934524e+16,1.1158972e+18,2.6420116e+18,6.5042875e+20,0,847487.54,820401.93,1667889.5,0,1.35e+21,82.048398,0,82.048398,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4227114e+09,-8.3677678e+10,-3.0134219e+10,-1.1159522e+10,-2.6418244e+10,5.5797611e+08,1.3209122e+09,2.291791e+10,2.291791e+10,2.3261075e+11,1.4538172e+10,4444886.4
8000,40,0,1.0308151e+08,3.9775938e+16,4.4632936e+16,1.8055347e+21,0,9.6501187e+18,2.8056451e+18,4.32e+12,3.2379586e+16,1.011189e+18,3.0029759e+18,6.5808556e+20,0,1403061.5,1250300.8,2653362.3,0,1.35e+21,125.04258,-8.3603595e-09,125.04258,0,0,1.5323758e+08,-7.6779902e+11,8.1981668e+09,-9.6495188e+10,-2.8057444e+10,-1.0112389e+10,-3.0028023e+10,5.0561943e+08,1.5014011e+09,2.4987286e+10,2.4987286e+10,2.2592594e+11,1.4120371e+10,6113068.9
10000,50,0,1.2206717e+08,5.040825e+16,6.0545896e+16,1.7989015e+21,0,1.0771727e+19,2.6154719e+18,4.32e+12,3.2669738e+16,9.1634727e+17,3.3364996e+18,6.6352333e+20,0,2122455.9,1766955.2,3889411.1,0,1.35e+21,176.7132,1.2111127e-07,176.7132,0,0,1.4336773e+08,-5.7064808e+11,7.9488805e+09,-1.0771205e+11,-2.6155629e+10,-9.1639239e+09,-3.3363398e+10,4.5819619e+08,1.6681699e+09,2.67976e+10,2.67976e+10,2.189044e+11,1.3681525e+10,8072292.5
12000,60,0,1.4140874e+08,6.1447904e+16,7.8070736e+16,1.7939305e+21,0,1.1744668e+19,2.4409527e+18,4.32e+12,3.2838166e+16,8.3043947e+17,3.6425849e+18,6.6744835e+20,0,3019381.1,2376317,5395698,0,1.35e+21,237.65546,-3.7686419e-08,237.65546,0,0,1.3413441e+08,-4.3146107e+11,7.686366e+09,-1.1744216e+11,-2.4410364e+10,-8.3048033e+09,-3.6424387e+10,4.1524017e+08,1.8212193e+09,2.8364203e+10,2.8364203e+10,2.1183489e+11,1.323968e+10,10316699
14000,70,0,1.6089368e+08,7.2937418e+16,9.70724e+16,1.7901431e+21,0,1.2581237e+19,2.2805118e+18,4.32e+12,3.2908731e+16,7.5262148e+17,3.9217687e+18,6.7032906e+20,0,4105626.7,3084606.7,7190233.4,0,1.35e+21,308.49152,-1.9701361e-09,308.49152,0,0,1.2549658e+08,-3.3142862e+11,7.4183488e+09,-1.2580851e+11,-2.2805888e+10,-7.526585e+09,-3.9216357e+10,3.7632925e+08,1.9608179e+09,2.9705027e+10,2.9705027e+10,2.0489036e+11,1.2805647e+10,12836621
16000,80,0,1.8034393e+08,8.4908589e+16,1.1741921e+17,1.7872133e+21,0,1.3293827e+19,2.1327841e+18,4.32e+12,3.2899257e+16,6.8212911e+17,4.1749284e+18,6.7248022e+20,0,5391182.3,3898168.3,9289350.6,0,1.35e+21,389.85582,-1.4374166e-08,389.85582,0,0,1.1741582e+08,-2.5826374e+11,7.1501041e+09,-1.3293499e+11,-2.132855e+10,-6.8216264e+09,-4.1748082e+10,3.4108132e+08,2.0874041e+09,3.0838925e+10,3.0838925e+10,1.9817226e+11,1.2385767e+10,15619573
18000,90,0,1.996121e+08,9.738403e+16,1.3898423e+17,1.784916e+21,0,1.3894457e+19,1.9965763e+18,4.32e+12,3.2823542e+16,6.1827048e+17,4.403156e+18,6.7411589e+20,0,6884365.7,4823351.3,11707717,0,1.35e+21,482.38337,4.1272074e-08,482.38337,0,0,1.0985622e+08,-2.0382217e+11,6.8852737e+09,-1.3894183e+11,-1.9966417e+10,-6.1830086e+09,-4.4030479e+10,3.0915043e+08,2.2015239e+09,3.1784683e+10,3.1784683e+10,1.9173754e+11,1.1983596e+10,18651073
