iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971064,9.6868967e+15,7.9031518e+15,1.844626e+21,0,5.2931979e+18,3.4903355e+18,4.32e+12,3.0365554e+16,1.3591407e+18,1.8424504e+18,6.235428e+20,0,2297555.1,2816062.1,5113617.2,0,1.35e+21,281.63438,9.2984237e-08,281.63438,0,0,1.8712053e+08,-2.0950113e+12,8.7180251e+09,-5.2923424e+10,-3.4904664e+10,-1.3592077e+10,-1.8422389e+10,6.7960387e+08,9.2111943e+08,1.7972149e+10,1.7972149e+10,2.4274053e+11,1.5171283e+10,1978862.5
4000,20,0,67221207,1.9443579e+16,1.8138451e+16,1.8270175e+21,0,6.9176245e+18,3.2406723e+18,4.32e+12,3.1291685e+16,1.2315019e+18,2.2545247e+18,6.3947308e+20,0,6202008.7,6647982.3,12849991,0,1.35e+21,664.86472,-1.7785396e-08,664.86472,0,0,1.7506546e+08,-1.4698532e+12,8.606374e+09,-6.9168558e+10,-3.2407913e+10,-1.2315626e+10,-2.2543245e+10,6.1578128e+08,1.1271622e+09,2.0579593e+10,2.0579593e+10,2.3848026e+11,1.4905016e+10,3068642.7
6000,30,0,84703109,2.9356882e+16,3.033886e+16,1.8145451e+21,0,8.3684525e+18,3.0133422e+18,4.32e+12,3.1944045e+16,1.1158972e+18,2.6422232e+18,6.5042876e+20,0,11926076,11539440,23465515,0,1.35e+21,1154.0594,-3.5816811e-08,1154.0594,0,0,1.6378786e+08,-1.0521475e+12,8.4252217e+09,-8.3677699e+10,-3.0134508e+10,-1.1159522e+10,-2.6420359e+10,5.5797612e+08,1.321018e+09,2.2918164e+10,2.2918164e+10,2.3261076e+11,1.4538172e+10,4444930
8000,40,0,1.030834e+08,3.9502653e+16,4.435994e+16,1.8055348e+21,0,9.6501242e+18,2.8057015e+18,4.32e+12,3.2394885e+16,1.0111891e+18,3.0034022e+18,6.5808559e+20,0,19707130,17548160,37255289,0,1.35e+21,1754.9915,-9.7406883e-10,1754.9915,0,0,1.5323758e+08,-7.6779831e+11,8.2020394e+09,-9.6495243e+10,-2.8058008e+10,-1.0112389e+10,-3.0032284e+10,5.0561944e+08,1.5016142e+09,2.4987797e+10,2.4987797e+10,2.2592595e+11,1.4120372e+10,6113181.1
10000,50,0,1.2207085e+08,4.9939626e+16,6.0047925e+16,1.7989015e+21,0,1.0771739e+19,2.6155675e+18,4.32e+12,3.2692335e+16,9.1634731e+17,3.3372446e+18,6.635234e+20,0,29748371,24738908,54487279,0,1.35e+21,2474.1382,1.3015006e-07,2474.1382,0,0,1.4336773e+08,-5.7064666e+11,7.9543776e+09,-1.0771216e+11,-2.6156585e+10,-9.1639243e+09,-3.3370845e+10,4.5819621e+08,1.6685422e+09,2.679849e+10,2.679849e+10,2.1890442e+11,1.3681526e+10,8072535.7
12000,60,0,1.414152e+08,6.0711545e+16,7.7245318e+16,1.7939306e+21,0,1.1744689e+19,2.4411004e+18,4.32e+12,3.2869705e+16,8.3043953e+17,3.6437728e+18,6.6744849e+20,0,42219502,33180272,75399774,0,1.35e+21,3318.3591,2.4346718e-08,3318.3591,0,0,1.3413441e+08,-4.3145861e+11,7.693747e+09,-1.1744238e+11,-2.441184e+10,-8.304804e+09,-3.6436263e+10,4.152402e+08,1.8218132e+09,2.8365619e+10,2.8365619e+10,2.1183493e+11,1.3239683e+10,10317170
14000,70,0,1.6090422e+08,7.1849075e+16,9.5794562e+16,1.7901431e+21,0,1.2581274e+19,2.2807259e+18,4.32e+12,3.2950965e+16,7.5262157e+17,3.9235444e+18,6.7032929e+20,0,57257962,42941975,1.0019994e+08,0,1.35e+21,4294.6269,0,4294.6269,0,9.765625e-08,1.2549658e+08,-3.3142467e+11,7.4278679e+09,-1.2580887e+11,-2.2808028e+10,-7.5265859e+09,-3.923411e+10,3.763293e+08,1.9617055e+09,2.9707139e+10,2.9707139e+10,2.0489043e+11,1.2805652e+10,12837462
16000,80,0,1.8036019e+08,8.3371542e+16,1.1554047e+17,1.7872134e+21,0,1.3293884e+19,2.1330797e+18,4.32e+12,3.2954035e+16,6.8212923e+17,4.1774573e+18,6.7248058e+20,0,74970494,54092651,1.2906314e+08,0,1.35e+21,5409.8061,-8.8903107e-09,5409.8061,0,0,1.1741582e+08,-2.5825781e+11,7.1620078e+09,-1.3293557e+11,-2.1331506e+10,-6.8216276e+09,-4.1773366e+10,3.4108138e+08,2.0886683e+09,3.0841927e+10,3.0841927e+10,1.9817237e+11,1.2385773e+10,15620981
18000,90,0,1.996361e+08,9.5288494e+16,1.3633186e+17,1.7849162e+21,0,1.3894543e+19,1.9969696e+18,4.32e+12,3.2892796e+16,6.1827064e+17,4.4066236e+18,6.7411644e+20,0,95434897,66698051,1.6213295e+08,0,1.35e+21,6670.4721,-4.3734872e-08,6670.4721,0,0,1.0985622e+08,-2.0381368e+11,6.8997991e+09,-1.3894269e+11,-1.9970349e+10,-6.1830102e+09,-4.406515e+10,3.0915051e+08,2.2032575e+09,3.1788791e+10,3.1788791e+10,1.9173769e+11,1.1983606e+10,18653316
