iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971016,9.6990018e+15,7.9123191e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363612e+16,1.3591407e+18,1.8424339e+18,6.235428e+20,0,197738.09,242384.88,440122.97,0,1.35e+21,24.240912,1.3390847e-07,24.240912,0,0,1.8712053e+08,-2.0950113e+12,8.7174678e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422224e+10,6.7960387e+08,9.2111121e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220933,1.9498148e+16,1.8184959e+16,1.8270175e+21,0,6.9176239e+18,3.240661e+18,4.32e+12,3.1286641e+16,1.2315018e+18,2.2544447e+18,6.3947308e+20,0,534521.79,573096.64,1107618.4,0,1.35e+21,57.315396,9.1710177e-09,57.315396,0,0,1.7506546e+08,-1.4698533e+12,8.6049873e+09,-6.9168552e+10,-3.24078e+10,-1.2315626e+10,-2.2542445e+10,6.1578128e+08,1.1271223e+09,2.0579497e+10,2.0579497e+10,2.3848026e+11,1.4905016e+10,3068630.2
6000,30,0,84702291,2.9493713e+16,3.0466032e+16,1.8145451e+21,0,8.3684504e+18,3.0133138e+18,4.32e+12,3.1934681e+16,1.1158972e+18,2.6420151e+18,6.5042875e+20,0,1029520.6,996609.51,2026130.1,0,1.35e+21,99.670918,1.7104867e-08,99.670918,0,0,1.6378786e+08,-1.0521478e+12,8.4227526e+09,-8.3677678e+10,-3.0134223e+10,-1.1159522e+10,-2.6418279e+10,5.5797611e+08,1.3209139e+09,2.2917914e+10,2.2917914e+10,2.3261075e+11,1.4538172e+10,4444887.1
8000,40,0,1.0308154e+08,3.9771447e+16,4.4628451e+16,1.8055347e+21,0,9.6501188e+18,2.805646e+18,4.32e+12,3.2379838e+16,1.011189e+18,3.0029829e+18,6.5808556e+20,0,1704374.5,1518789,3223163.5,0,1.35e+21,151.89409,2.3995938e-08,151.89409,0,0,1.5323758e+08,-7.6779901e+11,8.1982305e+09,-9.6495189e+10,-2.8057453e+10,-1.0112389e+10,-3.0028093e+10,5.0561943e+08,1.5014046e+09,2.4987295e+10,2.4987295e+10,2.2592594e+11,1.4120371e+10,6113070.8
10000,50,0,1.2206724e+08,5.0400536e+16,6.0537703e+16,1.7989015e+21,0,1.0771727e+19,2.6154734e+18,4.32e+12,3.2670111e+16,9.1634727e+17,3.3365119e+18,6.6352333e+20,0,2578171.9,2146303.2,4724475.1,0,1.35e+21,214.65178,7.2546214e-08,214.65178,0,0,1.4336773e+08,-5.7064806e+11,7.9489712e+09,-1.0771205e+11,-2.6155645e+10,-9.1639239e+09,-3.336352e+10,4.5819619e+08,1.668176e+09,2.6797615e+10,2.6797615e+10,2.189044e+11,1.3681525e+10,8072296.5
12000,60,0,1.4140884e+08,6.1435763e+16,7.8057135e+16,1.7939305e+21,0,1.1744668e+19,2.4409552e+18,4.32e+12,3.2838688e+16,8.3043947e+17,3.6426045e+18,6.6744835e+20,0,3667534.7,2886360.2,6553895,0,1.35e+21,288.66489,1.9903325e-08,288.66489,0,0,1.3413441e+08,-4.3146103e+11,7.6864881e+09,-1.1744217e+11,-2.4410388e+10,-8.3048034e+09,-3.6424583e+10,4.1524017e+08,1.8212291e+09,2.8364226e+10,2.8364226e+10,2.1183489e+11,1.323968e+10,10316707
14000,70,0,1.6089386e+08,7.2919441e+16,9.7051308e+16,1.7901431e+21,0,1.2581238e+19,2.2805154e+18,4.32e+12,3.2909432e+16,7.5262148e+17,3.921798e+18,6.7032906e+20,0,4986743.8,3746491.2,8733235,0,1.35e+21,374.68659,0,374.68659,0,9.765625e-08,1.2549658e+08,-3.3142855e+11,7.4185066e+09,-1.2580852e+11,-2.2805923e+10,-7.526585e+09,-3.921665e+10,3.7632925e+08,1.9608325e+09,2.9705062e+10,2.9705062e+10,2.0489036e+11,1.2805647e+10,12836635
16000,80,0,1.803442e+08,8.4883148e+16,1.1738814e+17,1.7872133e+21,0,1.3293828e+19,2.132789e+18,4.32e+12,3.2900168e+16,6.8212911e+17,4.1749703e+18,6.7248022e+20,0,6547885.3,4734372.4,11282258,0,1.35e+21,473.48459,-4.7865456e-08,473.48459,0,0,1.1741582e+08,-2.5826364e+11,7.1503021e+09,-1.32935e+11,-2.1328599e+10,-6.8216264e+09,-4.17485e+10,3.4108132e+08,2.087425e+09,3.0838975e+10,3.0838975e+10,1.9817227e+11,1.2385767e+10,15619597
18000,90,0,1.9961249e+08,9.7349268e+16,1.3894028e+17,1.784916e+21,0,1.3894458e+19,1.9965828e+18,4.32e+12,3.2824698e+16,6.1827048e+17,4.4032135e+18,6.741159e+20,0,8361006.3,5857682.4,14218689,0,1.35e+21,585.82682,-2.8666136e-09,585.82682,0,0,1.0985622e+08,-2.0382203e+11,6.885516e+09,-1.3894184e+11,-1.9966482e+10,-6.1830086e+09,-4.4031054e+10,3.0915043e+08,2.2015527e+09,3.1784751e+10,3.1784751e+10,1.9173754e+11,1.1983596e+10,18651110
20000,100,0,2.1857847e+08,1.1033237e+17,1.6158594e+17,1.7830931e+21,0,1.4394523e+19,1.870846e+18,4.32e+12,3.2694048e+16,5.6041924e+17,4.6077502e+18,6.7538333e+20,0,10434274,7123988.7,17558262,0,1.35e+21,712.47011,-8.2142151e-09,712.47011,0,0,1.0278416e+08,-1.6262864e+11,6.6266691e+09,-1.4394297e+11,-1.8709064e+10,-5.6044676e+09,-4.6076536e+10,2.8022338e+08,2.3038268e+09,3.256054e+10,3.256054e+10,1.8561519e+11,1.160095e+10,21915388
22000,110,0,2.3714559e+08,1.2384042e+17,1.8520941e+17,1.781632e+21,0,1.480466e+19,1.7546475e+18,4.32e+12,3.2517266e+16,5.0800829e+17,4.7898764e+18,6.7638483e+20,0,12774132,8540659.8,21314791,0,1.35e+21,854.15139,1.9822778e-08,854.15139,0,0,96168198,-1.3095205e+11,6.3754932e+09,-1.4804476e+11,-1.7547034e+10,-5.0803322e+09,-4.7897907e+10,2.5401661e+08,2.3948954e+09,3.3183538e+10,3.3183538e+10,1.7981668e+11,1.1238543e+10,25395902
24000,120,0,2.5523798e+08,1.3787587e+17,2.0970134e+17,1.7804512e+21,0,1.5134701e+19,1.6471588e+18,4.32e+12,3.2301939e+16,4.6052422e+17,4.9509221e+18,6.7719217e+20,0,15385456,10114799,25500255,0,1.35e+21,1011.5811,-2.7694568e-08,1011.5811,0,0,89978920,-1.0621497e+11,6.1331522e+09,-1.5134554e+11,-1.6472105e+10,-4.6054681e+09,-4.9508466e+10,2.302734e+08,2.4754233e+09,3.3669824e+10,3.3669824e+10,1.7434249e+11,1.0896406e+10,29075839
