iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971074,9.6844209e+15,7.9012767e+15,1.844626e+21,0,5.2931979e+18,3.4903359e+18,4.32e+12,3.0365951e+16,1.3591407e+18,1.8424538e+18,6.235428e+20,0,2726860.1,3342190.6,6069050.7,0,1.35e+21,334.25248,3.684363e-09,334.25248,0,0,1.8712053e+08,-2.0950113e+12,8.718139e+09,-5.2923424e+10,-3.4904669e+10,-1.3592077e+10,-1.8422422e+10,6.7960387e+08,9.2112111e+08,1.7972153e+10,1.7972153e+10,2.4274053e+11,1.5171283e+10,1978862.9
4000,20,0,67221263,1.9432431e+16,1.8128948e+16,1.8270175e+21,0,6.9176246e+18,3.2406746e+18,4.32e+12,3.1292714e+16,1.2315019e+18,2.254541e+18,6.3947308e+20,0,7358762.7,7887525.8,15246288,0,1.35e+21,788.83146,-1.8284368e-08,788.83146,0,0,1.7506546e+08,-1.4698532e+12,8.606657e+09,-6.9168559e+10,-3.2407936e+10,-1.2315626e+10,-2.2543408e+10,6.1578128e+08,1.1271704e+09,2.0579612e+10,2.0579612e+10,2.3848026e+11,1.4905016e+10,3068645.3
6000,30,0,84703276,2.932897e+16,3.0312911e+16,1.8145451e+21,0,8.3684529e+18,3.013348e+18,4.32e+12,3.1945952e+16,1.1158972e+18,2.6422657e+18,6.5042877e+20,0,14145749,13685845,27831594,0,1.35e+21,1368.7214,0,1368.7214,0,9.765625e-08,1.6378786e+08,-1.0521474e+12,8.4257246e+09,-8.3677704e+10,-3.0134566e+10,-1.1159522e+10,-2.6420784e+10,5.5797612e+08,1.3210392e+09,2.2918215e+10,2.2918215e+10,2.3261076e+11,1.4538172e+10,4444938.8
8000,40,0,1.0308378e+08,3.944791e+16,4.4305236e+16,1.8055348e+21,0,9.6501253e+18,2.8057128e+18,4.32e+12,3.2397942e+16,1.0111891e+18,3.0034876e+18,6.580856e+20,0,23366168,20803161,44169329,0,1.35e+21,2080.5242,-2.9843704e-08,2080.5242,0,0,1.5323758e+08,-7.6779816e+11,8.2028133e+09,-9.6495254e+10,-2.8058121e+10,-1.0112389e+10,-3.0033138e+10,5.0561944e+08,1.5016569e+09,2.4987899e+10,2.4987899e+10,2.2592595e+11,1.4120372e+10,6113203.5
10000,50,0,1.2207159e+08,4.9845931e+16,5.9948309e+16,1.7989015e+21,0,1.0771741e+19,2.6155866e+18,4.32e+12,3.2696838e+16,9.1634732e+17,3.3373935e+18,6.6352342e+20,0,35256740,29313318,64570058,0,1.35e+21,2931.625,8.8297838e-08,2931.625,0,0,1.4336773e+08,-5.7064638e+11,7.9554732e+09,-1.0771219e+11,-2.6156776e+10,-9.1639244e+09,-3.3372334e+10,4.5819622e+08,1.6686167e+09,2.6798668e+10,2.6798668e+10,2.1890443e+11,1.3681527e+10,8072584.4
12000,60,0,1.4141648e+08,6.0564626e+16,7.7080513e+16,1.7939306e+21,0,1.1744694e+19,2.4411299e+18,4.32e+12,3.2875972e+16,8.3043954e+17,3.6440099e+18,6.6744851e+20,0,50013307,39294136,89307443,0,1.35e+21,3929.8066,3.1464879e-08,3929.8066,0,0,1.3413441e+08,-4.3145811e+11,7.6952138e+09,-1.1744242e+11,-2.4412135e+10,-8.3048041e+09,-3.6438633e+10,4.152402e+08,1.8219316e+09,2.8365901e+10,2.8365901e+10,2.1183494e+11,1.3239684e+10,10317264
14000,70,0,1.6090632e+08,7.1632426e+16,9.5539959e+16,1.7901431e+21,0,1.2581281e+19,2.2807685e+18,4.32e+12,3.295933e+16,7.5262159e+17,3.9238979e+18,6.7032934e+20,0,67792262,50824199,1.1861646e+08,0,1.35e+21,5082.9282,0,5082.9282,0,9.765625e-08,1.2549658e+08,-3.3142388e+11,7.4297533e+09,-1.2580894e+11,-2.2808454e+10,-7.5265861e+09,-3.9237645e+10,3.763293e+08,1.9618822e+09,2.970756e+10,2.970756e+10,2.0489044e+11,1.2805652e+10,12837629
16000,80,0,1.8036342e+08,8.3066335e+16,1.15167e+17,1.7872134e+21,0,1.3293896e+19,2.1331385e+18,4.32e+12,3.2964846e+16,6.8212925e+17,4.1779594e+18,6.7248065e+20,0,88712403,63980195,1.526926e+08,0,1.35e+21,6398.6593,0,6398.6593,0,9.765625e-08,1.1741582e+08,-2.5825663e+11,7.164357e+09,-1.3293568e+11,-2.1332093e+10,-6.8216279e+09,-4.1778387e+10,3.4108139e+08,2.0889193e+09,3.0842523e+10,3.0842523e+10,1.9817239e+11,1.2385775e+10,15621261
18000,90,0,1.9964085e+08,9.4873514e+16,1.3580591e+17,1.7849162e+21,0,1.389456e+19,1.9970475e+18,4.32e+12,3.290641e+16,6.1827068e+17,4.4073103e+18,6.7411655e+20,0,1.1285702e+08,78834760,1.9169178e+08,0,1.35e+21,7884.2644,2.4374458e-08,7884.2644,0,0,1.0985622e+08,-2.0381199e+11,6.9026545e+09,-1.3894286e+11,-1.9971128e+10,-6.1830105e+09,-4.4072016e+10,3.0915053e+08,2.2036008e+09,3.1789605e+10,3.1789605e+10,1.9173772e+11,1.1983608e+10,18653760
