iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.6999878e+15,7.9130657e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363454e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,26636.622,32651.076,59287.699,0,1.35e+21,3.2654342,9.0064321e-08,3.2654341,0,0,1.8712053e+08,-2.0950113e+12,8.7174224e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111054e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220911,1.9502598e+16,1.8188751e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286229e+16,1.2315018e+18,2.2544381e+18,6.3947308e+20,0,72011.821,77210.22,149222.04,0,1.35e+21,7.7217941,-2.9901495e-09,7.7217941,0,0,1.7506546e+08,-1.4698533e+12,8.6048742e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.254238e+10,6.1578128e+08,1.127119e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702224,2.9504885e+16,3.0476413e+16,1.8145451e+21,0,8.3684502e+18,3.0133115e+18,4.32e+12,3.1933915e+16,1.1158972e+18,2.6419981e+18,6.5042875e+20,0,138717.37,134288.04,273005.4,0,1.35e+21,13.430147,0,13.430147,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225508e+09,-8.3677677e+10,-3.01342e+10,-1.1159522e+10,-2.6418109e+10,5.5797611e+08,1.3209054e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.6
8000,40,0,1.0308139e+08,3.9793426e+16,4.4650399e+16,1.8055347e+21,0,9.6501184e+18,2.8056415e+18,4.32e+12,3.2378605e+16,1.011189e+18,3.0029487e+18,6.5808556e+20,0,229681.7,204684.61,434366.3,0,1.35e+21,20.470508,-5.7723568e-09,20.470508,0,0,1.5323758e+08,-7.6779907e+11,8.1979184e+09,-9.6495184e+10,-2.8057408e+10,-1.0112388e+10,-3.002775e+10,5.0561942e+08,1.5013875e+09,2.4987254e+10,2.4987254e+10,2.2592594e+11,1.4120371e+10,6113061.7
10000,50,0,1.2206694e+08,5.0438286e+16,6.0577798e+16,1.7989015e+21,0,1.0771727e+19,2.6154658e+18,4.32e+12,3.2668285e+16,9.1634727e+17,3.3364519e+18,6.6352333e+20,0,347493.94,289310.39,636804.33,0,1.35e+21,28.933933,1.2599142e-07,28.933933,0,0,1.4336773e+08,-5.7064817e+11,7.9485272e+09,-1.0771204e+11,-2.6155568e+10,-9.1639239e+09,-3.336292e+10,4.5819619e+08,1.668146e+09,2.6797543e+10,2.6797543e+10,2.189044e+11,1.3681525e+10,8072276.9
12000,60,0,1.4140832e+08,6.1495188e+16,7.8123705e+16,1.7939305e+21,0,1.1744666e+19,2.4409433e+18,4.32e+12,3.2836134e+16,8.3043947e+17,3.6425087e+18,6.6744834e+20,0,494415.72,389151.05,883566.78,0,1.35e+21,38.918997,-2.549168e-08,38.918997,0,0,1.3413441e+08,-4.3146123e+11,7.6858903e+09,-1.1744215e+11,-2.4410269e+10,-8.3048033e+09,-3.6423624e+10,4.1524017e+08,1.8211812e+09,2.8364112e+10,2.8364112e+10,2.1183488e+11,1.323968e+10,10316669
14000,70,0,1.6089301e+08,7.3007446e+16,9.7154555e+16,1.7901431e+21,0,1.2581235e+19,2.2804981e+18,4.32e+12,3.2906002e+16,7.5262148e+17,3.9216545e+18,6.7032905e+20,0,672398.35,505238.39,1177636.7,0,1.35e+21,50.528892,0,50.528892,0,9.765625e-08,1.2549658e+08,-3.3142887e+11,7.4177335e+09,-1.2580849e+11,-2.280575e+10,-7.526585e+09,-3.9215215e+10,3.7632925e+08,1.9607607e+09,2.9704891e+10,2.9704891e+10,2.0489035e+11,1.2805647e+10,12836567
16000,80,0,1.8034288e+08,8.5007706e+16,1.1754024e+17,1.7872133e+21,0,1.3293823e+19,2.1327651e+18,4.32e+12,3.2895705e+16,6.821291e+17,4.1747654e+18,6.7248019e+20,0,883102.72,638626.64,1521729.4,0,1.35e+21,63.869051,-3.1435086e-08,63.869051,0,0,1.1741582e+08,-2.5826412e+11,7.1493324e+09,-1.3293496e+11,-2.132836e+10,-6.8216263e+09,-4.1746451e+10,3.4108132e+08,2.0873226e+09,3.0838731e+10,3.0838731e+10,1.9817226e+11,1.2385766e+10,15619482
18000,90,0,1.9961054e+08,9.7519483e+16,1.3915548e+17,1.784916e+21,0,1.3894451e+19,1.9965509e+18,4.32e+12,3.2819037e+16,6.1827047e+17,4.4029318e+18,6.7411586e+20,0,1127920.5,790373.4,1918293.9,0,1.35e+21,79.045244,3.5714194e-08,79.045244,0,0,1.0985622e+08,-2.0382271e+11,6.8843287e+09,-1.3894177e+11,-1.9966163e+10,-6.1830085e+09,-4.4028238e+10,3.0915042e+08,2.2014119e+09,3.1784417e+10,3.1784417e+10,1.9173753e+11,1.1983596e+10,18650928
20000,100,0,2.1857568e+08,1.1055854e+17,1.6188061e+17,1.7830931e+21,0,1.4394513e+19,1.8708046e+18,4.32e+12,3.2687014e+16,5.6041922e+17,4.6073746e+18,6.7538327e+20,0,1407995.6,961524.52,2369520.1,0,1.35e+21,96.162069,-4.5058229e-08,96.162069,0,0,1.0278416e+08,-1.6262959e+11,6.6252437e+09,-1.4394287e+11,-1.870865e+10,-5.6044674e+09,-4.6072781e+10,2.8022337e+08,2.303639e+09,3.2560096e+10,3.2560096e+10,1.8561517e+11,1.1600948e+10,21915109
22000,110,0,2.3714173e+08,1.2413411e+17,1.8560212e+17,1.781632e+21,0,1.4804647e+19,1.7545953e+18,4.32e+12,3.250868e+16,5.0800827e+17,4.7893879e+18,6.7638474e+20,0,1724245.3,1153102.5,2877347.9,0,1.35e+21,115.32178,4.49037e-08,115.32178,0,0,96168198,-1.3095332e+11,6.3738099e+09,-1.4804462e+11,-1.7546512e+10,-5.080332e+09,-4.7893023e+10,2.540166e+08,2.3946512e+09,3.3182962e+10,3.3182962e+10,1.7981666e+11,1.1238541e+10,25395488
24000,120,0,2.5523276e+08,1.3824996e+17,2.1021288e+17,1.7804511e+21,0,1.5134682e+19,1.6470942e+18,4.32e+12,3.2291613e+16,4.6052419e+17,4.9503002e+18,6.7719205e+20,0,2077381.5,1366097.8,3443479.3,0,1.35e+21,136.62344,-6.6966948e-09,136.62344,0,0,89978920,-1.0621664e+11,6.1311916e+09,-1.5134535e+11,-1.6471459e+10,-4.6054678e+09,-4.9502248e+10,2.3027339e+08,2.4751124e+09,3.3669091e+10,3.3669091e+10,1.7434246e+11,1.0896404e+10,29075245
26000,130,0,2.7279079e+08,1.5290532e+17,2.3561226e+17,1.7794907e+21,0,1.5393637e+19,1.5475604e+18,4.32e+12,3.2042272e+16,4.1750214e+17,5.0914462e+18,6.77856e+20,0,2467930,1601462.2,4069392.2,0,1.35e+21,160.16223,1.1063622e-07,160.16223,0,0,84188806,-8.6615956e+10,5.8981375e+09,-1.5393524e+11,-1.5476082e+10,-4.1752261e+09,-5.0913803e+10,2.087613e+08,2.5456902e+09,3.4033383e+10,3.4033383e+10,1.6918624e+11,1.057414e+10,32937647
28000,140,0,2.8977323e+08,1.6809575e+17,2.6170611e+17,1.7787061e+21,0,1.558974e+19,1.455329e+18,4.32e+12,3.1766231e+16,3.7852125e+17,5.214148e+18,6.7841283e+20,0,2896250.1,1860105,4756355.1,0,1.35e+21,186.0291,4.3118007e-09,186.0291,0,0,78772115,-7.0872803e+10,5.6750871e+09,-1.5589656e+11,-1.4553734e+10,-3.7853979e+09,-5.214091e+10,1.892699e+08,2.6070455e+09,3.428955e+10,3.428955e+10,1.6433753e+11,1.0271095e+10,36966348
30000,150,0,3.0615076e+08,1.8381382e+17,2.8840667e+17,1.7780635e+21,0,1.5730465e+19,1.3698014e+18,4.32e+12,3.1468339e+16,3.4320043e+17,5.3197005e+18,6.7888858e+20,0,3362552.4,2142890.3,5505442.6,0,1.35e+21,214.31046,0,214.31046,0,9.765625e-08,73704762,-5.8069321e+10,5.4622488e+09,-1.5730408e+11,-1.3698426e+10,-3.4321724e+09,-5.3196518e+10,1.7160862e+08,2.6598259e+09,3.4450151e+10,3.4450151e+10,1.5978348e+11,9.9864674e+09,41145617
32000,160,0,3.2190531e+08,2.0004976e+17,3.1563239e+17,1.7775372e+21,0,1.5822581e+19,1.2904373e+18,4.32e+12,3.1152845e+16,3.1119467e+17,5.4093618e+18,6.7930209e+20,0,3866915.8,2450635.6,6317551.4,0,1.35e+21,245.08807,0,245.08807,0,9.765625e-08,68964219,-4.7538207e+10,5.2596572e+09,-1.5822546e+11,-1.2904755e+10,-3.1120989e+09,-5.4093207e+10,1.5560495e+08,2.7046604e+09,3.4526641e+10,3.4526641e+10,1.5550998e+11,9.7193739e+09,45460515
34000,170,0,3.3702839e+08,2.1679197e+17,3.4330779e+17,1.7771069e+21,0,1.58722e+19,1.2167471e+18,4.32e+12,3.0823479e+16,2.8219153e+17,5.4843461e+18,6.7966705e+20,0,4409303.9,2784112.3,7193416.2,0,1.35e+21,278.43907,0,278.43907,0,9.765625e-08,64529407,-3.8788221e+10,5.0672164e+09,-1.5872185e+11,-1.2167826e+10,-2.8220533e+09,-5.484312e+10,1.4110266e+08,2.742156e+09,3.4529436e+10,3.4529436e+10,1.515024e+11,9.4689001e+09,49897026
36000,180,0,3.5151955e+08,2.3402753e+17,3.7136318e+17,1.7767568e+21,0,1.5884827e+19,1.1482866e+18,4.32e+12,3.0483526e+16,2.5590812e+17,5.5458184e+18,6.7999351e+20,0,4989579.4,3144046,8133625.4,0,1.35e+21,314.43605,7.7682216e-10,314.43605,0,0,60380610,-3.145321e+10,4.8847337e+09,-1.5884829e+11,-1.1483196e+10,-2.5592063e+09,-5.5457908e+10,1.2796031e+08,2.7728954e+09,3.4467978e+10,3.4467978e+10,1.4774605e+11,9.2341282e+09,54442148
38000,190,0,3.6538506e+08,2.5174255e+17,3.9973444e+17,1.7764741e+21,0,1.586541e+19,1.0846517e+18,4.32e+12,3.0135879e+16,2.320883e+17,5.5948917e+18,6.8028883e+20,0,5607517.9,3531118.6,9138636.6,0,1.35e+21,353.14718,-3.6539234e-08,353.14718,0,0,56499381,-2.5256877e+10,4.711945e+09,-1.5865427e+11,-1.0846824e+10,-2.3209963e+09,-5.59487e+10,1.1604982e+08,2.797435e+09,3.4350807e+10,3.4350807e+10,1.4422649e+11,9.0141559e+09,59083953
40000,200,0,3.7863672e+08,2.6992257e+17,4.283628e+17,1.7762486e+21,0,1.581839e+19,1.025474e+18,4.32e+12,2.9783083e+16,2.105001e+17,5.6326246e+18,6.8055849e+20,0,6262821.3,3945970.2,10208792,0,1.35e+21,394.63649,-1.563194e-11,394.63649,0,0,52868464,-1.9988158e+10,4.5485348e+09,-1.5818419e+11,-1.0255025e+10,-2.1051038e+09,-5.6326084e+10,1.0525519e+08,2.8163042e+09,3.418563e+10,3.418563e+10,1.4092973e+11,8.8081084e+09,63811616
