iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971018,9.6983197e+15,7.9118025e+15,1.844626e+21,0,5.2931978e+18,3.4903332e+18,4.32e+12,3.0363722e+16,1.3591407e+18,1.8424349e+18,6.235428e+20,0,316091.29,387458.8,703550.09,0,1.35e+21,38.749755,2.4263976e-08,38.749755,0,0,1.8712053e+08,-2.0950113e+12,8.7174992e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.8422233e+10,6.7960387e+08,9.2111167e+08,1.7972131e+10,1.7972131e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220949,1.949507e+16,1.8182336e+16,1.8270175e+21,0,6.917624e+18,3.2406616e+18,4.32e+12,3.1286926e+16,1.2315018e+18,2.2544492e+18,6.3947308e+20,0,854384.41,916030.33,1770414.7,0,1.35e+21,91.612195,-1.4700888e-08,91.612195,0,0,1.7506546e+08,-1.4698533e+12,8.6050656e+09,-6.9168552e+10,-3.2407806e+10,-1.2315626e+10,-2.254249e+10,6.1578128e+08,1.1271245e+09,2.0579502e+10,2.0579502e+10,2.3848026e+11,1.4905016e+10,3068630.9
6000,30,0,84702337,2.9485987e+16,3.0458853e+16,1.8145451e+21,0,8.3684505e+18,3.0133154e+18,4.32e+12,3.193521e+16,1.1158972e+18,2.6420269e+18,6.5042875e+20,0,1645444.5,1592802,3238246.6,0,1.35e+21,159.29613,-1.2762456e-08,159.29613,0,0,1.6378786e+08,-1.0521478e+12,8.4228922e+09,-8.367768e+10,-3.0134239e+10,-1.1159522e+10,-2.6418396e+10,5.5797611e+08,1.3209198e+09,2.2917928e+10,2.2917928e+10,2.3261075e+11,1.4538172e+10,4444889.5
8000,40,0,1.0308165e+08,3.9756251e+16,4.4613275e+16,1.8055347e+21,0,9.6501191e+18,2.8056492e+18,4.32e+12,3.238069e+16,1.011189e+18,3.0030066e+18,6.5808556e+20,0,2723754,2427068.4,5150822.4,0,1.35e+21,242.73112,4.5123926e-08,242.73112,0,0,1.5323758e+08,-7.6779897e+11,8.1984462e+09,-9.6495192e+10,-2.8057485e+10,-1.0112389e+10,-3.002833e+10,5.0561943e+08,1.5014165e+09,2.4987323e+10,2.4987323e+10,2.2592594e+11,1.4120371e+10,6113077
10000,50,0,1.2206744e+08,5.0374442e+16,6.0509985e+16,1.7989015e+21,0,1.0771728e+19,2.6154788e+18,4.32e+12,3.2671372e+16,9.1634728e+17,3.3365534e+18,6.6352334e+20,0,4119680.5,3429388.7,7549069.2,0,1.35e+21,342.97316,5.0807955e-08,342.97316,0,0,1.4336773e+08,-5.7064798e+11,7.9492781e+09,-1.0771205e+11,-2.6155698e+10,-9.1639239e+09,-3.3363935e+10,4.581962e+08,1.6681967e+09,2.6797665e+10,2.6797665e+10,2.189044e+11,1.3681525e+10,8072310
12000,60,0,1.414092e+08,6.1394695e+16,7.8011124e+16,1.7939305e+21,0,1.1744669e+19,2.4409634e+18,4.32e+12,3.2840452e+16,8.3043947e+17,3.6426708e+18,6.6744836e+20,0,5859610.2,4611165.2,10470775,0,1.35e+21,461.16264,4.5458137e-08,461.16264,0,0,1.3413441e+08,-4.314609e+11,7.686901e+09,-1.1744218e+11,-2.441047e+10,-8.3048034e+09,-3.6425245e+10,4.1524017e+08,1.8212622e+09,2.8364305e+10,2.8364305e+10,2.1183489e+11,1.3239681e+10,10316733
14000,70,0,1.6089445e+08,7.2858636e+16,9.6979965e+16,1.7901431e+21,0,1.258124e+19,2.2805273e+18,4.32e+12,3.29118e+16,7.5262149e+17,3.9218972e+18,6.7032908e+20,0,7966145.8,5984294.9,13950441,0,1.35e+21,598.48934,0,598.48934,0,9.765625e-08,1.2549658e+08,-3.3142833e+11,7.4190405e+09,-1.2580854e+11,-2.2806043e+10,-7.5265851e+09,-3.9217642e+10,3.7632925e+08,1.9608821e+09,2.970518e+10,2.970518e+10,2.0489036e+11,1.2805648e+10,12836682
16000,80,0,1.8034511e+08,8.4797112e+16,1.1728307e+17,1.7872133e+21,0,1.3293831e+19,2.1328056e+18,4.32e+12,3.2903248e+16,6.8212911e+17,4.1751118e+18,6.7248024e+20,0,10458339,7560883.9,18019223,0,1.35e+21,756.16401,-7.1063369e-09,756.16401,0,0,1.1741582e+08,-2.5826331e+11,7.1509715e+09,-1.3293504e+11,-2.1328765e+10,-6.8216265e+09,-4.1749916e+10,3.4108132e+08,2.0874958e+09,3.0839143e+10,3.0839143e+10,1.9817227e+11,1.2385767e+10,15619675
18000,90,0,1.9961384e+08,9.7231732e+16,1.3879166e+17,1.784916e+21,0,1.3894463e+19,1.9966049e+18,4.32e+12,3.2828603e+16,6.1827049e+17,4.403408e+18,6.7411593e+20,0,13351938,9353017,22704955,0,1.35e+21,935.39524,1.1619363e-08,935.39524,0,0,1.0985622e+08,-2.0382155e+11,6.8863353e+09,-1.3894189e+11,-1.9966703e+10,-6.1830087e+09,-4.4032999e+10,3.0915043e+08,2.2016499e+09,3.1784981e+10,3.1784981e+10,1.9173755e+11,1.1983597e+10,18651236
