iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971069,9.685504e+15,7.902097e+15,1.844626e+21,0,5.2931979e+18,3.4903357e+18,4.32e+12,3.0365778e+16,1.3591407e+18,1.8424523e+18,6.235428e+20,0,2539064.2,3112042.5,5651106.7,0,1.35e+21,311.23537,-1.9499339e-08,311.23537,0,0,1.8712053e+08,-2.0950113e+12,8.7180892e+09,-5.2923424e+10,-3.4904667e+10,-1.3592077e+10,-1.8422407e+10,6.7960387e+08,9.2112037e+08,1.7972152e+10,1.7972152e+10,2.4274053e+11,1.5171283e+10,1978862.7
4000,20,0,67221239,1.9437307e+16,1.8133105e+16,1.8270175e+21,0,6.9176246e+18,3.2406736e+18,4.32e+12,3.1292264e+16,1.2315019e+18,2.2545339e+18,6.3947308e+20,0,6852832.1,7345400.6,14198233,0,1.35e+21,734.61352,-4.7419576e-08,734.61352,0,0,1.7506546e+08,-1.4698532e+12,8.6065332e+09,-6.9168558e+10,-3.2407926e+10,-1.2315626e+10,-2.2543337e+10,6.1578128e+08,1.1271668e+09,2.0579604e+10,2.0579604e+10,2.3848026e+11,1.4905016e+10,3068644.2
6000,30,0,84703203,2.9341177e+16,3.032426e+16,1.8145451e+21,0,8.3684527e+18,3.0133455e+18,4.32e+12,3.1945118e+16,1.1158972e+18,2.6422471e+18,6.5042877e+20,0,13175110,12747296,25922406,0,1.35e+21,1274.8571,0,1274.8571,0,9.765625e-08,1.6378786e+08,-1.0521474e+12,8.4255047e+09,-8.3677702e+10,-3.013454e+10,-1.1159522e+10,-2.6420598e+10,5.5797612e+08,1.3210299e+09,2.2918193e+10,2.2918193e+10,2.3261076e+11,1.4538172e+10,4444935
8000,40,0,1.0308362e+08,3.9471848e+16,4.4329158e+16,1.8055348e+21,0,9.6501249e+18,2.8057079e+18,4.32e+12,3.2396605e+16,1.0111891e+18,3.0034502e+18,6.580856e+20,0,21766452,19380212,41146664,0,1.35e+21,1938.215,-2.3810571e-08,1938.215,0,0,1.5323758e+08,-7.6779823e+11,8.2024749e+09,-9.6495249e+10,-2.8058072e+10,-1.0112389e+10,-3.0032764e+10,5.0561944e+08,1.5016382e+09,2.4987854e+10,2.4987854e+10,2.2592595e+11,1.4120372e+10,6113193.7
10000,50,0,1.2207127e+08,4.9886895e+16,5.9991864e+16,1.7989015e+21,0,1.077174e+19,2.6155782e+18,4.32e+12,3.269487e+16,9.1634732e+17,3.3373284e+18,6.6352341e+20,0,32849086,27314136,60163222,0,1.35e+21,2731.6867,5.9485501e-08,2731.6867,0,0,1.4336773e+08,-5.706465e+11,7.9549943e+09,-1.0771218e+11,-2.6156692e+10,-9.1639243e+09,-3.3371683e+10,4.5819622e+08,1.6685841e+09,2.679859e+10,2.679859e+10,2.1890442e+11,1.3681527e+10,8072563.1
12000,60,0,1.4141592e+08,6.0628847e+16,7.7152557e+16,1.7939306e+21,0,1.1744692e+19,2.441117e+18,4.32e+12,3.2873234e+16,8.3043954e+17,3.6439062e+18,6.674485e+20,0,46607630,36622984,83230614,0,1.35e+21,3662.6647,-3.9224687e-08,3662.6647,0,0,1.3413441e+08,-4.3145833e+11,7.6945729e+09,-1.174424e+11,-2.4412006e+10,-8.304804e+09,-3.6437597e+10,4.152402e+08,1.8218799e+09,2.8365778e+10,2.8365778e+10,2.1183493e+11,1.3239683e+10,10317223
14000,70,0,1.609054e+08,7.1727107e+16,9.5651236e+16,1.7901431e+21,0,1.2581278e+19,2.2807499e+18,4.32e+12,3.2955676e+16,7.5262158e+17,3.9237434e+18,6.7032932e+20,0,63190440,47381620,1.1057206e+08,0,1.35e+21,4738.6359,-2.2389031e-08,4738.6359,0,0,1.2549658e+08,-3.3142423e+11,7.4289297e+09,-1.2580891e+11,-2.2808268e+10,-7.526586e+09,-3.92361e+10,3.763293e+08,1.961805e+09,2.9707376e+10,2.9707376e+10,2.0489043e+11,1.2805652e+10,12837556
16000,80,0,1.80362e+08,8.3199686e+16,1.1533019e+17,1.7872134e+21,0,1.3293891e+19,2.1331128e+18,4.32e+12,3.2960125e+16,6.8212924e+17,4.17774e+18,6.7248062e+20,0,82711334,59663386,1.4237472e+08,0,1.35e+21,5966.9353,0,5966.9353,0,9.765625e-08,1.1741582e+08,-2.5825715e+11,7.1633312e+09,-1.3293563e+11,-2.1331836e+10,-6.8216278e+09,-4.1776193e+10,3.4108139e+08,2.0888097e+09,3.0842263e+10,3.0842263e+10,1.9817238e+11,1.2385774e+10,15621139
18000,90,0,1.9963878e+08,9.5054782e+16,1.3603568e+17,1.7849162e+21,0,1.3894552e+19,1.9970135e+18,4.32e+12,3.2900467e+16,6.1827066e+17,4.4070103e+18,6.741165e+20,0,1.0525154e+08,73538104,1.7878964e+08,0,1.35e+21,7354.5458,-2.6189809e-08,7354.5458,0,0,1.0985622e+08,-2.0381273e+11,6.9014081e+09,-1.3894278e+11,-1.9970788e+10,-6.1830104e+09,-4.4069017e+10,3.0915052e+08,2.2034508e+09,3.1789249e+10,3.1789249e+10,1.9173771e+11,1.1983607e+10,18653566
