iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880946,5.4990358e+15,3.9697872e+15,1.8445854e+21,0,5.4296344e+18,3.6571024e+18,4.32e+12,2.6573758e+16,1.4287449e+18,1.8536353e+18,6.2321135e+20,0,156575.46,216885.17,373460.63,0,1.35e+21,21.690686,-5.7668572e-09,21.690686,0,0,1.8712053e+08,-2.1028105e+12,7.6294429e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.2670796e+09,3.5719493e+08,4.6335398e+08,9.2820149e+09,9.2820149e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648961,1.1340605e+16,9.1593005e+15,1.8268676e+21,0,7.2559233e+18,3.5522585e+18,4.32e+12,2.7036833e+16,1.36081e+18,2.2866042e+18,6.3883298e+20,0,424898.4,526061.01,950959.41,0,1.35e+21,52.611362,-3.3444536e-08,52.611362,0,0,1.7506546e+08,-1.4836366e+12,7.4361763e+09,-3.6275194e+10,-1.7761551e+10,-6.8042156e+09,-1.1431955e+10,3.4021078e+08,5.7159776e+08,1.0918683e+10,1.0918683e+10,2.382416e+11,1.48901e+10,1809971.9
6000,30,0,50364587,1.7554357e+16,1.5418251e+16,1.8142332e+21,0,8.9644875e+18,3.4504038e+18,4.32e+12,2.7296453e+16,1.296073e+18,2.7053465e+18,6.494957e+20,0,822287.7,936152.1,1758439.8,0,1.35e+21,93.624572,4.4110948e-08,93.624572,0,0,1.6378786e+08,-1.0706012e+12,7.1994591e+09,-4.4818319e+10,-1.725227e+10,-6.4805228e+09,-1.3525706e+10,3.2402614e+08,6.762853e+08,1.2452592e+10,1.2452592e+10,2.3227712e+11,1.451732e+10,2642961.6
8000,40,0,61885702,2.4168984e+16,2.2708093e+16,1.805019e+21,0,1.0550373e+19,3.3510976e+18,4.32e+12,2.7423359e+16,1.2343855e+18,3.1073368e+18,6.5687049e+20,0,1368684.4,1456635.2,2825319.5,0,1.35e+21,145.67808,7.1709962e-09,145.67808,0,0,1.5323758e+08,-7.8995312e+11,6.9433317e+09,-5.2748056e+10,-1.6755733e+10,-6.1720781e+09,-1.5535701e+10,3.0860391e+08,7.7678506e+08,1.3877883e+10,1.3877883e+10,2.2550884e+11,1.4094303e+10,3670023.4
10000,50,0,74082740,3.1208703e+16,3.0985521e+16,1.7981489e+21,0,1.2013975e+19,3.2541011e+18,4.32e+12,2.746193e+16,1.1756061e+18,3.4912721e+18,6.6203496e+20,0,2082639.3,2097482.8,4180122.1,0,1.35e+21,209.76925,1.1633946e-07,209.76925,0,0,1.4336773e+08,-5.9575521e+11,6.6817902e+09,-6.0066369e+10,-1.6270745e+10,-5.8781737e+09,-1.7455424e+10,2.9390868e+08,8.7277118e+08,1.5194001e+10,1.5194001e+10,2.1841341e+11,1.3650838e+10,4899085.7
12000,60,0,86838675,3.8693768e+16,4.0204881e+16,1.7929147e+21,0,1.3358779e+19,3.1592926e+18,4.32e+12,2.7440541e+16,1.1195994e+18,3.8566087e+18,6.6569461e+20,0,2981327.3,2869045.5,5850372.7,0,1.35e+21,286.93324,6.3952825e-09,286.93324,0,0,1.3413441e+08,-4.5892295e+11,6.4229709e+09,-6.6790678e+10,-1.5796697e+10,-5.5981335e+09,-1.9282154e+10,2.7990668e+08,9.6410768e+08,1.6403481e+10,1.6403481e+10,2.1127832e+11,1.3204895e+10,6335453.3
14000,70,0,1.000485e+08,4.6640858e+16,5.0319674e+16,1.7888429e+21,0,1.459e+19,3.066617e+18,4.32e+12,2.7377681e+16,1.0662365e+18,4.2032783e+18,6.6831783e+20,0,4080587.3,3781946.4,7862533.6,0,1.35e+21,378.23246,0,378.23246,0,9.765625e-08,1.2549658e+08,-3.6075279e+11,6.1715404e+09,-7.2947057e+10,-1.5333314e+10,-5.3313125e+09,-2.1015548e+10,2.6656562e+08,1.0507774e+09,1.7510615e+10,1.7510615e+10,2.0427565e+11,1.2767228e+10,7982194.9
16000,80,0,1.1361848e+08,5.5063424e+16,6.1283504e+16,1.7856123e+21,0,1.5713753e+19,2.9760563e+18,4.32e+12,2.7285635e+16,1.0153942e+18,4.531511e+18,6.7021975e+20,0,5394976.5,4846987.3,10241964,0,1.35e+21,484.7472,0,484.7472,0,9.765625e-08,1.1741582e+08,-2.8903642e+11,5.9300844e+09,-7.8566084e+10,-1.4880505e+10,-5.0770949e+09,-2.2656757e+10,2.5385474e+08,1.1328379e+09,1.8520636e+10,1.8520636e+10,1.9750617e+11,1.2344135e+10,9840487.7
18000,90,0,1.2746531e+08,6.3971998e+16,7.3050665e+16,1.7830015e+21,0,1.6736547e+19,2.8876121e+18,4.32e+12,2.7172737e+16,9.6695498e+17,4.8417236e+18,6.7161498e+20,0,6937829.7,6075066,13012896,0,1.35e+21,607.56736,4.1919407e-08,607.56736,0,0,1.0985622e+08,-2.3569068e+11,5.6999286e+09,-8.3680301e+10,-1.4438279e+10,-4.8348931e+09,-2.4207864e+10,2.4174465e+08,1.2103932e+09,1.9439221e+10,1.9439221e+10,1.9102624e+11,1.193914e+10,11909923
20000,100,0,1.4151522e+08,7.3374477e+16,8.557651e+16,1.7808558e+21,0,1.7664975e+19,2.8012945e+18,4.32e+12,2.7044756e+16,9.2080675e+17,5.1344482e+18,6.7265132e+20,0,8721321.2,7477104.3,16198426,0,1.35e+21,747.78521,-1.8083028e-08,747.78521,0,0,1.0278416e+08,-1.9528971e+11,5.4816299e+09,-8.8322669e+10,-1.4006686e+10,-4.6041464e+09,-2.567153e+10,2.3020732e+08,1.2835765e+09,2.027218e+10,2.027218e+10,1.8486438e+11,1.1554024e+10,14188776
22000,110,0,1.5570317e+08,8.3276388e+16,9.8817678e+16,1.7790652e+21,0,1.8505523e+19,2.7171162e+18,4.32e+12,2.6905779e+16,8.7684248e+17,5.4102858e+18,6.7343164e+20,0,10756526,9063985.4,19820511,0,1.35e+21,906.48919,-4.430342e-08,906.48919,0,0,96168198,-1.6414293e+11,5.2752757e+09,-9.2525619e+10,-1.3585789e+10,-4.3843197e+09,-2.705076e+10,2.1921598e+08,1.352538e+09,2.1025272e+10,2.1025272e+10,1.7903161e+11,1.1189476e+10,16674240
24000,120,0,1.6997203e+08,9.3681144e+16,1.1273223e+17,1.7775508e+21,0,1.926446e+19,2.6350886e+18,4.32e+12,2.6758764e+16,8.3496005e+17,5.6698762e+18,6.7402821e+20,0,13053478,10846500,23899979,0,1.35e+21,1084.7585,0,1084.7585,0,9.765625e-08,89978920,-1.3970766e+11,5.0806683e+09,-9.6320499e+10,-1.3175646e+10,-4.1749024e+09,-2.8348752e+10,2.0874512e+08,1.4174376e+09,2.1704092e+10,2.1704092e+10,1.7352796e+11,1.0845498e+10,19362633
26000,130,0,1.8427183e+08,1.0459026e+17,1.272797e+17,1.7762547e+21,0,1.9947773e+19,2.5552197e+18,4.32e+12,2.6605904e+16,7.9506206e+17,5.9138775e+18,6.7449224e+20,0,15621233,12835304,28456536,0,1.35e+21,1283.6588,7.7691539e-08,1283.6588,0,0,84188806,-1.2021014e+11,4.8974396e+09,-9.9737249e+10,-1.2776296e+10,-3.9754076e+09,-2.9568797e+10,1.9877038e+08,1.4784398e+09,2.2314002e+10,2.2314002e+10,1.683467e+11,1.0521669e+10,22249580
