iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880944,5.4999781e+15,3.9704245e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573614e+16,1.4287449e+18,1.8536341e+18,6.2321135e+20,0,10597.539,14679.657,25277.196,0,1.35e+21,1.4681125,-1.1680694e-08,1.4681125,0,0,1.8712053e+08,-2.1028105e+12,7.6294015e+09,-2.7143468e+10,-1.8285777e+10,-7.1438986e+09,-9.2670734e+09,3.5719493e+08,4.6335367e+08,9.2820141e+09,9.2820141e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648950,1.1344937e+16,9.1625485e+15,1.8268676e+21,0,7.2559233e+18,3.5522576e+18,4.32e+12,2.7036454e+16,1.36081e+18,2.2865981e+18,6.3883298e+20,0,28764.093,35613.412,64377.505,0,1.35e+21,3.5616973,-3.3300091e-08,3.5616974,0,0,1.7506546e+08,-1.4836366e+12,7.4360721e+09,-3.6275194e+10,-1.7761546e+10,-6.8042156e+09,-1.1431924e+10,3.4021078e+08,5.7159622e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364555,1.7565424e+16,1.5427178e+16,1.8142332e+21,0,8.9644875e+18,3.4504016e+18,4.32e+12,2.7295741e+16,1.296073e+18,2.7053302e+18,6.494957e+20,0,55678.407,63391.601,119070.01,0,1.35e+21,6.3397941,4.7540002e-08,6.339794,0,0,1.6378786e+08,-1.0706012e+12,7.1992715e+09,-4.4818318e+10,-1.7252259e+10,-6.4805227e+09,-1.3525624e+10,3.2402614e+08,6.7628121e+08,1.2452582e+10,1.2452582e+10,2.3227712e+11,1.451732e+10,2642959.9
8000,40,0,61885628,2.4191114e+16,2.2727051e+16,1.805019e+21,0,1.0550373e+19,3.3510931e+18,4.32e+12,2.7422203e+16,1.2343855e+18,3.1073032e+18,6.5687048e+20,0,92699.488,98664.264,191363.75,0,1.35e+21,9.8674132,-2.4695817e-08,9.8674132,0,0,1.5323758e+08,-7.8995314e+11,6.9430391e+09,-5.2748055e+10,-1.6755711e+10,-6.1720781e+09,-1.5535533e+10,3.0860391e+08,7.7677666e+08,1.3877863e+10,1.3877863e+10,2.2550884e+11,1.4094303e+10,3670019
10000,50,0,74082594,3.1247302e+16,3.1020317e+16,1.7981489e+21,0,1.2013975e+19,3.2540934e+18,4.32e+12,2.7460205e+16,1.175606e+18,3.4912122e+18,6.6203496e+20,0,141095.48,142117.25,283212.73,0,1.35e+21,14.213146,1.3403718e-07,14.213146,0,0,1.4336773e+08,-5.9575526e+11,6.6813706e+09,-6.0066366e+10,-1.6270707e+10,-5.8781737e+09,-1.7455124e+10,2.9390868e+08,8.7275621e+08,1.5193966e+10,1.5193966e+10,2.1841341e+11,1.3650838e+10,4899076
12000,60,0,86838414,3.8755407e+16,4.0262938e+16,1.7929147e+21,0,1.3358778e+19,3.1592804e+18,4.32e+12,2.7438109e+16,1.1195994e+18,3.8565114e+18,6.656946e+20,0,202044.92,194464.48,396509.41,0,1.35e+21,19.448393,-3.4581024e-08,19.448393,0,0,1.3413441e+08,-4.5892305e+11,6.4224017e+09,-6.6790673e+10,-1.5796637e+10,-5.5981335e+09,-1.9281667e+10,2.7990667e+08,9.6408335e+08,1.6403424e+10,1.6403424e+10,2.1127832e+11,1.3204895e+10,6335434.2
14000,70,0,1.0004807e+08,4.6733375e+16,5.0410185e+16,1.7888429e+21,0,1.4589998e+19,3.066599e+18,4.32e+12,2.737439e+16,1.0662364e+18,4.2031301e+18,6.6831782e+20,0,276639.84,256441.06,533080.9,0,1.35e+21,25.646671,0,25.646671,0,9.765625e-08,1.2549658e+08,-3.6075295e+11,6.1707986e+09,-7.2947049e+10,-1.5333224e+10,-5.3313124e+09,-2.1014807e+10,2.6656562e+08,1.0507404e+09,1.7510528e+10,1.7510528e+10,2.0427564e+11,1.2767228e+10,7982160.3
16000,80,0,1.136178e+08,5.5196022e+16,6.141756e+16,1.7856123e+21,0,1.571375e+19,2.9760311e+18,4.32e+12,2.7281322e+16,1.0153942e+18,4.531296e+18,6.7021974e+20,0,365889.63,328797.13,694686.76,0,1.35e+21,32.883001,0,32.883001,0,9.765625e-08,1.1741582e+08,-2.8903667e+11,5.9291471e+09,-7.8566071e+10,-1.4880379e+10,-5.0770948e+09,-2.2655682e+10,2.5385474e+08,1.1327841e+09,1.852051e+10,1.852051e+10,1.9750616e+11,1.2344135e+10,9840428.7
18000,90,0,1.2746429e+08,6.4155344e+16,7.3241382e+16,1.7830015e+21,0,1.6736544e+19,2.8875779e+18,4.32e+12,2.7167225e+16,9.6695496e+17,4.8414234e+18,6.7161496e+20,0,470725.33,412292.55,883017.88,0,1.35e+21,41.233378,-4.2871761e-08,41.233379,0,0,1.0985622e+08,-2.3569103e+11,5.6987727e+09,-8.3680282e+10,-1.4438108e+10,-4.834893e+09,-2.4206364e+10,2.4174465e+08,1.2103182e+09,1.9439046e+10,1.9439046e+10,1.9102623e+11,1.193914e+10,11909828
20000,100,0,1.4151374e+08,7.3620804e+16,8.5839143e+16,1.7808557e+21,0,1.766497e+19,2.8012495e+18,4.32e+12,2.703786e+16,9.2080673e+17,5.1340419e+18,6.7265128e+20,0,592004.01,507692.25,1099696.3,0,1.35e+21,50.774303,0,50.774303,0,9.765625e-08,1.0278416e+08,-1.9529021e+11,5.4802323e+09,-8.832264e+10,-1.4006461e+10,-4.6041463e+09,-2.5669499e+10,2.3020731e+08,1.283475e+09,2.0271943e+10,2.0271943e+10,1.8486438e+11,1.1554023e+10,14188628
22000,110,0,1.5570109e+08,8.3599597e+16,9.9169718e+16,1.7790652e+21,0,1.8505515e+19,2.7170585e+18,4.32e+12,2.68973e+16,8.7684245e+17,5.4097496e+18,6.7343159e+20,0,730513.09,615762.23,1346275.3,0,1.35e+21,61.582381,-3.8828347e-08,61.582381,0,0,96168198,-1.6414361e+11,5.2736134e+09,-9.2525579e+10,-1.35855e+10,-4.3843195e+09,-2.7048079e+10,2.1921598e+08,1.352404e+09,2.1024961e+10,2.1024961e+10,1.790316e+11,1.1189475e+10,16674017
24000,120,0,1.6996918e+08,9.4096899e+16,1.1319349e+17,1.7775507e+21,0,1.9264449e+19,2.6350161e+18,4.32e+12,2.6748493e+16,8.3496001e+17,5.6691834e+18,6.7402815e+20,0,886974.59,737266.17,1624240.8,0,1.35e+21,73.733991,-3.1640738e-08,73.733991,0,0,89978920,-1.3970855e+11,5.0787184e+09,-9.6320443e+10,-1.3175283e+10,-4.1749023e+09,-2.8345288e+10,2.0874511e+08,1.4172644e+09,2.1703692e+10,2.1703692e+10,1.7352794e+11,1.0845496e+10,19362309
26000,130,0,1.8426801e+08,1.051161e+17,1.2787242e+17,1.7762547e+21,0,1.9947758e+19,2.5551302e+18,4.32e+12,2.6593623e+16,7.9506201e+17,5.9129988e+18,6.7449216e+20,0,1062049.1,872962.63,1935011.8,0,1.35e+21,87.304993,6.3288098e-08,87.304993,0,0,84188806,-1.202113e+11,4.8951792e+09,-9.9737174e+10,-1.2775848e+10,-3.9754074e+09,-2.9564403e+10,1.9877037e+08,1.4782202e+09,2.2313496e+10,2.2313496e+10,1.6834668e+11,1.0521667e+10,22249119
28000,140,0,1.9855406e+08,1.1665899e+17,1.4317006e+17,1.7751343e+21,0,2.0561118e+19,2.4774041e+18,4.32e+12,2.6434343e+16,7.5705551e+17,6.1418559e+18,6.7486017e+20,0,1256339.9,1023602.6,2279942.5,0,1.35e+21,102.3705,0,102.3705,0,1.953125e-07,78772115,-1.0439933e+11,4.7225299e+09,-1.0280414e+11,-1.2387212e+10,-3.7853703e+09,-3.0708726e+10,1.8926851e+08,1.5354363e+09,2.2859469e+10,2.2859469e+10,1.6347696e+11,1.021731e+10,25329525
30000,150,0,2.1278964e+08,1.2872602e+17,1.5905155e+17,1.7741575e+21,0,2.1109873e+19,2.4018363e+18,4.32e+12,2.6271932e+16,7.2085185e+17,6.3564116e+18,6.7515843e+20,0,1470396.2,1189927.8,2660324.1,0,1.35e+21,119.00469,-2.3683853e-08,119.00469,0,0,73704762,-9.1377601e+10,4.5602526e+09,-1.0554807e+11,-1.2009368e+10,-3.6043476e+09,-3.1781539e+10,1.8021738e+08,1.5890769e+09,2.3346424e+10,2.3346424e+10,1.5890557e+11,9.931598e+09,28598201
32000,160,0,2.2694233e+08,1.4131637e+17,1.754836e+17,1.7732997e+21,0,2.159904e+19,2.3284198e+18,4.32e+12,2.6107405e+16,6.8636646e+17,6.5573124e+18,6.7540591e+20,0,1704717.3,1372669,3077386.3,0,1.35e+21,137.28062,3.2330348e-08,137.28062,0,0,68964219,-8.049891e+10,4.4078068e+09,-1.0799405e+11,-1.164228e+10,-3.4319164e+09,-3.2786076e+10,1.7159582e+08,1.6393038e+09,2.3778885e+10,2.3778885e+10,1.5461806e+11,9.663629e+09,32049535
34000,170,0,2.4098444e+08,1.5442824e+17,1.9243445e+17,1.772542e+21,0,2.2033311e+19,2.2571432e+18,4.32e+12,2.5941575e+16,6.5351867e+17,6.7451914e+18,6.7561635e+20,0,1959755.5,1572544.5,3532300,0,1.35e+21,157.27018,0,157.27018,0,9.765625e-08,64529407,-7.1289817e+10,4.2646478e+09,-1.1016554e+11,-1.1285891e+10,-3.2676735e+09,-3.3725503e+10,1.6338368e+08,1.6862752e+09,2.4161094e+10,2.4161094e+10,1.5059949e+11,9.412468e+09,35677728
36000,180,0,2.5489253e+08,1.6805888e+17,2.0987386e+17,1.7718696e+21,0,2.2417067e+19,2.1879898e+18,4.32e+12,2.5775113e+16,6.2223155e+17,6.920665e+18,6.7579973e+20,0,2235919.4,1790260.1,4026179.5,0,1.35e+21,179.04392,1.4165664e-09,179.04392,0,0,60380610,-6.3399959e+10,4.1302394e+09,-1.1208444e+11,-1.0940119e+10,-3.1112341e+09,-3.4602902e+10,1.555617e+08,1.7301451e+09,2.4497017e+10,2.4497017e+10,1.4683486e+11,9.1771787e+09,39476885
38000,190,0,2.6864694e+08,1.8220479e+17,2.2777304e+17,1.7712706e+21,0,2.2754389e+19,2.120939e+18,4.32e+12,2.5608575e+16,5.9243171e+17,7.0843316e+18,6.7596332e+20,0,2533576.9,2026507.6,4560084.6,0,1.35e+21,202.67103,-2.6754407e-08,202.67103,0,0,56499381,-5.6567056e+10,4.0040606e+09,-1.1377116e+11,-1.060486e+10,-2.9622313e+09,-3.5421263e+10,1.4811156e+08,1.7710632e+09,2.4790355e+10,2.4790355e+10,1.4330947e+11,8.9568416e+09,43441085
40000,200,0,2.8223146e+08,1.9686184e+17,2.461046e+17,1.7707354e+21,0,2.3049074e+19,2.055966e+18,4.32e+12,2.5442428e+16,5.6404917e+17,7.2367702e+18,6.7611242e+20,0,2853058.5,2281964.9,5135023.4,0,1.35e+21,228.21931,-2.8222757e-08,228.21931,0,0,52868464,-5.0592507e+10,3.8856104e+09,-1.1524468e+11,-1.027999e+10,-2.8203151e+09,-3.6183484e+10,1.4101575e+08,1.8091742e+09,2.5044555e+10,2.5044555e+10,1.4000906e+11,8.750566e+09,47564445
42000,210,0,2.9563288e+08,2.1202534e+17,2.648425e+17,1.7702564e+21,0,2.3304651e+19,1.9930424e+18,4.32e+12,2.527707e+16,5.3701719e+17,7.3785401e+18,6.7625084e+20,0,3194659.2,2557295.5,5751954.7,0,1.35e+21,255.75513,0,255.75513,0,9.765625e-08,49471716,-4.53242e+10,3.7744105e+09,-1.1652266e+11,-9.965367e+09,-2.6851519e+09,-3.6892359e+10,1.3425759e+08,1.844618e+09,2.5262829e+10,2.5262829e+10,1.3691995e+11,8.5574971e+09,51841173
44000,220,0,3.0884074e+08,2.2769016e+17,2.8396205e+17,1.769827e+21,0,2.3524398e+19,1.9321369e+18,4.32e+12,2.511284e+16,5.1127213e+17,7.5101804e+18,6.7638134e+20,0,3558641.9,2853148.7,6411790.6,0,1.35e+21,285.3434,1.2697399e-08,285.3434,0,0,46294034,-4.0644297e+10,3.6700068e+09,-1.1762148e+11,-9.6608342e+09,-2.5564234e+09,-3.7550585e+10,1.2782117e+08,1.8775293e+09,2.544816e+10,2.544816e+10,1.3402912e+11,8.3768201e+09,56265610
46000,230,0,3.2184695e+08,2.4385084e+17,3.034398e+17,1.7694419e+21,0,2.3711353e+19,1.873215e+18,4.32e+12,2.4950032e+16,4.867533e+17,7.6322101e+18,6.765059e+20,0,3945239.5,3170159.4,7115398.9,0,1.35e+21,317.04765,5.6706995e-09,317.04765,0,0,43321291,-3.6460472e+10,3.5719693e+09,-1.1855634e+11,-9.36622e+09,-2.4338263e+09,-3.8160757e+10,1.2169132e+08,1.9080379e+09,2.560332e+10,2.560332e+10,1.3132419e+11,8.2077619e+09,60832266
48000,240,0,3.3464559e+08,2.6050161e+17,3.2325351e+17,1.7690964e+21,0,2.3868336e+19,1.8162402e+18,4.32e+12,2.4788896e+16,4.6340285e+17,7.7451282e+18,6.7662591e+20,0,4354657,3508948.7,7863605.7,0,1.35e+21,350.92997,0,350.92997,0,9.765625e-08,40540269,-3.2699574e+10,3.4798926e+09,-1.1934132e+11,-9.0813413e+09,-2.3170712e+09,-3.872537e+10,1.1585356e+08,1.9362685e+09,2.5730885e+10,2.5730885e+10,1.2879346e+11,8.0495912e+09,65535851
50000,250,0,3.4723263e+08,2.7763651e+17,3.4338212e+17,1.7687867e+21,0,2.3997956e+19,1.7611738e+18,4.32e+12,2.462965e+16,4.411656e+17,7.8494139e+18,6.7674231e+20,0,4787074.2,3870123.8,8657197.9,0,1.35e+21,387.05108,4.4737305e-08,387.05108,0,0,37938603,-2.9302998e+10,3.3933949e+09,-1.1998949e+11,-8.8060043e+09,-2.2058822e+09,-3.9246819e+10,1.1029411e+08,1.962341e+09,2.583324e+10,2.583324e+10,1.264259e+11,7.9016185e+09,70371294
52000,260,0,3.5960568e+08,2.9524942e+17,3.6380569e+17,1.7685093e+21,0,2.4102631e+19,1.7079753e+18,4.32e+12,2.447248e+16,4.1998895e+17,7.945527e+18,6.7685577e+20,0,5242647.3,4254278.5,9496925.8,0,1.35e+21,425.4704,0,425.4704,0,9.765625e-08,35504727,-2.6223279e+10,3.3121176e+09,-1.2051292e+11,-8.540007e+09,-2.0999964e+09,-3.9727404e+10,1.0499982e+08,1.9863702e+09,2.5912601e+10,2.5912601e+10,1.2421111e+11,7.7631947e+09,75333765
54000,270,0,3.7176384e+08,3.1333414e+17,3.8450537e+17,1.7682613e+21,0,2.4184596e+19,1.6566028e+18,4.32e+12,2.4317547e+16,3.9982277e+17,8.0339081e+18,6.7696667e+20,0,5721511.3,4661994,10383505,0,1.35e+21,466.24602,0,466.24602,0,1.953125e-07,33227819,-2.3421567e+10,3.2357244e+09,-1.209228e+11,-8.28314e+09,-1.999163e+09,-4.0169329e+10,99958152,2.0084664e+09,2.5971017e+10,2.5971017e+10,1.2213935e+11,7.6337096e+09,80418684
56000,280,0,3.8370747e+08,3.3188442e+17,4.0546332e+17,1.7680401e+21,0,2.4245921e+19,1.6070133e+18,4.32e+12,2.4164987e+16,3.8061924e+17,8.1149793e+18,6.7707527e+20,0,6223781.5,5093838.8,11317620,0,1.35e+21,509.43483,0,509.43483,0,9.765625e-08,31097755,-2.0865728e+10,3.1638998e+09,-1.2122948e+11,-8.0351885e+09,-1.9031431e+09,-4.0574703e+10,95157153,2.0287351e+09,2.6010388e+10,2.6010388e+10,1.2020145e+11,7.5125904e+09,85621732
58000,290,0,3.9543805e+08,3.5089399e+17,4.266627e+17,1.7678433e+21,0,2.4288516e+19,1.5591631e+18,4.32e+12,2.4014917e+16,3.6233281e+17,8.1891448e+18,6.7718169e+20,0,6749555.3,5550369.8,12299925,0,1.35e+21,555.09249,1.0642225e-09,555.09249,0,0,29105066,-1.8528923e+10,3.0963489e+09,-1.214425e+11,-7.7959331e+09,-1.8117086e+09,-4.0945547e+10,90585432,2.0472773e+09,2.6032472e+10,2.6032472e+10,1.183888e+11,7.3992997e+09,90938857
60000,300,0,4.0695804e+08,3.7035663e+17,4.4808762e+17,1.7676688e+21,0,2.4314147e+19,1.5130076e+18,4.32e+12,2.3867434e+16,3.4492002e+17,8.2567907e+18,6.7728594e+20,0,7298913.9,6032132.6,13331047,0,1.35e+21,603.27358,0,603.27358,0,9.765625e-08,27240891,-1.6388513e+10,3.0327954e+09,-1.2157069e+11,-7.5651512e+09,-1.7246426e+09,-4.1283792e+10,86232129,2.0641896e+09,2.6038894e+10,2.6038894e+10,1.1669334e+11,7.2933336e+09,96366274
