iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.4996971e+15,3.9702344e+15,1.8445854e+21,0,5.4296344e+18,3.6571023e+18,4.32e+12,2.6573657e+16,1.4287449e+18,1.8536344e+18,6.2321135e+20,0,54132.612,74983.971,129116.58,0,1.35e+21,7.4991471,9.0017082e-08,7.499147,0,0,1.8712053e+08,-2.1028105e+12,7.6294138e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.2670752e+09,3.5719493e+08,4.6335376e+08,9.2820143e+09,9.2820143e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648953,1.1343645e+16,9.1615798e+15,1.8268676e+21,0,7.2559233e+18,3.5522579e+18,4.32e+12,2.7036567e+16,1.36081e+18,2.2865999e+18,6.3883298e+20,0,146919.52,181902.58,328822.1,0,1.35e+21,18.192077,-2.0116556e-08,18.192077,0,0,1.7506546e+08,-1.4836366e+12,7.4361032e+09,-3.6275194e+10,-1.7761548e+10,-6.8042156e+09,-1.1431934e+10,3.4021078e+08,5.7159668e+08,1.091868e+10,1.091868e+10,2.382416e+11,1.48901e+10,1809971.5
6000,30,0,50364565,1.7562123e+16,1.5424515e+16,1.8142332e+21,0,8.9644875e+18,3.4504022e+18,4.32e+12,2.7295954e+16,1.296073e+18,2.7053351e+18,6.494957e+20,0,284371.83,323761.22,608133.05,0,1.35e+21,32.37936,-4.1029672e-08,32.37936,0,0,1.6378786e+08,-1.0706012e+12,7.1993274e+09,-4.4818319e+10,-1.7252263e+10,-6.4805227e+09,-1.3525649e+10,3.2402614e+08,6.7628243e+08,1.2452585e+10,1.2452585e+10,2.3227712e+11,1.451732e+10,2642960.4
8000,40,0,61885650,2.4184512e+16,2.2721396e+16,1.805019e+21,0,1.0550373e+19,3.3510944e+18,4.32e+12,2.7422548e+16,1.2343855e+18,3.1073132e+18,6.5687049e+20,0,473417.15,503867.19,977284.34,0,1.35e+21,50.391758,-3.1513544e-08,50.391758,0,0,1.5323758e+08,-7.8995313e+11,6.9431264e+09,-5.2748056e+10,-1.6755717e+10,-6.1720781e+09,-1.5535583e+10,3.0860391e+08,7.7677917e+08,1.3877869e+10,1.3877869e+10,2.2550884e+11,1.4094303e+10,3670020.3
10000,50,0,74082637,3.1235785e+16,3.1009935e+16,1.7981489e+21,0,1.2013975e+19,3.2540957e+18,4.32e+12,2.746072e+16,1.175606e+18,3.4912301e+18,6.6203496e+20,0,720514.05,725707.22,1446221.3,0,1.35e+21,72.57798,5.5380653e-08,72.577979,0,0,1.4336773e+08,-5.9575525e+11,6.6814958e+09,-6.0066367e+10,-1.6270718e+10,-5.8781737e+09,-1.7455214e+10,2.9390868e+08,8.7276068e+08,1.5193976e+10,1.5193976e+10,2.1841341e+11,1.3650838e+10,4899078.9
12000,60,0,86838492,3.8737013e+16,4.0245614e+16,1.7929147e+21,0,1.3358778e+19,3.1592841e+18,4.32e+12,2.7438835e+16,1.1195994e+18,3.8565404e+18,6.656946e+20,0,1031658,992907.67,2024565.7,0,1.35e+21,99.300697,-3.1852196e-08,99.300697,0,0,1.3413441e+08,-4.5892302e+11,6.4225716e+09,-6.6790675e+10,-1.5796655e+10,-5.5981335e+09,-1.9281812e+10,2.7990667e+08,9.6409061e+08,1.6403441e+10,1.6403441e+10,2.1127832e+11,1.3204895e+10,6335439.9
14000,70,0,1.000482e+08,4.6705762e+16,5.0383172e+16,1.7888429e+21,0,1.4589999e+19,3.0666044e+18,4.32e+12,2.7375372e+16,1.0662365e+18,4.2031743e+18,6.6831782e+20,0,1412396.7,1309198.9,2721595.5,0,1.35e+21,130.93298,0,130.93298,0,9.765625e-08,1.2549658e+08,-3.607529e+11,6.1710201e+09,-7.2947052e+10,-1.5333251e+10,-5.3313125e+09,-2.1015028e+10,2.6656562e+08,1.0507514e+09,1.7510554e+10,1.7510554e+10,2.0427565e+11,1.2767228e+10,7982170.6
16000,80,0,1.1361801e+08,5.5156438e+16,6.1377544e+16,1.7856123e+21,0,1.5713751e+19,2.9760386e+18,4.32e+12,2.728261e+16,1.0153942e+18,4.5313602e+18,6.7021974e+20,0,1867849.1,1678383.5,3546232.6,0,1.35e+21,167.85513,2.3667525e-08,167.85513,0,0,1.1741582e+08,-2.890366e+11,5.9294271e+09,-7.8566075e+10,-1.4880417e+10,-5.0770948e+09,-2.2656003e+10,2.5385474e+08,1.1328002e+09,1.8520548e+10,1.8520548e+10,1.9750616e+11,1.2344135e+10,9840446.3
18000,90,0,1.2746459e+08,6.41006e+16,7.3184441e+16,1.7830015e+21,0,1.6736545e+19,2.8875881e+18,4.32e+12,2.7168872e+16,9.6695497e+17,4.8415131e+18,6.7161496e+20,0,2402727.6,2104308.9,4507036.5,0,1.35e+21,210.45193,-2.2242631e-08,210.45193,0,0,1.0985622e+08,-2.3569093e+11,5.699118e+09,-8.3680287e+10,-1.4438159e+10,-4.834893e+09,-2.4206812e+10,2.4174465e+08,1.2103406e+09,1.9439098e+10,1.9439098e+10,1.9102624e+11,1.193914e+10,11909856
