iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880961,5.4910805e+15,3.9644071e+15,1.8445854e+21,0,5.4296344e+18,3.6571039e+18,4.32e+12,2.6574976e+16,1.4287449e+18,1.8536458e+18,6.2321135e+20,0,1388399,1923006.3,3311405.3,0,1.35e+21,192.31986,4.6431381e-08,192.31986,0,0,1.8712053e+08,-2.1028105e+12,7.6297923e+09,-2.7143468e+10,-1.8285786e+10,-7.1438986e+09,-9.2671317e+09,3.5719493e+08,4.6335659e+08,9.2820211e+09,9.2820211e+09,2.4261156e+11,1.5163222e+10,1160076.1
4000,20,0,39649049,1.1304084e+16,9.1319132e+15,1.8268676e+21,0,7.2559235e+18,3.5522658e+18,4.32e+12,2.7040026e+16,1.36081e+18,2.2866561e+18,6.3883298e+20,0,3761527,4656021,8417548,0,1.35e+21,465.64867,-3.1852608e-08,465.64867,0,0,1.7506546e+08,-1.4836366e+12,7.4370542e+09,-3.6275195e+10,-1.7761587e+10,-6.8042157e+09,-1.1432214e+10,3.4021078e+08,5.7161072e+08,1.0918714e+10,1.0918714e+10,2.382416e+11,1.48901e+10,1809975.9
6000,30,0,50364856,1.7461195e+16,1.534308e+16,1.8142332e+21,0,8.9644883e+18,3.4504226e+18,4.32e+12,2.7302434e+16,1.296073e+18,2.7054842e+18,6.494957e+20,0,7265757.6,8268279.7,15534037,0,1.35e+21,826.91066,3.8216058e-08,826.91066,0,0,1.6378786e+08,-1.0706011e+12,7.2010361e+09,-4.4818322e+10,-1.7252364e+10,-6.4805228e+09,-1.3526394e+10,3.2402614e+08,6.7631969e+08,1.2452674e+10,1.2452674e+10,2.3227712e+11,1.451732e+10,2642975.7
8000,40,0,61886323,2.3983e+16,2.2548725e+16,1.805019e+21,0,1.0550375e+19,3.351135e+18,4.32e+12,2.7433047e+16,1.2343855e+18,3.1076193e+18,6.568705e+20,0,12067696,12834404,24902100,0,1.35e+21,1283.5687,-2.3054099e-08,1283.5687,0,0,1.5323758e+08,-7.8995288e+11,6.9457841e+09,-5.2748066e+10,-1.675592e+10,-6.1720782e+09,-1.5537113e+10,3.0860391e+08,7.7685565e+08,1.3878051e+10,1.3878051e+10,2.2550885e+11,1.4094303e+10,3670060.3
10000,50,0,74083968,3.0884959e+16,3.069355e+16,1.7981489e+21,0,1.2013979e+19,3.2541657e+18,4.32e+12,2.7476349e+16,1.1756061e+18,3.4917745e+18,6.6203499e+20,0,18318173,18431028,36749201,0,1.35e+21,1843.2871,5.152333e-08,1843.2871,0,0,1.4336773e+08,-5.9575474e+11,6.6852978e+09,-6.0066389e+10,-1.6271068e+10,-5.8781738e+09,-1.7457935e+10,2.9390869e+08,8.7289676e+08,1.5194298e+10,1.5194298e+10,2.1841342e+11,1.3650839e+10,4899166.8
12000,60,0,86840864,3.8177898e+16,3.9718697e+16,1.7929147e+21,0,1.3358787e+19,3.1593942e+18,4.32e+12,2.7460811e+16,1.1195994e+18,3.8574236e+18,6.6569465e+20,0,26152049,25135547,51287597,0,1.35e+21,2513.8061,3.2312983e-08,2513.8061,0,0,1.3413441e+08,-4.5892213e+11,6.4277146e+09,-6.6790716e+10,-1.5797205e+10,-5.5981338e+09,-1.9286227e+10,2.7990669e+08,9.6431135e+08,1.6403961e+10,1.6403961e+10,2.1127834e+11,1.3204896e+10,6335613
14000,70,0,1.0005212e+08,4.5868409e+16,4.9563411e+16,1.7888429e+21,0,1.4590013e+19,3.0667667e+18,4.32e+12,2.7405011e+16,1.0662365e+18,4.2045162e+18,6.6831791e+20,0,35688307,33024975,68713282,0,1.35e+21,3302.8278,0,3302.8278,0,9.765625e-08,1.2549658e+08,-3.6075145e+11,6.1777003e+09,-7.2947123e+10,-1.5334062e+10,-5.3313128e+09,-2.1021736e+10,2.6656564e+08,1.0510868e+09,1.7511341e+10,1.7511341e+10,2.0427567e+11,1.2767229e+10,7982483.9
16000,80,0,1.1362415e+08,5.3959202e+16,6.016612e+16,1.7856123e+21,0,1.5713774e+19,2.9762665e+18,4.32e+12,2.732132e+16,1.0153943e+18,4.5333017e+18,6.7021988e+20,0,47030321,42174915,89205236,0,1.35e+21,4217.9133,-1.5003934e-08,4217.9133,0,0,1.1741582e+08,-2.8903438e+11,5.9378389e+09,-7.8566189e+10,-1.4881556e+10,-5.0770954e+09,-2.2665709e+10,2.5385477e+08,1.1332854e+09,1.8521683e+10,1.8521683e+10,1.975062e+11,1.2344138e+10,9840978.8
18000,90,0,1.274738e+08,6.2449435e+16,7.1465175e+16,1.7830016e+21,0,1.673658e+19,2.8878962e+18,4.32e+12,2.7218146e+16,9.6695511e+17,4.8442164e+18,6.7161517e+20,0,60266221,52658647,1.1292487e+08,0,1.35e+21,5266.3914,-4.5100933e-08,5266.3914,0,0,1.0985622e+08,-2.3568772e+11,5.7094528e+09,-8.3680463e+10,-1.4439699e+10,-4.8348938e+09,-2.4220326e+10,2.4174469e+08,1.2110163e+09,1.9440673e+10,1.9440673e+10,1.9102629e+11,1.1939143e+10,11910716
20000,100,0,1.4152747e+08,7.1335033e+16,8.3399359e+16,1.7808559e+21,0,1.7665023e+19,2.8016671e+18,4.32e+12,2.7101328e+16,9.2080693e+17,5.1378126e+18,6.7265159e+20,0,75469334,64546314,1.4001565e+08,0,1.35e+21,6455.2769,-2.2024324e-08,6455.2769,0,0,1.0278416e+08,-1.9528557e+11,5.493095e+09,-8.8322906e+10,-1.4008548e+10,-4.6041473e+09,-2.568835e+10,2.3020736e+08,1.2844175e+09,2.0274135e+10,2.0274135e+10,1.8486446e+11,1.1554029e+10,14190005
22000,110,0,1.5572034e+08,8.0608984e+16,9.5908245e+16,1.7790653e+21,0,1.8505591e+19,2.7175927e+18,4.32e+12,2.6975011e+16,8.7684271e+17,5.4147118e+18,6.7343203e+20,0,92698663,77904218,1.7060288e+08,0,1.35e+21,7791.2009,6.5219865e-09,7791.2009,0,0,96168198,-1.6413732e+11,5.2888484e+09,-9.2525956e+10,-1.3588171e+10,-4.3843208e+09,-2.7072887e+10,2.1921604e+08,1.3536444e+09,2.1027836e+10,2.1027836e+10,1.7903171e+11,1.1189482e+10,16676079
24000,120,0,1.6999548e+08,9.0261635e+16,1.0893246e+17,1.777551e+21,0,1.9264553e+19,2.6356853e+18,4.32e+12,2.6842206e+16,8.3496034e+17,5.6755741e+18,6.7402875e+20,0,1.119994e+08,92794219,2.0479362e+08,0,1.35e+21,9280.3499,0,9280.3499,0,9.765625e-08,89978920,-1.3970025e+11,5.0965101e+09,-9.6320962e+10,-1.3178629e+10,-4.1749039e+09,-2.8377238e+10,2.087452e+08,1.4188619e+09,2.1707384e+10,2.1707384e+10,1.735281e+11,1.0845506e+10,19365305
26000,130,0,1.8430316e+08,1.0028096e+17,1.2241388e+17,1.776255e+21,0,1.9947898e+19,2.5559536e+18,4.32e+12,2.670515e+16,7.9506243e+17,5.9210781e+18,6.7449296e+20,0,1.3340347e+08,1.0927322e+08,2.4267668e+08,0,1.35e+21,10928.414,0,10928.414,0,9.765625e-08,84188806,-1.2020056e+11,4.9157066e+09,-9.9737872e+10,-1.2779965e+10,-3.9754095e+09,-2.9604795e+10,1.9877047e+08,1.4802398e+09,2.2318152e+10,2.2318152e+10,1.6834688e+11,1.052168e+10,22253364
28000,140,0,1.9860015e+08,1.1065285e+17,1.3629579e+17,1.7751348e+21,0,2.0561302e+19,2.4784018e+18,4.32e+12,2.6565539e+16,7.5705602e+17,6.1519072e+18,6.7486123e+20,0,1.5693008e+08,1.2739272e+08,2.843228e+08,0,1.35e+21,12740.547,-3.1213858e-09,12740.547,0,0,78772115,-1.0438571e+11,4.7459665e+09,-1.0280506e+11,-1.23922e+10,-3.7853728e+09,-3.0758977e+10,1.8926864e+08,1.5379488e+09,2.2865247e+10,2.2865247e+10,1.6347721e+11,1.0217326e+10,25335406
30000,150,0,2.1284908e+08,1.2136131e+17,1.50523e+17,1.7741581e+21,0,2.1110111e+19,2.4030289e+18,4.32e+12,2.642469e+16,7.2085246e+17,6.368741e+18,6.751598e+20,0,1.8258632e+08,1.4719854e+08,3.2978485e+08,0,1.35e+21,14721.326,4.6371497e-08,14721.326,0,0,73704762,-9.136059e+10,4.5867661e+09,-1.0554926e+11,-1.201533e+10,-3.6043506e+09,-3.184318e+10,1.8021753e+08,1.592159e+09,2.3353496e+10,2.3353496e+10,1.5890589e+11,9.9316182e+09,28606189
32000,160,0,2.2701783e+08,1.3238877e+17,1.6504194e+17,1.7733005e+21,0,2.1599343e+19,2.3298287e+18,4.32e+12,2.6283641e+16,6.863672e+17,6.5722482e+18,6.7540766e+20,0,2.1036773e+08,1.6873044e+08,3.7909816e+08,0,1.35e+21,16874.731,0,16874.731,0,9.765625e-08,68964219,-8.0477965e+10,4.4375591e+09,-1.0799556e+11,-1.1649324e+10,-3.4319201e+09,-3.2860748e+10,1.7159601e+08,1.6430374e+09,2.3787434e+10,2.3787434e+10,1.5461846e+11,9.663654e+09,32060197
34000,170,0,2.4107908e+08,1.4371622e+17,1.7980072e+17,1.7725431e+21,0,2.2033691e+19,2.2587901e+18,4.32e+12,2.6143225e+16,6.5351955e+17,6.7630836e+18,6.7561854e+20,0,2.4025892e+08,1.9202203e+08,4.3228095e+08,0,1.35e+21,19204.124,0,19204.124,0,9.765625e-08,64529407,-7.1264346e+10,4.2977957e+09,-1.1016743e+11,-1.1294125e+10,-3.2676779e+09,-3.3814956e+10,1.6338389e+08,1.6907478e+09,2.4171315e+10,2.4171315e+10,1.5059998e+11,9.4124986e+09,35691738
