iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880948,5.4980297e+15,3.9691068e+15,1.8445854e+21,0,5.4296344e+18,3.6571026e+18,4.32e+12,2.6573912e+16,1.4287449e+18,1.8536366e+18,6.2321135e+20,0,312422.5,432756.34,745178.85,0,1.35e+21,43.279962,-2.8733737e-08,43.279962,0,0,1.8712053e+08,-2.1028105e+12,7.6294871e+09,-2.7143468e+10,-1.8285779e+10,-7.1438986e+09,-9.2670861e+09,3.5719493e+08,4.6335431e+08,9.2820156e+09,9.2820156e+09,2.4261156e+11,1.5163222e+10,1160075.6
4000,20,0,39648972,1.1335982e+16,9.1558336e+15,1.8268676e+21,0,7.2559233e+18,3.5522594e+18,4.32e+12,2.7037237e+16,1.36081e+18,2.2866108e+18,6.3883298e+20,0,847644.46,1049426.6,1897071.1,0,1.35e+21,104.95316,-4.6433087e-08,104.95316,0,0,1.7506546e+08,-1.4836366e+12,7.4362875e+09,-3.6275194e+10,-1.7761555e+10,-6.8042156e+09,-1.1431988e+10,3.4021078e+08,5.715994e+08,1.0918687e+10,1.0918687e+10,2.382416e+11,1.48901e+10,1809972.4
6000,30,0,50364621,1.7542549e+16,1.5408724e+16,1.8142332e+21,0,8.9644876e+18,3.4504062e+18,4.32e+12,2.7297212e+16,1.296073e+18,2.705364e+18,6.494957e+20,0,1640017.3,1867012.6,3507029.9,0,1.35e+21,186.71993,0,186.71993,0,9.765625e-08,1.6378786e+08,-1.0706011e+12,7.1996593e+09,-4.4818319e+10,-1.7252282e+10,-6.4805228e+09,-1.3525793e+10,3.2402614e+08,6.7628966e+08,1.2452602e+10,1.2452602e+10,2.3227712e+11,1.451732e+10,2642963.4
8000,40,0,61885780,2.4145378e+16,2.2687871e+16,1.805019e+21,0,1.0550374e+19,3.3511023e+18,4.32e+12,2.7424591e+16,1.2343855e+18,3.1073726e+18,6.5687049e+20,0,2729037.1,2904153,5633190.1,0,1.35e+21,290.44434,-6.8361601e-09,290.44434,0,0,1.5323758e+08,-7.8995309e+11,6.9436435e+09,-5.2748058e+10,-1.6755757e+10,-6.1720781e+09,-1.553588e+10,3.0860391e+08,7.7679402e+08,1.3877905e+10,1.3877905e+10,2.2550884e+11,1.4094303e+10,3670028.1
10000,50,0,74082896,3.1167549e+16,3.0948419e+16,1.7981489e+21,0,1.2013976e+19,3.2541093e+18,4.32e+12,2.7463768e+16,1.1756061e+18,3.4913359e+18,6.6203496e+20,0,4151325.7,4180405.6,8331731.3,0,1.35e+21,418.08237,5.608814e-08,418.08237,0,0,1.4336773e+08,-5.9575515e+11,6.6822373e+09,-6.0066371e+10,-1.6270786e+10,-5.8781737e+09,-1.7455743e+10,2.9390869e+08,8.7278714e+08,1.5194039e+10,1.5194039e+10,2.1841341e+11,1.3650838e+10,4899096
12000,60,0,86838954,3.862808e+16,4.0143002e+16,1.7929147e+21,0,1.335878e+19,3.1593055e+18,4.32e+12,2.7443131e+16,1.1195994e+18,3.8567125e+18,6.6569461e+20,0,5940647.8,5716005.4,11656653,0,1.35e+21,571.6577,-2.6032808e-08,571.6577,0,0,1.3413441e+08,-4.5892285e+11,6.423577e+09,-6.6790683e+10,-1.5796762e+10,-5.5981335e+09,-1.9282672e+10,2.7990668e+08,9.6413361e+08,1.6403542e+10,1.6403542e+10,2.1127832e+11,1.3204895e+10,6335473.6
14000,70,0,1.0004896e+08,4.6542316e+16,5.0223253e+16,1.7888429e+21,0,1.4590001e+19,3.066636e+18,4.32e+12,2.7381182e+16,1.0662365e+18,4.2034362e+18,6.6831784e+20,0,8127983,7531646.5,15659629,0,1.35e+21,753.23997,-4.4841499e-08,753.23997,0,0,1.2549658e+08,-3.6075262e+11,6.1723296e+09,-7.2947066e+10,-1.5333409e+10,-5.3313125e+09,-2.1016337e+10,2.6656563e+08,1.0508169e+09,1.7510707e+10,1.7510707e+10,2.0427565e+11,1.2767228e+10,7982231.7
16000,80,0,1.1361921e+08,5.4922272e+16,6.1140772e+16,1.7856123e+21,0,1.5713756e+19,2.9760832e+18,4.32e+12,2.729022e+16,1.0153942e+18,4.5317399e+18,6.7021977e+20,0,10741625,9648288.2,20389913,0,1.35e+21,964.92531,0,964.92531,0,9.765625e-08,1.1741582e+08,-2.8903616e+11,5.9310808e+09,-7.8566097e+10,-1.488064e+10,-5.0770949e+09,-2.2657901e+10,2.5385475e+08,1.1328951e+09,1.852077e+10,1.852077e+10,1.9750617e+11,1.2344136e+10,9840550.4
18000,90,0,1.2746639e+08,6.3776944e+16,7.2847721e+16,1.7830015e+21,0,1.6736552e+19,2.8876485e+18,4.32e+12,2.717859e+16,9.66955e+17,4.8420429e+18,6.71615e+20,0,13807293,12086983,25894276,0,1.35e+21,1208.8192,0,1208.8192,0,9.765625e-08,1.0985622e+08,-2.356903e+11,5.7011562e+09,-8.3680322e+10,-1.4438461e+10,-4.8348932e+09,-2.4209461e+10,2.4174466e+08,1.210473e+09,1.9439407e+10,1.9439407e+10,1.9102625e+11,1.193914e+10,11910025
