iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.4998875e+15,3.9703632e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573627e+16,1.4287449e+18,1.8536342e+18,6.2321135e+20,0,24637.212,34127.302,58764.514,0,1.35e+21,3.4130716,6.6798989e-08,3.4130715,0,0,1.8712053e+08,-2.1028105e+12,7.6294054e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.267074e+09,3.5719493e+08,4.633537e+08,9.2820142e+09,9.2820142e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648951,1.134452e+16,9.1622361e+15,1.8268676e+21,0,7.2559233e+18,3.5522577e+18,4.32e+12,2.703649e+16,1.36081e+18,2.2865987e+18,6.3883298e+20,0,66869.658,82792.471,149662.13,0,1.35e+21,8.2800751,-4.8770763e-08,8.2800752,0,0,1.7506546e+08,-1.4836366e+12,7.4360821e+09,-3.6275194e+10,-1.7761547e+10,-6.8042156e+09,-1.1431927e+10,3.4021078e+08,5.7159637e+08,1.091868e+10,1.091868e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364558,1.7564359e+16,1.5426319e+16,1.8142332e+21,0,8.9644875e+18,3.4504018e+18,4.32e+12,2.729581e+16,1.296073e+18,2.7053318e+18,6.494957e+20,0,129436.23,147366.45,276802.68,0,1.35e+21,14.738119,0,14.738119,0,9.765625e-08,1.6378786e+08,-1.0706012e+12,7.1992895e+09,-4.4818319e+10,-1.725226e+10,-6.4805227e+09,-1.3525632e+10,3.2402614e+08,6.7628161e+08,1.2452583e+10,1.2452583e+10,2.3227712e+11,1.451732e+10,2642960.1
8000,40,0,61885635,2.4188985e+16,2.2725227e+16,1.805019e+21,0,1.0550373e+19,3.3510935e+18,4.32e+12,2.7422314e+16,1.2343855e+18,3.1073064e+18,6.5687049e+20,0,215494.26,229358.52,444852.77,0,1.35e+21,22.938145,-2.2360727e-08,22.938146,0,0,1.5323758e+08,-7.8995314e+11,6.9430672e+09,-5.2748055e+10,-1.6755713e+10,-6.1720781e+09,-1.5535549e+10,3.0860391e+08,7.7677747e+08,1.3877865e+10,1.3877865e+10,2.2550884e+11,1.4094303e+10,3670019.5
10000,50,0,74082608,3.1243588e+16,3.1016968e+16,1.7981489e+21,0,1.2013975e+19,3.2540941e+18,4.32e+12,2.7460371e+16,1.175606e+18,3.4912179e+18,6.6203496e+20,0,327989.11,330360.71,658349.82,0,1.35e+21,33.039375,5.4935711e-08,33.039375,0,0,1.4336773e+08,-5.9575526e+11,6.681411e+09,-6.0066366e+10,-1.627071e+10,-5.8781737e+09,-1.7455153e+10,2.9390868e+08,8.7275765e+08,1.5193969e+10,1.5193969e+10,2.1841341e+11,1.3650838e+10,4899076.9
12000,60,0,86838439,3.8749474e+16,4.025735e+16,1.7929147e+21,0,1.3358778e+19,3.1592816e+18,4.32e+12,2.7438343e+16,1.1195994e+18,3.8565207e+18,6.656946e+20,0,469657.08,452029.76,921686.84,0,1.35e+21,45.207497,1.6553642e-08,45.207497,0,0,1.3413441e+08,-4.5892304e+11,6.4224565e+09,-6.6790674e+10,-1.5796642e+10,-5.5981335e+09,-1.9281714e+10,2.7990667e+08,9.6408569e+08,1.6403429e+10,1.6403429e+10,2.1127832e+11,1.3204895e+10,6335436.1
14000,70,0,1.0004811e+08,4.6724468e+16,5.0401471e+16,1.7888429e+21,0,1.4589998e+19,3.0666008e+18,4.32e+12,2.7374707e+16,1.0662364e+18,4.2031444e+18,6.6831782e+20,0,643032.43,596071.01,1239103.4,0,1.35e+21,59.613062,0,59.613062,0,9.765625e-08,1.2549658e+08,-3.6075293e+11,6.1708701e+09,-7.294705e+10,-1.5333233e+10,-5.3313125e+09,-2.1014878e+10,2.6656562e+08,1.0507439e+09,1.7510536e+10,1.7510536e+10,2.0427564e+11,1.2767228e+10,7982163.6
16000,80,0,1.1361787e+08,5.5183253e+16,6.1404651e+16,1.7856123e+21,0,1.5713751e+19,2.9760335e+18,4.32e+12,2.7281737e+16,1.0153942e+18,4.5313167e+18,6.7021974e+20,0,850456.36,764224.15,1614680.5,0,1.35e+21,76.430058,-3.6584709e-08,76.430058,0,0,1.1741582e+08,-2.8903664e+11,5.9292374e+09,-7.8566072e+10,-1.4880391e+10,-5.0770948e+09,-2.2655786e+10,2.5385474e+08,1.1327893e+09,1.8520522e+10,1.8520522e+10,1.9750616e+11,1.2344135e+10,9840434.4
18000,90,0,1.2746438e+08,6.4137683e+16,7.3223014e+16,1.7830015e+21,0,1.6736544e+19,2.8875812e+18,4.32e+12,2.7167757e+16,9.6695496e+17,4.8414523e+18,6.7161496e+20,0,1094087,958250.69,2052337.7,0,1.35e+21,95.834653,-1.9280776e-08,95.834653,0,0,1.0985622e+08,-2.35691e+11,5.6988841e+09,-8.3680284e+10,-1.4438124e+10,-4.834893e+09,-2.4206509e+10,2.4174465e+08,1.2103254e+09,1.9439062e+10,1.9439062e+10,1.9102624e+11,1.193914e+10,11909837
