iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.499928e+15,3.9703906e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573621e+16,1.4287449e+18,1.8536341e+18,6.2321135e+20,0,18359.912,25432.04,43791.952,0,1.35e+21,2.5434583,4.9004048e-08,2.5434583,0,0,1.8712053e+08,-2.1028105e+12,7.6294037e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.2670737e+09,3.5719493e+08,4.6335369e+08,9.2820142e+09,9.2820142e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648951,1.1344706e+16,9.1623757e+15,1.8268676e+21,0,7.2559233e+18,3.5522577e+18,4.32e+12,2.7036474e+16,1.36081e+18,2.2865984e+18,6.3883298e+20,0,49832.395,61698.416,111530.81,0,1.35e+21,6.1704587,-3.385055e-08,6.1704587,0,0,1.7506546e+08,-1.4836366e+12,7.4360776e+09,-3.6275194e+10,-1.7761546e+10,-6.8042156e+09,-1.1431926e+10,3.4021078e+08,5.715963e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364557,1.7564835e+16,1.5426703e+16,1.8142332e+21,0,8.9644875e+18,3.4504017e+18,4.32e+12,2.7295779e+16,1.296073e+18,2.7053311e+18,6.494957e+20,0,96458.986,109821.26,206280.25,0,1.35e+21,10.983224,2.2919826e-08,10.983224,0,0,1.6378786e+08,-1.0706012e+12,7.1992814e+09,-4.4818318e+10,-1.725226e+10,-6.4805227e+09,-1.3525629e+10,3.2402614e+08,6.7628143e+08,1.2452583e+10,1.2452583e+10,2.3227712e+11,1.451732e+10,2642960
8000,40,0,61885632,2.4189937e+16,2.2726043e+16,1.805019e+21,0,1.0550373e+19,3.3510933e+18,4.32e+12,2.7422264e+16,1.2343855e+18,3.107305e+18,6.5687049e+20,0,160593.26,170925.95,331519.21,0,1.35e+21,17.094304,-4.0303103e-08,17.094304,0,0,1.5323758e+08,-7.8995314e+11,6.9430547e+09,-5.2748055e+10,-1.6755712e+10,-6.1720781e+09,-1.5535542e+10,3.0860391e+08,7.7677711e+08,1.3877864e+10,1.3877864e+10,2.2550884e+11,1.4094303e+10,3670019.3
10000,50,0,74082602,3.1245248e+16,3.1018465e+16,1.7981489e+21,0,1.2013975e+19,3.2540938e+18,4.32e+12,2.7460297e+16,1.175606e+18,3.4912154e+18,6.6203496e+20,0,244431.08,246199.69,490630.77,0,1.35e+21,24.622432,1.0357839e-07,24.622432,0,0,1.4336773e+08,-5.9575526e+11,6.6813929e+09,-6.0066366e+10,-1.6270709e+10,-5.8781737e+09,-1.745514e+10,2.9390868e+08,8.7275701e+08,1.5193968e+10,1.5193968e+10,2.1841341e+11,1.3650838e+10,4899076.5
12000,60,0,86838428,3.8752126e+16,4.0259849e+16,1.7929147e+21,0,1.3358778e+19,3.1592811e+18,4.32e+12,2.7438238e+16,1.1195994e+18,3.8565165e+18,6.656946e+20,0,350012.75,336878.11,686890.86,0,1.35e+21,33.69118,4.1715353e-08,33.69118,0,0,1.3413441e+08,-4.5892305e+11,6.422432e+09,-6.6790674e+10,-1.579664e+10,-5.5981335e+09,-1.9281693e+10,2.7990667e+08,9.6408464e+08,1.6403427e+10,1.6403427e+10,2.1127832e+11,1.3204895e+10,6335435.2
14000,70,0,1.0004809e+08,4.672845e+16,5.0405367e+16,1.7888429e+21,0,1.4589998e+19,3.0666e+18,4.32e+12,2.7374565e+16,1.0662364e+18,4.203138e+18,6.6831782e+20,0,479228.32,444233.24,923461.56,0,1.35e+21,44.427766,0,44.427766,0,9.765625e-08,1.2549658e+08,-3.6075294e+11,6.1708381e+09,-7.294705e+10,-1.5333229e+10,-5.3313125e+09,-2.1014847e+10,2.6656562e+08,1.0507423e+09,1.7510533e+10,1.7510533e+10,2.0427564e+11,1.2767228e+10,7982162.1
16000,80,0,1.1361784e+08,5.5188962e+16,6.1410423e+16,1.7856123e+21,0,1.571375e+19,2.9760324e+18,4.32e+12,2.7281552e+16,1.0153942e+18,4.5313075e+18,6.7021974e+20,0,633824.3,569562.93,1203387.2,0,1.35e+21,56.961989,4.3228248e-08,56.961989,0,0,1.1741582e+08,-2.8903666e+11,5.9291971e+09,-7.8566072e+10,-1.4880386e+10,-5.0770948e+09,-2.265574e+10,2.5385474e+08,1.132787e+09,1.8520517e+10,1.8520517e+10,1.9750616e+11,1.2344135e+10,9840431.8
18000,90,0,1.2746434e+08,6.4145579e+16,7.3231226e+16,1.7830015e+21,0,1.6736544e+19,2.8875797e+18,4.32e+12,2.7167519e+16,9.6695496e+17,4.8414394e+18,6.7161496e+20,0,815411.05,714181.57,1529592.6,0,1.35e+21,71.425299,-4.2163137e-08,71.425299,0,0,1.0985622e+08,-2.3569102e+11,5.6988343e+09,-8.3680283e+10,-1.4438117e+10,-4.834893e+09,-2.4206444e+10,2.4174465e+08,1.2103222e+09,1.9439055e+10,1.9439055e+10,1.9102623e+11,1.193914e+10,11909833
