iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880944,5.4999934e+15,3.9704348e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573611e+16,1.4287449e+18,1.8536341e+18,6.2321135e+20,0,8235.052,11407.153,19642.205,0,1.35e+21,1.1408294,3.1663866e-08,1.1408294,0,0,1.8712053e+08,-2.1028105e+12,7.6294008e+09,-2.7143468e+10,-1.8285777e+10,-7.1438986e+09,-9.2670733e+09,3.5719493e+08,4.6335366e+08,9.2820141e+09,9.2820141e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648950,1.1345007e+16,9.162601e+15,1.8268676e+21,0,7.2559233e+18,3.5522576e+18,4.32e+12,2.7036448e+16,1.36081e+18,2.286598e+18,6.3883298e+20,0,22351.844,27674.287,50026.131,0,1.35e+21,2.7677055,5.9443206e-10,2.7677055,0,0,1.7506546e+08,-1.4836366e+12,7.4360704e+09,-3.6275194e+10,-1.7761546e+10,-6.8042156e+09,-1.1431924e+10,3.4021078e+08,5.7159619e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364555,1.7565603e+16,1.5427323e+16,1.8142332e+21,0,8.9644875e+18,3.4504015e+18,4.32e+12,2.729573e+16,1.296073e+18,2.7053299e+18,6.494957e+20,0,43266.429,49260.218,92526.647,0,1.35e+21,4.9265144,-2.272684e-08,4.9265145,0,0,1.6378786e+08,-1.0706012e+12,7.1992684e+09,-4.4818318e+10,-1.7252259e+10,-6.4805227e+09,-1.3525623e+10,3.2402614e+08,6.7628115e+08,1.2452582e+10,1.2452582e+10,2.3227712e+11,1.451732e+10,2642959.9
8000,40,0,61885626,2.4191473e+16,2.2727358e+16,1.805019e+21,0,1.0550373e+19,3.351093e+18,4.32e+12,2.7422184e+16,1.2343855e+18,3.1073026e+18,6.5687048e+20,0,72034.97,76670.181,148705.15,0,1.35e+21,7.6677849,-3.360488e-08,7.667785,0,0,1.5323758e+08,-7.8995314e+11,6.9430344e+09,-5.2748055e+10,-1.675571e+10,-6.1720781e+09,-1.5535531e+10,3.0860391e+08,7.7677653e+08,1.3877863e+10,1.3877863e+10,2.2550884e+11,1.4094303e+10,3670019
10000,50,0,74082591,3.1247927e+16,3.102088e+16,1.7981489e+21,0,1.2013975e+19,3.2540933e+18,4.32e+12,2.7460177e+16,1.175606e+18,3.4912112e+18,6.6203496e+20,0,109643.06,110437.27,220080.33,0,1.35e+21,11.044832,6.3096184e-08,11.044831,0,0,1.4336773e+08,-5.9575526e+11,6.6813638e+09,-6.0066366e+10,-1.6270706e+10,-5.8781737e+09,-1.7455119e+10,2.9390868e+08,8.7275597e+08,1.5193965e+10,1.5193965e+10,2.1841341e+11,1.3650838e+10,4899075.8
12000,60,0,86838409,3.8756405e+16,4.0263879e+16,1.7929147e+21,0,1.3358778e+19,3.1592802e+18,4.32e+12,2.7438069e+16,1.1195994e+18,3.8565098e+18,6.656946e+20,0,157006.73,151116.42,308123.15,0,1.35e+21,15.113154,2.4632714e-08,15.113154,0,0,1.3413441e+08,-4.5892305e+11,6.4223925e+09,-6.6790673e+10,-1.5796636e+10,-5.5981335e+09,-1.9281659e+10,2.7990667e+08,9.6408295e+08,1.6403423e+10,1.6403423e+10,2.1127832e+11,1.3204895e+10,6335433.9
14000,70,0,1.0004806e+08,4.6734874e+16,5.0411651e+16,1.7888429e+21,0,1.4589998e+19,3.0665987e+18,4.32e+12,2.7374336e+16,1.0662364e+18,4.2031277e+18,6.6831782e+20,0,214974.79,199279.06,414253.85,0,1.35e+21,19.929899,-2.1500941e-08,19.929899,0,0,1.2549658e+08,-3.6075295e+11,6.1707866e+09,-7.2947049e+10,-1.5333223e+10,-5.3313124e+09,-2.1014795e+10,2.6656562e+08,1.0507398e+09,1.7510526e+10,1.7510526e+10,2.0427564e+11,1.2767228e+10,7982159.7
16000,80,0,1.1361779e+08,5.5198171e+16,6.1419732e+16,1.7856123e+21,0,1.571375e+19,2.9760307e+18,4.32e+12,2.7281252e+16,1.0153942e+18,4.5312925e+18,6.7021974e+20,0,284331.93,255508.35,539840.29,0,1.35e+21,25.55339,-3.9520941e-08,25.553391,0,0,1.1741582e+08,-2.8903667e+11,5.9291319e+09,-7.8566071e+10,-1.4880377e+10,-5.0770948e+09,-2.2655665e+10,2.5385474e+08,1.1327832e+09,1.8520508e+10,1.8520508e+10,1.9750616e+11,1.2344135e+10,9840427.8
18000,90,0,1.2746427e+08,6.4158317e+16,7.3244474e+16,1.7830015e+21,0,1.6736544e+19,2.8875773e+18,4.32e+12,2.7167136e+16,9.6695496e+17,4.8414186e+18,6.7161496e+20,0,365802,320395.04,686197.04,0,1.35e+21,32.042708,1.5453999e-08,32.042708,0,0,1.0985622e+08,-2.3569104e+11,5.6987539e+09,-8.3680281e+10,-1.4438105e+10,-4.834893e+09,-2.420634e+10,2.4174465e+08,1.210317e+09,1.9439043e+10,1.9439043e+10,1.9102623e+11,1.193914e+10,11909826
20000,100,0,1.4151371e+08,7.3624799e+16,8.5843402e+16,1.7808557e+21,0,1.766497e+19,2.8012488e+18,4.32e+12,2.7037748e+16,9.2080673e+17,5.1340353e+18,6.7265128e+20,0,460051.41,394533.86,854585.27,0,1.35e+21,39.457331,1.6907201e-08,39.457331,0,0,1.0278416e+08,-1.9529022e+11,5.4802096e+09,-8.832264e+10,-1.4006457e+10,-4.6041462e+09,-2.5669466e+10,2.3020731e+08,1.2834733e+09,2.027194e+10,2.027194e+10,1.8486438e+11,1.1554023e+10,14188625
22000,110,0,1.5570106e+08,8.360484e+16,9.9175429e+16,1.7790652e+21,0,1.8505515e+19,2.7170576e+18,4.32e+12,2.6897162e+16,8.7684245e+17,5.4097409e+18,6.7343159e+20,0,567692.54,478520.4,1046212.9,0,1.35e+21,47.856826,-3.7832599e-08,47.856826,0,0,96168198,-1.6414362e+11,5.2735864e+09,-9.2525578e+10,-1.3585496e+10,-4.3843195e+09,-2.7048036e+10,2.1921598e+08,1.3524018e+09,2.1024956e+10,2.1024956e+10,1.790316e+11,1.1189475e+10,16674013
24000,120,0,1.6996913e+08,9.4103646e+16,1.1320098e+17,1.7775507e+21,0,1.9264449e+19,2.635015e+18,4.32e+12,2.6748326e+16,8.3496001e+17,5.6691722e+18,6.7402815e+20,0,689286.97,572948.55,1262235.5,0,1.35e+21,57.300585,4.6472124e-09,57.300585,0,0,89978920,-1.3970857e+11,5.0786867e+09,-9.6320442e+10,-1.3175277e+10,-4.1749023e+09,-2.8345232e+10,2.0874511e+08,1.4172616e+09,2.1703685e+10,2.1703685e+10,1.7352794e+11,1.0845496e+10,19362303
26000,130,0,1.8426795e+08,1.0512463e+17,1.2788205e+17,1.7762547e+21,0,1.9947758e+19,2.5551288e+18,4.32e+12,2.6593423e+16,7.9506201e+17,5.9129845e+18,6.7449216e+20,0,825348.67,678408.21,1503756.9,0,1.35e+21,67.847606,0,67.847606,0,9.765625e-08,84188806,-1.2021132e+11,4.8951425e+09,-9.9737172e+10,-1.2775841e+10,-3.9754074e+09,-2.9564332e+10,1.9877037e+08,1.4782166e+09,2.2313487e+10,2.2313487e+10,1.6834668e+11,1.0521667e+10,22249111
28000,140,0,1.9855397e+08,1.1666964e+17,1.4318222e+17,1.7751343e+21,0,2.0561118e+19,2.4774024e+18,4.32e+12,2.6434106e+16,7.5705551e+17,6.1418381e+18,6.7486017e+20,0,976347.02,795483.55,1771830.6,0,1.35e+21,79.55631,1.611869e-08,79.55631,0,0,78772115,-1.0439936e+11,4.7224877e+09,-1.0280414e+11,-1.2387204e+10,-3.7853703e+09,-3.0708637e+10,1.8926851e+08,1.5354318e+09,2.2859459e+10,2.2859459e+10,1.6347696e+11,1.021731e+10,25329515
30000,150,0,2.1278953e+08,1.2873912e+17,1.590667e+17,1.7741575e+21,0,2.1109873e+19,2.4018341e+18,4.32e+12,2.6271656e+16,7.2085185e+17,6.3563896e+18,6.7515843e+20,0,1142709.7,924751.44,2067461.1,0,1.35e+21,92.484392,0,92.484392,0,9.765625e-08,73704762,-9.1377631e+10,4.5602046e+09,-1.0554807e+11,-1.2009357e+10,-3.6043476e+09,-3.1781429e+10,1.8021738e+08,1.5890715e+09,2.3346411e+10,2.3346411e+10,1.5890557e+11,9.931598e+09,28598187
32000,160,0,2.269422e+08,1.4133233e+17,1.7550222e+17,1.7732997e+21,0,2.1599039e+19,2.3284173e+18,4.32e+12,2.6107083e+16,6.8636646e+17,6.5572857e+18,6.7540591e+20,0,1324825.3,1066780.4,2391605.7,0,1.35e+21,106.6887,0,106.6887,0,9.765625e-08,68964219,-8.0498947e+10,4.4077525e+09,-1.0799404e+11,-1.1642267e+10,-3.4319164e+09,-3.2785943e+10,1.7159582e+08,1.6392971e+09,2.377887e+10,2.377887e+10,1.5461806e+11,9.6636289e+09,32049515
34000,170,0,2.4098427e+08,1.5444746e+17,1.9245708e+17,1.772542e+21,0,2.2033311e+19,2.2571402e+18,4.32e+12,2.5941206e+16,6.5351867e+17,6.7451593e+18,6.7561634e+20,0,1523046.4,1222129.4,2745175.8,0,1.35e+21,122.22516,0,122.22516,0,9.765625e-08,64529407,-7.1289862e+10,4.264587e+09,-1.1016553e+11,-1.1285877e+10,-3.2676735e+09,-3.3725342e+10,1.6338368e+08,1.6862671e+09,2.4161076e+10,2.4161076e+10,1.5059949e+11,9.412468e+09,35677703
36000,180,0,2.5489232e+08,1.6808184e+17,2.0990107e+17,1.7718696e+21,0,2.2417066e+19,2.1879864e+18,4.32e+12,2.577469e+16,6.2223155e+17,6.9206267e+18,6.7579972e+20,0,1737691.2,1391347.6,3129038.8,0,1.35e+21,139.14868,3.5183518e-08,139.14868,0,0,60380610,-6.3400013e+10,4.1301717e+09,-1.1208443e+11,-1.0940102e+10,-3.1112341e+09,-3.460271e+10,1.555617e+08,1.7301355e+09,2.4496996e+10,2.4496996e+10,1.4683486e+11,9.1771787e+09,39476852
