iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29881012,5.4643843e+15,3.9463493e+15,1.8445854e+21,0,5.4296345e+18,3.657109e+18,4.32e+12,2.6579056e+16,1.4287449e+18,1.8536808e+18,6.2321135e+20,0,5514895.1,7636070.1,13150965,0,1.35e+21,763.68338,4.8588845e-08,763.68338,0,0,1.8712053e+08,-2.1028104e+12,7.630963e+09,-2.7143469e+10,-1.8285811e+10,-7.1438986e+09,-9.2673068e+09,3.5719493e+08,4.6336534e+08,9.2820421e+09,9.2820421e+09,2.4261156e+11,1.5163223e+10,1160078.1
4000,20,0,39649345,1.1182147e+16,9.0404322e+15,1.8268676e+21,0,7.2559241e+18,3.5522903e+18,4.32e+12,2.7050643e+16,1.36081e+18,2.2868294e+18,6.3883299e+20,0,14859270,18378528,33237799,0,1.35e+21,1838.0366,-3.0900082e-08,1838.0366,0,0,1.7506546e+08,-1.4836365e+12,7.4399734e+09,-3.6275198e+10,-1.7761709e+10,-6.8042157e+09,-1.143308e+10,3.4021079e+08,5.7165401e+08,1.0918817e+10,1.0918817e+10,2.382416e+11,1.48901e+10,1809989.4
6000,30,0,50365749,1.7151972e+16,1.5093383e+16,1.8142332e+21,0,8.9644906e+18,3.4504851e+18,4.32e+12,2.732215e+16,1.296073e+18,2.7059412e+18,6.4949572e+20,0,28520755,32408692,60929447,0,1.35e+21,3241.1933,-4.6171408e-08,3241.1933,0,0,1.6378786e+08,-1.0706007e+12,7.206235e+09,-4.4818334e+10,-1.7252677e+10,-6.4805229e+09,-1.3528678e+10,3.2402615e+08,6.764339e+08,1.2452946e+10,1.2452946e+10,2.3227713e+11,1.451732e+10,2643022.6
8000,40,0,61888372,2.3369852e+16,2.2022685e+16,1.805019e+21,0,1.0550382e+19,3.3512586e+18,4.32e+12,2.7464675e+16,1.2343856e+18,3.108551e+18,6.5687054e+20,0,47030423,49903914,96934337,0,1.35e+21,4990.8905,-2.2940185e-08,4990.8905,0,0,1.5323758e+08,-7.8995211e+11,6.9537903e+09,-5.2748097e+10,-1.6756538e+10,-6.1720785e+09,-1.554177e+10,3.0860393e+08,7.7708851e+08,1.3878603e+10,1.3878603e+10,2.2550886e+11,1.4094304e+10,3670181.8
10000,50,0,74087988,2.9825728e+16,2.973661e+16,1.798149e+21,0,1.2013993e+19,3.2543772e+18,4.32e+12,2.7522904e+16,1.1756062e+18,3.4934195e+18,6.6203507e+20,0,70816255,71023200,1.4183945e+08,0,1.35e+21,7103.0303,5.8465048e-08,7103.0303,0,0,1.4336773e+08,-5.957532e+11,6.6966232e+09,-6.0066455e+10,-1.6272126e+10,-5.8781743e+09,-1.7466158e+10,2.9390872e+08,8.733079e+08,1.519527e+10,1.519527e+10,2.1841344e+11,1.365084e+10,4899432.7
12000,60,0,86847971,3.6504214e+16,3.8137672e+16,1.7929147e+21,0,1.3358812e+19,3.1597242e+18,4.32e+12,2.7525461e+16,1.1195996e+18,3.8600692e+18,6.656948e+20,0,1.0020088e+08,95901673,1.9610255e+08,0,1.35e+21,9591.1264,-3.6672645e-08,9591.1264,0,0,1.3413441e+08,-4.5891942e+11,6.4428449e+09,-6.679084e+10,-1.5798855e+10,-5.5981345e+09,-1.9299452e+10,2.7990673e+08,9.6497261e+08,1.6405519e+10,1.6405519e+10,2.1127838e+11,1.3204899e+10,6336131.5
14000,70,0,1.0006378e+08,4.3385266e+16,4.7125172e+16,1.788843e+21,0,1.4590056e+19,3.0672488e+18,4.32e+12,2.7491022e+16,1.0662368e+18,4.2084987e+18,6.6831816e+20,0,1.3540183e+08,1.2464593e+08,2.6004777e+08,0,1.35e+21,12465.84,0,12465.84,0,9.765625e-08,1.2549658e+08,-3.6074709e+11,6.1970866e+09,-7.2947336e+10,-1.5336473e+10,-5.331314e+09,-2.1041645e+10,2.665657e+08,1.0520822e+09,1.7513679e+10,1.7513679e+10,2.0427575e+11,1.2767234e+10,7983414.3
16000,80,0,1.1364222e+08,5.0444827e+16,5.6597175e+16,1.7856125e+21,0,1.5713842e+19,2.9769369e+18,4.32e+12,2.7432001e+16,1.0153946e+18,4.539005e+18,6.7022028e+20,0,1.7653373e+08,1.5733037e+08,3.3386411e+08,0,1.35e+21,15734.611,0,15734.611,0,9.765625e-08,1.1741582e+08,-2.890278e+11,5.9618907e+09,-7.8566531e+10,-1.4884907e+10,-5.077097e+09,-2.2694221e+10,2.5385485e+08,1.134711e+09,1.852502e+10,1.852502e+10,1.9750632e+11,1.2344145e+10,9842543.8
18000,90,0,1.2750056e+08,5.7655483e+16,6.6452096e+16,1.7830018e+21,0,1.6736684e+19,2.888793e+18,4.32e+12,2.735679e+16,9.6695554e+17,4.8520703e+18,6.7161577e+20,0,2.2361214e+08,1.9399441e+08,4.1760655e+08,0,1.35e+21,19401.381,-3.9388397e-08,19401.381,0,0,1.0985622e+08,-2.3567824e+11,5.7385325e+09,-8.3680982e+10,-1.4444182e+10,-4.8348959e+09,-2.425959e+10,2.4174479e+08,1.2129795e+09,1.9445254e+10,1.9445254e+10,1.9102647e+11,1.1939154e+10,11913217
