iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.4998805e+15,3.9703585e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573628e+16,1.4287449e+18,1.8536342e+18,6.2321135e+20,0,25717.168,35623.249,61340.417,0,1.35e+21,3.5626811,-1.8970729e-08,3.5626812,0,0,1.8712053e+08,-2.1028105e+12,7.6294057e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.267074e+09,3.5719493e+08,4.633537e+08,9.2820142e+09,9.2820142e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648951,1.1344488e+16,9.162212e+15,1.8268676e+21,0,7.2559233e+18,3.5522577e+18,4.32e+12,2.7036493e+16,1.36081e+18,2.2865987e+18,6.3883298e+20,0,69800.747,86421.486,156222.23,0,1.35e+21,8.6430129,4.5347544e-08,8.6430129,0,0,1.7506546e+08,-1.4836366e+12,7.4360829e+09,-3.6275194e+10,-1.7761547e+10,-6.8042156e+09,-1.1431928e+10,3.4021078e+08,5.7159638e+08,1.091868e+10,1.091868e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364559,1.7564277e+16,1.5426253e+16,1.8142332e+21,0,8.9644875e+18,3.4504018e+18,4.32e+12,2.7295815e+16,1.296073e+18,2.7053319e+18,6.494957e+20,0,135109.57,153825.63,288935.2,0,1.35e+21,15.384101,-5.8387783e-09,15.384101,0,0,1.6378786e+08,-1.0706012e+12,7.1992909e+09,-4.4818319e+10,-1.725226e+10,-6.4805227e+09,-1.3525633e+10,3.2402614e+08,6.7628164e+08,1.2452583e+10,1.2452583e+10,2.3227712e+11,1.451732e+10,2642960.1
8000,40,0,61885635,2.4188821e+16,2.2725087e+16,1.805019e+21,0,1.0550373e+19,3.3510936e+18,4.32e+12,2.7422323e+16,1.2343855e+18,3.1073067e+18,6.5687049e+20,0,224939.19,239410.97,464350.16,0,1.35e+21,23.943491,2.4627685e-08,23.943491,0,0,1.5323758e+08,-7.8995314e+11,6.9430694e+09,-5.2748055e+10,-1.6755713e+10,-6.1720781e+09,-1.5535551e+10,3.0860391e+08,7.7677753e+08,1.3877865e+10,1.3877865e+10,2.2550884e+11,1.4094303e+10,3670019.5
10000,50,0,74082609,3.1243302e+16,3.1016711e+16,1.7981489e+21,0,1.2013975e+19,3.2540942e+18,4.32e+12,2.7460384e+16,1.175606e+18,3.4912184e+18,6.6203496e+20,0,342363.87,344839.12,687202.99,0,1.35e+21,34.487361,5.2117194e-08,34.487361,0,0,1.4336773e+08,-5.9575526e+11,6.6814141e+09,-6.0066366e+10,-1.6270711e+10,-5.8781737e+09,-1.7455155e+10,2.9390868e+08,8.7275777e+08,1.5193969e+10,1.5193969e+10,2.1841341e+11,1.3650838e+10,4899077
12000,60,0,86838441,3.8749017e+16,4.0256921e+16,1.7929147e+21,0,1.3358778e+19,3.1592817e+18,4.32e+12,2.7438361e+16,1.1195994e+18,3.8565215e+18,6.656946e+20,0,490239.56,471839.21,962078.77,0,1.35e+21,47.18864,-2.4185951e-08,47.18864,0,0,1.3413441e+08,-4.5892304e+11,6.4224607e+09,-6.6790674e+10,-1.5796643e+10,-5.5981335e+09,-1.9281717e+10,2.7990667e+08,9.6408587e+08,1.640343e+10,1.640343e+10,2.1127832e+11,1.3204895e+10,6335436.2
14000,70,0,1.0004811e+08,4.6723783e+16,5.0400801e+16,1.7888429e+21,0,1.4589998e+19,3.0666009e+18,4.32e+12,2.7374731e+16,1.0662364e+18,4.2031455e+18,6.6831782e+20,0,671211.22,622191.03,1293402.3,0,1.35e+21,62.225325,0,62.225325,0,9.765625e-08,1.2549658e+08,-3.6075293e+11,6.1708755e+09,-7.294705e+10,-1.5333234e+10,-5.3313125e+09,-2.1014884e+10,2.6656562e+08,1.0507442e+09,1.7510537e+10,1.7510537e+10,2.0427564e+11,1.2767228e+10,7982163.9
16000,80,0,1.1361787e+08,5.5182271e+16,6.1403659e+16,1.7856123e+21,0,1.5713751e+19,2.9760337e+18,4.32e+12,2.7281769e+16,1.0153942e+18,4.5313183e+18,6.7021974e+20,0,887722.29,797710.19,1685432.5,0,1.35e+21,79.778997,2.258929e-09,79.778997,0,0,1.1741582e+08,-2.8903664e+11,5.9292444e+09,-7.8566072e+10,-1.4880392e+10,-5.0770948e+09,-2.2655794e+10,2.5385474e+08,1.1327897e+09,1.8520523e+10,1.8520523e+10,1.9750616e+11,1.2344135e+10,9840434.8
18000,90,0,1.2746439e+08,6.4136325e+16,7.3221601e+16,1.7830015e+21,0,1.6736544e+19,2.8875814e+18,4.32e+12,2.7167798e+16,9.6695496e+17,4.8414546e+18,6.7161496e+20,0,1142024.9,1000235,2142260,0,1.35e+21,100.03351,2.2687004e-08,100.03351,0,0,1.0985622e+08,-2.35691e+11,5.6988927e+09,-8.3680284e+10,-1.4438126e+10,-4.834893e+09,-2.420652e+10,2.4174465e+08,1.210326e+09,1.9439064e+10,1.9439064e+10,1.9102624e+11,1.193914e+10,11909838
