iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880944,5.4999681e+15,3.9704177e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573615e+16,1.4287449e+18,1.8536341e+18,6.2321135e+20,0,12150.024,16830.149,28980.174,0,1.35e+21,1.6831832,2.4086696e-08,1.6831832,0,0,1.8712053e+08,-2.1028105e+12,7.6294019e+09,-2.7143468e+10,-1.8285777e+10,-7.1438986e+09,-9.2670734e+09,3.5719493e+08,4.6335367e+08,9.2820141e+09,9.2820141e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648950,1.1344891e+16,9.1625139e+15,1.8268676e+21,0,7.2559233e+18,3.5522576e+18,4.32e+12,2.7036458e+16,1.36081e+18,2.2865981e+18,6.3883298e+20,0,32977.817,40830.497,73808.314,0,1.35e+21,4.0834581,-3.7239162e-08,4.0834581,0,0,1.7506546e+08,-1.4836366e+12,7.4360732e+09,-3.6275194e+10,-1.7761546e+10,-6.8042156e+09,-1.1431925e+10,3.4021078e+08,5.7159624e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364556,1.7565306e+16,1.5427083e+16,1.8142332e+21,0,8.9644875e+18,3.4504016e+18,4.32e+12,2.7295749e+16,1.296073e+18,2.7053304e+18,6.494957e+20,0,63834.724,72677.782,136512.51,0,1.35e+21,7.268505,-4.6592746e-08,7.2685051,0,0,1.6378786e+08,-1.0706012e+12,7.1992735e+09,-4.4818318e+10,-1.7252259e+10,-6.4805227e+09,-1.3525625e+10,3.2402614e+08,6.7628126e+08,1.2452582e+10,1.2452582e+10,2.3227712e+11,1.451732e+10,2642960
8000,40,0,61885628,2.4190879e+16,2.272685e+16,1.805019e+21,0,1.0550373e+19,3.3510931e+18,4.32e+12,2.7422215e+16,1.2343855e+18,3.1073035e+18,6.5687049e+20,0,106278.73,113117.16,219395.89,0,1.35e+21,11.312848,9.0438945e-09,11.312848,0,0,1.5323758e+08,-7.8995314e+11,6.9430422e+09,-5.2748055e+10,-1.6755711e+10,-6.1720781e+09,-1.5535535e+10,3.0860391e+08,7.7677675e+08,1.3877864e+10,1.3877864e+10,2.2550884e+11,1.4094303e+10,3670019.1
10000,50,0,74082595,3.1246891e+16,3.1019946e+16,1.7981489e+21,0,1.2013975e+19,3.2540935e+18,4.32e+12,2.7460224e+16,1.175606e+18,3.4912128e+18,6.6203496e+20,0,161763.58,162934.83,324698.42,0,1.35e+21,16.295113,1.3447876e-07,16.295113,0,0,1.4336773e+08,-5.9575526e+11,6.6813751e+09,-6.0066366e+10,-1.6270707e+10,-5.8781737e+09,-1.7455127e+10,2.9390868e+08,8.7275637e+08,1.5193966e+10,1.5193966e+10,2.1841341e+11,1.3650838e+10,4899076.1
12000,60,0,86838416,3.8754751e+16,4.026232e+16,1.7929147e+21,0,1.3358778e+19,3.1592806e+18,4.32e+12,2.7438135e+16,1.1195994e+18,3.8565124e+18,6.656946e+20,0,231640.3,222949.14,454589.44,0,1.35e+21,22.297144,1.673212e-08,22.297144,0,0,1.3413441e+08,-4.5892305e+11,6.4224077e+09,-6.6790673e+10,-1.5796637e+10,-5.5981335e+09,-1.9281672e+10,2.7990667e+08,9.6408361e+08,1.6403424e+10,1.6403424e+10,2.1127832e+11,1.3204895e+10,6335434.4
14000,70,0,1.0004807e+08,4.673239e+16,5.0409221e+16,1.7888429e+21,0,1.4589998e+19,3.0665992e+18,4.32e+12,2.7374425e+16,1.0662364e+18,4.2031317e+18,6.6831782e+20,0,317160.63,294002.66,611163.3,0,1.35e+21,29.403206,0,29.403206,0,9.765625e-08,1.2549658e+08,-3.6075295e+11,6.1708065e+09,-7.294705e+10,-1.5333225e+10,-5.3313124e+09,-2.1014815e+10,2.6656562e+08,1.0507407e+09,1.7510529e+10,1.7510529e+10,2.0427564e+11,1.2767228e+10,7982160.6
16000,80,0,1.1361781e+08,5.519461e+16,6.1416132e+16,1.7856123e+21,0,1.571375e+19,2.9760313e+18,4.32e+12,2.7281368e+16,1.0153942e+18,4.5312983e+18,6.7021974e+20,0,419481.55,376955.22,796436.76,0,1.35e+21,37.699292,3.6172821e-08,37.699292,0,0,1.1741582e+08,-2.8903667e+11,5.9291571e+09,-7.8566071e+10,-1.4880381e+10,-5.0770948e+09,-2.2655694e+10,2.5385474e+08,1.1327847e+09,1.8520512e+10,1.8520512e+10,1.9750616e+11,1.2344135e+10,9840429.3
18000,90,0,1.274643e+08,6.4153391e+16,7.3239351e+16,1.7830015e+21,0,1.6736544e+19,2.8875782e+18,4.32e+12,2.7167284e+16,9.6695496e+17,4.8414266e+18,6.7161496e+20,0,539670.12,472677.71,1012347.8,0,1.35e+21,47.272498,0,47.272498,0,9.765625e-08,1.0985622e+08,-2.3569103e+11,5.698785e+09,-8.3680282e+10,-1.443811e+10,-4.834893e+09,-2.420638e+10,2.4174465e+08,1.210319e+09,1.9439048e+10,1.9439048e+10,1.9102623e+11,1.193914e+10,11909829
