iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.499911e+15,3.9703791e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573624e+16,1.4287449e+18,1.8536342e+18,6.2321135e+20,0,20992.338,29078.456,50070.794,0,1.35e+21,2.9081364,8.4636463e-08,2.9081363,0,0,1.8712053e+08,-2.1028105e+12,7.6294044e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.2670738e+09,3.5719493e+08,4.6335369e+08,9.2820142e+09,9.2820142e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648951,1.1344628e+16,9.1623172e+15,1.8268676e+21,0,7.2559233e+18,3.5522577e+18,4.32e+12,2.7036481e+16,1.36081e+18,2.2865985e+18,6.3883298e+20,0,56977.117,70544.395,127521.51,0,1.35e+21,7.055145,-4.7135825e-08,7.055145,0,0,1.7506546e+08,-1.4836366e+12,7.4360795e+09,-3.6275194e+10,-1.7761547e+10,-6.8042156e+09,-1.1431927e+10,3.4021078e+08,5.7159633e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364558,1.7564636e+16,1.5426542e+16,1.8142332e+21,0,8.9644875e+18,3.4504017e+18,4.32e+12,2.7295792e+16,1.296073e+18,2.7053313e+18,6.494957e+20,0,110288.35,125566.26,235854.62,0,1.35e+21,12.557882,-1.7025631e-08,12.557882,0,0,1.6378786e+08,-1.0706012e+12,7.1992848e+09,-4.4818318e+10,-1.725226e+10,-6.4805227e+09,-1.352563e+10,3.2402614e+08,6.762815e+08,1.2452583e+10,1.2452583e+10,2.3227712e+11,1.451732e+10,2642960.1
8000,40,0,61885633,2.4189538e+16,2.2725701e+16,1.805019e+21,0,1.0550373e+19,3.3510934e+18,4.32e+12,2.7422285e+16,1.2343855e+18,3.1073056e+18,6.5687049e+20,0,183616.74,195430.49,379047.23,0,1.35e+21,19.545003,-1.2522747e-08,19.545003,0,0,1.5323758e+08,-7.8995314e+11,6.9430599e+09,-5.2748055e+10,-1.6755712e+10,-6.1720781e+09,-1.5535545e+10,3.0860391e+08,7.7677726e+08,1.3877865e+10,1.3877865e+10,2.2550884e+11,1.4094303e+10,3670019.4
10000,50,0,74082604,3.1244552e+16,3.1017838e+16,1.7981489e+21,0,1.2013975e+19,3.2540939e+18,4.32e+12,2.7460328e+16,1.175606e+18,3.4912164e+18,6.6203496e+20,0,279472.52,281494.11,560966.64,0,1.35e+21,28.152226,1.2825734e-07,28.152226,0,0,1.4336773e+08,-5.9575526e+11,6.6814005e+09,-6.0066366e+10,-1.6270709e+10,-5.8781737e+09,-1.7455146e+10,2.9390868e+08,8.7275728e+08,1.5193968e+10,1.5193968e+10,2.1841341e+11,1.3650838e+10,4899076.7
12000,60,0,86838432,3.8751014e+16,4.0258801e+16,1.7929147e+21,0,1.3358778e+19,3.1592813e+18,4.32e+12,2.7438282e+16,1.1195994e+18,3.8565183e+18,6.656946e+20,0,400187.99,385169.43,785357.42,0,1.35e+21,38.520795,2.8013183e-08,38.520795,0,0,1.3413441e+08,-4.5892304e+11,6.4224423e+09,-6.6790674e+10,-1.5796641e+10,-5.5981335e+09,-1.9281702e+10,2.7990667e+08,9.6408508e+08,1.6403428e+10,1.6403428e+10,2.1127832e+11,1.3204895e+10,6335435.6
14000,70,0,1.000481e+08,4.672678e+16,5.0403733e+16,1.7888429e+21,0,1.4589998e+19,3.0666003e+18,4.32e+12,2.7374624e+16,1.0662364e+18,4.2031407e+18,6.6831782e+20,0,547923.45,507910.29,1055833.7,0,1.35e+21,50.796109,0,50.796109,0,9.765625e-08,1.2549658e+08,-3.6075294e+11,6.1708515e+09,-7.294705e+10,-1.5333231e+10,-5.3313125e+09,-2.101486e+10,2.6656562e+08,1.050743e+09,1.7510534e+10,1.7510534e+10,2.0427564e+11,1.2767228e+10,7982162.7
16000,80,0,1.1361785e+08,5.5186568e+16,6.1408002e+16,1.7856123e+21,0,1.571375e+19,2.9760329e+18,4.32e+12,2.728163e+16,1.0153942e+18,4.5313113e+18,6.7021974e+20,0,724674.96,651199.96,1375874.9,0,1.35e+21,65.126508,2.3956872e-08,65.126508,0,0,1.1741582e+08,-2.8903665e+11,5.929214e+09,-7.8566072e+10,-1.4880388e+10,-5.0770948e+09,-2.2655759e+10,2.5385474e+08,1.1327879e+09,1.8520519e+10,1.8520519e+10,1.9750616e+11,1.2344135e+10,9840432.9
18000,90,0,1.2746436e+08,6.4142268e+16,7.3227782e+16,1.7830015e+21,0,1.6736544e+19,2.8875803e+18,4.32e+12,2.7167619e+16,9.6695496e+17,4.8414448e+18,6.7161496e+20,0,932282.77,816540.45,1748823.2,0,1.35e+21,81.662211,9.717013e-09,81.662211,0,0,1.0985622e+08,-2.3569101e+11,5.6988552e+09,-8.3680283e+10,-1.443812e+10,-4.834893e+09,-2.4206471e+10,2.4174465e+08,1.2103235e+09,1.9439058e+10,1.9439058e+10,1.9102624e+11,1.193914e+10,11909835
