iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880944,5.4999951e+15,3.9704359e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573611e+16,1.4287449e+18,1.8536341e+18,6.2321135e+20,0,7965.0527,11033.152,18998.205,0,1.35e+21,1.1034255,4.3888141e-08,1.1034255,0,0,1.8712053e+08,-2.1028105e+12,7.6294007e+09,-2.7143468e+10,-1.8285777e+10,-7.1438986e+09,-9.2670733e+09,3.5719493e+08,4.6335366e+08,9.2820141e+09,9.2820141e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648950,1.1345015e+16,9.162607e+15,1.8268676e+21,0,7.2559233e+18,3.5522576e+18,4.32e+12,2.7036447e+16,1.36081e+18,2.286598e+18,6.3883298e+20,0,21619.011,26766.952,48385.963,0,1.35e+21,2.6769629,2.7130354e-08,2.6769629,0,0,1.7506546e+08,-1.4836366e+12,7.4360702e+09,-3.6275194e+10,-1.7761546e+10,-6.8042156e+09,-1.1431924e+10,3.4021078e+08,5.7159619e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364555,1.7565623e+16,1.5427339e+16,1.8142332e+21,0,8.9644875e+18,3.4504015e+18,4.32e+12,2.7295729e+16,1.296073e+18,2.7053299e+18,6.494957e+20,0,41847.902,47645.184,89493.086,0,1.35e+21,4.7649949,-2.0753967e-09,4.7649949,0,0,1.6378786e+08,-1.0706012e+12,7.1992681e+09,-4.4818318e+10,-1.7252259e+10,-6.4805227e+09,-1.3525623e+10,3.2402614e+08,6.7628114e+08,1.2452582e+10,1.2452582e+10,2.3227712e+11,1.451732e+10,2642959.9
8000,40,0,61885626,2.4191514e+16,2.2727393e+16,1.805019e+21,0,1.0550373e+19,3.351093e+18,4.32e+12,2.7422182e+16,1.2343855e+18,3.1073026e+18,6.5687048e+20,0,69673.275,74156.531,143829.81,0,1.35e+21,7.4163947,-3.1332515e-08,7.4163947,0,0,1.5323758e+08,-7.8995314e+11,6.9430338e+09,-5.2748055e+10,-1.675571e+10,-6.1720781e+09,-1.553553e+10,3.0860391e+08,7.7677651e+08,1.3877863e+10,1.3877863e+10,2.2550884e+11,1.4094303e+10,3670019
10000,50,0,74082591,3.1247999e+16,3.1020945e+16,1.7981489e+21,0,1.2013975e+19,3.2540933e+18,4.32e+12,2.7460174e+16,1.175606e+18,3.4912111e+18,6.6203496e+20,0,106048.43,106816.62,212865.05,0,1.35e+21,10.68273,3.1423593e-08,10.68273,0,0,1.4336773e+08,-5.9575526e+11,6.681363e+09,-6.0066366e+10,-1.6270706e+10,-5.8781737e+09,-1.7455119e+10,2.9390868e+08,8.7275594e+08,1.5193965e+10,1.5193965e+10,2.1841341e+11,1.3650838e+10,4899075.8
12000,60,0,86838409,3.8756519e+16,4.0263986e+16,1.7929147e+21,0,1.3358778e+19,3.1592802e+18,4.32e+12,2.7438065e+16,1.1195994e+18,3.8565096e+18,6.656946e+20,0,151859.37,146162.22,298021.59,0,1.35e+21,14.617683,4.2211386e-08,14.617683,0,0,1.3413441e+08,-4.5892305e+11,6.4223914e+09,-6.6790673e+10,-1.5796635e+10,-5.5981335e+09,-1.9281658e+10,2.7990667e+08,9.6408291e+08,1.6403423e+10,1.6403423e+10,2.1127832e+11,1.3204895e+10,6335433.9
14000,70,0,1.0004806e+08,4.6735045e+16,5.0411818e+16,1.7888429e+21,0,1.4589998e+19,3.0665987e+18,4.32e+12,2.737433e+16,1.0662364e+18,4.2031274e+18,6.6831782e+20,0,207927.13,192746.03,400673.16,0,1.35e+21,19.27653,0,19.27653,0,9.765625e-08,1.2549658e+08,-3.6075295e+11,6.1707852e+09,-7.2947049e+10,-1.5333223e+10,-5.3313124e+09,-2.1014794e+10,2.6656562e+08,1.0507397e+09,1.7510526e+10,1.7510526e+10,2.0427564e+11,1.2767228e+10,7982159.6
16000,80,0,1.1361779e+08,5.5198417e+16,6.141998e+16,1.7856123e+21,0,1.571375e+19,2.9760306e+18,4.32e+12,2.7281244e+16,1.0153942e+18,4.5312921e+18,6.7021974e+20,0,275010.69,247132.13,522142.81,0,1.35e+21,24.715684,-5.4266671e-09,24.715684,0,0,1.1741582e+08,-2.8903667e+11,5.9291302e+09,-7.8566071e+10,-1.4880377e+10,-5.0770948e+09,-2.2655663e+10,2.5385474e+08,1.1327831e+09,1.8520508e+10,1.8520508e+10,1.9750616e+11,1.2344135e+10,9840427.6
18000,90,0,1.2746427e+08,6.4158656e+16,7.3244827e+16,1.7830015e+21,0,1.6736544e+19,2.8875773e+18,4.32e+12,2.7167126e+16,9.6695496e+17,4.841418e+18,6.7161496e+20,0,353810.2,309891.93,663702.12,0,1.35e+21,30.992292,2.2345858e-09,30.992292,0,0,1.0985622e+08,-2.3569104e+11,5.6987518e+09,-8.3680281e+10,-1.4438105e+10,-4.834893e+09,-2.4206337e+10,2.4174465e+08,1.2103168e+09,1.9439042e+10,1.9439042e+10,1.9102623e+11,1.193914e+10,11909826
