iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880962,5.4906457e+15,3.9641131e+15,1.8445854e+21,0,5.4296344e+18,3.657104e+18,4.32e+12,2.6575042e+16,1.4287449e+18,1.8536463e+18,6.2321135e+20,0,1455689.1,2016196.6,3471885.7,0,1.35e+21,201.63982,-4.963141e-09,201.63982,0,0,1.8712053e+08,-2.1028105e+12,7.6298114e+09,-2.7143468e+10,-1.8285786e+10,-7.1438986e+09,-9.2671346e+09,3.5719493e+08,4.6335673e+08,9.2820215e+09,9.2820215e+09,2.4261156e+11,1.5163222e+10,1160076.2
4000,20,0,39649054,1.1302091e+16,9.1304182e+15,1.8268676e+21,0,7.2559235e+18,3.5522662e+18,4.32e+12,2.70402e+16,1.36081e+18,2.2866589e+18,6.3883298e+20,0,3943479.8,4881180.8,8824660.6,0,1.35e+21,488.1669,-1.1645511e-09,488.1669,0,0,1.7506546e+08,-1.4836366e+12,7.437102e+09,-3.6275195e+10,-1.7761589e+10,-6.8042157e+09,-1.1432229e+10,3.4021078e+08,5.7161143e+08,1.0918716e+10,1.0918716e+10,2.382416e+11,1.48901e+10,1809976.1
6000,30,0,50364871,1.7456117e+16,1.5338982e+16,1.8142332e+21,0,8.9644883e+18,3.4504237e+18,4.32e+12,2.7302759e+16,1.296073e+18,2.7054917e+18,6.494957e+20,0,7616430,8667131.8,16283562,0,1.35e+21,866.79986,-6.3747621e-09,866.79986,0,0,1.6378786e+08,-1.0706011e+12,7.2011219e+09,-4.4818323e+10,-1.725237e+10,-6.4805228e+09,-1.3526431e+10,3.2402614e+08,6.7632157e+08,1.2452678e+10,1.2452678e+10,2.3227712e+11,1.451732e+10,2642976.5
8000,40,0,61886357,2.3972879e+16,2.2540051e+16,1.805019e+21,0,1.0550375e+19,3.351137e+18,4.32e+12,2.7433573e+16,1.2343855e+18,3.1076346e+18,6.568705e+20,0,12648640,13451755,26100395,0,1.35e+21,1345.3101,6.7263954e-09,1345.3101,0,0,1.5323758e+08,-7.8995287e+11,6.9459172e+09,-5.2748066e+10,-1.675593e+10,-6.1720782e+09,-1.553719e+10,3.0860391e+08,7.7685949e+08,1.387806e+10,1.387806e+10,2.2550885e+11,1.4094303e+10,3670062.3
10000,50,0,74084034,3.0867375e+16,3.0677685e+16,1.7981489e+21,0,1.201398e+19,3.2541692e+18,4.32e+12,2.747713e+16,1.1756061e+18,3.4918018e+18,6.6203499e+20,0,19197478,19314737,38512215,0,1.35e+21,1931.6669,7.3337105e-08,1931.6669,0,0,1.4336773e+08,-5.9575471e+11,6.6854877e+09,-6.006639e+10,-1.6271086e+10,-5.8781738e+09,-1.7458072e+10,2.9390869e+08,8.7290358e+08,1.5194314e+10,1.5194314e+10,2.1841342e+11,1.3650839e+10,4899171.2
12000,60,0,86840982,3.8149937e+16,3.969233e+16,1.7929147e+21,0,1.3358787e+19,3.1593997e+18,4.32e+12,2.7461905e+16,1.1195994e+18,3.8574677e+18,6.6569465e+20,0,27403365,26336419,53739783,0,1.35e+21,2633.9053,-4.7903995e-08,2633.9053,0,0,1.3413441e+08,-4.5892208e+11,6.4279707e+09,-6.6790718e+10,-1.5797233e+10,-5.5981338e+09,-1.9286448e+10,2.7990669e+08,9.6432239e+08,1.6403987e+10,1.6403987e+10,2.1127834e+11,1.3204896e+10,6335621.6
14000,70,0,1.0005232e+08,4.5826635e+16,4.9522483e+16,1.7888429e+21,0,1.4590014e+19,3.0667748e+18,4.32e+12,2.7406481e+16,1.0662365e+18,4.2045832e+18,6.6831791e+20,0,37389852,34596595,71986447,0,1.35e+21,3460.0055,0,3460.0055,0,9.765625e-08,1.2549658e+08,-3.6075137e+11,6.1780317e+09,-7.2947126e+10,-1.5334103e+10,-5.3313129e+09,-2.1022071e+10,2.6656564e+08,1.0511036e+09,1.751138e+10,1.751138e+10,2.0427567e+11,1.276723e+10,7982499.6
16000,80,0,1.1362446e+08,5.3899632e+16,6.0105787e+16,1.7856123e+21,0,1.5713775e+19,2.9762779e+18,4.32e+12,2.7323233e+16,1.0153943e+18,4.5333983e+18,6.7021988e+20,0,49263901,44173425,93437326,0,1.35e+21,4417.7843,0,4417.7843,0,9.765625e-08,1.1741582e+08,-2.8903427e+11,5.9382546e+09,-7.8566195e+10,-1.4881613e+10,-5.0770954e+09,-2.2666192e+10,2.5385477e+08,1.1333096e+09,1.852174e+10,1.852174e+10,1.975062e+11,1.2344138e+10,9841005.3
18000,90,0,1.2747425e+08,6.2367515e+16,7.1379781e+16,1.7830016e+21,0,1.6736582e+19,2.8879115e+18,4.32e+12,2.7220571e+16,9.6695512e+17,4.8443505e+18,6.7161518e+20,0,63116264,55142468,1.1825873e+08,0,1.35e+21,5514.7983,0,5514.7983,0,9.765625e-08,1.0985622e+08,-2.3568756e+11,5.7099614e+09,-8.3680471e+10,-1.4439776e+10,-4.8348938e+09,-2.4220997e+10,2.4174469e+08,1.2110499e+09,1.9440752e+10,1.9440752e+10,1.910263e+11,1.1939144e+10,11910759
20000,100,0,1.4152813e+08,7.1225615e+16,8.3282414e+16,1.7808559e+21,0,1.7665025e+19,2.8016871e+18,4.32e+12,2.7104336e+16,9.2080694e+17,5.1379931e+18,6.7265161e+20,0,79021940,67575826,1.4659777e+08,0,1.35e+21,6758.2585,8.4828571e-09,6758.2585,0,0,1.0278416e+08,-1.9528535e+11,5.4937047e+09,-8.8322919e+10,-1.4008648e+10,-4.6041473e+09,-2.5689253e+10,2.3020737e+08,1.2844626e+09,2.0274239e+10,2.0274239e+10,1.8486446e+11,1.1554029e+10,14190071
22000,110,0,1.5572126e+08,8.0466311e+16,9.5752417e+16,1.7790653e+21,0,1.8505594e+19,2.7176182e+18,4.32e+12,2.6978676e+16,8.7684272e+17,5.4149485e+18,6.7343205e+20,0,97040685,81541407,1.7858209e+08,0,1.35e+21,8154.9562,1.0380973e-08,8154.9562,0,0,96168198,-1.6413702e+11,5.2895669e+09,-9.2525974e+10,-1.3588299e+10,-4.3843209e+09,-2.7074071e+10,2.1921604e+08,1.3537035e+09,2.1027974e+10,2.1027974e+10,1.7903172e+11,1.1189482e+10,16676177
24000,120,0,1.6999673e+08,9.0079327e+16,1.0872957e+17,1.777551e+21,0,1.9264558e+19,2.6357172e+18,4.32e+12,2.6846603e+16,8.3496036e+17,5.6758779e+18,6.7402878e+20,0,1.1721756e+08,97102283,2.1431984e+08,0,1.35e+21,9711.1995,0,9711.1995,0,9.765625e-08,89978920,-1.3969985e+11,5.0973447e+09,-9.6320987e+10,-1.3178788e+10,-4.174904e+09,-2.8378756e+10,2.087452e+08,1.4189378e+09,2.170756e+10,2.170756e+10,1.7352811e+11,1.0845507e+10,19365447
26000,130,0,1.8430483e+08,1.0005201e+17,1.2215493e+17,1.7762551e+21,0,1.9947905e+19,2.5559927e+18,4.32e+12,2.6710352e+16,7.9506244e+17,5.9214606e+18,6.74493e+20,0,1.3958349e+08,1.1431616e+08,2.5389964e+08,0,1.35e+21,11432.759,0,11432.759,0,9.765625e-08,84188806,-1.2020005e+11,4.9166641e+09,-9.9737905e+10,-1.278016e+10,-3.9754096e+09,-2.9606708e+10,1.9877048e+08,1.4803354e+09,2.2318372e+10,2.2318372e+10,1.6834689e+11,1.0521681e+10,22253565
28000,140,0,1.9860233e+08,1.1036959e+17,1.3597095e+17,1.7751348e+21,0,2.0561311e+19,2.4784489e+18,4.32e+12,2.6571622e+16,7.5705604e+17,6.1523811e+18,6.7486128e+20,0,1.6415589e+08,1.3323491e+08,2.973908e+08,0,1.35e+21,13324.824,-8.1072358e-09,13324.824,0,0,78772115,-1.0438506e+11,4.7470531e+09,-1.028051e+11,-1.2392436e+10,-3.7853729e+09,-3.0761346e+10,1.8926865e+08,1.5380673e+09,2.286552e+10,2.286552e+10,1.6347723e+11,1.0217327e+10,25335683
30000,150,0,2.1285187e+08,1.2101546e+17,1.5012165e+17,1.7741582e+21,0,2.1110122e+19,2.4030849e+18,4.32e+12,2.6431727e+16,7.2085249e+17,6.3693197e+18,6.7515987e+20,0,1.9093927e+08,1.5390427e+08,3.4484354e+08,0,1.35e+21,15391.966,0,15391.966,0,9.765625e-08,73704762,-9.1359785e+10,4.5879875e+09,-1.0554932e+11,-1.201561e+10,-3.6043508e+09,-3.1846073e+10,1.8021754e+08,1.5923036e+09,2.3353828e+10,2.3353828e+10,1.5890591e+11,9.9316192e+09,28606565
32000,160,0,2.2702136e+08,1.3197139e+17,1.6455268e+17,1.7733006e+21,0,2.1599357e+19,2.3298946e+18,4.32e+12,2.6291705e+16,6.8636723e+17,6.572946e+18,6.7540774e+20,0,2.1992589e+08,1.7636349e+08,3.9628938e+08,0,1.35e+21,17638.112,0,17638.112,0,9.765625e-08,68964219,-8.0476977e+10,4.4389205e+09,-1.0799563e+11,-1.1649653e+10,-3.4319203e+09,-3.2864237e+10,1.7159601e+08,1.6432118e+09,2.3787834e+10,2.3787834e+10,1.5461848e+11,9.6636552e+09,32060696
34000,170,0,2.4108348e+08,1.4321776e+17,1.7921146e+17,1.7725431e+21,0,2.2033709e+19,2.2588668e+18,4.32e+12,2.6152386e+16,6.5351959e+17,6.7639152e+18,6.7561864e+20,0,2.5109639e+08,2.0064519e+08,4.5174157e+08,0,1.35e+21,20066.526,-4.3291948e-09,20066.526,0,0,64529407,-7.126315e+10,4.2993016e+09,-1.1016752e+11,-1.1294509e+10,-3.2676781e+09,-3.3819114e+10,1.633839e+08,1.6909557e+09,2.4171791e+10,2.4171791e+10,1.506e+11,9.4125001e+09,35692390
36000,180,0,2.5501515e+08,1.547338e+17,1.9404718e+17,1.771871e+21,0,2.241756e+19,2.1899855e+18,4.32e+12,2.6014448e+16,6.2223263e+17,6.9428654e+18,6.7580258e+20,0,2.8442045e+08,2.2677521e+08,5.1119566e+08,0,1.35e+21,22679.789,1.7338607e-08,22679.789,0,0,60380610,-6.3367891e+10,4.1685883e+09,-1.120869e+11,-1.0950097e+10,-3.1112395e+09,-3.4713894e+10,1.5556197e+08,1.7356947e+09,2.4509677e+10,2.4509677e+10,1.4683548e+11,9.1772175e+09,39495875
38000,190,0,2.6879711e+08,1.6649775e+17,2.0901093e+17,1.7712723e+21,0,2.2754992e+19,2.1232302e+18,4.32e+12,2.5878444e+16,5.9243297e+17,7.1104152e+18,6.7596682e+20,0,3.1985751e+08,2.5477253e+08,5.7463004e+08,0,1.35e+21,25479.801,2.3970642e-08,25479.801,0,0,56499381,-5.6528874e+10,4.0462536e+09,-1.1377417e+11,-1.0616315e+10,-2.9622375e+09,-3.5551671e+10,1.4811188e+08,1.7775836e+09,2.4805204e+10,2.4805204e+10,1.4331021e+11,8.956888e+09,43465367
40000,200,0,2.8241354e+08,1.7848709e+17,2.2405571e+17,1.7707376e+21,0,2.3049804e+19,2.0585765e+18,4.32e+12,2.574483e+16,5.6405063e+17,7.267163e+18,6.7611667e+20,0,3.5735743e+08,2.8464927e+08,6.4200669e+08,0,1.35e+21,28467.773,0,28467.773,0,9.765625e-08,52868464,-5.0547451e+10,3.931791e+09,-1.1524834e+11,-1.0293041e+10,-2.8203224e+09,-3.6335436e+10,1.4101612e+08,1.8167718e+09,2.5061831e+10,2.5061831e+10,1.4000994e+11,8.750621e+09,47595132
42000,210,0,2.9585167e+08,1.9067868e+17,2.3913646e+17,1.770259e+21,0,2.3305528e+19,1.9959963e+18,4.32e+12,2.5613985e+16,5.3701887e+17,7.4136861e+18,6.7625595e+20,0,3.9686113e+08,3.1641073e+08,7.1327186e+08,0,1.35e+21,31644.237,0,31644.237,0,9.765625e-08,49471716,-4.5271462e+10,3.8247165e+09,-1.1652705e+11,-9.9801353e+09,-2.6851603e+09,-3.7068077e+10,1.3425801e+08,1.8534038e+09,2.5282778e+10,2.5282778e+10,1.3692099e+11,8.5575618e+09,51879538
44000,220,0,3.0910142e+08,2.0304896e+17,2.5421013e+17,1.7698302e+21,0,2.352544e+19,1.9354582e+18,4.32e+12,2.5486222e+16,5.1127404e+17,7.5505404e+18,6.7638744e+20,0,4.3830138e+08,3.5005547e+08,7.8835685e+08,0,1.35e+21,35009.048,-2.0721927e-08,35009.048,0,0,46294034,-4.0583022e+10,3.7245702e+09,-1.1762669e+11,-9.6774398e+09,-2.556433e+09,-3.7752371e+10,1.2782165e+08,1.8876186e+09,2.5471039e+10,2.5471039e+10,1.3403033e+11,8.3768957e+09,56313103
46000,230,0,3.2215518e+08,2.1557407e+17,2.692357e+17,1.7694457e+21,0,2.3712583e+19,1.8769281e+18,4.32e+12,2.53618e+16,4.8675548e+17,7.6782601e+18,6.7651312e+20,0,4.816034e+08,3.8557547e+08,8.6717888e+08,0,1.35e+21,38561.404,-2.7401256e-08,38561.404,0,0,43321291,-3.6389759e+10,3.630917e+09,-1.1856249e+11,-9.3847842e+09,-2.4338372e+09,-3.8390992e+10,1.2169186e+08,1.9195496e+09,2.5629395e+10,2.5629395e+10,1.3132559e+11,8.2078495e+09,60890524
48000,240,0,3.3500744e+08,2.2823003e+17,2.8417417e+17,1.769101e+21,0,2.3869776e+19,1.8203692e+18,4.32e+12,2.5240927e+16,4.6340531e+17,7.797358e+18,6.7663439e+20,0,5.266856e+08,4.2295628e+08,9.4964188e+08,0,1.35e+21,42299.858,0,42299.858,0,9.765625e-08,40540269,-3.2618477e+10,3.5433461e+09,-1.1934852e+11,-9.1019852e+09,-2.3170835e+09,-3.8986503e+10,1.1585418e+08,1.9493251e+09,2.5760427e+10,2.5760427e+10,1.2879507e+11,8.0496921e+09,65606713
50000,250,0,3.476546e+08,2.4099281e+17,2.9898859e+17,1.7687922e+21,0,2.3999632e+19,1.765743e+18,4.32e+12,2.5123773e+16,4.4116837e+17,7.9083257e+18,6.7675222e+20,0,5.7346024e+08,4.621772e+08,1.0356374e+09,0,1.35e+21,46222.343,-4.0257873e-08,46222.343,0,0,37938603,-2.9210525e+10,3.4614705e+09,-1.1999787e+11,-8.8288493e+09,-2.2058961e+09,-3.9541361e+10,1.102948e+08,1.977068e+09,2.5866531e+10,2.5866531e+10,1.2642775e+11,7.9017341e+09,70456811
52000,260,0,3.6009472e+08,2.5383855e+17,3.136441e+17,1.7685158e+21,0,2.4104567e+19,1.7130089e+18,4.32e+12,2.5010471e+16,4.1999206e+17,8.0116335e+18,6.7686726e+20,0,6.2183413e+08,5.032116e+08,1.1250457e+09,0,1.35e+21,50326.193,3.2239768e-08,50326.193,0,0,35504727,-2.6118397e+10,3.3849263e+09,-1.205226e+11,-8.5651738e+09,-2.1000119e+09,-4.0057919e+10,1.050006e+08,2.0028959e+09,2.5949926e+10,2.5949926e+10,1.2421322e+11,7.7633265e+09,75436215
54000,270,0,3.7232735e+08,2.6674356e+17,3.2810786e+17,1.7682689e+21,0,2.4186822e+19,1.6621248e+18,4.32e+12,2.490112e+16,3.9982623e+17,8.1077313e+18,6.7697992e+20,0,6.7170928e+08,5.460271e+08,1.2177364e+09,0,1.35e+21,54608.171,-3.7660357e-08,54608.171,0,0,33227819,-2.33032e+10,3.3133721e+09,-1.2093393e+11,-8.3107489e+09,-1.9991803e+09,-4.0538425e+10,99959017,2.0269212e+09,2.6012668e+10,2.6012668e+10,1.2214174e+11,7.633859e+09,80540582
