iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880999,5.4716048e+15,3.9512339e+15,1.8445854e+21,0,5.4296345e+18,3.6571076e+18,4.32e+12,2.6577953e+16,1.4287449e+18,1.8536713e+18,6.2321135e+20,0,4399908.6,6092738.8,10492647,0,1.35e+21,609.33481,1.2953853e-07,609.33481,0,0,1.8712053e+08,-2.1028104e+12,7.6306466e+09,-2.7143469e+10,-1.8285805e+10,-7.1438986e+09,-9.2672594e+09,3.5719493e+08,4.6336297e+08,9.2820364e+09,9.2820364e+09,2.4261156e+11,1.5163222e+10,1160077.6
4000,20,0,39649265,1.1215033e+16,9.0651105e+15,1.8268676e+21,0,7.2559239e+18,3.5522837e+18,4.32e+12,2.7047786e+16,1.36081e+18,2.2867826e+18,6.3883298e+20,0,11872728,14687748,26560476,0,1.35e+21,1468.9217,-1.4297711e-08,1468.9217,0,0,1.7506546e+08,-1.4836365e+12,7.4391879e+09,-3.6275197e+10,-1.7761676e+10,-6.8042157e+09,-1.1432847e+10,3.4021079e+08,5.7164233e+08,1.0918789e+10,1.0918789e+10,2.382416e+11,1.48901e+10,1809985.8
6000,30,0,50365509,1.7235091e+16,1.516053e+16,1.8142332e+21,0,8.96449e+18,3.4504683e+18,4.32e+12,2.7316871e+16,1.296073e+18,2.7058183e+18,6.4949571e+20,0,22827477,25949564,48777041,0,1.35e+21,2595.2159,4.5698471e-08,2595.2159,0,0,1.6378786e+08,-1.0706008e+12,7.2048429e+09,-4.4818331e+10,-1.7252593e+10,-6.4805229e+09,-1.3528064e+10,3.2402615e+08,6.7640319e+08,1.2452873e+10,1.2452873e+10,2.3227712e+11,1.451732e+10,2643010
8000,40,0,61887823,2.3534036e+16,2.2163641e+16,1.805019e+21,0,1.055038e+19,3.3512255e+18,4.32e+12,2.7456253e+16,1.2343856e+18,3.1083014e+18,6.5687053e+20,0,37715404,40044607,77760011,0,1.35e+21,4004.8612,2.0369953e-08,4004.8612,0,0,1.5323758e+08,-7.8995232e+11,6.9516585e+09,-5.2748088e+10,-1.6756372e+10,-6.1720784e+09,-1.5540523e+10,3.0860392e+08,7.7702614e+08,1.3878455e+10,1.3878455e+10,2.2550886e+11,1.4094303e+10,3670149.2
10000,50,0,74086915,3.0108139e+16,2.9992002e+16,1.7981489e+21,0,1.2013989e+19,3.2543208e+18,4.32e+12,2.7510586e+16,1.1756062e+18,3.4929808e+18,6.6203504e+20,0,56913583,57129711,1.1404329e+08,0,1.35e+21,5713.5424,1.3508725e-07,5713.5424,0,0,1.4336773e+08,-5.9575361e+11,6.6936265e+09,-6.0066437e+10,-1.6271843e+10,-5.8781742e+09,-1.7463965e+10,2.9390871e+08,8.7319825e+08,1.5195011e+10,1.5195011e+10,2.1841344e+11,1.365084e+10,4899361.8
12000,60,0,86846084,3.6948316e+16,3.8557745e+16,1.7929147e+21,0,1.3358805e+19,3.1596366e+18,4.32e+12,2.7508475e+16,1.1195995e+18,3.8593669e+18,6.6569476e+20,0,80723117,77347577,1.5807069e+08,0,1.35e+21,7735.5312,-6.4555934e-09,7735.5312,0,0,1.3413441e+08,-4.5892014e+11,6.4388695e+09,-6.6790807e+10,-1.5798417e+10,-5.5981343e+09,-1.9295941e+10,2.7990672e+08,9.6479707e+08,1.6405105e+10,1.6405105e+10,2.1127837e+11,1.3204898e+10,6335993.8
14000,70,0,1.000607e+08,4.4040694e+16,4.7769833e+16,1.788843e+21,0,1.4590044e+19,3.0671214e+18,4.32e+12,2.7468599e+16,1.0662367e+18,4.2074471e+18,6.6831809e+20,0,1.0936899e+08,1.0082282e+08,2.1019181e+08,0,1.35e+21,10083.29,0,10083.29,0,1.953125e-07,1.2549658e+08,-3.6074825e+11,6.1920325e+09,-7.294728e+10,-1.5335836e+10,-5.3313137e+09,-2.1036388e+10,2.6656568e+08,1.0518194e+09,1.7513061e+10,1.7513061e+10,2.0427573e+11,1.2767233e+10,7983168.5
16000,80,0,1.1363748e+08,5.1367148e+16,5.7535748e+16,1.7856124e+21,0,1.5713824e+19,2.9767607e+18,4.32e+12,2.740339e+16,1.0153945e+18,4.5375075e+18,6.7022017e+20,0,1.4300116e+08,1.2765862e+08,2.7065978e+08,0,1.35e+21,12767.139,4.6184141e-09,12767.139,0,0,1.1741582e+08,-2.8902954e+11,5.9556733e+09,-7.8566441e+10,-1.4884027e+10,-5.0770965e+09,-2.2686735e+10,2.5385483e+08,1.1343367e+09,1.8524143e+10,1.8524143e+10,1.9750629e+11,1.2344143e+10,9842132.8
18000,90,0,1.2749357e+08,5.8905849e+16,6.7762812e+16,1.7830017e+21,0,1.6736656e+19,2.8885588e+18,4.32e+12,2.7321281e+16,9.6695543e+17,4.8500211e+18,6.7161561e+20,0,1.8169665e+08,1.5793404e+08,3.3963069e+08,0,1.35e+21,15794.983,0,15794.983,0,9.765625e-08,1.0985622e+08,-2.3568074e+11,5.7310848e+09,-8.3680845e+10,-1.4443012e+10,-4.8348953e+09,-2.4249346e+10,2.4174477e+08,1.2124673e+09,1.9444059e+10,1.9444059e+10,1.9102642e+11,1.1939151e+10,11912564
20000,100,0,1.4155577e+08,6.6631804e+16,7.8359253e+16,1.7808561e+21,0,1.7665134e+19,2.8025281e+18,4.32e+12,2.7228097e+16,9.2080734e+17,5.1455744e+18,6.7265224e+20,0,2.2546245e+08,1.917019e+08,4.1716435e+08,0,1.35e+21,19172.107,-1.7254933e-08,19172.107,0,0,1.0278416e+08,-1.9527589e+11,5.518787e+09,-8.8323463e+10,-1.4012853e+10,-4.6041493e+09,-2.5727154e+10,2.3020747e+08,1.2863577e+09,2.0278648e+10,2.0278648e+10,1.8486464e+11,1.155404e+10,14192842
22000,110,0,1.5575959e+08,7.4517391e+16,8.9235104e+16,1.7790657e+21,0,1.8505747e+19,2.7186833e+18,4.32e+12,2.7127932e+16,8.7684324e+17,5.4248212e+18,6.7343293e+20,0,2.742392e+08,2.2898739e+08,5.0322659e+08,0,1.35e+21,22901.029,3.2247044e-08,22901.029,0,0,96168198,-1.6412431e+11,5.318828e+09,-9.252674e+10,-1.3593623e+10,-4.3843234e+09,-2.7123428e+10,2.1921617e+08,1.3561714e+09,2.1033698e+10,2.1033698e+10,1.7903195e+11,1.1189497e+10,16680283
24000,120,0,1.7004853e+08,8.2532892e+16,1.0030296e+17,1.7775515e+21,0,1.9264767e+19,2.637037e+18,4.32e+12,2.7023708e+16,8.3496101e+17,5.6884508e+18,6.7402998e+20,0,3.2790537e+08,2.6978718e+08,5.9769255e+08,0,1.35e+21,26981.416,0,26981.416,0,9.765625e-08,89978920,-1.3968321e+11,5.1309687e+09,-9.6322035e+10,-1.3185386e+10,-4.1749072e+09,-2.8441614e+10,2.0874536e+08,1.4220807e+09,2.1714831e+10,2.1714831e+10,1.7352842e+11,1.0845526e+10,19371348
26000,130,0,1.8437326e+08,9.0647008e+16,1.1147862e+17,1.7762557e+21,0,1.9948184e+19,2.5575982e+18,4.32e+12,2.6917539e+16,7.9506324e+17,5.9371676e+18,6.7449461e+20,0,3.862821e+08,3.1406919e+08,7.0035128e+08,0,1.35e+21,31410.06,9.6391886e-08,31410.06,0,0,84188806,-1.2017874e+11,4.9547986e+09,-9.9739303e+10,-1.2788187e+10,-3.9754135e+09,-2.9685234e+10,1.9877068e+08,1.4842617e+09,2.2327435e+10,2.2327435e+10,1.6834729e+11,1.0521706e+10,22261827
28000,140,0,1.9869095e+08,9.8827364e+16,1.2268167e+17,1.7751357e+21,0,2.0561676e+19,2.4803708e+18,4.32e+12,2.6810966e+16,7.5705701e+17,6.1716769e+18,6.7486337e+20,0,4.4913831e+08,3.6177286e+08,8.1091117e+08,0,1.35e+21,36180.904,1.4131365e-07,36180.904,0,0,78772115,-1.043583e+11,4.7898091e+09,-1.0280693e+11,-1.2402044e+10,-3.7853778e+09,-3.0857815e+10,1.8926889e+08,1.5428908e+09,2.2876628e+10,2.2876628e+10,1.6347773e+11,1.0217358e+10,25346988
30000,150,0,2.1296465e+08,1.0704098e+17,1.3383595e+17,1.7741594e+21,0,2.111059e+19,2.4053532e+18,4.32e+12,2.6705122e+16,7.2085365e+17,6.3926754e+18,6.7516255e+20,0,5.1619636e+08,4.1280993e+08,9.2900629e+08,0,1.35e+21,41285.122,0,41285.122,0,9.765625e-08,73704762,-9.1326726e+10,4.6354399e+09,-1.0555165e+11,-1.2026951e+10,-3.6043566e+09,-3.1962841e+10,1.8021783e+08,1.598142e+09,2.3367246e+10,2.3367246e+10,1.5890654e+11,9.9316586e+09,28621722
32000,160,0,2.2716266e+08,1.1525471e+17,1.4486994e+17,1.7733021e+21,0,2.1599946e+19,2.3325384e+18,4.32e+12,2.6600833e+16,6.863686e+17,6.6008448e+18,6.7541112e+20,0,5.8713775e+08,4.6706568e+08,1.0542034e+09,0,1.35e+21,46711.239,5.2023097e-09,46711.239,0,0,68964219,-8.0436732e+10,4.4911085e+09,-1.0799858e+11,-1.1662871e+10,-3.4319271e+09,-3.3003719e+10,1.7159636e+08,1.650186e+09,2.3803833e+10,2.3803833e+10,1.5461926e+11,9.6637035e+09,32080650
34000,170,0,2.4125804e+08,1.234357e+17,1.5571712e+17,1.7725451e+21,0,2.203444e+19,2.261914e+18,4.32e+12,2.6498697e+16,6.5352119e+17,6.7968475e+18,6.7562284e+20,0,6.6160916e+08,5.2440051e+08,1.1860097e+09,0,1.35e+21,52445.296,0,52445.296,0,9.765625e-08,64529407,-7.1214788e+10,4.3562298e+09,-1.1017118e+11,-1.1309744e+10,-3.2676861e+09,-3.3983762e+10,1.633843e+08,1.6991881e+09,2.4190644e+10,2.4190644e+10,1.5060094e+11,9.4125585e+09,35718234
36000,180,0,2.5522807e+08,1.3155171e+17,1.6631623e+17,1.7718735e+21,0,2.2418455e+19,2.1934626e+18,4.32e+12,2.6399139e+16,6.2223449e+17,6.9813231e+18,6.7580773e+20,0,7.3922848e+08,5.84652e+08,1.3238805e+09,0,1.35e+21,58471.047,3.6081474e-08,58471.047,0,0,60380610,-6.3310449e+10,4.2302284e+09,-1.1209137e+11,-1.0967481e+10,-3.1112488e+09,-3.4906168e+10,1.5556244e+08,1.7453084e+09,2.453166e+10,2.453166e+10,1.468366e+11,9.1772873e+09,39528853
38000,190,0,2.6905384e+08,1.3957152e+17,1.7661146e+17,1.7712755e+21,0,2.2756075e+19,2.1271619e+18,4.32e+12,2.6302445e+16,5.924351e+17,7.1548871e+18,6.7597306e+20,0,8.1959091e+08,6.4763706e+08,1.467228e+09,0,1.35e+21,64770.184,-3.126479e-08,64770.184,0,0,56499381,-5.6461359e+10,4.1125456e+09,-1.1377959e+11,-1.0635973e+10,-2.9622482e+09,-3.5774015e+10,1.4811241e+08,1.7887007e+09,2.483059e+10,2.483059e+10,1.4331153e+11,8.9569706e+09,43506882
40000,200,0,2.8271982e+08,1.4746523e+17,1.8655259e+17,1.7707415e+21,0,2.3051101e+19,2.0629856e+18,4.32e+12,2.6208793e+16,5.6405306e+17,7.3181296e+18,6.7612415e+20,0,9.0227492e+08,7.1315454e+08,1.6154295e+09,0,1.35e+21,71322.586,0,71322.586,0,9.765625e-08,52868464,-5.0468847e+10,4.0026449e+09,-1.1525482e+11,-1.0315086e+10,-2.8203345e+09,-3.6590252e+10,1.4101673e+08,1.8295126e+09,2.509089e+10,2.509089e+10,1.4001148e+11,8.7507178e+09,47646749
42000,210,0,2.9621351e+08,1.5520452e+17,1.9609504e+17,1.7702638e+21,0,2.3307065e+19,2.0009035e+18,4.32e+12,2.6118274e+16,5.3702161e+17,7.4716143e+18,6.7626483e+20,0,9.8684811e+08,7.809878e+08,1.7678359e+09,0,1.35e+21,78106.591,0,78106.591,0,9.765625e-08,49471716,-4.5180739e+10,3.9000143e+09,-1.1653473e+11,-1.000467e+10,-2.685174e+09,-3.7357699e+10,1.342587e+08,1.867885e+09,2.5315771e+10,2.5315771e+10,1.3692279e+11,8.5576742e+09,51942989
