iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880944,5.5000003e+15,3.9704395e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.657361e+16,1.4287449e+18,1.853634e+18,6.2321135e+20,0,7155.0537,9911.1459,17066.2,0,1.35e+21,0.99121371,1.3372262e-07,0.99121357,0,0,1.8712053e+08,-2.1028105e+12,7.6294005e+09,-2.7143468e+10,-1.8285777e+10,-7.1438986e+09,-9.2670732e+09,3.5719493e+08,4.6335366e+08,9.2820141e+09,9.2820141e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648950,1.1345039e+16,9.1626251e+15,1.8268676e+21,0,7.2559233e+18,3.5522576e+18,4.32e+12,2.7036445e+16,1.36081e+18,2.2865979e+18,6.3883298e+20,0,19420.506,24044.94,43465.446,0,1.35e+21,2.4047345,2.1515996e-08,2.4047345,0,0,1.7506546e+08,-1.4836366e+12,7.4360696e+09,-3.6275194e+10,-1.7761546e+10,-6.8042156e+09,-1.1431924e+10,3.4021078e+08,5.7159618e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364555,1.7565685e+16,1.5427389e+16,1.8142332e+21,0,8.9644875e+18,3.4504015e+18,4.32e+12,2.7295725e+16,1.296073e+18,2.7053298e+18,6.494957e+20,0,37592.304,42800.061,80392.365,0,1.35e+21,4.2804341,4.7295448e-08,4.2804341,0,0,1.6378786e+08,-1.0706012e+12,7.199267e+09,-4.4818318e+10,-1.7252259e+10,-6.4805227e+09,-1.3525622e+10,3.2402614e+08,6.7628112e+08,1.2452582e+10,1.2452582e+10,2.3227712e+11,1.451732e+10,2642959.9
8000,40,0,61885626,2.4191637e+16,2.2727498e+16,1.805019e+21,0,1.0550373e+19,3.351093e+18,4.32e+12,2.7422176e+16,1.2343855e+18,3.1073024e+18,6.5687048e+20,0,62588.147,66615.527,129203.67,0,1.35e+21,6.6622189,4.5353702e-08,6.6622188,0,0,1.5323758e+08,-7.8995314e+11,6.9430322e+09,-5.2748055e+10,-1.675571e+10,-6.1720781e+09,-1.5535529e+10,3.0860391e+08,7.7677646e+08,1.3877863e+10,1.3877863e+10,2.2550884e+11,1.4094303e+10,3670018.9
10000,50,0,74082590,3.1248213e+16,3.1021138e+16,1.7981489e+21,0,1.2013975e+19,3.2540932e+18,4.32e+12,2.7460165e+16,1.175606e+18,3.4912108e+18,6.6203496e+20,0,95264.434,95954.571,191219.01,0,1.35e+21,9.5964168,6.1961716e-08,9.5964167,0,0,1.4336773e+08,-5.9575526e+11,6.6813607e+09,-6.0066366e+10,-1.6270706e+10,-5.8781737e+09,-1.7455117e+10,2.9390868e+08,8.7275586e+08,1.5193965e+10,1.5193965e+10,2.1841341e+11,1.3650838e+10,4899075.7
12000,60,0,86838408,3.8756862e+16,4.0264308e+16,1.7929147e+21,0,1.3358778e+19,3.1592802e+18,4.32e+12,2.7438051e+16,1.1195994e+18,3.8565091e+18,6.656946e+20,0,136417.14,131299.42,267716.56,0,1.35e+21,13.131255,-2.6531298e-08,13.131255,0,0,1.3413441e+08,-4.5892305e+11,6.4223882e+09,-6.6790673e+10,-1.5796635e+10,-5.5981335e+09,-1.9281655e+10,2.7990667e+08,9.6408277e+08,1.6403422e+10,1.6403422e+10,2.1127832e+11,1.3204895e+10,6335433.8
14000,70,0,1.0004806e+08,4.6735559e+16,5.0412321e+16,1.7888429e+21,0,1.4589998e+19,3.0665986e+18,4.32e+12,2.7374312e+16,1.0662364e+18,4.2031266e+18,6.6831782e+20,0,186783.86,173146.64,359930.5,0,1.35e+21,17.316396,0,17.316396,0,9.765625e-08,1.2549658e+08,-3.6075295e+11,6.1707811e+09,-7.2947049e+10,-1.5333222e+10,-5.3313124e+09,-2.101479e+10,2.6656562e+08,1.0507395e+09,1.7510526e+10,1.7510526e+10,2.0427564e+11,1.2767228e+10,7982159.5
16000,80,0,1.1361779e+08,5.5199153e+16,6.1420725e+16,1.7856123e+21,0,1.571375e+19,2.9760305e+18,4.32e+12,2.728122e+16,1.0153942e+18,4.5312909e+18,6.7021974e+20,0,247046.49,222003.01,469049.5,0,1.35e+21,22.202521,-1.6514576e-09,22.202521,0,0,1.1741582e+08,-2.8903667e+11,5.929125e+09,-7.8566071e+10,-1.4880376e+10,-5.0770948e+09,-2.2655657e+10,2.5385474e+08,1.1327828e+09,1.8520507e+10,1.8520507e+10,1.9750616e+11,1.2344135e+10,9840427.3
18000,90,0,1.2746426e+08,6.4159675e+16,7.3245887e+16,1.7830015e+21,0,1.6736544e+19,2.8875771e+18,4.32e+12,2.7167095e+16,9.6695496e+17,4.8414163e+18,6.7161496e+20,0,317834.1,278381.92,596216.01,0,1.35e+21,27.840976,1.8447061e-08,27.840976,0,0,1.0985622e+08,-2.3569104e+11,5.6987454e+09,-8.3680281e+10,-1.4438104e+10,-4.834893e+09,-2.4206329e+10,2.4174465e+08,1.2103164e+09,1.9439042e+10,1.9439042e+10,1.9102623e+11,1.193914e+10,11909825
