iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880949,5.4974505e+15,3.9687151e+15,1.8445854e+21,0,5.4296344e+18,3.6571027e+18,4.32e+12,2.6574001e+16,1.4287449e+18,1.8536374e+18,6.2321135e+20,0,402128.39,557009.99,959138.39,0,1.35e+21,55.70657,2.0887065e-08,55.70657,0,0,1.8712053e+08,-2.1028105e+12,7.6295125e+09,-2.7143468e+10,-1.828578e+10,-7.1438986e+09,-9.2670899e+09,3.5719493e+08,4.633545e+08,9.2820161e+09,9.2820161e+09,2.4261156e+11,1.5163222e+10,1160075.7
4000,20,0,39648978,1.1333321e+16,9.1538382e+15,1.8268676e+21,0,7.2559233e+18,3.55226e+18,4.32e+12,2.703747e+16,1.36081e+18,2.2866146e+18,6.3883298e+20,0,1090898.6,1350564.8,2441463.3,0,1.35e+21,135.06998,3.4900211e-08,135.06998,0,0,1.7506546e+08,-1.4836366e+12,7.4363515e+09,-3.6275194e+10,-1.7761558e+10,-6.8042156e+09,-1.1432007e+10,3.4021078e+08,5.7160034e+08,1.0918689e+10,1.0918689e+10,2.382416e+11,1.48901e+10,1809972.7
6000,30,0,50364641,1.7535755e+16,1.5403243e+16,1.8142332e+21,0,8.9644877e+18,3.4504076e+18,4.32e+12,2.7297649e+16,1.296073e+18,2.705374e+18,6.494957e+20,0,2110373,2402394.4,4512767.4,0,1.35e+21,240.26347,0,240.26347,0,9.765625e-08,1.6378786e+08,-1.0706011e+12,7.1997744e+09,-4.481832e+10,-1.7252289e+10,-6.4805228e+09,-1.3525843e+10,3.2402614e+08,6.7629217e+08,1.2452608e+10,1.2452608e+10,2.3227712e+11,1.451732e+10,2642964.4
8000,40,0,61885826,2.41318e+16,2.2676238e+16,1.805019e+21,0,1.0550374e+19,3.351105e+18,4.32e+12,2.7425299e+16,1.2343855e+18,3.1073933e+18,6.5687049e+20,0,3511171.4,3736289.4,7247460.8,0,1.35e+21,373.66631,-2.3303699e-08,373.66631,0,0,1.5323758e+08,-7.8995307e+11,6.9438228e+09,-5.2748058e+10,-1.6755771e+10,-6.1720781e+09,-1.5535983e+10,3.0860391e+08,7.7679917e+08,1.3877917e+10,1.3877917e+10,2.2550884e+11,1.4094303e+10,3670030.8
10000,50,0,74082986,3.1143887e+16,3.0927085e+16,1.7981489e+21,0,1.2013976e+19,3.254114e+18,4.32e+12,2.7464824e+16,1.1756061e+18,3.4913727e+18,6.6203497e+20,0,5340139.8,5377171.5,10717311,0,1.35e+21,537.77093,8.109555e-08,537.77093,0,0,1.4336773e+08,-5.9575511e+11,6.6824942e+09,-6.0066373e+10,-1.627081e+10,-5.8781737e+09,-1.7455926e+10,2.9390869e+08,8.7279632e+08,1.5194061e+10,1.5194061e+10,2.1841341e+11,1.3650838e+10,4899101.9
12000,60,0,86839114,3.8590326e+16,4.0107433e+16,1.7929147e+21,0,1.3358781e+19,3.1593129e+18,4.32e+12,2.7444618e+16,1.1195994e+18,3.8567721e+18,6.6569461e+20,0,7640365.6,7350777.3,14991143,0,1.35e+21,735.15125,0,735.15125,0,9.765625e-08,1.3413441e+08,-4.5892279e+11,6.4239251e+09,-6.6790686e+10,-1.5796799e+10,-5.5981336e+09,-1.928297e+10,2.7990668e+08,9.6414851e+08,1.6403577e+10,1.6403577e+10,2.1127833e+11,1.3204895e+10,6335485.3
14000,70,0,1.0004923e+08,4.6485702e+16,5.0167851e+16,1.7888429e+21,0,1.4590002e+19,3.066647e+18,4.32e+12,2.7383192e+16,1.0662365e+18,4.2035269e+18,6.6831784e+20,0,10451263,9683372.9,20134636,0,1.35e+21,968.43413,0,968.43413,0,9.765625e-08,1.2549658e+08,-3.6075252e+11,6.1727825e+09,-7.294707e+10,-1.5333464e+10,-5.3313126e+09,-2.1016791e+10,2.6656563e+08,1.0508395e+09,1.7510761e+10,1.7510761e+10,2.0427565e+11,1.2767228e+10,7982252.9
16000,80,0,1.1361962e+08,5.4841216e+16,6.1058795e+16,1.7856123e+21,0,1.5713757e+19,2.9760986e+18,4.32e+12,2.729285e+16,1.0153942e+18,4.5318713e+18,6.7021978e+20,0,13808694,12401499,26210193,0,1.35e+21,1240.2739,6.1977516e-09,1240.2739,0,0,1.1741582e+08,-2.8903601e+11,5.9316523e+09,-7.8566105e+10,-1.4880717e+10,-5.077095e+09,-2.2658558e+10,2.5385475e+08,1.1329279e+09,1.8520847e+10,1.8520847e+10,1.9750617e+11,1.2344136e+10,9840586.5
18000,90,0,1.2746702e+08,6.3664992e+16,7.2731217e+16,1.7830015e+21,0,1.6736554e+19,2.8876694e+18,4.32e+12,2.7181944e+16,9.6695501e+17,4.8422261e+18,6.7161502e+20,0,17745112,15531744,33276856,0,1.35e+21,1553.3297,-1.399394e-08,1553.3297,0,0,1.0985622e+08,-2.3569008e+11,5.7018599e+09,-8.3680334e+10,-1.4438565e+10,-4.8348932e+09,-2.4210377e+10,2.4174466e+08,1.2105188e+09,1.9439513e+10,1.9439513e+10,1.9102625e+11,1.1939141e+10,11910083
