iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.499935e+15,3.9703953e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.657362e+16,1.4287449e+18,1.8536341e+18,6.2321135e+20,0,17279.937,23936.068,41216.005,0,1.35e+21,2.3938462,-6.1447269e-09,2.3938462,0,0,1.8712053e+08,-2.1028105e+12,7.6294033e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.2670737e+09,3.5719493e+08,4.6335368e+08,9.2820142e+09,9.2820142e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648951,1.1344738e+16,9.1623998e+15,1.8268676e+21,0,7.2559233e+18,3.5522577e+18,4.32e+12,2.7036471e+16,1.36081e+18,2.2865984e+18,6.3883298e+20,0,46901.2,58069.262,104970.46,0,1.35e+21,5.8075069,-3.1305515e-08,5.8075069,0,0,1.7506546e+08,-1.4836366e+12,7.4360768e+09,-3.6275194e+10,-1.7761546e+10,-6.8042156e+09,-1.1431926e+10,3.4021078e+08,5.7159629e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364557,1.7564917e+16,1.542677e+16,1.8142332e+21,0,8.9644875e+18,3.4504017e+18,4.32e+12,2.7295774e+16,1.296073e+18,2.7053309e+18,6.494957e+20,0,90785.317,103361.67,194146.98,0,1.35e+21,10.337201,1.4529995e-08,10.3372,0,0,1.6378786e+08,-1.0706012e+12,7.1992801e+09,-4.4818318e+10,-1.725226e+10,-6.4805227e+09,-1.3525628e+10,3.2402614e+08,6.762814e+08,1.2452583e+10,1.2452583e+10,2.3227712e+11,1.451732e+10,2642960
8000,40,0,61885631,2.4190101e+16,2.2726183e+16,1.805019e+21,0,1.0550373e+19,3.3510933e+18,4.32e+12,2.7422256e+16,1.2343855e+18,3.1073047e+18,6.5687049e+20,0,151147.53,160872.57,312020.1,0,1.35e+21,16.088866,4.19682e-08,16.088866,0,0,1.5323758e+08,-7.8995314e+11,6.9430525e+09,-5.2748055e+10,-1.6755712e+10,-6.1720781e+09,-1.5535541e+10,3.0860391e+08,7.7677705e+08,1.3877864e+10,1.3877864e+10,2.2550884e+11,1.4094303e+10,3670019.2
10000,50,0,74082600,3.1245534e+16,3.1018723e+16,1.7981489e+21,0,1.2013975e+19,3.2540937e+18,4.32e+12,2.7460284e+16,1.175606e+18,3.4912149e+18,6.6203496e+20,0,230054.69,231719.48,461774.17,0,1.35e+21,23.174265,6.8155938e-08,23.174265,0,0,1.4336773e+08,-5.9575526e+11,6.6813898e+09,-6.0066366e+10,-1.6270708e+10,-5.8781737e+09,-1.7455138e+10,2.9390868e+08,8.727569e+08,1.5193967e+10,1.5193967e+10,2.1841341e+11,1.3650838e+10,4899076.4
12000,60,0,86838426,3.8752583e+16,4.0260278e+16,1.7929147e+21,0,1.3358778e+19,3.159281e+18,4.32e+12,2.743822e+16,1.1195994e+18,3.8565158e+18,6.656946e+20,0,329427.28,317065.48,646492.77,0,1.35e+21,31.709719,-4.6069054e-08,31.709719,0,0,1.3413441e+08,-4.5892305e+11,6.4224278e+09,-6.6790674e+10,-1.5796639e+10,-5.5981335e+09,-1.9281689e+10,2.7990667e+08,9.6408446e+08,1.6403426e+10,1.6403426e+10,2.1127832e+11,1.3204895e+10,6335435.1
14000,70,0,1.0004809e+08,4.6729135e+16,5.0406037e+16,1.7888429e+21,0,1.4589998e+19,3.0665999e+18,4.32e+12,2.737454e+16,1.0662364e+18,4.2031369e+18,6.6831782e+20,0,451044.42,418108,869152.42,0,1.35e+21,41.814981,0,41.814981,0,9.765625e-08,1.2549658e+08,-3.6075294e+11,6.1708326e+09,-7.294705e+10,-1.5333228e+10,-5.3313125e+09,-2.1014841e+10,2.6656562e+08,1.0507421e+09,1.7510532e+10,1.7510532e+10,2.0427564e+11,1.2767228e+10,7982161.9
16000,80,0,1.1361783e+08,5.5189944e+16,6.1411415e+16,1.7856123e+21,0,1.571375e+19,2.9760322e+18,4.32e+12,2.728152e+16,1.0153942e+18,4.5313059e+18,6.7021974e+20,0,596550.16,536068.77,1132618.9,0,1.35e+21,53.612238,2.1381794e-08,53.612238,0,0,1.1741582e+08,-2.8903666e+11,5.9291901e+09,-7.8566072e+10,-1.4880385e+10,-5.0770948e+09,-2.2655732e+10,2.5385474e+08,1.1327866e+09,1.8520516e+10,1.8520516e+10,1.9750616e+11,1.2344135e+10,9840431.4
18000,90,0,1.2746433e+08,6.4146938e+16,7.3232639e+16,1.7830015e+21,0,1.6736544e+19,2.8875794e+18,4.32e+12,2.7167478e+16,9.6695496e+17,4.8414372e+18,6.7161496e+20,0,767460.5,672185.12,1439645.6,0,1.35e+21,67.225235,4.4297366e-09,67.225235,0,0,1.0985622e+08,-2.3569102e+11,5.6988257e+09,-8.3680283e+10,-1.4438116e+10,-4.834893e+09,-2.4206433e+10,2.4174465e+08,1.2103216e+09,1.9439054e+10,1.9439054e+10,1.9102623e+11,1.193914e+10,11909832
