iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.4999088e+15,3.9703776e+15,1.8445854e+21,0,5.4296344e+18,3.6571022e+18,4.32e+12,2.6573624e+16,1.4287449e+18,1.8536342e+18,6.2321135e+20,0,21329.828,29545.944,50875.771,0,1.35e+21,2.9548898,3.9524606e-09,2.9548898,0,0,1.8712053e+08,-2.1028105e+12,7.6294045e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.2670738e+09,3.5719493e+08,4.6335369e+08,9.2820142e+09,9.2820142e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648951,1.1344618e+16,9.1623097e+15,1.8268676e+21,0,7.2559233e+18,3.5522577e+18,4.32e+12,2.7036482e+16,1.36081e+18,2.2865985e+18,6.3883298e+20,0,57893.1,71678.486,129571.59,0,1.35e+21,7.1685654,-1.5755201e-08,7.1685654,0,0,1.7506546e+08,-1.4836366e+12,7.4360797e+09,-3.6275194e+10,-1.7761547e+10,-6.8042156e+09,-1.1431927e+10,3.4021078e+08,5.7159633e+08,1.0918679e+10,1.0918679e+10,2.382416e+11,1.48901e+10,1809971.4
6000,30,0,50364558,1.756461e+16,1.5426522e+16,1.8142332e+21,0,8.9644875e+18,3.4504017e+18,4.32e+12,2.7295794e+16,1.296073e+18,2.7053314e+18,6.494957e+20,0,112061.33,127584.83,239646.15,0,1.35e+21,12.759759,0,12.759759,0,9.765625e-08,1.6378786e+08,-1.0706012e+12,7.1992853e+09,-4.4818318e+10,-1.725226e+10,-6.4805227e+09,-1.352563e+10,3.2402614e+08,6.7628151e+08,1.2452583e+10,1.2452583e+10,2.3227712e+11,1.451732e+10,2642960.1
8000,40,0,61885633,2.4189487e+16,2.2725657e+16,1.805019e+21,0,1.0550373e+19,3.3510934e+18,4.32e+12,2.7422288e+16,1.2343855e+18,3.1073057e+18,6.5687049e+20,0,186568.42,198572.04,385140.46,0,1.35e+21,19.85919,-4.2275659e-09,19.85919,0,0,1.5323758e+08,-7.8995314e+11,6.9430606e+09,-5.2748055e+10,-1.6755712e+10,-6.1720781e+09,-1.5535546e+10,3.0860391e+08,7.7677728e+08,1.3877865e+10,1.3877865e+10,2.2550884e+11,1.4094303e+10,3670019.4
10000,50,0,74082605,3.1244462e+16,3.1017757e+16,1.7981489e+21,0,1.2013975e+19,3.254094e+18,4.32e+12,2.7460332e+16,1.175606e+18,3.4912166e+18,6.6203496e+20,0,283964.92,286018.92,569983.84,0,1.35e+21,28.604753,7.2766181e-08,28.604753,0,0,1.4336773e+08,-5.9575526e+11,6.6814015e+09,-6.0066366e+10,-1.627071e+10,-5.8781737e+09,-1.7455146e+10,2.9390868e+08,8.7275731e+08,1.5193968e+10,1.5193968e+10,2.1841341e+11,1.3650838e+10,4899076.7
12000,60,0,86838433,3.8750871e+16,4.0258667e+16,1.7929147e+21,0,1.3358778e+19,3.1592813e+18,4.32e+12,2.7438288e+16,1.1195994e+18,3.8565185e+18,6.656946e+20,0,406620.52,391360.43,797980.95,0,1.35e+21,39.139957,-3.5957996e-08,39.139957,0,0,1.3413441e+08,-4.5892304e+11,6.4224436e+09,-6.6790674e+10,-1.5796641e+10,-5.5981335e+09,-1.9281703e+10,2.7990667e+08,9.6408514e+08,1.6403428e+10,1.6403428e+10,2.1127832e+11,1.3204895e+10,6335435.6
14000,70,0,1.000481e+08,4.6726566e+16,5.0403524e+16,1.7888429e+21,0,1.4589998e+19,3.0666003e+18,4.32e+12,2.7374632e+16,1.0662364e+18,4.203141e+18,6.6831782e+20,0,556730.19,516073.69,1072803.9,0,1.35e+21,51.61253,0,51.61253,0,9.765625e-08,1.2549658e+08,-3.6075293e+11,6.1708532e+09,-7.294705e+10,-1.5333231e+10,-5.3313125e+09,-2.1014862e+10,2.6656562e+08,1.0507431e+09,1.7510534e+10,1.7510534e+10,2.0427564e+11,1.2767228e+10,7982162.8
16000,80,0,1.1361785e+08,5.5186261e+16,6.1407692e+16,1.7856123e+21,0,1.571375e+19,2.9760329e+18,4.32e+12,2.728164e+16,1.0153942e+18,4.5313118e+18,6.7021974e+20,0,736321.96,661665.73,1397987.7,0,1.35e+21,66.17319,-2.8801878e-08,66.17319,0,0,1.1741582e+08,-2.8903665e+11,5.9292162e+09,-7.8566072e+10,-1.4880388e+10,-5.0770948e+09,-2.2655761e+10,2.5385474e+08,1.1327881e+09,1.852052e+10,1.852052e+10,1.9750616e+11,1.2344135e+10,9840433.1
18000,90,0,1.2746436e+08,6.4141843e+16,7.322734e+16,1.7830015e+21,0,1.6736544e+19,2.8875804e+18,4.32e+12,2.7167632e+16,9.6695496e+17,4.8414455e+18,6.7161496e+20,0,947265.53,829662.62,1776928.1,0,1.35e+21,82.97456,-3.407834e-08,82.97456,0,0,1.0985622e+08,-2.3569101e+11,5.6988579e+09,-8.3680283e+10,-1.443812e+10,-4.834893e+09,-2.4206474e+10,2.4174465e+08,1.2103237e+09,1.9439059e+10,1.9439059e+10,1.9102624e+11,1.193914e+10,11909835
