iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880947,5.4988049e+15,3.9696311e+15,1.8445854e+21,0,5.4296344e+18,3.6571024e+18,4.32e+12,2.6573793e+16,1.4287449e+18,1.8536356e+18,6.2321135e+20,0,192337.3,266421.04,458758.33,0,1.35e+21,26.644768,8.0543643e-08,26.644768,0,0,1.8712053e+08,-2.1028105e+12,7.629453e+09,-2.7143468e+10,-1.8285779e+10,-7.1438986e+09,-9.2670811e+09,3.5719493e+08,4.6335405e+08,9.282015e+09,9.282015e+09,2.4261156e+11,1.5163222e+10,1160075.6
4000,20,0,39648963,1.1339544e+16,9.1585049e+15,1.8268676e+21,0,7.2559233e+18,3.5522587e+18,4.32e+12,2.7036926e+16,1.36081e+18,2.2866057e+18,6.3883298e+20,0,521920.38,646178.29,1168098.7,0,1.35e+21,64.624292,-2.7182821e-08,64.624292,0,0,1.7506546e+08,-1.4836366e+12,7.4362018e+09,-3.6275194e+10,-1.7761552e+10,-6.8042156e+09,-1.1431963e+10,3.4021078e+08,5.7159813e+08,1.0918684e+10,1.0918684e+10,2.382416e+11,1.48901e+10,1809972
6000,30,0,50364595,1.7551647e+16,1.5416064e+16,1.8142332e+21,0,8.9644876e+18,3.4504044e+18,4.32e+12,2.7296627e+16,1.296073e+18,2.7053505e+18,6.494957e+20,0,1009994.7,1149836.9,2159831.6,0,1.35e+21,114.99519,1.2853008e-09,114.99519,0,0,1.6378786e+08,-1.0706011e+12,7.1995051e+09,-4.4818319e+10,-1.7252273e+10,-6.4805228e+09,-1.3525726e+10,3.2402614e+08,6.762863e+08,1.2452594e+10,1.2452594e+10,2.3227712e+11,1.451732e+10,2642962
8000,40,0,61885720,2.4163565e+16,2.2703451e+16,1.805019e+21,0,1.0550374e+19,3.3510986e+18,4.32e+12,2.7423642e+16,1.2343855e+18,3.107345e+18,6.5687049e+20,0,1681014.3,1788999.8,3470014.2,0,1.35e+21,178.91788,-1.521974e-08,178.91788,0,0,1.5323758e+08,-7.8995311e+11,6.9434033e+09,-5.2748057e+10,-1.6755739e+10,-6.1720781e+09,-1.5535742e+10,3.0860391e+08,7.7678712e+08,1.3877888e+10,1.3877888e+10,2.2550884e+11,1.4094303e+10,3670024.5
10000,50,0,74082776,3.1199255e+16,3.0977004e+16,1.7981489e+21,0,1.2013976e+19,3.254103e+18,4.32e+12,2.7462352e+16,1.1756061e+18,3.4912867e+18,6.6203496e+20,0,2557711.5,2575869.1,5133580.6,0,1.35e+21,257.61267,8.5410647e-08,257.61267,0,0,1.4336773e+08,-5.9575519e+11,6.6818929e+09,-6.0066369e+10,-1.6270755e+10,-5.8781737e+09,-1.7455497e+10,2.9390868e+08,8.7277485e+08,1.519401e+10,1.519401e+10,2.1841341e+11,1.3650838e+10,4899088
12000,60,0,86838739,3.8678684e+16,4.0190672e+16,1.7929147e+21,0,1.3358779e+19,3.1592955e+18,4.32e+12,2.7441136e+16,1.1195994e+18,3.8566325e+18,6.6569461e+20,0,3661112.2,3523100.2,7184212.4,0,1.35e+21,352.34525,3.8755275e-08,352.34525,0,0,1.3413441e+08,-4.5892293e+11,6.4231102e+09,-6.6790679e+10,-1.5796712e+10,-5.5981335e+09,-1.9282273e+10,2.7990668e+08,9.6411363e+08,1.6403495e+10,1.6403495e+10,2.1127832e+11,1.3204895e+10,6335458
14000,70,0,1.0004861e+08,4.6618225e+16,5.0297529e+16,1.7888429e+21,0,1.459e+19,3.0666213e+18,4.32e+12,2.7378485e+16,1.0662365e+18,4.2033146e+18,6.6831783e+20,0,5010584.6,4643671.2,9654255.8,0,1.35e+21,464.41356,0,464.41356,0,9.765625e-08,1.2549658e+08,-3.6075275e+11,6.1717217e+09,-7.2947059e+10,-1.5333336e+10,-5.3313125e+09,-2.1015729e+10,2.6656563e+08,1.0507865e+09,1.7510636e+10,1.7510636e+10,2.0427565e+11,1.2767228e+10,7982203.3
16000,80,0,1.1361865e+08,5.5030997e+16,6.1250717e+16,1.7856123e+21,0,1.5713753e+19,2.9760625e+18,4.32e+12,2.7286689e+16,1.0153942e+18,4.5315636e+18,6.7021976e+20,0,6623904.1,5950767,12574671,0,1.35e+21,595.13621,0,595.13621,0,9.765625e-08,1.1741582e+08,-2.8903636e+11,5.9303135e+09,-7.8566087e+10,-1.4880536e+10,-5.0770949e+09,-2.265702e+10,2.5385474e+08,1.132851e+09,1.8520667e+10,1.8520667e+10,1.9750617e+11,1.2344135e+10,9840502.1
18000,90,0,1.2746556e+08,6.3927177e+16,7.3004035e+16,1.7830015e+21,0,1.6736548e+19,2.8876204e+18,4.32e+12,2.7174083e+16,9.6695498e+17,4.8417969e+18,6.7161498e+20,0,8517325.2,7457676,15975001,0,1.35e+21,745.84219,-4.8530637e-09,745.84219,0,0,1.0985622e+08,-2.3569059e+11,5.7002109e+09,-8.3680306e+10,-1.4438321e+10,-4.8348931e+09,-2.4208231e+10,2.4174466e+08,1.2104116e+09,1.9439263e+10,1.9439263e+10,1.9102624e+11,1.193914e+10,11909947
