iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880945,5.4996531e+15,3.9702047e+15,1.8445854e+21,0,5.4296344e+18,3.6571023e+18,4.32e+12,2.6573663e+16,1.4287449e+18,1.8536345e+18,6.2321135e+20,0,60949.354,84426.415,145375.77,0,1.35e+21,8.4434858,4.6605884e-09,8.4434858,0,0,1.8712053e+08,-2.1028105e+12,7.6294157e+09,-2.7143468e+10,-1.8285778e+10,-7.1438986e+09,-9.2670755e+09,3.5719493e+08,4.6335378e+08,9.2820144e+09,9.2820144e+09,2.4261156e+11,1.5163222e+10,1160075.5
4000,20,0,39648954,1.1343443e+16,9.1614281e+15,1.8268676e+21,0,7.2559233e+18,3.5522579e+18,4.32e+12,2.7036585e+16,1.36081e+18,2.2866002e+18,6.3883298e+20,0,165419.12,204806.86,370225.97,0,1.35e+21,20.482734,-3.6119797e-08,20.482734,0,0,1.7506546e+08,-1.4836366e+12,7.436108e+09,-3.6275194e+10,-1.7761548e+10,-6.8042156e+09,-1.1431935e+10,3.4021078e+08,5.7159675e+08,1.091868e+10,1.091868e+10,2.382416e+11,1.48901e+10,1809971.6
6000,30,0,50364566,1.7561606e+16,1.5424098e+16,1.8142332e+21,0,8.9644875e+18,3.4504023e+18,4.32e+12,2.7295987e+16,1.296073e+18,2.7053358e+18,6.494957e+20,0,320175.58,364523.42,684699.01,0,1.35e+21,36.455988,0,36.455988,0,9.765625e-08,1.6378786e+08,-1.0706012e+12,7.1993362e+09,-4.4818319e+10,-1.7252263e+10,-6.4805227e+09,-1.3525652e+10,3.2402614e+08,6.7628262e+08,1.2452586e+10,1.2452586e+10,2.3227712e+11,1.451732e+10,2642960.5
8000,40,0,61885653,2.4183479e+16,2.272051e+16,1.805019e+21,0,1.0550373e+19,3.3510946e+18,4.32e+12,2.7422602e+16,1.2343855e+18,3.1073148e+18,6.5687049e+20,0,533016.25,567297.54,1100313.8,0,1.35e+21,56.735427,3.1154961e-08,56.735427,0,0,1.5323758e+08,-7.8995313e+11,6.9431401e+09,-5.2748056e+10,-1.6755719e+10,-6.1720781e+09,-1.5535591e+10,3.0860391e+08,7.7677956e+08,1.387787e+10,1.387787e+10,2.2550884e+11,1.4094303e+10,3670020.6
10000,50,0,74082644,3.1233983e+16,3.100831e+16,1.7981489e+21,0,1.2013975e+19,3.254096e+18,4.32e+12,2.7460801e+16,1.175606e+18,3.4912328e+18,6.6203496e+20,0,811209.6,817052.12,1628261.7,0,1.35e+21,81.713383,-3.7309036e-09,81.713383,0,0,1.4336773e+08,-5.9575524e+11,6.6815154e+09,-6.0066367e+10,-1.627072e+10,-5.8781737e+09,-1.7455228e+10,2.9390868e+08,8.7276138e+08,1.5193978e+10,1.5193978e+10,2.1841341e+11,1.3650838e+10,4899079.3
12000,60,0,86838504,3.8734134e+16,4.0242902e+16,1.7929147e+21,0,1.3358779e+19,3.1592846e+18,4.32e+12,2.7438949e+16,1.1195994e+18,3.856545e+18,6.656946e+20,0,1161501.8,1117866.6,2279368.4,0,1.35e+21,111.79784,-6.5172117e-09,111.79784,0,0,1.3413441e+08,-4.5892302e+11,6.4225982e+09,-6.6790675e+10,-1.5796657e+10,-5.5981335e+09,-1.9281835e+10,2.7990667e+08,9.6409175e+08,1.6403444e+10,1.6403444e+10,2.1127832e+11,1.3204895e+10,6335440.8
14000,70,0,1.0004822e+08,4.670144e+16,5.0378944e+16,1.7888429e+21,0,1.4589999e+19,3.0666052e+18,4.32e+12,2.7375526e+16,1.0662365e+18,4.2031813e+18,6.6831782e+20,0,1590133.6,1473936.6,3064070.3,0,1.35e+21,147.4084,0,147.4084,0,9.765625e-08,1.2549658e+08,-3.6075289e+11,6.1710548e+09,-7.2947052e+10,-1.5333255e+10,-5.3313125e+09,-2.1015063e+10,2.6656562e+08,1.0507531e+09,1.7510558e+10,1.7510558e+10,2.0427565e+11,1.2767228e+10,7982172.2
16000,80,0,1.1361804e+08,5.5150243e+16,6.1371281e+16,1.7856123e+21,0,1.5713751e+19,2.9760398e+18,4.32e+12,2.7282812e+16,1.0153942e+18,4.5313702e+18,6.7021974e+20,0,2102862.4,1889538.7,3992401.1,0,1.35e+21,188.97277,0,188.97277,0,9.765625e-08,1.1741582e+08,-2.8903658e+11,5.9294709e+09,-7.8566075e+10,-1.4880423e+10,-5.0770948e+09,-2.2656053e+10,2.5385474e+08,1.1328027e+09,1.8520554e+10,1.8520554e+10,1.9750616e+11,1.2344135e+10,9840449.1
18000,90,0,1.2746464e+08,6.4092033e+16,7.317553e+16,1.7830015e+21,0,1.6736545e+19,2.8875897e+18,4.32e+12,2.716913e+16,9.6695497e+17,4.8415271e+18,6.7161496e+20,0,2704986.1,2368998.7,5073984.9,0,1.35e+21,236.92357,7.6374533e-09,236.92357,0,0,1.0985622e+08,-2.3569091e+11,5.6991721e+09,-8.3680288e+10,-1.4438167e+10,-4.834893e+09,-2.4206882e+10,2.4174465e+08,1.2103441e+09,1.9439106e+10,1.9439106e+10,1.9102624e+11,1.193914e+10,11909861
20000,100,0,1.4151425e+08,7.3535726e+16,8.5748442e+16,1.7808558e+21,0,1.7664972e+19,2.8012651e+18,4.32e+12,2.7040243e+16,9.2080674e+17,5.1341822e+18,6.726513e+20,0,3401368.2,2916664.7,6318032.8,0,1.35e+21,291.69564,3.103014e-08,291.69564,0,0,1.0278416e+08,-1.9529004e+11,5.4807153e+09,-8.832265e+10,-1.4006538e+10,-4.6041463e+09,-2.5670201e+10,2.3020731e+08,1.28351e+09,2.0272025e+10,2.0272025e+10,1.8486438e+11,1.1554024e+10,14188679
22000,110,0,1.5570181e+08,8.3487941e+16,9.9048114e+16,1.7790652e+21,0,1.8505518e+19,2.7170785e+18,4.32e+12,2.6900231e+16,8.7684246e+17,5.4099348e+18,6.7343161e+20,0,4196461.8,3536883.5,7733345.2,0,1.35e+21,353.72372,6.3074026e-09,353.72372,0,0,96168198,-1.6414337e+11,5.2741881e+09,-9.2525593e+10,-1.35856e+10,-4.3843196e+09,-2.7049005e+10,2.1921598e+08,1.3524503e+09,2.1025069e+10,2.1025069e+10,1.790316e+11,1.1189475e+10,16674094
24000,120,0,1.6997016e+08,9.3953237e+16,1.1303412e+17,1.7775507e+21,0,1.9264453e+19,2.6350412e+18,4.32e+12,2.6752045e+16,8.3496003e+17,5.6694228e+18,6.7402817e+20,0,5094334,4233980.8,9328314.9,0,1.35e+21,423.44043,-1.4117688e-08,423.44043,0,0,89978920,-1.3970824e+11,5.0793927e+09,-9.6320462e+10,-1.3175408e+10,-4.1749023e+09,-2.8346485e+10,2.0874512e+08,1.4173243e+09,2.170383e+10,2.170383e+10,1.7352795e+11,1.0845497e+10,19362421
26000,130,0,1.8426933e+08,1.0493435e+17,1.2766758e+17,1.7762547e+21,0,1.9947764e+19,2.5551612e+18,4.32e+12,2.6597872e+16,7.9506203e+17,5.9133025e+18,6.7449219e+20,0,6098689,5012244.6,11110934,0,1.35e+21,501.27459,7.7083371e-08,501.27459,0,0,84188806,-1.202109e+11,4.8959612e+09,-9.97372e+10,-1.2776003e+10,-3.9754075e+09,-2.9565922e+10,1.9877037e+08,1.4782961e+09,2.2313671e+10,2.2313671e+10,1.6834669e+11,1.0521668e+10,22249278
28000,140,0,1.985558e+08,1.1643241e+17,1.4291118e+17,1.7751344e+21,0,2.0561125e+19,2.4774418e+18,4.32e+12,2.6439368e+16,7.5705553e+17,6.1422352e+18,6.7486021e+20,0,7212889.6,5875910.8,13088800,0,1.35e+21,587.64984,0,587.64984,0,9.765625e-08,78772115,-1.0439882e+11,4.7234276e+09,-1.0280417e+11,-1.23874e+10,-3.7853704e+09,-3.0710622e+10,1.8926852e+08,1.5355311e+09,2.2859687e+10,2.2859687e+10,1.6347697e+11,1.021731e+10,25329747
30000,150,0,2.1279189e+08,1.2844711e+17,1.5872917e+17,1.7741575e+21,0,2.1109882e+19,2.4018814e+18,4.32e+12,2.6277817e+16,7.2085187e+17,6.3568787e+18,6.7515848e+20,0,8439979.1,6829151.9,15269131,0,1.35e+21,682.98349,-2.699062e-08,682.98349,0,0,73704762,-9.1376962e+10,4.5612739e+09,-1.0554812e+11,-1.2009593e+10,-3.6043477e+09,-3.1783874e+10,1.8021738e+08,1.5891937e+09,2.3346691e+10,2.3346691e+10,1.5890558e+11,9.9315988e+09,28598504
32000,160,0,2.269452e+08,1.4097691e+17,1.7508735e+17,1.7732998e+21,0,2.1599051e+19,2.3284734e+18,4.32e+12,2.6114234e+16,6.8636649e+17,6.5578807e+18,6.7540598e+20,0,9782700.9,7876068.2,17658769,0,1.35e+21,787.68559,0,787.68559,0,9.765625e-08,68964219,-8.049812e+10,4.4089597e+09,-1.079941e+11,-1.1642548e+10,-3.4319166e+09,-3.2788918e+10,1.7159583e+08,1.6394459e+09,2.377921e+10,2.377921e+10,1.5461808e+11,9.6636299e+09,32049940
