iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880974,5.4843469e+15,3.9598529e+15,1.8445854e+21,0,5.4296345e+18,3.6571052e+18,4.32e+12,2.6576006e+16,1.4287449e+18,1.8536546e+18,6.2321135e+20,0,2430274.6,3365798.4,5796073,0,1.35e+21,336.6135,7.8590574e-09,336.6135,0,0,1.8712053e+08,-2.1028105e+12,7.6300879e+09,-2.7143468e+10,-1.8285792e+10,-7.1438986e+09,-9.2671759e+09,3.5719493e+08,4.6335879e+08,9.2820264e+09,9.2820264e+09,2.4261156e+11,1.5163222e+10,1160076.6
4000,20,0,39649124,1.1273238e+16,9.1087774e+15,1.8268676e+21,0,7.2559236e+18,3.552272e+18,4.32e+12,2.7042718e+16,1.36081e+18,2.2866999e+18,6.3883298e+20,0,6575106.5,8137079.7,14712186,0,1.35e+21,813.78935,-2.0875405e-08,813.78935,0,0,1.7506546e+08,-1.4836366e+12,7.4377944e+09,-3.6275196e+10,-1.7761618e+10,-6.8042157e+09,-1.1432433e+10,3.4021078e+08,5.7162167e+08,1.091874e+10,1.091874e+10,2.382416e+11,1.48901e+10,1809979.3
6000,30,0,50365083,1.7382705e+16,1.5279728e+16,1.8142332e+21,0,8.9644888e+18,3.4504385e+18,4.32e+12,2.7307458e+16,1.296073e+18,2.7056001e+18,6.4949571e+20,0,12680148,14424440,27104588,0,1.35e+21,1442.5883,0,1442.5883,0,9.765625e-08,1.6378786e+08,-1.070601e+12,7.2023609e+09,-4.4818325e+10,-1.7252444e+10,-6.4805228e+09,-1.3526973e+10,3.2402614e+08,6.7634867e+08,1.2452743e+10,1.2452743e+10,2.3227712e+11,1.451732e+10,2642987.6
8000,40,0,61886845,2.3826759e+16,2.2414774e+16,1.805019e+21,0,1.0550377e+19,3.3511665e+18,4.32e+12,2.7441152e+16,1.2343856e+18,3.1078566e+18,6.5687051e+20,0,21022151,22344859,43367009,0,1.35e+21,2234.7093,-3.1933268e-08,2234.7093,0,0,1.5323758e+08,-7.8995269e+11,6.9478358e+09,-5.2748073e+10,-1.6756078e+10,-6.1720783e+09,-1.5538299e+10,3.0860391e+08,7.7691497e+08,1.3878192e+10,1.3878192e+10,2.2550885e+11,1.4094303e+10,3670091.2
10000,50,0,74084996,3.0613868e+16,3.0448883e+16,1.7981489e+21,0,1.2013983e+19,3.2542198e+18,4.32e+12,2.7488355e+16,1.1756061e+18,3.4921954e+18,6.6203501e+20,0,31845411,32015570,63860981,0,1.35e+21,3201.8772,7.8447101e-08,3201.8772,0,0,1.4336773e+08,-5.9575435e+11,6.6882185e+09,-6.0066405e+10,-1.6271339e+10,-5.878174e+09,-1.7460039e+10,2.939087e+08,8.7300195e+08,1.5194547e+10,1.5194547e+10,2.1841342e+11,1.3650839e+10,4899234.8
12000,60,0,86842690,3.7747478e+16,3.9312646e+16,1.7929147e+21,0,1.3358793e+19,3.159479e+18,4.32e+12,2.74776e+16,1.1195995e+18,3.8581037e+18,6.6569469e+20,0,45361092,43551671,88912764,0,1.35e+21,4355.6027,4.7201866e-08,4355.6027,0,0,1.3413441e+08,-4.5892143e+11,6.431644e+09,-6.6790748e+10,-1.5797629e+10,-5.598134e+09,-1.9289627e+10,2.799067e+08,9.6448133e+08,1.6404361e+10,1.6404361e+10,2.1127835e+11,1.3204897e+10,6335746.2
14000,70,0,1.0005514e+08,4.5226446e+16,4.8934114e+16,1.7888429e+21,0,1.4590024e+19,3.0668912e+18,4.32e+12,2.742752e+16,1.0662366e+18,4.2055454e+18,6.6831797e+20,0,61747168,57063957,1.1881113e+08,0,1.35e+21,5706.9664,0,5706.9664,0,9.765625e-08,1.2549658e+08,-3.6075033e+11,6.1827737e+09,-7.2947178e+10,-1.5334685e+10,-5.3313131e+09,-2.1026881e+10,2.6656566e+08,1.0513441e+09,1.7511945e+10,1.7511945e+10,2.0427569e+11,1.2767231e+10,7982724.3
16000,80,0,1.1362885e+08,5.3045437e+16,5.9240056e+16,1.7856124e+21,0,1.5713792e+19,2.9764406e+18,4.32e+12,2.7350527e+16,1.0153943e+18,4.5347839e+18,6.7021998e+20,0,81148781,72656987,1.5380577e+08,0,1.35e+21,7266.4254,0,7266.4254,0,9.765625e-08,1.1741582e+08,-2.8903268e+11,5.9441858e+09,-7.8566277e+10,-1.4882427e+10,-5.0770958e+09,-2.2673119e+10,2.5385479e+08,1.1336559e+09,1.852255e+10,1.852255e+10,1.9750623e+11,1.234414e+10,9841385.4
18000,90,0,1.2748079e+08,6.1195307e+16,7.0156867e+16,1.7830016e+21,0,1.6736607e+19,2.8881305e+18,4.32e+12,2.7255061e+16,9.6695523e+17,4.8462703e+18,6.7161532e+20,0,1.0367889e+08,90427391,1.9410628e+08,0,1.35e+21,9043.6435,-2.1245796e-08,9043.6435,0,0,1.0985622e+08,-2.3568526e+11,5.7171956e+09,-8.3680597e+10,-1.4440871e+10,-4.8348943e+09,-2.4230594e+10,2.4174472e+08,1.2115297e+09,1.9441871e+10,1.9441871e+10,1.9102634e+11,1.1939146e+10,11911370
