iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,29880983,5.4797049e+15,3.9567131e+15,1.8445854e+21,0,5.4296345e+18,3.6571061e+18,4.32e+12,2.6576716e+16,1.4287449e+18,1.8536607e+18,6.2321135e+20,0,3148108.6,4359726.1,7507834.7,0,1.35e+21,436.01622,1.3930276e-08,436.01622,0,0,1.8712053e+08,-2.1028105e+12,7.6302915e+09,-2.7143469e+10,-1.8285797e+10,-7.1438986e+09,-9.2672063e+09,3.5719493e+08,4.6336032e+08,9.2820301e+09,9.2820301e+09,2.4261156e+11,1.5163222e+10,1160077
4000,20,0,39649175,1.1252009e+16,9.0928522e+15,1.8268676e+21,0,7.2559237e+18,3.5522762e+18,4.32e+12,2.7044568e+16,1.36081e+18,2.2867301e+18,6.3883298e+20,0,8509062.5,10529042,19038104,0,1.35e+21,1053.0095,3.3095375e-08,1053.0095,0,0,1.7506546e+08,-1.4836366e+12,7.4383031e+09,-3.6275196e+10,-1.7761639e+10,-6.8042157e+09,-1.1432584e+10,3.4021078e+08,5.716292e+08,1.0918758e+10,1.0918758e+10,2.382416e+11,1.48901e+10,1809981.7
6000,30,0,50365238,1.7328791e+16,1.52362e+16,1.8142332e+21,0,8.9644893e+18,3.4504494e+18,4.32e+12,2.7310901e+16,1.296073e+18,2.7056798e+18,6.4949571e+20,0,16391711,18641841,35033552,0,1.35e+21,1864.3705,0,1864.3705,0,9.765625e-08,1.6378786e+08,-1.0706009e+12,7.2032688e+09,-4.4818327e+10,-1.7252498e+10,-6.4805229e+09,-1.3527372e+10,3.2402614e+08,6.7636859e+08,1.245279e+10,1.245279e+10,2.3227712e+11,1.451732e+10,2642995.8
8000,40,0,61887203,2.3719676e+16,2.2322932e+16,1.805019e+21,0,1.0550378e+19,3.3511881e+18,4.32e+12,2.7446689e+16,1.2343856e+18,3.1080193e+18,6.5687051e+20,0,27141444,28837684,55979128,0,1.35e+21,2884.0568,-3.9614861e-08,2884.0568,0,0,1.5323758e+08,-7.8995255e+11,6.9492374e+09,-5.2748079e+10,-1.6756185e+10,-6.1720783e+09,-1.5539113e+10,3.0860392e+08,7.7695563e+08,1.3878288e+10,1.3878288e+10,2.2550885e+11,1.4094303e+10,3670112.4
10000,50,0,74085699,3.0428535e+16,3.028152e+16,1.7981489e+21,0,1.2013985e+19,3.2542568e+18,4.32e+12,2.7496528e+16,1.1756061e+18,3.4924832e+18,6.6203502e+20,0,41057466,41253718,82311183,0,1.35e+21,4125.7844,1.1271459e-07,4125.7844,0,0,1.4336773e+08,-5.9575408e+11,6.6902066e+09,-6.0066417e+10,-1.6271523e+10,-5.878174e+09,-1.7461477e+10,2.939087e+08,8.7307387e+08,1.5194717e+10,1.5194717e+10,2.1841343e+11,1.3650839e+10,4899281.3
12000,60,0,86843936,3.7454036e+16,3.9035607e+16,1.7929147e+21,0,1.3358797e+19,3.1595368e+18,4.32e+12,2.7488983e+16,1.1195995e+18,3.8585674e+18,6.6569472e+20,0,58391706,56021477,1.1441318e+08,0,1.35e+21,5602.708,6.8821464e-09,5602.708,0,0,1.3413441e+08,-4.5892096e+11,6.4343077e+09,-6.679077e+10,-1.5797918e+10,-5.5981341e+09,-1.9291945e+10,2.799067e+08,9.6459725e+08,1.6404634e+10,1.6404634e+10,2.1127836e+11,1.3204897e+10,6335837.1
14000,70,0,1.0005719e+08,4.4790116e+16,4.8505979e+16,1.7888429e+21,0,1.4590031e+19,3.0669759e+18,4.32e+12,2.7442712e+16,1.0662366e+18,4.206245e+18,6.6831802e+20,0,79348666,73264010,1.5261268e+08,0,1.35e+21,7327.1337,0,7327.1337,0,9.765625e-08,1.2549658e+08,-3.6074956e+11,6.1861978e+09,-7.2947215e+10,-1.5335108e+10,-5.3313133e+09,-2.1030379e+10,2.6656567e+08,1.0515189e+09,1.7512356e+10,1.7512356e+10,2.042757e+11,1.2767232e+10,7982887.7
16000,80,0,1.1363203e+08,5.2426423e+16,5.861197e+16,1.7856124e+21,0,1.5713804e+19,2.9765586e+18,4.32e+12,2.7370144e+16,1.0153944e+18,4.5357883e+18,6.7022005e+20,0,1.0408591e+08,93093357,1.9717926e+08,0,1.35e+21,9310.2668,0,9310.2668,0,9.765625e-08,1.1741582e+08,-2.8903153e+11,5.9484487e+09,-7.8566337e+10,-1.4883017e+10,-5.0770961e+09,-2.267814e+10,2.538548e+08,1.133907e+09,1.8523138e+10,1.8523138e+10,1.9750625e+11,1.2344141e+10,9841661
18000,90,0,1.2748552e+08,6.0348752e+16,6.9272506e+16,1.7830017e+21,0,1.6736625e+19,2.8882888e+18,4.32e+12,2.7279725e+16,9.669553e+17,4.847657e+18,6.7161543e+20,0,1.3271504e+08,1.1560838e+08,2.4832342e+08,0,1.35e+21,11561.994,1.3749741e-08,11561.994,0,0,1.0985622e+08,-2.3568359e+11,5.7223687e+09,-8.3680688e+10,-1.4441662e+10,-4.8348947e+09,-2.4237527e+10,2.4174473e+08,1.2118763e+09,1.944268e+10,1.944268e+10,1.9102637e+11,1.1939148e+10,11911811
